last_traded_time,n_buy_corr,n_sell_corr,n_tb_ts,ce_buy_corr,ce_sell_corr,ce_tb_ts,pe_buy_corr,pe_sell_corr,pe_tb_ts,n_buy_diff,n_sell_diff,ce_buy_diff,ce_sell_diff,pe_buy_diff,pe_sell_diff,n_bid_diff,n_ask_diff,ce_bid_diff,ce_ask_diff,pe_bid_diff,pe_ask_diff,percentage
11-11-2024 09:15,0.8865934720521766,0.5582326943190021,0.7345107476463005,0.6869332066908057,0.4187311454475162,0.6055745321841995,0.6766036244601661,-0.7031277791141909,-0.9264078781300702,28300,26675,19150,21825,-22700,59450,1675.0,50.0,-25,-75,-100,225,68.85238977827143
11-11-2024 09:20,-0.25628094946841357,0.2090298147052404,0.37371357631516733,-0.10813863923948897,-0.4852345411989172,0.6199147179333696,0.18334225607490798,-0.35866197264109234,0.3106620294551963,10825,105325,113700,60725,204025,62675,275.0,450.0,75,-1300,650,1150,32.27753885590882
11-11-2024 09:25,0.38081411206263455,-0.1064101676278825,0.2073002697033055,0.8497423228279115,-0.26920721422385524,-0.08565853046875424,0.4739908610174331,-0.6855977605125423,0.10232897865635268,5325,10375,34150,33000,18525,58300,-200.0,-625.0,975,-775,350,1025,35.12278019000747
11-11-2024 09:30,0.5996903959824986,0.6514323457359212,0.731336891596318,0.8558113931286134,-0.24756065971722632,-0.010113030384931585,0.33139668321072535,-0.7619931375541809,-0.229022801895505,11050,46300,65550,-13250,-32575,59650,-1200.0,1475.0,775,1225,-50,775,49.09285932451023
11-11-2024 09:35,-0.2355912443677489,-0.037214174220906615,-0.343171398769002,0.8024284753128911,-0.7058883465517969,-0.8479571536300076,0.6841311468168048,0.17891598970582964,0.5173829778070267,7150,-31900,-67525,26600,53875,9150,-50.0,-2300.0,150,600,100,-525,48.363121190911265
11-11-2024 09:40,0.7655470813428678,-0.4339340857073809,-0.2687748879176841,0.9212573050765495,-0.7246312776789752,-0.6124803940053838,0.8811112497903131,-0.6360880578509284,-0.725564267865318,3825,11300,27800,-6550,-29350,12425,-500.0,875.0,-375,100,-775,75,66.32654008039334
11-11-2024 09:45,0.6358987492559928,-0.9475929049337899,-0.4889727676828474,0.8976507764490091,-0.7677624389884018,-0.7218989640496135,0.6612516716651071,-0.6338718143972742,-0.860734839027083,6425,-7225,24950,-22650,-20100,41275,25.0,75.0,-550,250,350,-50,73.50705473832355
11-11-2024 09:50,-0.17107707746628775,-0.8087437662217543,0.4537401737005886,0.8369193286792901,-0.7165229849226833,-0.5942425125066799,0.7470507018850883,-0.5470209827923419,-0.27745514101289703,7075,22600,-13000,40700,16375,-4175,175.0,-725.0,-50,-250,650,-250,57.25302965764012
11-11-2024 09:55,0.6578817232870987,-0.40433219046228647,-0.07432382879209179,0.14591734656530866,-0.9152919300745321,-0.2316991943671758,0.3875930157226683,-0.7491677451018991,-0.21799068059241114,2250,2600,-47800,2225,8225,3875,200.0,175.0,300,-800,-400,-675,42.046640610727465
11-11-2024 10:00,0.6756285453909141,-0.5517646645286045,-0.551485835608494,0.7477055824249245,-0.8365505818560817,-0.5994264334398002,0.921567247643105,-0.5797338636077096,-0.594251015935691,-7100,225,-18950,41475,33775,-2900,-175.0,-8925.0,475,300,-875,-250,67.31237522705916
11-11-2024 10:05,0.10997501136406222,-0.694543429392435,0.2389107064405889,0.106086298298392,-0.5451905637572123,0.5401976241767444,0.7507612069255575,-0.31403165701957536,-0.21216320722048576,8425,475,144425,4850,-13900,64850,175.0,-200.0,75,-125,100,575,39.02066338438948
11-11-2024 10:10,0.8974545934533031,-0.4757084366304057,-0.39576127247080745,0.06718302857025829,-0.8104279421220677,0.01619294689101728,0.8074149731378473,-0.7694001843086531,-0.6819732049331588,-9475,2250,3825,25475,33225,-34800,-100.0,0.0,-1250,-250,-75,75,54.68351758352799
11-11-2024 10:15,0.5033450176365155,-0.20131985415309372,-0.476928958316539,0.7991129302522321,-0.4984494075710462,-0.3929120777898763,0.7607858547408402,-0.6153661051339923,-0.5709453777491446,-3625,5225,-3375,61950,15000,12600,-25.0,175.0,925,600,150,250,53.546284259369784
11-11-2024 10:20,0.5371478637079753,-0.105657830454909,-0.22007912199759586,0.8672676160100324,-0.8681734650267018,-0.6069501850360389,0.917015281917706,-0.8728680431437171,-0.8350775856969288,4600,-6675,57350,-44950,-62000,55325,25.0,450.0,825,-125,0,400,64.78041103324004
11-11-2024 10:25,0.1745500299872326,-0.9269559762456827,-0.3863710432109047,-0.7017900415255174,-0.9794063237550091,0.7224167671614751,0.6572646111355238,0.47356200606585275,-0.04164949526950446,-1175,-59600,-61450,-252825,-90850,-11400,1150.0,60425.0,-150,-25,-400,-2450,56.26629215951892
11-11-2024 10:30,-0.44877308600377397,-0.7305157186997077,0.493151749436842,0.583415025015989,-0.7754405169267672,-0.8442410581322026,0.6520176676344246,0.31350149091713947,0.5838139220147824,16825,-6025,-134950,41175,69350,8075,300.0,-34325.0,-600,475,-150,525,60.2763359420181
11-11-2024 10:35,0.8569461742498473,0.7911281593731228,0.7670881666664274,-0.09457014168894591,-0.5179913047207837,-0.03838962610028706,0.8815595173605651,-0.6712383122351788,-0.7613165253624236,12700,166500,250,-28025,-45425,37225,300.0,1325.0,-100,-375,200,-825,59.78031030841757
11-11-2024 10:40,0.8453037073509241,-0.919108946791179,-0.8233359734632136,0.7678001356669164,-0.5233659196982697,-0.7993314891969711,0.8845624533669595,-0.8131421430418987,-0.7375426365938886,-6750,21050,-19925,19700,47350,-18450,250.0,-1350.0,-75,-150,1375,275,79.03881561300246
11-11-2024 10:45,-0.5410569969740967,-0.5348592366605541,0.539175715247416,0.5692281692625006,-0.7608638053530649,-0.5476935577907011,0.20898190207882095,-0.3203702477319142,-0.33057859366561654,20075,875,11875,12775,-10450,21100,-125.0,-2100.0,275,725,25,375,48.36453583071872
11-11-2024 10:50,-0.45016703729983415,-0.6819075510511048,0.8824324946632625,0.29238438911598685,-0.4775344481399929,-0.5505774304644077,-0.18731677759422902,0.10698240301199782,-0.4924323199549022,13375,8825,5100,6500,10800,-7875,-2000.0,-100.0,-300,275,-300,175,45.797053903285764
11-11-2024 10:55,0.3478901923406971,-0.39236528525948544,-0.04479862462165999,0.030894286538256998,-0.5971910450273358,0.47983874248017117,0.6332268592459565,-0.5472125147408459,-0.23054718676385796,3500,-3725,-4400,-24900,-17225,7975,175.0,-475.0,300,125,400,625,36.71071930020296
