last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,open_1,close_1,high,low,last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_2,close_2,high,low,avg_trade_price,last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_3,close_3,high,low,avg_trade_price,datetime,open,high,low,close,volume
11-11-2024 09:25,53.5,287250,437,200275,182475,53.95,51.95,17800,-3773.2,47850,45900,N,178525,N,24131.87,24116,24169.5,24179.25,24113.8,11-11-2024 09:30,13.05,5749950,442,280775,315050,14.55,14.65,-34275,-262.55,55850,147800,N,113700,N,119.1,132.15,143.55,114.95,125.05,11-11-2024 09:30,-34.5,4416250,438,255250,263750,-35.1,-35.05,-8500,-332.35,55675,44425,N,175225,N,174.75,140.25,177.35,136.4,161.32,11-11-2024 09:25,24087.25,24106.25,24004.6,24099.15,0
11-11-2024 09:30,74.9,378625,532,211225,410325,78.4,75.25,-199100,-4513.6,53175,13625,N,164775,N,24145.31,24136.35,24211.25,24211.25,24125.25,11-11-2024 09:35,35.6,8759625,542,312100,388450,37.2,37.1,-76350,-347.9,66525,193975,Y,92575,N,120.8,156.4,159.15,116.2,132.94,11-11-2024 09:35,-41.5,5902125,542,345050,351875,-42.95,-43.15,-6825,-378.35,69525,31950,N,176900,N,164.45,122.95,167.4,120.6,153.45,11-11-2024 09:30,24060,24145.6,24049.5,24143.95,0
11-11-2024 09:35,53.85,351825,529,221175,418700,51.65,47,-197525,-3668.7,49125,34900,Y,20750,N,24155.3,24141.35,24195.2,24228.55,24136.9,11-11-2024 09:40,28.3,8424225,541,311725,358325,26.3,26.45,-46600,-368.85,69700,18775,N,49800,N,123.7,152,168.9,116.2,137.31,11-11-2024 09:40,-30.55,5224325,541,370850,372250,-29.15,-29.25,-1400,-340.4,69325,-150525,Y,118975,N,154.7,124.15,158.2,114.5,148.71,11-11-2024 09:35,24066.25,24157.45,24065.3,24124.15,0
11-11-2024 09:40,45.45,398150,530,194050,704575,49.5,47.35,-510525,-3390.25,52375,55700,Y,17300,N,24159.36,24170.1,24215.55,24228.55,24167.35,11-11-2024 09:45,29.05,8159100,540,278175,349250,31.2,31.3,-71075,-387,67550,39175,Y,7675,N,131.95,161,168.9,131.95,139.22,11-11-2024 09:45,-24.85,6085350,540,418225,374900,-26.7,-26.8,43325,-322.5,70075,-9875,YES,102700,N,140.05,115.2,141,111,144.24,11-11-2024 09:40,24098.65,24157.45,24097.35,24145.7,0
11-11-2024 09:45,25.45,320500,511,168350,520275,27.8,28.5,-351925,-3242.1,49900,22900,N,-38850,Y,24164.44,24211.5,24236.95,24246,24167.35,11-11-2024 09:50,16.45,7079625,540,310775,346325,15.3,15.3,-35550,-391.85,70350,-5400,YES,5275,N,155.65,172.1,176,135.05,142.81,11-11-2024 09:50,-17.4,5696475,540,398250,403975,-17.2,-17.1,-5725,-310.05,69700,12775,YES,91475,N,123.3,105.9,137.95,103.8,140.66,11-11-2024 09:45,24144.55,24176.7,24097.35,24171.9,0
11-11-2024 09:50,34.5,241450,498,127375,479625,30,30.3,-352250,-3474.2,48050,16275,N,53200,YES,24166.91,24195.5,24230,24246,24167.35,11-11-2024 09:55,13.45,6227225,540,335700,398000,13.3,13.35,-62300,-404.4,69875,37550,Y,35900,YES,151.5,164.95,176,135.05,144.35,11-11-2024 09:55,-13.85,5196400,540,439750,414175,-13.65,-13.7,25575,-299.65,69675,-19675,Y,61175,N,124.2,110.35,137.95,103.8,138.69,11-11-2024 09:50,24124.85,24176.7,24097.35,24160.15,0
11-11-2024 09:55,15.6,178350,483,142150,187250,10.9,15.2,-45100,-3566.95,43250,21150,N,16900,N,24170.51,24217.8,24233.4,24249.9,24201,11-11-2024 10:00,2.8,5703825,540,395425,429350,3.9,3.9,-33925,-431.1,69575,-29375,YES,43800,N,161.25,164.05,179.05,149.8,146.31,11-11-2024 10:00,-6.8,4020950,540,422400,478725,-7.1,-7.15,-56325,-285.3,70150,17350,YES,50175,N,115.3,108.5,122.8,101.1,136.27,11-11-2024 09:55,24144.4,24178.7,24128.4,24159.15,0
11-11-2024 10:00,-34.2,155900,482,145975,258525,-36.05,-32.6,-112550,-3573.3,45150,22875,N,36475,N,24172.43,24239.95,24205.75,24249.9,24195.6,11-11-2024 10:05,-23.2,4371875,540,387000,436800,-23.2,-23.25,-49800,-428.95,69350,-180750,YES,99250,YES,171.6,148.4,179.05,145,146.71,11-11-2024 10:05,13.2,3526025,540,464925,484425,13.7,13.75,-19500,-286.25,74675,64325,YES,1275,YES,105.6,118.8,122.55,101.1,134.87,11-11-2024 10:00,24171.75,24178.7,24133.8,24135.3,0
11-11-2024 10:05,-12,138425,456,134450,239000,-11.75,-11.55,-104550,-3780.65,42850,8400,N,-19300,Y,24173.32,24231,24219,24249.9,24195.6,11-11-2024 10:10,-9.25,4021975,542,362725,395550,-9.65,-9.7,-32825,-417.9,69250,-17875,Y,58900,N,165.5,156.25,179.05,145,147.11,11-11-2024 10:10,3.35,3755000,542,460550,499375,3,3,-38825,-292.35,77850,26675,N,74225,Y,109.65,113,122.55,101.1,133.54,11-11-2024 10:05,24159.85,24178.7,24133.5,24146.5,0
11-11-2024 10:10,-39.7,116775,437,208300,245575,-34.15,-34.75,-37275,-3529.35,42300,39375,Y,11525,YES,24174.08,24230,24190.3,24233.3,24185,11-11-2024 10:15,-20.35,3365100,542,322300,375375,-20.55,-20.9,-53075,-379.3,71000,40325,Y,72650,N,163.7,143.35,164.35,139.3,147.08,11-11-2024 10:15,14.1,3874150,542,477650,476200,13.95,13.95,1450,-290.8,75500,54175,YES,44925,N,108.1,122.2,126.7,107.05,132.64,11-11-2024 10:10,24158.9,24161.95,24114.5,24123.15,0
