ltp,vol_traded_today,last_traded_time,exch_feed_time,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,low_price,high_price,lower_ckt,upper_ckt,open_price,prev_close_price,type,symbol,ch,chp
119.1,1452575,2024-11-11 09:17:50,1731296870,125,150,118.75,119.05,100,211300,137075,118.51,109.35,155.0,0,0,155.0,176.5,sf,NSE:NIFTY24N1424100CE,-57.4,-32.5212
118.65,1452575,2024-11-11 09:17:50,1731296870,125,150,118.75,119.05,25,211300,137075,118.51,109.35,155.0,0,0,155.0,176.5,sf,NSE:NIFTY24N1424100CE,-57.85,-32.7762
119.55,1456050,2024-11-11 09:17:51,1731296871,50,375,119.55,119.85,75,210850,137800,118.51,109.35,155.0,0,0,155.0,176.5,sf,NSE:NIFTY24N1424100CE,-56.95,-32.2663
119.55,1456050,2024-11-11 09:17:51,1731296872,50,375,119.55,119.85,25,210850,137800,118.51,109.35,155.0,0,0,155.0,176.5,sf,NSE:NIFTY24N1424100CE,-56.95,-32.2663
120.0,1461825,2024-11-11 09:17:52,1731296873,25,250,119.85,119.95,125,213225,140575,118.51,109.35,155.0,0,0,155.0,176.5,sf,NSE:NIFTY24N1424100CE,-56.5,-32.0113
119.35,1461825,2024-11-11 09:17:52,1731296873,25,250,119.85,119.95,25,213225,140575,118.51,109.35,155.0,0,0,155.0,176.5,sf,NSE:NIFTY24N1424100CE,-57.15,-32.3796
119.7,1461825,2024-11-11 09:17:52,1731296874,25,250,119.85,119.95,25,213225,140575,118.51,109.35,155.0,0,0,155.0,176.5,sf,NSE:NIFTY24N1424100CE,-56.8,-32.1813
119.55,1470350,2024-11-11 09:17:54,1731296874,425,75,119.45,119.75,25,212425,138975,118.52,109.35,155.0,0,0,155.0,176.5,sf,NSE:NIFTY24N1424100CE,-56.95,-32.2663
119.7,1470350,2024-11-11 09:17:54,1731296875,425,75,119.45,119.75,250,212425,138975,118.52,109.35,155.0,0,0,155.0,176.5,sf,NSE:NIFTY24N1424100CE,-56.8,-32.1813
118.35,1482750,2024-11-11 09:17:56,1731296876,125,25,118.25,118.35,25,204725,136025,118.52,109.35,155.0,0,0,155.0,176.5,sf,NSE:NIFTY24N1424100CE,-58.15,-32.9462
118.0,1482750,2024-11-11 09:17:56,1731296876,125,25,118.25,118.35,50,204725,136025,118.52,109.35,155.0,0,0,155.0,176.5,sf,NSE:NIFTY24N1424100CE,-58.5,-33.1445
117.2,1491375,2024-11-11 09:17:57,1731296877,300,150,117.0,117.3,50,200475,135375,118.52,109.35,155.0,0,0,155.0,176.5,sf,NSE:NIFTY24N1424100CE,-59.3,-33.5977
117.0,1491375,2024-11-11 09:17:57,1731296878,300,150,117.0,117.3,25,200475,135375,118.52,109.35,155.0,0,0,155.0,176.5,sf,NSE:NIFTY24N1424100CE,-59.5,-33.711
117.1,1500100,2024-11-11 09:17:59,1731296879,75,50,116.65,116.9,25,203050,136575,118.51,109.35,155.0,0,0,155.0,176.5,sf,NSE:NIFTY24N1424100CE,-59.4,-33.6544
116.75,1500100,2024-11-11 09:17:59,1731296879,75,50,116.65,116.9,25,203050,136575,118.51,109.35,155.0,0,0,155.0,176.5,sf,NSE:NIFTY24N1424100CE,-59.75,-33.8527
116.75,1500100,2024-11-11 09:17:59,1731296880,75,50,116.65,116.9,25,203050,136575,118.51,109.35,155.0,0,0,155.0,176.5,sf,NSE:NIFTY24N1424100CE,-59.75,-33.8527
115.7,1500100,2024-11-11 09:17:59,1731296880,75,50,116.65,116.9,25,203050,136575,118.51,109.35,155.0,0,0,155.0,176.5,sf,NSE:NIFTY24N1424100CE,-60.8,-34.4476
116.2,1508250,2024-11-11 09:18:00,1731296880,25,250,115.9,116.2,75,201950,144125,118.5,109.35,155.0,0,0,155.0,176.5,sf,NSE:NIFTY24N1424100CE,-60.3,-34.1643
116.1,1508250,2024-11-11 09:18:00,1731296881,25,250,115.9,116.2,25,201950,144125,118.5,109.35,155.0,0,0,155.0,176.5,sf,NSE:NIFTY24N1424100CE,-60.4,-34.221
116.1,1518525,2024-11-11 09:18:02,1731296882,425,1100,115.85,116.1,25,203400,145050,118.48,109.35,155.0,0,0,155.0,176.5,sf,NSE:NIFTY24N1424100CE,-60.4,-34.221
116.05,1518525,2024-11-11 09:18:02,1731296882,425,1100,115.85,116.1,125,203400,145050,118.48,109.35,155.0,0,0,155.0,176.5,sf,NSE:NIFTY24N1424100CE,-60.45,-34.2493
116.1,1518525,2024-11-11 09:18:02,1731296883,425,1100,115.85,116.1,25,203400,145050,118.48,109.35,155.0,0,0,155.0,176.5,sf,NSE:NIFTY24N1424100CE,-60.4,-34.221
115.5,1543025,2024-11-11 09:18:03,1731296883,225,25,115.4,115.5,25,200550,146250,118.43,109.35,155.0,0,0,155.0,176.5,sf,NSE:NIFTY24N1424100CE,-61.0,-34.5609
115.0,1543025,2024-11-11 09:18:03,1731296884,225,25,115.4,115.5,225,200550,146250,118.43,109.35,155.0,0,0,155.0,176.5,sf,NSE:NIFTY24N1424100CE,-61.5,-34.8442
115.6,1543025,2024-11-11 09:18:03,1731296885,225,25,115.4,115.5,25,200550,146250,118.43,109.35,155.0,0,0,155.0,176.5,sf,NSE:NIFTY24N1424100CE,-60.9,-34.5042
115.0,1574150,2024-11-11 09:18:05,1731296885,8300,250,115.0,115.15,600,194900,147450,118.37,109.35,155.0,0,0,155.0,176.5,sf,NSE:NIFTY24N1424100CE,-61.5,-34.8442
