last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,open_1,close_1,high,low,last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_2,close_2,high,low,avg_trade_price,last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_3,close_3,high,low,avg_trade_price,datetime,timestamp,open,high,low,close,volume
12-03-2025 09:15,-16,269475,170,94800,103800,-16.05,-20.5,-9000,-791.25,36825,43950,N,119400,N,22604.13,22601,22585,22614.95,22585,12-03-2025 09:15,-8.4,12575775,170,391500,301650,-7.35,-7.5,89850,-51.65,42150,770250,N,621150,N,67.6,59.2,70,59.2,64.92,12-03-2025 09:15,9.3,4893075,168,111675,98325,7.2,7.15,13350,-77.1,38250,596325,N,83700,N,120.4,129.7,129.7,107.8,115.92,12-03-2025 09:15,1741751100,14.07,14.37,13.86,13.93,0
12-03-2025 09:20,-18.4,235800,181,189075,156225,-18.15,-18.35,32850,-842.75,42000,30075,N,7200,N,22585.33,22584.9,22566.5,22584.9,22543,12-03-2025 09:20,-5.7,11474175,180,320775,264225,-5.85,-5.95,56550,-42.75,47100,290550,N,415050,N,59.1,53.4,60.2,49.55,59.78,12-03-2025 09:20,10.8,6277725,180,162975,93675,11.95,11.95,69300,-115.05,39375,-236700,Y,131550,Y,129.6,140.4,159.6,128.15,132.27,12-03-2025 09:20,1741751400,13.94,14.06,13.94,13.98,0
12-03-2025 09:25,-55,221100,176,179100,113775,-53,-55.45,65325,-768.7,40950,-28125,YES,27525,YES,22569.76,22566.5,22511.5,22568.25,22511.5,12-03-2025 09:25,-17.3,11953725,179,302175,240750,-17.05,-17.05,61425,-36.2,46725,-28275,YES,227625,N,53.4,36.1,53.55,36.1,54.11,12-03-2025 09:25,43.8,5387325,179,86775,92400,43.7,43.7,-5625,-130.55,41400,71250,YES,-49650,YES,140.05,183.85,184.8,140.05,143.33,12-03-2025 09:25,1741751700,14,14.11,13.98,14.1,0
12-03-2025 09:30,6.95,196800,178,100800,198075,5.05,7.05,-97275,-776.45,36600,65625,Y,-38550,Y,22557.3,22509.9,22516.85,22519.95,22500.5,12-03-2025 09:30,1.9,6801225,180,612300,315150,1.7,1.7,297150,-32.05,50325,300900,Y,145800,N,35.4,37.3,39.25,34.35,51.39,12-03-2025 09:30,-7.95,2667225,180,124950,104850,-6.8,-7.15,20100,-140.95,37575,-39600,Y,87900,Y,186.05,178.1,192.15,172.05,148.75,12-03-2025 09:30,1741752000,14.11,14.15,14.07,14.09,0
12-03-2025 09:35,16.7,153825,166,110625,83400,18.1,16.85,27225,-778.05,33075,-17700,YES,41325,YES,22551.86,22516.15,22532.85,22539,22495,12-03-2025 09:35,2.05,8316000,180,258825,370725,2.05,1.95,-111900,-30.6,47550,112275,N,300525,YES,37.2,39.25,41.15,33.2,49.18,12-03-2025 09:35,-15.25,2624400,181,92625,110625,-17.5,-17.6,-18000,-141.55,39000,-87750,Y,20775,N,179,163.75,193.2,156.5,151.57,12-03-2025 09:35,1741752300,14.08,14.09,13.99,14,0
12-03-2025 09:40,-10,99375,169,88200,81600,-9.9,-7.9,6600,-852.2,27750,15975,Y,9225,N,22550.4,22530.1,22520.1,22545.4,22515,12-03-2025 09:40,-3.55,7442175,175,337950,299775,-2.85,-2.85,38175,-33,42450,-79200,YES,242925,N,38.05,34.5,42.65,34.5,47.91,12-03-2025 09:40,6.7,1918200,180,90150,96750,5.15,5.45,-6600,-124.15,36975,86100,YES,2475,YES,163.85,170.55,171.6,151.35,152.23,12-03-2025 09:40,1741752600,13.99,14.01,13.95,13.96,0
12-03-2025 09:45,25.65,151575,170,93825,138450,27.95,26.7,-44625,-954.85,33975,8925,N,25050,N,22546.49,22522.2,22547.85,22555.9,22487,12-03-2025 09:45,5.85,11565900,181,289425,283125,5.3,5.35,6300,-34.55,51750,737100,Y,-112875,Y,34.8,40.65,42.9,29.05,45.84,12-03-2025 09:45,-26.5,3476025,181,82650,103500,-25.6,-25.35,-20850,-163,38775,-97275,Y,16875,N,170.2,143.7,192.95,138.8,154.17,12-03-2025 09:45,1741752900,13.97,14.02,13.88,13.88,0
12-03-2025 09:50,-11.85,62625,163,100275,118050,-11.1,-7.4,-17775,-683.25,31050,66300,Y,13125,N,22546.74,22547,22535.15,22559,22535.15,12-03-2025 09:50,-4.25,8420700,180,306000,299325,-4.15,-4.15,6675,-33.7,48150,46800,N,263925,YES,40.05,35.8,43.85,35.65,45.28,12-03-2025 09:50,4.6,2023500,180,147000,142425,4.75,4.75,4575,-125.05,39975,98550,YES,20400,N,145,149.6,149.75,132.8,153.25,12-03-2025 09:50,1741753200,13.89,13.9,13.85,13.88,0
12-03-2025 09:55,-26.55,60975,152,71925,83325,-23.8,-25.6,-11400,-899.3,30675,18075,N,7875,N,22545.7,22540,22513.45,22540,22510,12-03-2025 09:55,-7.25,8660475,180,742650,602100,-7.15,-7.2,140550,-30.55,55050,92925,Y,218850,N,35.8,28.55,35.8,28,43.91,12-03-2025 09:55,20.1,2349450,180,110025,147600,19.3,19.2,-37575,-147.3,41625,23175,N,7200,N,149.3,169.4,174.45,149.3,154.01,12-03-2025 09:55,1741753500,13.87,13.94,13.85,13.92,0
12-03-2025 10:00,-37.45,169650,162,113325,106725,-35.95,-36.8,6600,-775.8,36300,-35625,YES,-15450,Y,22539.98,22513.45,22476,22521.3,22470,12-03-2025 10:00,-4.85,9485025,181,753525,771150,-4.95,-4.85,-17625,-27.05,73200,-326475,YES,-31575,Y,28.6,23.75,30.05,22.75,42.16,12-03-2025 10:00,30.4,2758650,181,108450,123450,31.6,31.8,-15000,-153,37950,5850,N,-116775,YES,169.6,200,207.9,163.45,156.56,12-03-2025 10:00,1741753800,13.91,13.97,13.89,13.95,0
12-03-2025 10:05,-3,113475,161,150825,79050,0,2.2,71775,-816.9,31650,17700,Y,1200,N,22536,22475,22472,22485,22466.7,12-03-2025 10:05,-2.35,10084500,180,759900,1205775,-2.05,-2.05,-445875,-26.7,64050,287100,Y,201675,YES,23.7,21.35,24.2,21.35,40.32,12-03-2025 10:05,3.8,1377975,180,113550,95625,2.85,2.9,17925,-180.85,39075,9975,N,29775,Y,200.85,204.65,208.4,192.3,158.18,12-03-2025 10:05,1741754100,13.93,14,13.92,13.99,0
12-03-2025 10:10,-6.8,109650,157,89100,79725,-5.75,-5.75,9375,-1004.6,37950,61725,Y,4050,N,22532.49,22473.9,22467.1,22492.8,22461,12-03-2025 10:10,-0.45,6146100,181,696075,611250,-0.5,-0.5,84825,-26.3,63450,49725,N,134325,N,20.8,20.35,22.9,20.15,39.28,12-03-2025 10:10,1.05,1636575,181,102675,95925,0.7,0.5,6750,-192.05,37575,-6300,Y,31950,N,208.8,209.85,213.5,186,160.09,12-03-2025 10:10,1741754400,13.97,14.01,13.96,13.99,0
12-03-2025 10:15,6.4,135375,167,208575,64200,7.95,8.05,144375,-1014.45,39525,-25875,YES,-6375,Y,22528.01,22464.6,22471,22478.4,22451.15,12-03-2025 10:15,0.95,5827575,182,789675,683475,1.1,1.05,106200,-26,66975,-35325,YES,100950,N,20.25,21.2,21.6,18.7,38.34,12-03-2025 10:15,-10.4,1470975,177,97800,97575,-11.2,-11.15,225,-210.1,38250,-34125,Y,-19725,YES,210,199.6,220.5,195.9,161.93,12-03-2025 10:15,1741754700,14,14.04,13.95,13.98,0
12-03-2025 10:20,-0.45,62700,145,90375,71100,-2.4,-4.45,19275,-917.3,30975,450,Y,-10500,Y,22526.53,22471,22470.55,22487.85,22466.1,12-03-2025 10:20,-1.05,3732600,180,684525,778500,-1.3,-1.3,-93975,-24.9,67950,-14850,Y,172200,YES,21.15,20.1,22.8,19.9,37.83,12-03-2025 10:20,5.45,800025,180,104475,98625,6.15,6,5850,-185.05,41925,7950,YES,-9150,N,199.2,204.65,205.55,188.65,162.62,12-03-2025 10:20,1741755000,13.97,14,13.95,13.97,0
12-03-2025 10:25,-5.4,41100,110,78225,57375,-2.9,-2.5,20850,-724.5,29025,1125,N,17700,YES,22525.43,22470.55,22465.15,22476.7,22464,12-03-2025 10:25,-0.15,2751300,181,818325,981150,-0.1,-0.1,-162825,-27.25,78075,67050,Y,93675,N,20.25,20.1,21.5,19.85,37.45,12-03-2025 10:25,2.2,550875,177,97800,90750,2.35,2.1,7050,-189.55,39600,1575,Y,23250,Y,204.05,206.25,210.2,198.9,163.21,12-03-2025 10:25,1741755300,13.97,14.01,13.96,14,0
