ltp,vol_traded_today,last_traded_time,exch_feed_time,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,low_price,high_price,lower_ckt,upper_ckt,open_price,prev_close_price,type,symbol,ch,chp
24594.3,941925,2025-05-12 09:16:02,1747021562,150,1200,24597.6,24599.0,75,672900,188100,24520.68,24410.0,24599.0,0,0,24476.0,24065.5,sf,NSE:NIFTY25MAYFUT,528.8,2.1973
24609.0,980700,2025-05-12 09:16:04,1747021564,600,75,24603.0,24612.7,75,661125,221250,24524.16,24410.0,24619.2,0,0,24476.0,24065.5,sf,NSE:NIFTY25MAYFUT,543.5,2.2584
24606.0,991650,2025-05-12 09:16:05,1747021565,375,75,24606.7,24612.9,75,682950,167700,24525.1,24410.0,24619.2,0,0,24476.0,24065.5,sf,NSE:NIFTY25MAYFUT,540.5,2.246
24606.5,999750,2025-05-12 09:16:07,1747021567,75,75,24608.3,24616.6,75,665925,196200,24525.8,24410.0,24620.0,0,0,24476.0,24065.5,sf,NSE:NIFTY25MAYFUT,541.0,2.248
24604.8,999750,2025-05-12 09:16:07,1747021568,75,75,24608.3,24616.6,150,665925,196200,24525.8,24410.0,24620.0,0,0,24476.0,24065.5,sf,NSE:NIFTY25MAYFUT,539.3,2.241
24605.5,1016025,2025-05-12 09:16:08,1747021569,150,375,24609.0,24612.6,75,639375,212175,24527.17,24410.0,24620.0,0,0,24476.0,24065.5,sf,NSE:NIFTY25MAYFUT,540.0,2.2439
24600.5,1024500,2025-05-12 09:16:10,1747021570,75,300,24600.4,24607.8,75,639375,254475,24527.81,24410.0,24620.0,0,0,24476.0,24065.5,sf,NSE:NIFTY25MAYFUT,535.0,2.2231
24598.0,1039050,2025-05-12 09:16:12,1747021572,750,150,24598.0,24599.1,375,636300,244275,24528.84,24410.0,24620.0,0,0,24476.0,24065.5,sf,NSE:NIFTY25MAYFUT,532.5,2.2127
24598.2,1039050,2025-05-12 09:16:12,1747021572,750,150,24598.0,24599.1,75,636300,244275,24528.84,24410.0,24620.0,0,0,24476.0,24065.5,sf,NSE:NIFTY25MAYFUT,532.7,2.2135
24598.3,1057650,2025-05-12 09:16:14,1747021574,75,2025,24597.4,24598.5,75,652575,234150,24530.08,24410.0,24620.0,0,0,24476.0,24065.5,sf,NSE:NIFTY25MAYFUT,532.8,2.214
24600.0,1081650,2025-05-12 09:16:15,1747021575,150,75,24598.1,24599.9,150,652125,193425,24531.55,24410.0,24620.0,0,0,24476.0,24065.5,sf,NSE:NIFTY25MAYFUT,534.5,2.221
24600.0,1081650,2025-05-12 09:16:15,1747021576,150,75,24598.1,24599.9,75,652125,193425,24531.55,24410.0,24620.0,0,0,24476.0,24065.5,sf,NSE:NIFTY25MAYFUT,534.5,2.221
24597.4,1093350,2025-05-12 09:16:17,1747021577,75,150,24594.4,24597.3,225,636675,262725,24532.26,24410.0,24620.0,0,0,24476.0,24065.5,sf,NSE:NIFTY25MAYFUT,531.9,2.2102
24598.3,1093350,2025-05-12 09:16:17,1747021577,75,150,24594.4,24597.3,75,636675,262725,24532.26,24410.0,24620.0,0,0,24476.0,24065.5,sf,NSE:NIFTY25MAYFUT,532.8,2.214
24601.6,1115400,2025-05-12 09:16:19,1747021579,75,75,24599.9,24601.8,75,657225,201300,24533.59,24410.0,24620.0,0,0,24476.0,24065.5,sf,NSE:NIFTY25MAYFUT,536.1,2.2277
24599.3,1115400,2025-05-12 09:16:19,1747021579,75,75,24599.9,24601.8,75,657225,201300,24533.59,24410.0,24620.0,0,0,24476.0,24065.5,sf,NSE:NIFTY25MAYFUT,533.8,2.2181
24600.2,1115400,2025-05-12 09:16:19,1747021579,75,75,24599.9,24601.8,75,657225,201300,24533.59,24410.0,24620.0,0,0,24476.0,24065.5,sf,NSE:NIFTY25MAYFUT,534.7,2.2219
24603.9,1122825,2025-05-12 09:16:20,1747021580,75,150,24601.9,24603.6,75,654975,231300,24534.04,24410.0,24620.0,0,0,24476.0,24065.5,sf,NSE:NIFTY25MAYFUT,538.4,2.2372
24600.5,1135575,2025-05-12 09:16:22,1747021582,75,375,24600.3,24605.6,75,647250,222000,24534.81,24410.0,24620.0,0,0,24476.0,24065.5,sf,NSE:NIFTY25MAYFUT,535.0,2.2231
24600.7,1135575,2025-05-12 09:16:22,1747021583,75,375,24600.3,24605.6,75,647250,222000,24534.81,24410.0,24620.0,0,0,24476.0,24065.5,sf,NSE:NIFTY25MAYFUT,535.2,2.2239
24601.5,1148100,2025-05-12 09:16:24,1747021584,225,300,24601.4,24607.5,75,658350,234900,24535.56,24410.0,24620.0,0,0,24476.0,24065.5,sf,NSE:NIFTY25MAYFUT,536.0,2.2273
24603.9,1148100,2025-05-12 09:16:24,1747021584,225,300,24601.4,24607.5,75,658350,234900,24535.56,24410.0,24620.0,0,0,24476.0,24065.5,sf,NSE:NIFTY25MAYFUT,538.4,2.2372
24604.9,1154850,2025-05-12 09:16:25,1747021585,375,525,24600.5,24604.9,75,611850,259350,24535.96,24410.0,24620.0,0,0,24476.0,24065.5,sf,NSE:NIFTY25MAYFUT,539.4,2.2414
