last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,open_1,close_1,high,low,last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_2,close_2,high,low,avg_trade_price,last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_3,close_3,high,low,avg_trade_price
12-06-2025 09:15,37,149175,166,124575,162150,36,30.4,-37575,-1290.1,41625,30900,N,59100,N,25210.41,25191,25228,25235,25190,12-06-2025 09:15,2.5,26105400,192,577875,538500,4.05,4,39375,-55.05,64950,10173750,N,805350,N,31.2,33.7,45.8,26.3,34.63,12-06-2025 09:15,-43,7969350,190,362100,262875,-42.6,-42.8,99225,-125.95,56175,6792525,N,491550,N,124.65,81.65,125.25,81.5,100.18
12-06-2025 09:20,19.9,138975,171,126300,148500,16.3,16,-22200,-1236.8,41400,32100,N,16575,N,25217.34,25224.1,25244,25245,25212.3,12-06-2025 09:20,10.8,28582725,210,801375,726300,10.95,11,75075,-58.05,69300,1692975,N,156075,N,33.5,44.3,46.2,27.1,34.72,12-06-2025 09:20,-7.25,9717975,213,371550,324300,-7.15,-7.1,47250,-114.35,57000,3030525,N,286950,N,81.7,74.45,90.95,72.65,90.98
12-06-2025 09:25,-0.3,118350,182,125700,110400,-0.1,0.8,15300,-1224,41775,33450,N,42900,YES,25223.12,25245,25244.7,25247.6,25230,12-06-2025 09:25,-6.75,22292325,249,1003800,940125,-6.35,-6.3,63675,-64.95,73350,-104775,YES,978300,YES,43.2,36.45,45.05,32.2,35.78,12-06-2025 09:25,-5.05,9075675,247,450300,399750,-5.1,-5.1,50550,-95.75,62400,42075,N,251550,N,74.25,69.2,76.35,66.9,84.74
12-06-2025 09:30,14.5,122625,200,117000,227175,16.8,14.7,-110175,-1190.1,41850,-24150,YES,8025,N,25228.95,25244.7,25259.2,25260,25237,12-06-2025 09:30,15.2,33622575,264,1047300,1125300,16.75,16.85,-78000,-75.6,87300,429300,Y,-710025,Y,36.4,51.6,55.75,34.5,38.99,12-06-2025 09:30,-2.45,9406800,259,480300,513600,-3.1,-3.1,-33300,-98.1,69675,774450,YES,213825,N,69.65,67.2,73.75,64.8,80.73
12-06-2025 09:35,-42.4,74475,220,141075,176475,-36.3,-36.3,-35400,-1601,39600,12225,Y,-54000,Y,25230.16,25258.4,25216,25260,25215,12-06-2025 09:35,-17.15,27337350,336,1224900,1270650,-17.1,-17.15,-45750,-76.35,101550,-214575,YES,840000,YES,51.85,34.7,53.95,33.7,40.01,12-06-2025 09:35,27.35,17330625,338,423450,483825,27.15,27.2,-60375,-101.3,64200,414375,N,-643425,YES,67.2,94.55,97.95,61.55,79.8
12-06-2025 09:40,-41.9,236025,292,307350,429825,-41.1,-39.9,-122475,-1784.7,50250,23100,N,-7425,YES,25220.82,25216,25174.1,25219.9,25172,12-06-2025 09:40,-7.95,23956875,346,1894950,1986000,-8.15,-8.25,-91050,-53.9,99225,-325500,YES,465675,N,35.05,27.1,35.25,25.2,38.51,12-06-2025 09:40,37.5,17148075,348,284400,332475,39.1,39.1,-48075,-162.6,63975,-270150,Y,-302175,Y,95.05,132.55,138.95,95.05,87.69
12-06-2025 09:45,14.1,232425,328,243300,169050,8.3,7.4,74250,-1996.4,55200,68700,Y,-24375,Y,25211.32,25173.2,25187.3,25191.7,25160,12-06-2025 09:45,-2.95,20075250,359,2878650,2849700,-2.95,-2.95,28950,-49.65,111675,271650,Y,270975,N,27.05,24.1,29.55,21.05,36.99,12-06-2025 09:45,-5.25,9044850,359,317775,220725,-4.45,-4.55,97050,-199.05,61650,-250575,N,98325,Y,133.35,128.1,150,121.1,93.22
12-06-2025 09:50,2,65925,238,179250,185025,5.3,2,-5775,-1452.1,42225,54075,N,-12300,N,25210.27,25188,25190,25200,25180.7,12-06-2025 09:50,0.95,15052350,362,3158325,2928375,0.85,0.85,229950,-48.65,107175,-99375,YES,586650,YES,24.25,25.2,26.4,21.7,36.07,12-06-2025 09:50,-11.65,5579250,362,326625,375075,-12,-11.95,-48450,-167.85,66675,49350,YES,64500,N,127.7,116.05,130.45,107.2,94.7
12-06-2025 09:55,-23,72000,180,305400,132450,-20.7,-20,172950,-1441.2,54225,12450,N,39225,YES,25208.38,25190,25167,25190,25165.2,12-06-2025 09:55,-3.9,10174500,342,3936075,3770175,-3.8,-3.85,165900,-49.5,105600,17550,Y,284250,N,25.2,21.3,25.4,20.8,35.43,12-06-2025 09:55,22.35,5414700,340,332550,343350,22.3,22.35,-10800,-187.45,69150,-679725,Y,-110850,YES,116.4,138.75,141.95,116.1,96.89
12-06-2025 10:00,-14.1,195750,248,297450,258675,-14.6,-13.9,38775,-1015.5,48225,-21900,YES,-16650,Y,25201.09,25166.4,25152.3,25172.8,25141.7,12-06-2025 10:00,-4,14022600,331,4637550,4281750,-4.1,-4.05,355800,-42.6,119550,-377775,YES,90975,N,21.3,17.3,21.8,16.45,34.38,12-06-2025 10:00,15.55,5664975,325,227250,240750,15.25,15.35,-13500,-214.5,61575,-309450,YES,-37275,Y,137.55,153.1,165.8,136.75,100.29
12-06-2025 10:05,26.6,71550,169,285225,140325,23.7,24.8,144900,-1571.8,49425,5775,Y,56175,YES,25199.48,25152.3,25178.9,25183.1,25150,12-06-2025 10:05,1.6,10506900,243,4054425,4412625,1.2,1.25,-358200,-42.1,107400,317400,Y,261300,YES,17.5,19.1,20.2,16.9,33.68,12-06-2025 10:05,-24,3372975,252,237675,226875,-22.95,-23,10800,-175.8,53775,-24825,YES,17625,Y,152.15,128.15,158.2,124.25,101.55
12-06-2025 10:10,-4.9,27975,123,93525,80175,-5.8,-8.7,13350,-963.3,30675,-5550,YES,9000,N,25199.05,25179.4,25174.5,25180.6,25167.4,12-06-2025 10:10,-2.25,9694875,265,5229825,5015625,-2.3,-2.3,214200,-46.15,132000,-246300,YES,421725,YES,19.4,17.15,21.4,16.75,33.1,12-06-2025 10:10,3.75,2481150,258,253125,260025,3.85,3.8,-6900,-166,58350,45900,YES,-21675,YES,127.35,131.1,136.9,122.6,102.21
12-06-2025 10:15,-4.5,39825,136,191325,178650,-4.5,-4.9,12675,-1357,43650,10725,N,13800,N,25198.25,25166.3,25161.8,25174.9,25161,12-06-2025 10:15,-2.05,11089800,309,6455250,6492900,-2.4,-2.35,-37650,-43.5,140625,10650,Y,492675,YES,17.1,15.05,18.6,14,32.36,12-06-2025 10:15,2.65,2650200,320,320850,266925,4.1,4.05,53925,-185.05,62700,48225,N,40800,Y,131.35,134,140.9,127.65,103
12-06-2025 10:20,14.2,45000,125,131175,146175,10.9,10,-15000,-974,30075,4425,N,-11775,Y,25197.14,25161.8,25176,25176.9,25148,12-06-2025 10:20,0.75,10343175,288,6852000,6912300,0.75,0.7,-60300,-38.75,136350,33900,Y,-188625,Y,14.95,15.7,16.2,12.8,31.65,12-06-2025 10:20,-6.15,2908800,290,243900,231675,-6.7,-6.75,12225,-191.8,55725,-154200,Y,21000,N,135.2,129.05,152.3,125.8,103.98
12-06-2025 10:25,6.4,60825,162,461925,261150,1.5,6.3,200775,-822,36750,-5775,YES,2325,N,25196.63,25176,25182.4,25188.6,25173.1,12-06-2025 10:25,0.4,11313150,289,6268950,6131850,0.4,0.45,137100,-44.9,161025,-58800,YES,107925,YES,15.6,16,17.35,14.25,31.01,12-06-2025 10:25,-4.25,2449650,290,321225,307575,-4.05,-4.15,13650,-159.65,64050,114375,YES,43350,Y,128.8,124.55,130.45,116.8,104.38
12-06-2025 10:30,-12.3,44400,126,114300,229800,-10.3,-12.7,-115500,-1017.3,39150,6450,N,10200,N,25196.27,25182.4,25170.1,25190,25165.1,12-06-2025 10:30,-0.65,15122550,294,5442900,5346675,-0.65,-0.65,96225,-48.75,141150,171600,Y,-41475,Y,16.25,15.6,20.9,15.25,30.37,12-06-2025 10:30,8.75,2481150,287,327675,370875,9.65,9.55,-43200,-164.45,63150,14625,N,-96375,YES,124.85,133.6,136.2,114.6,104.79
12-06-2025 10:35,4.9,31125,96,124200,124725,2.6,0,-525,-1163.2,38400,11325,N,37650,YES,25195.89,25167.7,25172.6,25179.9,25165,12-06-2025 10:35,-1,7507650,328,5590500,5597325,-0.85,-0.8,-6825,-44.6,153450,282525,Y,200100,YES,15.8,14.8,17.35,14.2,30,12-06-2025 10:35,-2.65,2301225,318,292650,294525,-3.1,-3.1,-1875,-176.65,60750,12300,N,79500,Y,131.65,129,137,122.95,105.29
12-06-2025 10:40,-57.2,294150,151,485250,191400,-53.1,-55.7,293850,-710.9,41175,-144075,YES,20925,N,25188.33,25172.6,25115.4,25176.4,25115.4,12-06-2025 10:40,-2.95,13485750,248,6143475,5934525,-2.7,-2.75,208950,-37.5,141225,-374025,YES,-90750,Y,14.95,12,18,11.65,29.33,12-06-2025 10:40,51.7,4407600,241,322875,250575,51.6,51.75,72300,-183.65,63375,-45450,Y,-383700,YES,129.1,180.8,184.35,127,107.17
12-06-2025 10:45,12,98850,180,145875,439125,18.8,13.8,-293250,-1009.5,37800,36450,Y,-29325,Y,25185.29,25121,25133,25141.4,25115.3,12-06-2025 10:45,-0.3,10686150,225,7685100,7948425,-0.15,-0.15,-263325,-30.8,119400,193125,Y,20550,YES,12.05,11.75,12.95,10.85,28.75,12-06-2025 10:45,-15.95,2342475,210,295875,290775,-15.85,-15.95,5100,-207.25,70350,-165000,Y,134625,Y,181.45,165.5,181.85,162,108.41
12-06-2025 10:50,-2.1,38475,146,160725,152550,-2.1,-4.9,8175,-679.3,31650,-14625,YES,15300,YES,25184.4,25132.1,25130,25140,25130,12-06-2025 10:50,-1.25,7547250,227,8224875,7121700,-1.15,-1.15,1103175,-31.45,135225,-110550,YES,340350,YES,11.8,10.55,12.8,10.1,28.35,12-06-2025 10:50,2.95,1832475,221,206925,232050,3.3,3.25,-25125,-198.2,64725,-285450,Y,1500,YES,166.15,169.1,171.6,156.5,109.22
12-06-2025 10:55,-1,66225,148,198375,168150,-3.6,-0.9,30225,-775.2,33600,26475,Y,13275,N,25182.69,25130,25129,25131.4,25120,12-06-2025 10:55,-0.5,7038225,226,8277150,9164250,-0.4,-0.4,-887100,-29.55,144150,-509250,YES,-189075,Y,10.55,10.05,10.85,9.55,27.97,12-06-2025 10:55,-0.25,1449975,225,201375,206775,-1,-0.95,-5400,-214.6,55875,-320400,Y,12975,N,169.05,168.8,178.15,164.45,109.93
12-06-2025 11:00,4.7,58350,132,155475,644550,3.1,4.7,-489075,-571.2,40575,27675,N,-4125,Y,25181.36,25129.3,25134,25134.6,25124,12-06-2025 11:00,-0.05,6581025,220,11048025,9263925,0.05,0.05,1784100,-30.85,139350,186075,Y,16350,YES,10.05,10,10.65,8.75,27.63,12-06-2025 11:00,-3.05,951975,214,186600,235950,-3.15,-3.3,-49350,-209.95,56850,12150,YES,30750,N,168.75,165.7,173.55,163.05,110.36
12-06-2025 11:05,-3,35025,127,91125,138750,2.9,-2.5,-47625,-981.7,38400,1500,YES,-150,N,25180.63,25134,25131,25136.1,25124,12-06-2025 11:05,0.25,5869575,293,8748600,8083050,0.3,0.3,665550,-31.6,156675,262350,Y,27975,N,10.1,10.35,11.7,9.75,27.35,12-06-2025 11:05,-0.7,1089450,287,224250,246975,-1.4,-1.45,-22725,-197.4,62475,8175,N,-23025,YES,165.6,164.9,176.95,161.25,110.84
12-06-2025 11:10,-9.5,97950,166,124950,109725,-10.5,-7.5,15225,-1275.4,38400,-14325,YES,7275,N,25178.27,25131.5,25122,25135,25111.4,12-06-2025 11:10,-1.05,6583725,283,10913625,10611075,-1,-1,302550,-31.85,165900,258600,N,313650,YES,10.25,9.2,11.4,9.1,27.03,12-06-2025 11:10,11.6,1578075,270,215550,248025,10.85,10.9,-32475,-211.2,58875,-2850,Y,-59175,YES,165.6,177.2,185.25,163.75,111.62
12-06-2025 11:15,22.4,60450,162,116475,128625,24,25.1,-12150,-1297.4,37350,19350,Y,-48600,Y,25177.14,25122,25144.4,25149,25115,12-06-2025 11:15,1.75,8827050,210,11435250,11482425,1.75,1.75,-47175,-30.1,176325,-75,YES,-543975,Y,9.3,11.05,11.05,8.4,26.61,12-06-2025 11:15,-26,1993575,211,219300,225975,-26.45,-26.45,-6675,-203.6,56025,-129075,Y,37050,Y,176.8,150.8,182.95,150,112.45
12-06-2025 11:20,5.2,54675,144,181275,99300,10.5,5.1,81975,-1041.2,32850,525,YES,9300,YES,25176.6,25149,25154.2,25160,25140,12-06-2025 11:20,1.95,12933525,215,7364325,7379325,2.35,2.35,-15000,-35.55,168900,181800,Y,-280125,YES,10.9,12.85,13.75,10.35,26.11,12-06-2025 11:20,-12.05,1914825,219,261450,293250,-12.8,-12.85,-31800,-180.15,63675,23400,YES,87900,Y,151.4,139.35,159.9,138.4,112.95
