last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,open_1,close_1,high,low,last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_2,close_2,high,low,avg_trade_price,last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_3,close_3,high,low,avg_trade_price,datetime,timestamp,open,high,low,close,volume
13-02-2025 09:15,-11.45,132675,143,113250,101475,-10.55,-14.1,11775,-1348.2,29325,79500,N,63300,N,23159.89,23177.85,23166.4,23178.85,23139.55,13-02-2025 09:15,-7.9,14001750,160,355725,278475,-8.3,-8.15,77250,-65.55,38700,5924550,N,704925,N,81.3,73.4,85.1,64.45,73.74,13-02-2025 09:15,2.55,9246600,158,181275,186300,2.35,2.35,-5025,-76,34725,8435250,N,232875,N,77.7,80.25,95,76,84.36,13-02-2025 09:15,1739418300,23055.75,23115.05,23052.65,23080.45,0
13-02-2025 09:20,-79.3,239625,171,144825,138000,-77.55,-77.35,6825,-1680.1,43350,-71100,YES,33900,N,23145.41,23159.3,23080,23179,23071.05,13-02-2025 09:20,-21.4,22043550,179,427575,403650,-19,-19,23925,-65.9,44550,1102050,N,454350,N,72.6,51.2,75.65,45.1,67.92,13-02-2025 09:20,56.3,19801275,180,260475,302925,53.65,53.7,-42450,-92.55,44700,297975,N,-151575,YES,79.05,135.35,152.75,60,90.33,13-02-2025 09:20,1739418600,23081.45,23096.9,22996.7,23013.65,0
13-02-2025 09:25,20.6,177075,177,118725,112350,23.15,23.05,6375,-1318.2,39600,96225,Y,4875,N,23131.67,23081.4,23102,23125.45,23066,13-02-2025 09:25,4.75,13370925,179,272025,267300,4.2,4.25,4725,-61.25,45600,792975,N,256950,N,49.85,54.6,64,48.05,64.66,13-02-2025 09:25,-7.35,7959075,179,156225,115050,-5.95,-6.05,41175,-135.95,39300,-45000,Y,90525,Y,139.7,132.35,165.3,115.05,100.82,13-02-2025 09:25,1739418900,23011.55,23046.25,22992.2,23025.25,0
13-02-2025 09:30,80.95,155400,171,95925,114675,78.8,80.9,-18750,-1167.3,40500,7650,N,52275,YES,23135.32,23102,23182.95,23185.95,23102,13-02-2025 09:30,32.55,22006200,175,227250,321000,33.2,33.35,-93750,-72.45,43200,268800,N,-889050,Y,54.35,86.9,91.75,54.35,67.5,13-02-2025 09:30,-55.65,9047175,180,145350,144000,-55.75,-55.95,1350,-96.8,39825,143700,YES,257550,Y,130.85,75.2,130.85,73.3,99.17,13-02-2025 09:30,1739419200,23024.9,23106.65,23024.55,23103.2,0
13-02-2025 09:35,0,110925,160,80475,87900,0.05,0,-7425,-1352.05,43800,-72150,YES,41250,N,23140.63,23180,23180,23197.8,23165,13-02-2025 09:35,-6.2,16316700,180,230775,289425,-4.15,-4.2,-58650,-84.6,44400,-53550,YES,417150,YES,87.7,81.5,97.8,74.95,70.76,13-02-2025 09:35,-3,10615800,180,171000,230850,-3.95,-3.95,-59850,-77.25,40800,316650,YES,358950,Y,74.55,71.55,83.5,66,94.86,13-02-2025 09:35,1739419500,23103.65,23120.4,23087.75,23101.4,0
13-02-2025 09:40,20.05,101250,164,184275,111750,20,18,72525,-1020.15,37275,3675,Y,-26925,Y,23146.45,23180,23200.05,23210.85,23180,13-02-2025 09:40,6.95,11670600,180,383625,515850,6.45,6.35,-132225,-82.35,47325,220425,Y,86700,N,81.65,88.6,94.4,79,72.79,13-02-2025 09:40,-11.1,10984725,180,287100,244200,-10.1,-10.1,42900,-62.15,48075,-42525,Y,238125,N,71.35,60.25,71.45,53.45,89.42,13-02-2025 09:40,1739419800,23101.15,23129.15,23098.8,23119.6,0
13-02-2025 09:45,15.8,107400,173,108450,99825,15.9,13,8625,-1142.15,35700,7125,N,190275,YES,23152.62,23198.2,23214,23219.9,23198.2,13-02-2025 09:45,5.7,10903950,180,385650,319875,5.5,5.5,65775,-84.2,46875,-86100,YES,-145650,Y,88.5,94.2,100.6,87,74.77,13-02-2025 09:45,-10.6,9538800,180,306450,446025,-10.5,-10.55,-139575,-54.85,50700,313800,YES,257025,N,60.05,49.45,63.65,47.4,85.1,13-02-2025 09:45,1739420100,23119.35,23140.7,23119.35,23133.8,0
13-02-2025 09:50,36,277800,171,92175,186825,36.35,36,-94650,-736.05,40950,25500,N,-147075,Y,23167.79,23214,23250,23250,23204.05,13-02-2025 09:50,26.25,13431750,180,248250,342150,25.35,25.35,-93900,-92.1,46650,-133950,YES,-533850,Y,93.85,120.1,120.6,89.9,78.09,13-02-2025 09:50,-14.85,12213825,180,788400,478800,-14.15,-14.25,309600,-49.8,59025,-172575,Y,295575,Y,49.35,34.5,52.55,34.5,79.44,13-02-2025 09:50,1739420400,23133.7,23174.65,23130.2,23173.3,0
13-02-2025 09:55,-5.2,150825,173,123225,132825,-6,-5.7,-9600,-925,39300,21450,N,23700,YES,23175.24,23250,23244.8,23258.25,23227.15,13-02-2025 09:55,3.05,9960750,176,280125,298125,3.7,3.7,-18000,-110.6,39975,-260325,YES,-12225,YES,120.3,123.35,134.85,110,81.24,13-02-2025 09:55,2,10270200,180,667725,637875,1.95,1.9,29850,-41.1,52125,680775,YES,67575,N,34.3,36.3,42.05,33.1,75.17,13-02-2025 09:55,1739420700,23173.3,23190.55,23157.8,23173.95,0
13-02-2025 10:00,5.05,127050,168,122325,124275,9.75,7.3,-1950,-853.6,40800,9375,N,43350,N,23181.28,23249.75,23254.8,23265.7,23240,13-02-2025 10:00,6.5,5361975,180,358125,194625,5.7,5.75,163500,-115.15,39825,-1950,Y,-23025,Y,125,131.5,134.45,118,83,13-02-2025 10:00,-4.65,7260000,180,658650,692925,-4.35,-4.35,-34275,-39.5,53625,169575,N,159375,Y,35.7,31.05,39.85,30.5,72.44,13-02-2025 10:00,1739421000,23176.5,23192.5,23167.75,23186.65,0
