last_traded_time,ltp,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,last_traded_time,ltp,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open,close,high,low,avg_trade_price,last_traded_time,ltp,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open,close,high,low,avg_trade_price
13-03-2025 09:15,-19.4,-20.25,-17.5,-3300,-957.2,31200,33300,N,39900,N,-14.41,22544.3,22524.9,13-03-2025 09:15,-13.7,-13.85,-14.1,230625,-34,42450,8406525,N,1155300,N,47.15,33.45,48.6,32.7,-9.96,13-03-2025 09:15,3.95,5.15,5.15,-7350,-52.85,38850,6048000,N,456300,N,57.55,61.5,67.55,51.55,4.82
13-03-2025 09:20,4.05,6.35,5.55,24450,-904.8,33900,49050,N,21600,N,-6.67,22524.95,22529,13-03-2025 09:20,-2.95,-2.25,-2.35,-20175,-29.55,75525,3956175,N,777300,N,33.15,30.2,34.65,26.55,-5.64,13-03-2025 09:20,-4.15,-4.25,-4.5,304500,-64.25,49950,1050000,N,160350,N,61.95,57.8,78.35,56.4,4.42
13-03-2025 09:25,-12.45,-8.9,-8.1,64350,-1171.95,40200,-8700,YES,22800,N,-0.41,22533.95,22521.5,13-03-2025 09:25,-5.4,-5.15,-5.25,-208350,-34.65,63150,424950,N,855600,YES,30.25,24.85,35.95,23.3,-2.45,13-03-2025 09:25,-2.95,-2.9,-2.85,-37125,-64.65,52725,1270950,YES,342075,Y,57.45,54.5,74.3,44.15,-2.24
13-03-2025 09:30,-0.9,0.5,-1.45,40650,-729.4,34050,7650,N,9375,N,-3.21,22525,22524.1,13-03-2025 09:30,1.5,1.95,1.95,118725,-28.4,66300,638325,Y,699375,N,24.7,26.2,29.9,21.4,-1.57,13-03-2025 09:30,2.3,1.95,1.9,-8850,-60.45,53850,404250,N,202425,N,54.2,56.5,69.4,51.1,0.09
13-03-2025 09:35,12.9,15,14.35,36000,-1040.75,31425,16275,N,22575,N,-0.09,22524.1,22537,13-03-2025 09:35,1.6,2.05,2.1,-797775,-28.15,64425,843675,Y,783675,YES,26.4,28,31.75,22.45,-0.74,13-03-2025 09:35,-11.7,-11.5,-11.45,249975,-50.15,52425,255600,N,465300,Y,56.45,44.75,67.25,42.45,-1.52
13-03-2025 09:40,3,3,4,31125,-667.1,31575,1050,YES,-6000,Y,0.97,22537,22540,13-03-2025 09:40,0.25,0.25,0.3,-85425,-32.2,72750,268950,N,-402750,Y,27.85,28.1,35.3,23,-0.37,13-03-2025 09:40,-5.85,-5.5,-5.55,-100650,-47.35,61275,-244575,Y,278475,N,45.05,39.2,51.75,36.55,-2.26
13-03-2025 09:45,5,4.9,5,-16125,-1201.3,32925,-4875,YES,-975,N,1.07,22540,22545,13-03-2025 09:45,2.9,3.45,3.5,54750,-31.65,58650,179025,N,-286425,YES,28.2,31.1,39.15,24.65,0.16,13-03-2025 09:45,-3.5,-3.95,-3.95,347550,-41.95,59250,569475,YES,277725,N,38.65,35.15,48.5,30.9,-2.52
13-03-2025 09:50,2.35,3.7,6.85,24000,-1073.65,31200,13725,N,-13575,Y,0.55,22546.25,22548.6,13-03-2025 09:50,3.85,3.85,3.9,-43350,-35.15,76800,567525,Y,291225,YES,30.75,34.6,38.1,24.9,0.16,13-03-2025 09:50,-2.1,-2.1,-2.25,27750,-41.85,68550,391350,N,228450,N,34.95,32.85,44.2,31.5,-1.75
13-03-2025 09:55,31.9,31.4,27.5,11100,-842.7,31425,-2100,YES,3000,N,6.67,22548.6,22580.5,13-03-2025 09:55,20.05,21.25,21.3,-1305750,-62,62625,-913575,YES,-2631300,Y,34.45,54.5,63.35,33.95,3.01,13-03-2025 09:55,-8.7,-8.95,-8.95,193050,-32.95,72900,1808925,YES,625425,Y,32.85,24.15,34,22.45,-3.57
13-03-2025 10:00,12.5,9,10.65,515700,-1099.4,39450,11400,N,5550,N,5.46,22580.5,22593,13-03-2025 10:00,9.35,10.05,10.2,72750,-58.4,55575,126525,Y,-264000,YES,54.4,63.75,70.95,49.45,2.53,13-03-2025 10:00,-3.05,-3.35,-3.3,962325,-28.75,73425,-274350,Y,698625,Y,24.05,21,25.95,19.25,-2.89
13-03-2025 10:05,-2.8,-2.8,-5,5475,-866.75,27975,1725,YES,13725,N,1.78,22589,22586.2,13-03-2025 10:05,-4.3,-3.5,-3.55,187875,-60.85,59925,-415275,YES,483900,YES,63.5,59.2,69.5,59,1.16,13-03-2025 10:05,-0.4,-0.45,-0.5,226800,-28.4,73350,315900,YES,251250,N,20.85,20.45,22.2,18.25,-1.64
13-03-2025 10:10,4.8,4.35,4,3375,-695.3,34125,-2700,YES,-2850,Y,1.77,22586.2,22591,13-03-2025 10:10,8.05,8.3,8.25,-83700,-59.45,60600,41775,Y,-203775,Y,58.9,66.95,67.65,50.65,1,13-03-2025 10:10,-4.45,-4.35,-4.35,93825,-28.2,88500,-119325,Y,706200,Y,20.55,16.1,22.2,16.1,-2.01
13-03-2025 10:15,16.1,16,17,-130650,-615.15,33450,76350,Y,-25650,Y,4.32,22591,22607.1,13-03-2025 10:15,8.75,7.7,7.8,67500,-66.2,61200,-23850,YES,-556725,Y,66.95,75.7,77.7,64,1.47,13-03-2025 10:15,-2.45,-2.25,-2.25,1324425,-23.5,93300,105300,YES,364875,N,16.2,13.75,16.5,13.75,-1.92
13-03-2025 10:20,-22.55,-20,-20,5850,-1046.75,33450,-34350,YES,21225,YES,3.22,22610,22587.45,13-03-2025 10:20,-16.6,-16.65,-16.7,-20850,-53.35,51375,-350925,YES,453900,YES,75.55,58.95,77.1,58.3,0.8,13-03-2025 10:20,4.3,4.2,4.25,232200,-23.5,91050,870975,YES,-305175,YES,13.65,17.95,18.35,13.45,-1.4
13-03-2025 10:25,9.55,6,9,-30675,-852.15,35550,10725,Y,3225,N,0.84,22587.45,22597,13-03-2025 10:25,3.35,2.15,2.15,312450,-54.75,60750,98400,Y,206175,N,59.1,62.45,63.85,52.2,0.55,13-03-2025 10:25,-1.45,-1.1,-1.05,-111450,-26.05,72525,-5175,Y,475050,Y,17.85,16.4,21.45,16,-1.42
13-03-2025 10:30,-6.9,-6.9,-5.35,-39975,-746.25,30600,-7875,YES,3375,N,0.6,22597,22590.1,13-03-2025 10:30,-2.4,-2.35,-2.4,64125,-57.45,49350,-67575,YES,24300,N,62.45,60.05,67.65,56.9,0.5,13-03-2025 10:30,0.3,0.4,0.4,1386225,-23.3,99150,403425,YES,-76950,YES,16,16.3,17.45,15,-0.81
13-03-2025 10:35,-8.75,-11.1,-9.5,30075,-837.55,28125,12750,Y,8025,N,0.49,22588.75,22580,13-03-2025 10:35,-11.55,-10.8,-10.85,204000,-54.9,61125,-76275,YES,117750,YES,60.2,48.65,60.2,43.85,0.29,13-03-2025 10:35,3.75,3.4,3.45,47250,-29.4,87450,-76500,Y,-793800,YES,16.35,20.1,24.35,16.2,-1.34
13-03-2025 10:40,-2,-0.5,-2,-11400,-749.75,30300,9600,N,6300,N,0.34,22580,22578,13-03-2025 10:40,0.3,1,0.9,-332250,-48.55,53625,86925,Y,241275,YES,48.7,49,54.8,45.6,0.23,13-03-2025 10:40,2.45,2.45,2.45,-28275,-27,77250,240000,YES,-444300,Y,20.05,22.5,27.15,17.75,-0.97
13-03-2025 10:45,-8.05,-10.3,-10,196200,-669.1,31425,-14625,YES,4575,N,0.3,22577.7,22569.65,13-03-2025 10:45,-9.7,-8.5,-8.5,18825,-46.55,54450,7950,N,234150,N,49.4,39.7,49.75,37.35,-0.01,13-03-2025 10:45,3.2,2.8,2.85,104325,-29.7,86850,322350,YES,9450,Y,22.15,25.35,29.25,21.55,-0.57
13-03-2025 10:50,-16.45,-12.2,-13.5,-12525,-752.6,34275,-5400,N,-36825,Y,-0.41,22570,22553.55,13-03-2025 10:50,-6.4,-7.1,-7.3,45900,-37.8,70500,385875,Y,353475,YES,39.7,33.3,41.35,28.6,-0.54,13-03-2025 10:50,9.8,11,11.1,315225,-49.55,68775,-585075,Y,-1990725,YES,25.15,34.95,52.95,24.95,0.51
13-03-2025 10:55,-7.15,-11.35,-10.75,49500,-816.3,24750,13950,N,11325,YES,-0.13,22553.55,22546.4,13-03-2025 10:55,-5.25,-4.95,-4.95,313725,-28.6,79950,72000,N,679050,YES,33.05,27.8,33.05,27.7,-0.4,13-03-2025 10:55,7.1,6.65,6.75,26250,-46.9,51675,556425,YES,281025,Y,35.35,42.45,44.25,35.35,0.25
13-03-2025 11:00,-13.15,-7.3,-10.5,-26175,-1049.2,29550,10125,N,1500,Y,-0.56,22546.4,22533.25,13-03-2025 11:00,-5.55,-5.5,-5.45,406125,-29.6,81300,3750,N,628275,N,27.9,22.35,28.75,21.7,-0.79,13-03-2025 11:00,2.75,3.05,3.05,-9375,-48.8,59700,-113775,Y,-241050,YES,41.45,44.2,53.5,39.7,0.55
13-03-2025 11:05,23.05,22.35,21,-10500,-667.35,24300,26475,N,-8475,Y,-0.11,22532.95,22556,13-03-2025 11:05,5.35,5.3,5.3,23925,-29.05,67800,267075,Y,63525,N,22.5,27.85,28.05,22,-0.61,13-03-2025 11:05,-14.4,-14.35,-14.35,155700,-37.65,73200,-264375,Y,381075,Y,44.05,29.65,44.95,29.6,0.02
13-03-2025 11:10,10.4,13.85,12,2475,-997.95,27450,1050,YES,-450,N,0.07,22556,22566.4,13-03-2025 11:10,9.25,9,9.05,93675,-35.55,77250,447525,Y,-823575,Y,27.75,37,38.95,27.55,-0.39,13-03-2025 11:10,-5.1,-4.8,-4.85,-98025,-30.7,77700,428100,YES,210525,N,29.8,24.7,31.55,23.2,-0.3
13-03-2025 11:15,-12.55,-15.9,-13.5,-21000,-737.35,21825,-2175,YES,6525,N,-0.04,22566.4,22553.85,13-03-2025 11:15,-9.1,-8.65,-8.65,637050,-32.55,72525,-103950,YES,454950,YES,37.45,28.35,37.9,25.75,-0.36,13-03-2025 11:15,7.1,6.4,6.4,-178350,-30.3,84150,-11025,Y,-303225,YES,24.5,31.6,36.5,24.3,-0.22
13-03-2025 11:20,-8.85,-8,-8.5,37650,-708.6,28500,3975,N,7650,N,-0.18,22553.85,22545,13-03-2025 11:20,-1.95,-1.85,-1.9,97350,-27.8,70350,247500,Y,257625,N,28.1,26.15,28.1,24.15,-0.31,13-03-2025 11:20,9.5,8.95,8.95,-126675,-38.5,72300,166200,YES,-62400,Y,31.6,41.1,44,31.5,0.19
13-03-2025 11:25,-27.45,-23.45,-24.7,-22050,-980.5,24600,-34350,YES,17400,N,-0.61,22545,22517.55,13-03-2025 11:25,-5.7,-5.35,-5.35,-99225,-26.85,65625,-828000,YES,413550,YES,26,20.3,28.75,20,-0.53,13-03-2025 11:25,21.6,20.7,20.65,24525,-49.6,57900,-125925,Y,-1435650,YES,41.65,63.25,66,37.9,0.68
13-03-2025 11:30,12.75,9,8.4,60975,-972.75,30900,15600,Y,-6525,Y,-1.06,22517,22529.75,13-03-2025 11:30,1.65,1.55,1.55,182025,-23.65,83775,655875,Y,228975,N,20.15,21.8,22.15,18.2,-0.67,13-03-2025 11:30,-7.2,-6.6,-6.75,-76575,-57.95,56775,-694650,Y,275775,Y,64,56.8,71.6,55.6,0.87
13-03-2025 11:35,-46.05,-42.45,-44.95,14625,-975.55,35775,-68475,YES,35550,YES,-4.16,22529.6,22483.55,13-03-2025 11:35,-6,-5.9,-5.9,192300,-23.65,93825,-882600,YES,560400,YES,21.3,15.3,23.55,15.3,-0.84,13-03-2025 11:35,41.4,38.1,38.3,-76125,-65.5,51675,-62325,YES,-828375,YES,57.6,99,99,52.05,1.33
13-03-2025 11:40,2.55,9.6,8.5,60975,-1008.9,38400,54150,Y,-24375,Y,-3.54,22480,22482.55,13-03-2025 11:40,-0.5,-0.4,-0.4,829050,-21.5,90825,821625,Y,42450,N,15.05,14.55,15.85,13.3,-0.67,13-03-2025 11:40,-8.4,-8.55,-8.4,-30450,-70.55,46050,-432300,Y,306150,Y,100.1,91.7,109.75,91.55,1.13
13-03-2025 11:45,-28.2,-26.2,-25,40500,-1073.4,36375,-3900,YES,-1500,YES,-3.4,22482.05,22453.85,13-03-2025 11:45,-5.3,-5.35,-5.35,334800,-20.6,92550,-697425,YES,448275,YES,14.55,9.25,14.55,9.2,-0.73,13-03-2025 11:45,23.2,23.45,23.6,-28200,-81.15,43350,80400,YES,-224250,YES,91.95,115.15,117.1,91.35,0.94
13-03-2025 11:50,4.85,4.8,-1.25,30825,-850.2,30450,10275,N,-2925,Y,-1.66,22452.15,22457,13-03-2025 11:50,-1.3,-1.25,-1.25,-558300,-21.75,89250,-249750,Y,226200,N,9.25,7.95,11,7.9,-0.49,13-03-2025 11:50,1.4,1.3,1.45,34650,-88.1,44625,-375375,Y,-12225,Y,114.85,116.25,116.7,98.9,0.53
13-03-2025 11:55,29.7,27,27.8,8850,-923.5,35475,14775,N,10350,N,-1.31,22457,22486.7,13-03-2025 11:55,2,2.1,2.1,309075,-21.55,85350,1380225,Y,276000,YES,8,10,10.85,7.9,-0.5,13-03-2025 11:55,-25.3,-25.35,-25.55,975,-80.4,42450,-342225,YES,179325,Y,115.9,90.6,116.7,88.55,0.43
13-03-2025 12:00,-4,-3.1,0,-85275,-858.55,25725,675,YES,13200,N,-0.97,22484.95,22480.95,13-03-2025 12:00,0,0.15,0.15,328725,-22.6,93000,153450,N,313350,YES,10.1,10.1,11.65,9.25,-0.47,13-03-2025 12:00,-0.7,-1.8,-1.85,-26325,-73.85,45525,278250,YES,-14700,YES,89.2,88.5,96.25,80.3,0.34
13-03-2025 12:05,-2.55,-3.35,-6.6,-47325,-754.6,22500,-5625,YES,1725,Y,-0.51,22480.95,22478.4,13-03-2025 12:05,-1.6,-1.6,-1.6,645825,-22.5,99525,58500,N,229575,N,9.9,8.3,10.65,8.15,-0.45,13-03-2025 12:05,-0.55,-0.1,-0.1,-18150,-74.65,49500,90975,N,20475,Y,89.25,88.7,97.2,78.6,0.35
13-03-2025 12:10,5.15,5.45,7.85,6000,-667.55,24975,6150,N,2475,N,-0.47,22478.4,22483.55,13-03-2025 12:10,0.65,0.5,0.55,1689825,-21.4,114375,315300,Y,89850,N,8.35,9,9.3,7.35,-0.47,13-03-2025 12:10,-7.9,-7.9,-7.95,-8100,-71.25,43275,-8400,Y,69225,Y,88.2,80.3,95.15,75.25,0.29
13-03-2025 12:15,9.55,6.6,3.55,15975,-666.35,31050,1650,YES,-1950,Y,-0.5,22482.45,22492,13-03-2025 12:15,-0.95,-1,-0.95,722325,-20.55,99450,-533250,YES,179625,YES,8.9,7.95,9.55,6.75,-0.52,13-03-2025 12:15,-5,-4.95,-4.95,29325,-67.3,50550,-205275,Y,-24300,YES,80.5,75.5,82.65,69.25,0.26
13-03-2025 12:20,-2,-3.9,-2.1,24450,-651.95,21750,4650,N,-75,N,-0.25,22492,22490,13-03-2025 12:20,-1.3,-1.35,-1.35,-2790675,-20.15,115950,76050,Y,170475,N,7.75,6.45,7.9,5.95,-0.5,13-03-2025 12:20,-2.95,-2.2,-2.2,56850,-68.55,43650,98850,YES,112575,Y,76.2,73.25,83.85,72.5,0.22
13-03-2025 12:25,-10,-10.1,-10,-24675,-864.45,30525,-2625,YES,3375,N,-0.52,22490,22480,13-03-2025 12:25,-1.45,-1.4,-1.4,-6159750,-18.5,109275,13500,N,60450,N,6.35,4.9,6.6,4.6,-0.52,13-03-2025 12:25,9.6,9.55,9.45,22425,-69.7,46500,161775,YES,-51675,YES,73.5,83.1,86.9,71.85,0.25
13-03-2025 12:30,9.75,9.7,7.8,-1950,-843.15,25725,1050,N,-18075,Y,-0.33,22476.1,22485.85,13-03-2025 12:30,0.75,0.75,0.75,-2285400,-20,122025,231600,Y,1200,Y,4.9,5.65,6.6,4.9,-0.47,13-03-2025 12:30,-8.8,-9.15,-9.3,-12300,-65.5,48825,76650,N,93375,Y,82.75,73.95,84.75,69.05,0.21
13-03-2025 12:35,4.15,4.7,2.15,14475,-629.75,20475,150,YES,1050,N,-0.22,22485.85,22490,13-03-2025 12:35,0.65,0.6,0.6,-730125,-20.2,132000,329400,Y,203400,YES,5.55,6.2,6.85,5,-0.36,13-03-2025 12:35,0,0.15,0.25,-11250,-63.6,52125,-2550,Y,17850,N,73.35,73.35,78,69.55,0.14
13-03-2025 12:40,5,5,4.5,3000,-591,21450,21150,Y,-7575,Y,-0.28,22490,22495,13-03-2025 12:40,1.3,1.45,1.45,451800,-20.95,126825,257475,N,-366825,Y,6.25,7.55,7.75,5.6,-0.39,13-03-2025 12:40,-4.3,-5,-5,-19200,-66.7,50850,-358800,Y,-18375,YES,73.1,68.8,81.5,67.25,0.21
13-03-2025 12:45,-6,-6,-2.7,7050,-590.8,27600,-6075,YES,5700,N,-0.38,22496,22490,13-03-2025 12:45,-1.55,-1.45,-1.45,2292150,-20.5,124275,-456825,YES,148875,YES,7.7,6.15,9.25,6.15,-0.68,13-03-2025 12:45,1.8,1.65,1.75,-166650,-56.8,56250,117150,YES,-69150,YES,68.55,70.35,71.5,62.2,0.19
13-03-2025 12:50,5,5,2.25,13725,-691.75,27075,9225,N,2475,Y,-0.27,22490,22495,13-03-2025 12:50,0.5,0.55,0.55,2404650,-19.55,124650,594675,Y,408300,YES,6.25,6.75,7.4,5.4,-0.53,13-03-2025 12:50,-4.7,-4.6,-4.7,-675,-55.55,51375,123675,N,108825,Y,70,65.3,74.25,60.65,0.19
13-03-2025 12:55,5.45,5,4.45,31950,-607.05,28275,75,YES,-825,Y,-0.2,22495,22500.45,13-03-2025 12:55,0.75,0.75,0.75,989925,-20.3,122925,568425,N,-182025,Y,6.85,7.6,7.6,5.55,-0.44,13-03-2025 12:55,-3.8,-3.6,-3.65,-3750,-50.75,50775,91950,N,51525,N,65.25,61.45,72.25,61.45,0.14
13-03-2025 13:00,-14.25,-8.7,-7.45,-20475,-549.8,29325,-4350,YES,5700,N,-0.25,22501.75,22487.5,13-03-2025 13:00,-1.4,-1.45,-1.45,3382800,-20.25,124125,-292800,YES,292125,YES,7.5,6.1,7.85,5.8,-0.43,13-03-2025 13:00,8,8.15,8,35775,-53.4,55650,-56550,Y,-53700,YES,61.2,69.2,70.35,60.15,0.14
13-03-2025 13:05,-12.95,-14.4,-19.75,66450,-674.75,22350,-31800,YES,-25200,Y,-0.42,22487.5,22474.55,13-03-2025 13:05,-1.85,-1.8,-1.8,2780100,-18.9,118875,-9007125,YES,250500,N,6.15,4.3,6.15,4.2,-0.49,13-03-2025 13:05,18.2,18.15,18.25,-15300,-59,48300,-7875450,Y,-299700,YES,69,87.2,88.25,66.8,0.34
13-03-2025 13:10,-4.2,-4,-3.5,55650,-634,25275,34200,Y,-4875,YES,-0.47,22474.2,22470,13-03-2025 13:10,-0.35,-0.25,-0.25,-7960125,-19.85,104625,695475,Y,-72075,Y,4.3,3.95,4.4,3.7,-0.38,13-03-2025 13:10,-2.3,-1,-1,7800,-70.5,48450,-696525,YES,141900,Y,89.25,86.95,90.85,82.75,0.3
13-03-2025 13:15,8.95,4.05,8.8,26625,-868.7,29850,11850,N,5325,N,-0.63,22470.95,22479.9,13-03-2025 13:15,0.15,0.15,0.15,7378950,-19,99075,94500,N,-191625,Y,4,4.15,4.25,3.65,-0.29,13-03-2025 13:15,-10.75,-10.7,-10.75,7125,-76.6,53325,-164775,YES,29775,N,86.5,75.75,93.15,75.75,0.31
13-03-2025 13:20,1.1,6.7,1.9,15150,-840.3,23850,4875,N,12075,N,-0.2,22479.9,22481,13-03-2025 13:20,-0.65,-0.6,-0.55,1142400,-20.6,119400,1559175,Y,-197550,Y,4.15,3.5,4.15,2.8,-0.31,13-03-2025 13:20,-1.35,-1.4,-1.4,-141750,-65.7,49425,61650,YES,-5100,YES,75.85,74.5,81.75,72.45,0.18
13-03-2025 13:25,-12.9,-12.9,-12.85,-3375,-541.85,29775,-8625,YES,-2625,Y,-0.32,22481,22468.1,13-03-2025 13:25,-0.8,-0.85,-0.85,3501975,-18.95,129750,-8850,YES,852075,YES,3.55,2.75,4,2.6,-0.33,13-03-2025 13:25,9.8,10.7,10.8,-60300,-66.85,53925,120825,YES,-18075,YES,74.2,84,85.5,72.9,0.2
13-03-2025 13:30,15,13.1,14.7,43350,-696.2,24000,-7575,N,-4350,Y,-0.28,22469,22484,13-03-2025 13:30,1.05,1.05,1.05,4359225,-19.1,123150,2695275,Y,-764850,Y,2.75,3.8,3.95,2.65,-0.32,13-03-2025 13:30,-13.8,-13.75,-13.65,63150,-64.8,51300,270075,YES,144525,Y,83.6,69.8,84.8,68.7,0.23
13-03-2025 13:35,4.75,2.2,1.25,-23850,-664.2,22350,450,N,2775,N,-0.87,22481.2,22485.95,13-03-2025 13:35,0.35,0.45,0.45,11217300,-19.05,119025,3270975,Y,-228375,YES,3.85,4.2,4.75,3.45,-0.38,13-03-2025 13:35,-2.75,-3,-2.95,-79575,-61,61125,4594875,YES,86850,N,69.75,67,73.9,64.25,0.13
