last_traded_time,ltp,tot_buy_qty,tot_sell_qty,ltp,tot_buy_qty,tot_sell_qty,ltp,tot_buy_qty,tot_sell_qty
13-05-2025 09:16,25023.9,538350,262950,210.45,3153675,166575,167.95,3056100,251175
13-05-2025 09:16,25029.2,552900,268050,215.5,3160875,174675,165.55,3071850,260025
13-05-2025 09:16,25035,554250,263475,219.7,3192300,177225,164.95,3062175,274125
13-05-2025 09:16,25027.4,562500,268425,215.85,3207450,186600,168.6,3059325,281025
13-05-2025 09:17,25015.9,558750,274050,214,3199200,200775,174.95,3084450,284325
13-05-2025 09:17,25010,544875,279825,208.8,3189900,218550,177.4,3090450,265350
13-05-2025 09:17,25010.6,550350,286050,209.55,3198750,225825,180.95,3105225,230250
13-05-2025 09:17,25011.9,557475,287775,211.9,3224100,227925,178.4,3111750,229875
13-05-2025 09:17,25007.9,544800,293025,208.7,3227850,233175,180.4,3116100,235050
13-05-2025 09:17,25000,556650,307575,203.95,3213000,235725,183.3,3112350,244575
13-05-2025 09:18,24975,516525,303225,192.75,3152025,244275,195.6,3135450,224925
13-05-2025 09:18,24951.4,482925,304800,182.35,3096600,271350,211.9,3160650,157500
13-05-2025 09:18,24943.7,460950,306450,179.6,3080550,270750,214.9,3152550,141675
13-05-2025 09:18,24946.2,433275,296025,181.1,3089325,264750,210.75,3135150,152775
13-05-2025 09:18,24940,415350,301050,176.85,3103200,287775,215.3,3113775,170475
13-05-2025 09:18,24925,430500,299400,172.35,3098775,278025,223.95,3130500,168600
13-05-2025 09:19,24927.2,405600,298500,169.5,3079125,288600,224.6,3145275,171750
13-05-2025 09:19,24930,407850,317325,168.75,3083625,289575,224.9,3146775,152025
13-05-2025 09:19,24938.9,439725,309525,173.9,3099900,285750,218.4,3116925,178425
13-05-2025 09:19,24932,450075,310800,172.85,3146325,292350,222.95,3122850,200775
13-05-2025 09:19,24932.2,455475,316125,172.65,3173175,298875,219.3,3123600,227475
13-05-2025 09:19,24940.6,464775,303450,178,3162225,316275,209.65,3126150,237675
13-05-2025 09:20,24941,460575,312975,169.7,3172575,316050,217,3089175,255900
13-05-2025 09:20,24916,434550,325800,163.05,3153375,339225,231.8,3094800,227700
