last_traded_time,ltp,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open,close,high,low,avg_trade_price
2024-11-13 09:25:00,-12.25,-13.299999999999997,-13.299999999999997,27025,-66.10000000000218,21325,14725.0,N,95650.0,N,84.5,72.25,87.1,71.8,-1.480000000000004
2024-11-13 09:30:00,-2.3499999999999943,-2.0999999999999943,-2.1499999999999915,1625,-83.44999999999709,26650,-24875.0,YES,56900.0,N,73.1,70.75,93.25,69.0,-1.1299999999999955
2024-11-13 09:35:00,0.0,-0.20000000000000284,-0.14999999999999147,15600,-73.89999999999782,24650,44475.0,Y,74150.0,N,70.8,70.8,79.2,69.9,-0.9899999999999949
2024-11-13 09:40:00,-10.5,-10.300000000000004,-10.399999999999991,-7075,-66.70000000000437,29500,-86050.0,YES,46600.0,N,70.95,60.45,73.55,60.3,-2.3900000000000006
2024-11-13 09:45:00,-12.049999999999997,-12.049999999999997,-12.049999999999997,-131275,-54.05000000000291,28850,-30000.0,Y,29375.0,N,61.5,49.45,62.0,48.1,-4.239999999999995
2024-11-13 09:50:00,10.149999999999999,9.449999999999996,9.449999999999996,-4050,-63.64999999999782,32800,68100.0,Y,3300.0,N,49.95,60.1,69.05,48.65,-1.9099999999999966
2024-11-13 09:55:00,5.950000000000003,4.950000000000003,4.900000000000006,4350,-67.60000000000218,31900,75650.0,N,15825.0,N,59.95,65.9,65.9,55.55,-0.75
2024-11-13 10:00:00,-13.100000000000009,-13.400000000000006,-13.449999999999996,40100,-64.64999999999418,24300,-13625.0,YES,50475.0,YES,64.65,51.55,65.65,51.4,-0.7600000000000051
2024-11-13 10:05:00,-4.450000000000003,-4.75,-4.75,14675,-50.099999999998545,30625,-19200.0,YES,55400.0,N,50.45,46.0,53.35,44.05,-1.8000000000000114
2024-11-13 10:10:00,-6.149999999999999,-6.199999999999996,-6.149999999999999,-28150,-48.29999999999927,29675,-40900.0,YES,36325.0,N,45.5,39.35,50.65,38.9,-1.6799999999999926
2024-11-13 10:15:00,3.700000000000003,3.950000000000003,3.8999999999999986,84025,-43.55000000000109,27400,90350.0,Y,-13375.0,Y,38.9,42.6,43.35,35.65,-1.6400000000000006
2024-11-13 10:20:00,-1.3999999999999986,-1.6000000000000014,-1.5500000000000043,32275,-47.05000000000109,32875,29425.0,N,1425.0,N,42.6,41.2,42.6,37.2,-0.9000000000000057
2024-11-13 10:25:00,2.3500000000000014,2.3999999999999986,2.450000000000003,-22150,-53.150000000001455,35125,-14600.0,YES,-12900.0,Y,41.3,43.65,48.9,41.3,-0.9300000000000068
2024-11-13 10:30:00,3.3500000000000014,3.299999999999997,3.3000000000000043,17075,-49.34999999999491,31650,45075.0,Y,5450.0,N,43.75,47.1,47.7,38.2,-0.7099999999999937
2024-11-13 10:35:00,-5.100000000000001,-5.449999999999996,-5.5,4100,-51.34999999999491,31500,-48000.0,YES,72225.0,YES,47.2,42.1,53.65,41.55,-0.7999999999999972
2024-11-13 10:40:00,-2.25,-1.8500000000000014,-1.8999999999999986,42775,-52.30000000000291,33750,64000.0,Y,14500.0,N,41.8,39.55,41.9,38.35,-0.5799999999999983
2024-11-13 10:45:00,5.399999999999999,5.199999999999996,5.25,-3775,-46.14999999999782,34025,71050.0,N,-27250.0,Y,39.1,44.5,46.35,38.95,-0.5
2024-11-13 10:50:00,6.399999999999999,7.549999999999997,7.600000000000001,27300,-53.70000000000073,31750,-20025.0,YES,-103775.0,Y,44.5,50.9,62.05,42.95,-0.44000000000000483
