last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_2,close_2,high,low,avg_trade_price
2024-12-13 09:15:00,-4.200000000000003,1364075.0,110,100150,131400,-3.6999999999999886,-3.75,-31250,-58.89999999999782,13650,47775.0,N,50200.0,N,124.9,120.7,127.35,120.4,126.68
2024-12-13 09:20:00,-15.5,2499475.0,174,150875,223725,-15.75,-15.650000000000006,-72850,-84.30000000001019,28500,-19225.0,YES,58175.0,N,121.1,105.6,122.4,104.95,120.87
2024-12-13 09:25:00,0.5499999999999972,1638025.0,179,197525,209800,0.09999999999999432,0.09999999999999432,-12275,-86.39999999999418,22950,48200.0,Y,53575.0,N,105.75,106.3,112.35,103.05,117.46
2024-12-13 09:30:00,-16.200000000000003,2127475.0,180,306200,222900,-16.14999999999999,-16.19999999999999,83300,-82.04999999999563,29950,9250.0,N,59600.0,N,105.55,89.35,107.6,86.8,112.28
2024-12-13 09:35:00,0.15000000000000568,1876575.0,181,249550,272650,0.09999999999999432,0.20000000000000284,-23100,-69.24999999999272,27475,27100.0,N,120750.0,YES,88.0,88.15,94.7,85.5,108.32
2024-12-13 09:40:00,0.9000000000000057,1134850.0,180,273575,289775,1.9500000000000028,1.9500000000000028,-16200,-70.44999999999709,28525,22525.0,N,55600.0,N,88.05,88.95,93.9,87.35,106.68
2024-12-13 09:45:00,-3.9000000000000057,1735125.0,180,351625,293275,-3.75,-3.8000000000000114,58350,-73.75,34300,15100.0,N,64050.0,N,88.95,85.05,88.95,78.8,103.68
2024-12-13 09:50:00,-4.599999999999994,1138525.0,180,294675,353600,-4.400000000000006,-4.3500000000000085,-58925,-66.80000000000291,30900,-2750.0,YES,86700.0,YES,85.0,80.4,85.5,79.0,102.03
2024-12-13 09:55:00,-0.29999999999999716,1010350.0,181,233475,305100,-0.45000000000000284,-0.5,-71625,-67.0,26150,18725.0,Y,62150.0,N,80.25,79.95,84.6,78.9,100.73
2024-12-13 10:00:00,2.8999999999999915,1003575.0,180,341550,430350,3.5,3.4499999999999886,-88800,-73.14999999999418,35225,69425.0,Y,101850.0,YES,79.9,82.8,84.55,77.0,99.59
2024-12-13 10:05:00,-13.25,1228125.0,180,256250,360775,-13.650000000000006,-13.650000000000006,-104525,-65.40000000000146,26325,-125375.0,YES,64525.0,N,82.95,69.7,83.7,68.9,98.0
2024-12-13 10:10:00,0.45000000000000284,1264325.0,181,278100,470150,0.6500000000000057,0.6499999999999915,-192050,-59.50000000000364,28125,83225.0,Y,21775.0,N,68.8,69.25,71.15,67.7,96.12
2024-12-13 10:15:00,-4.649999999999999,2214700.0,180,339400,393975,-4.3500000000000085,-4.349999999999994,-54575,-62.15000000000509,29500,19525.0,N,-17525.0,Y,68.5,63.85,69.2,60.4,92.76
2024-12-13 10:20:00,-3.450000000000003,1901925.0,180,363975,327925,-3.3999999999999986,-3.450000000000003,36050,-57.04999999999927,35525,-10850.0,YES,40425.0,YES,63.7,60.25,64.85,57.15,90.12
2024-12-13 10:25:00,2.6499999999999986,938275.0,180,407325,412350,2.3500000000000014,2.3999999999999986,-5025,-58.30000000000291,31650,5775.0,N,34475.0,N,59.65,62.3,64.2,59.5,89.03
2024-12-13 10:30:00,-3.6499999999999986,1831875.0,180,320775,405575,-3.75,-3.8000000000000043,-84800,-59.55000000000291,30700,-6300.0,YES,-23075.0,Y,62.15,58.5,62.3,55.8,86.95
2024-12-13 10:35:00,1.4500000000000028,921175.0,180,420150,382025,1.4500000000000028,1.4500000000000028,38125,-60.25,29750,51400.0,Y,35500.0,YES,58.25,59.7,61.45,58.1,86.04
2024-12-13 10:40:00,2.549999999999997,801775.0,180,312350,366900,2.6999999999999957,2.75,-54550,-58.099999999998545,33400,31700.0,N,10400.0,N,59.7,62.25,62.95,58.35,85.32
2024-12-13 10:45:00,-2.5500000000000043,1258500.0,180,490400,437800,-2.5500000000000043,-2.5500000000000043,52600,-60.5,39900,-5350.0,YES,-5275.0,Y,62.35,59.8,62.35,55.0,84.16
2024-12-13 10:50:00,2.25,899425.0,181,337900,377975,2.3500000000000014,2.3500000000000014,-40075,-63.349999999998545,37875,7725.0,N,-8075.0,Y,59.7,61.95,64.65,59.0,83.52
2024-12-13 10:55:00,2.3999999999999915,973100.0,180,275550,326725,2.450000000000003,2.4499999999999957,-51175,-61.75,29100,-21850.0,YES,-7000.0,N,61.7,64.1,66.85,61.25,82.93
2024-12-13 11:00:00,-1.499999999999993,663600.0,182,309200,302625,-1.3500000000000014,-1.3499999999999943,6575,-58.79999999999927,27600,-3150.0,N,81675.0,YES,64.1,62.6,65.45,61.65,82.53
2024-12-13 11:05:00,0.6999999999999957,682625.0,179,378050,405400,0.6499999999999986,0.6499999999999986,-27350,-60.70000000000073,40975,-11975.0,YES,-69000.0,Y,62.7,63.4,64.95,60.95,82.12
