last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,open_1,close_1,high,low,last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_2,close_2,high,low,avg_trade_price,last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_3,close_3,high,low,avg_trade_price,datetime,open,high,low,close,volume
13-12-2024 09:25,-72.15,630400,474,380925,516350,-76.1,-77.1,-135425,-2588.7,59525,5400,N,196000,N,24515.27,24548.05,24475.9,24548.3,24461,13-12-2024 09:30,-18.6,5572875,463,448550,564925,-19.25,-19.3,-116375,-229.6,65100,46150,N,161725,N,124.9,106.3,127.35,103.05,117.46,13-12-2024 09:30,54.35,3592625,460,202425,286875,55,55.2,-84450,-450.85,72250,-20450,N,-6200,N,220.75,275.1,283.65,220.1,245.17,13-12-2024 09:25,24498.35,24520.8,24405.9,24419.25,0
13-12-2024 09:30,-75.7,754325,538,385275,508925,-75.7,-80.5,-123650,-2691.15,64450,-53250,YES,143800,N,24500.06,24522.35,24446.65,24530.05,24441,13-12-2024 09:35,-31.75,6310500,533,654600,656425,-32.1,-32.1,-1825,-252.75,81400,31025,N,167450,N,121.1,89.35,122.4,86.8,112.28,13-12-2024 09:35,49.4,3349400,534,230700,287625,48.05,48.35,-56925,-608.4,82025,-46375,Y,28400,Y,237,286.4,292.85,233.1,249.93,13-12-2024 09:30,24470,24475.55,24382.4,24391.85,0
13-12-2024 09:35,-27.9,573400,538,435575,290825,-24.75,-25,144750,-2653.35,57900,-63925,YES,100625,N,24495.05,24475,24447.1,24496.35,24439,13-12-2024 09:40,-17.6,5693575,540,753275,705350,-17.2,-17.25,47925,-237.7,80375,45675,N,239575,YES,105.75,88.15,112.35,85.5,108.32,13-12-2024 09:40,16.3,2093175,541,206300,217200,15.25,15.5,-10900,-662.8,75650,-10075,YES,21475,N,269,285.3,292.85,260.25,252.71,13-12-2024 09:35,24418.85,24440.9,24380,24389.15,0
13-12-2024 09:40,-14.6,470975,536,445350,192075,-16.55,-12.15,253275,-2712.3,53525,25400,Y,120625,N,24492.58,24471.7,24457.1,24480.9,24439,13-12-2024 09:45,-16.6,5173950,541,829325,785325,-15.35,-15.4,44000,-221.75,85950,28775,N,247950,N,105.55,88.95,107.6,85.5,106.68,13-12-2024 09:45,5,1335075,541,196925,171050,3.2,3.15,25875,-689.9,68975,15775,YES,23825,N,276.6,281.6,292.85,268,253.78,13-12-2024 09:40,24418.7,24426,24380,24397.85,0
13-12-2024 09:45,-0.3,372525,534,397200,285750,-1.95,3.4,111450,-3043.95,59075,117050,Y,133225,N,24486.33,24446.3,24446,24468,24420.8,13-12-2024 09:50,-2.95,4769450,541,874750,855700,-3,-2.95,19050,-213.45,90300,48375,N,246075,N,88,85.05,94.7,78.8,103.68,13-12-2024 09:50,-2.05,1209600,537,182850,159850,-2.8,-2.6,23000,-676.7,68775,22700,N,5950,N,287.95,285.9,303.45,271.45,256.88,13-12-2024 09:45,24391.1,24408.9,24365.8,24389.8,0
13-12-2024 09:50,-18.4,324750,526,369900,256175,-16.95,-15.8,113725,-2982.8,56150,102850,N,42125,N,24484.13,24448.45,24430.05,24468,24420.8,13-12-2024 09:55,-7.65,4032625,540,919875,936650,-7.5,-7.45,-16775,-211,93725,16600,N,212100,N,88.05,80.4,93.9,78.8,102.03,13-12-2024 09:55,8.45,1015975,535,183800,172975,7.65,7.6,10825,-679.95,70075,18725,N,8025,N,284.85,293.3,303.45,272.5,258.22,13-12-2024 09:50,24388.6,24407.25,24365.8,24373.4,0
13-12-2024 09:55,-16.7,320400,525,379400,321900,-18.3,-18.4,57500,-2754,53825,25650,N,40600,N,24481.91,24457.35,24440.65,24457.35,24420.8,13-12-2024 10:00,-9,3894300,541,879775,951975,-9.15,-9.15,-72200,-207.55,91350,27150,N,214075,N,88.95,79.95,88.95,78.8,100.73,13-12-2024 10:00,5.2,1029475,536,178475,214225,6.05,6.05,-35750,-693.65,75300,18225,N,725,YES,282,287.2,303.45,275.8,259.16,13-12-2024 09:55,24398.3,24398.3,24365.8,24380.65,0
13-12-2024 10:00,6.5,219575,521,187675,339000,10.65,6.5,-151325,-2318.05,44700,30175,N,12500,N,24480.55,24446,24452.5,24459,24426.55,13-12-2024 10:05,-2.2,3160025,541,869700,1089050,-1.75,-1.8,-219350,-206.95,92275,82425,Y,251175,YES,85,82.8,85.5,77,99.59,13-12-2024 10:05,-8.25,750950,540,185000,227125,-10.25,-10.45,-42125,-681.05,77950,5375,N,10350,N,286.1,277.85,298,271.35,259.85,13-12-2024 10:00,24388.7,24399.9,24369.1,24395.85,0
13-12-2024 10:05,-22,239775,521,166800,343900,-22.45,-24.2,-177100,-1983.7,44600,-5125,YES,-1075,Y,24477.91,24430,24408,24459,24406.5,13-12-2024 10:10,-10.55,3252950,541,831275,1096225,-11.2,-11.25,-264950,-205.55,87700,-34800,YES,230850,N,80.25,69.7,84.6,68.9,98,13-12-2024 10:10,16.05,852025,532,174625,226650,16.55,16.45,-52025,-672.05,74775,1475,Y,-40575,YES,293.85,309.9,311.95,271.35,261.62,13-12-2024 10:05,24373.4,24399.9,24353.1,24354.6,0
13-12-2024 10:10,-37.55,344775,523,163125,367400,-36.75,-35.1,-204275,-1614.4,46825,-38525,YES,-8125,Y,24470.7,24440.8,24403.25,24459,24391.9,13-12-2024 10:15,-10.65,3517400,541,875900,1261275,-10.25,-10.3,-385375,-198.05,89675,31775,Y,191425,N,79.9,69.25,84.55,67.7,96.12,13-12-2024 10:15,24.9,904375,530,223350,201425,24.9,25.05,21925,-681.35,80725,-7325,Y,-43950,YES,287.2,312.1,322.4,271.35,263.57,13-12-2024 10:10,24382.45,24399.9,24343.7,24353.1,0
