last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,open_1,close_1,high,low,last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_2,close_2,high,low,avg_trade_price,last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_3,close_3,high,low,avg_trade_price,datetime,open,high,low,close,volume
16-01-2025 09:15,4.5,261650,147,181800,511425,4,3.95,-329625,-798.55,19675,31550,N,-53600,N,23393.2,23391,23395.5,23401.55,23385.5,16-01-2025 09:15,-3.35,14312850,152,1959000,1404975,-3.25,-3.25,554025,-25.55,50550,4110600,N,777150,N,21.8,18.45,23.25,18.15,21.07,16-01-2025 09:15,-9.65,3335775,147,196725,141600,-10.35,-10.1,55125,-73.05,36225,5201250,N,167925,N,104.7,95.05,104.7,93.25,99.79,16-01-2025 09:15,23377.25,23391.65,23315.75,23335.75,0
16-01-2025 09:20,-9.95,166125,179,122300,142075,-5.55,-6.35,-19775,-819.65,18900,12975,N,5600,YES,23393.49,23396.4,23386.45,23404.7,23384.1,16-01-2025 09:20,-3.15,14756025,181,2829750,2535750,-3.3,-3.25,294000,-27.5,71100,700575,N,562950,N,18.45,15.3,21.35,14.55,19.83,16-01-2025 09:20,1.7,5323650,181,396150,212025,2.25,2.25,184125,-87.65,44925,452400,N,124725,N,94.45,96.15,99.25,84.95,96.2,16-01-2025 09:20,23335.5,23351.1,23319.45,23328.9,0
16-01-2025 09:25,8,62800,167,59050,204050,12.05,10,-145000,-714.65,17850,4650,N,2850,Y,23393.66,23391,23399,23400,23385.95,16-01-2025 09:25,3.2,10950300,158,3365625,3436650,3.05,3.05,-71025,-22.75,69300,629100,N,213900,N,15.25,18.45,18.45,15.25,19.15,16-01-2025 09:25,-12.35,4591500,180,267225,273900,-12.05,-12.05,-6675,-82.75,43350,311475,N,217575,Y,95.95,83.6,97.4,82.25,93.86,16-01-2025 09:25,23328.9,23350.35,23328.9,23348.3,0
16-01-2025 09:30,11.5,135700,180,108950,94050,12,12,14900,-973.05,18450,11250,N,196875,YES,23396.34,23401,23412.5,23419,23394.5,16-01-2025 09:30,0.9,12341100,174,4119375,3895275,0.9,0.95,224100,-27.15,83325,592350,N,313050,YES,18.05,18.95,20.55,16.5,19.06,16-01-2025 09:30,-2.25,4961175,179,313050,207075,-2,-2.05,105975,-74.15,45975,119625,N,117900,N,83.85,81.6,89.8,76.3,91.02,16-01-2025 09:30,23348.4,23358.35,23335.8,23348.25,0
16-01-2025 09:35,-17.1,78975,170,169225,191850,-18.5,-19.55,-22625,-693.1,22275,-525,YES,18750,N,23396.66,23411,23393.9,23413.85,23390.2,16-01-2025 09:35,-2.95,11057325,179,4763700,4352400,-2.95,-2.95,411300,-26.45,87750,-410400,YES,555600,YES,18.9,15.95,19.1,14.85,18.68,16-01-2025 09:35,13.2,5442675,179,287700,379875,13.25,13.2,-92175,-82.5,47925,42375,N,-73800,YES,81.75,94.95,97.8,80,90.92,16-01-2025 09:35,23348.95,23351.85,23331.95,23334.8,0
16-01-2025 09:40,-9.75,79625,168,59650,95775,-10.7,-10.15,-36125,-513.45,15850,8750,N,-6600,Y,23395.7,23393.05,23383.3,23394.1,23380.2,16-01-2025 09:40,-2.1,10011600,179,6373950,5965950,-1.95,-1.95,408000,-21.8,86100,-216975,Y,320775,N,16,13.9,16.05,13.3,18.16,16-01-2025 09:40,7.3,6315450,179,329250,215025,7.25,7.35,114225,-92.8,40275,-4650,Y,34050,Y,95.1,102.4,107.5,93.75,93.06,16-01-2025 09:40,23335,23337.5,23319.8,23326.6,0
16-01-2025 09:45,-10.6,87175,166,53700,76600,-9.9,-10.6,-22900,-699.7,17000,-7150,YES,5725,N,23394.21,23383.3,23372.7,23389.95,23372.4,16-01-2025 09:45,-1.55,8010300,181,7805700,7284075,-1.5,-1.5,521625,-21.45,91425,-137100,Y,405225,YES,13.95,12.4,14.5,12.4,17.7,16-01-2025 09:45,7.95,5039175,181,224775,276525,8.25,8.3,-51750,-96.5,40650,-461250,Y,-119925,YES,101,108.95,111.7,98.25,94.89,16-01-2025 09:45,23326.3,23331,23312.95,23316.6,0
16-01-2025 09:50,-5,71625,172,79450,57250,-6.8,-3.7,22200,-985.05,16050,14975,Y,12575,N,23392.83,23372.4,23367.4,23383,23365.6,16-01-2025 09:50,-1.25,6971250,181,8038275,9217275,-1.35,-1.35,-1179000,-20.45,86475,-144300,YES,-1200,Y,12.35,11.1,13.45,10.9,17.29,16-01-2025 09:50,8.05,4716975,181,323475,278850,8.25,8.25,44625,-101.85,45450,-58875,YES,-94575,Y,109.4,117.45,118.1,103.6,96.82,16-01-2025 09:50,23317,23323.25,23304.9,23306.9,0
16-01-2025 09:55,6.5,57225,169,75850,47400,5.65,5,28450,-715.85,16050,17100,N,-6900,Y,23391.41,23365.6,23372.1,23377.55,23356,16-01-2025 09:55,1.5,8401425,180,11433900,11271150,1.65,1.65,162750,-20.6,80100,502800,Y,-249150,Y,11,12.5,13.2,11,16.87,16-01-2025 09:55,-2.05,5599125,180,256800,229125,-1.7,-1.75,27675,-107.45,40800,-171000,Y,-87000,N,118.3,116.25,129.5,112.8,99.69,16-01-2025 09:55,23307.05,23316,23294.9,23310.85,0
16-01-2025 10:00,-12.1,47725,159,68025,139300,-10.6,-10.1,-71275,-665.4,16200,-7425,YES,13225,YES,23390.75,23372.1,23360,23385,23358.3,16-01-2025 10:00,-1.35,9678975,180,9984825,9343725,-1.2,-1.2,641100,-22.3,100800,-160650,YES,-47175,YES,12.55,11.2,14.45,10.95,16.51,16-01-2025 10:00,8.7,4434600,180,289125,301350,8.9,8.9,-12225,-105.5,42825,43650,YES,-39075,Y,116.35,125.05,126.45,105.4,101.11,16-01-2025 10:00,23310.2,23325.05,23298.55,23301.35,0
16-01-2025 10:05,3.2,26350,154,74700,122300,2.3,3.2,-47600,-635.8,15300,6450,N,-1750,Y,23390.17,23362,23365.2,23370,23359.35,16-01-2025 10:05,0.2,4570725,181,11085975,10438050,0.2,0.2,647925,-21.3,91800,139800,Y,207225,YES,11.3,11.5,12.35,11.2,16.32,16-01-2025 10:05,-1.55,2593275,176,257775,282075,-1.8,-1.8,-24300,-105.1,42975,-11925,Y,114300,Y,124.8,123.25,125.95,116.9,102.12,16-01-2025 10:05,23301.25,23310.5,23299.75,23303.8,0
16-01-2025 10:10,7.7,29475,154,68275,58050,8.7,8.4,10225,-734.3,12825,4925,N,-11525,Y,23389.61,23365.2,23372.9,23373.65,23357.5,16-01-2025 10:10,0.1,5576025,180,12166050,10088550,0.15,0.15,2077500,-22.15,83400,-45750,YES,-39225,Y,11.55,11.65,12.45,10.35,16.1,16-01-2025 10:10,-5,2611425,180,213450,218175,-5,-5.15,-4725,-103,42300,-58725,Y,-71250,YES,122.9,117.9,130.15,116.65,103.06,16-01-2025 10:10,23303.9,23310.85,23290.7,23308,0
16-01-2025 10:15,1.7,41300,168,49925,49950,1.7,4.45,-25,-1062.7,12775,-3675,YES,3100,N,23389.25,23372.7,23374.4,23386.25,23366.55,16-01-2025 10:15,0.25,7548075,181,11092800,9811275,0.4,0.4,1281525,-21.8,100350,15825,Y,237525,YES,11.6,11.85,13.2,10.75,15.87,16-01-2025 10:15,-1.85,2671650,181,201375,271725,-2.1,-2.3,-70350,-97.75,45150,-18300,YES,107625,Y,117.85,116,121.9,108.7,103.6,16-01-2025 10:15,23308.2,23320.3,23302.35,23311.55,0
16-01-2025 10:20,8.25,30950,155,97775,66400,9.5,8.25,31375,-979.75,13200,-150,N,2250,Y,23389.07,23379.7,23387.95,23388.45,23374.05,16-01-2025 10:20,0.5,4503525,185,11531625,12172125,0.3,0.35,-640500,-21.8,99825,92025,Y,54000,N,11.9,12.4,12.75,11.7,15.75,16-01-2025 10:20,-6.1,1179225,185,221250,233475,-5.85,-5.8,-12225,-97.9,46800,8925,YES,49350,N,115.55,109.45,117.25,108,103.78,16-01-2025 10:20,23311.2,23319.2,23308.95,23316.5,0
16-01-2025 10:25,-10,24150,152,64275,40875,-11.95,-9.45,23400,-1155.65,14225,500,N,5000,N,23388.95,23385,23375,23388.8,23372.9,16-01-2025 10:25,-2.8,8984100,181,12789675,13149300,-2.85,-2.85,-359625,-21.35,111075,-664800,YES,326925,YES,12.5,9.7,12.5,9.25,15.43,16-01-2025 10:25,8.5,1681125,181,236025,244350,8.8,8.85,-8325,-92.75,45675,29550,YES,-46650,YES,109.95,118.45,120.2,109.05,104.06,16-01-2025 10:25,23317.6,23319.1,23303.5,23306.25,0
