last_traded_time,ltp,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,ltp,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
16-04-2025 09:15,-1.4,-7.4,-2.6,58500,-606.3,22650,16425,N,225,N,-1.08,23300.2,23294.1,-3.05,-1.4,-1.65,750,-54.55,27600,346875,N,107925,N,-2.56,0.5,0.4,0.4,-57750,-23.95,23625,673350,N,260400,N,-1.91
16-04-2025 09:20,22.5,27.4,24,24825,-842.4,32775,20925,N,21300,YES,3.1,23298.7,23321.4,12.05,11.3,11.25,-60825,-98.25,40275,154275,N,49800,N,2.02,-8.45,-8.4,-8.4,117000,-39.15,50175,44100,N,209175,N,-2.81
16-04-2025 09:25,21.9,27.2,28.4,47925,-752.3,33525,14775,N,30150,N,7.24,23321.6,23343.5,19.85,20.15,20.2,-28500,-100.55,40875,36525,N,-7050,Y,6.73,-5.25,-5.4,-5.45,-12150,-33.2,50700,2553525,YES,126150,N,-3.25
16-04-2025 09:30,-1.5,0.5,-0.8,54525,-876.8,36075,29475,N,-11475,Y,4.76,23348.5,23347,2.2,3.05,3.1,35925,-114.6,39750,5925,N,108000,YES,4.27,-0.3,-0.55,-0.6,7650,-30.95,60225,156975,N,55425,N,-1.83
16-04-2025 09:35,13.9,13.2,15.6,45225,-1085.1,33375,-2550,YES,6075,N,4.95,23346.1,23360,11.2,12.25,12.25,19725,-117.5,37875,-60225,YES,-57825,Y,5.4,0.4,0.6,0.55,66150,-29.8,50250,-14250,Y,95850,Y,-1.17
16-04-2025 09:40,17.9,17.7,16.1,-218475,-801.1,36675,16950,N,-16125,Y,4.95,23360.4,23381,21.05,21.35,21.4,24225,-129.65,38400,8850,Y,-48525,N,5.19,-1.85,-1.75,-1.75,96000,-30.8,51600,-23475,Y,105450,N,-0.8
16-04-2025 09:45,-14.8,-14.5,-11.4,21075,-1392.5,42225,-7125,YES,23700,YES,5.08,23381,23369.1,-12.8,-12.7,-12.7,-300,-126.45,38625,-86550,YES,78975,YES,2.9,1.55,1.65,1.6,293925,-29.15,54750,85050,YES,-22200,YES,-0.57
16-04-2025 09:50,9.3,9.3,6.3,-19500,-727.9,30525,-10575,YES,750,Y,1.72,23366.2,23375.5,4.85,4.2,4.2,-3675,-127.05,40125,17400,Y,22800,N,1.6,-2.1,-2.1,-2.15,-81375,-29.7,65625,-53550,Y,118875,Y,-0.65
16-04-2025 09:55,-6.9,-9.2,-7.4,-30900,-812.3,31800,6825,N,209250,YES,2.54,23375.5,23368.6,-8.5,-9.5,-9.4,-24150,-128.35,36375,-34950,YES,-2175,Y,2.31,-0.15,0.05,0.1,-302025,-26.85,51525,23625,YES,-89475,YES,-0.8
16-04-2025 10:00,12.3,13,12.3,16500,-763,32775,-6450,YES,11400,N,1.18,23368.6,23380,6.65,5.5,5.55,-27600,-120.25,36300,9750,Y,103875,YES,1,-0.45,-0.2,-0.25,257250,-27.35,59550,219375,YES,33375,Y,-0.4
16-04-2025 10:05,-10,-12,-10.3,-38850,-828.3,34275,4725,N,13425,N,1.07,23380,23369,-11.35,-10.6,-10.8,-10050,-126,38700,8175,N,35250,N,0.54,2.75,2.7,2.75,282000,-29.25,65175,35250,N,-51075,YES,-0.27
16-04-2025 10:10,-3.1,-2.5,-1.6,-28800,-567.7,21525,8325,N,8850,N,0.47,23369,23369,-0.3,0,-0.05,41175,-123.55,38925,10050,N,34200,N,0.36,-0.05,-0.3,-0.3,-405525,-30.9,66450,-4575,Y,48150,Y,-0.2
16-04-2025 10:15,-46.1,-43.8,-41.5,-1575,-1160.5,31050,10200,N,22875,N,0.27,23369,23325,-31.1,-30.3,-30.35,34200,-112.25,47025,-116175,YES,60300,YES,-0.65,13.1,13.1,13.15,-99975,-33.8,61500,-50700,Y,-371775,YES,0.51
16-04-2025 10:20,-18.9,-17,-19.1,102600,-980,37875,9150,N,-1650,Y,-1.72,23325,23306.1,-9.05,-8.65,-8.75,-12975,-94.7,49275,88875,Y,77100,N,-1.9,8,7.8,7.9,-52650,-45.4,54300,147075,YES,-70275,Y,1.28
16-04-2025 10:25,17.1,16.7,19.8,-34350,-1231.4,30375,19500,N,-900,N,-0.79,23306,23323.8,10.05,10.1,10.2,-10950,-94.85,46725,91275,N,-22800,Y,-1.07,-7.2,-7.2,-7.2,-88875,-44.4,53775,78825,N,145725,Y,0.57
