ltp,vol_traded_today,last_traded_time,exch_feed_time,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,low_price,high_price,lower_ckt,upper_ckt,open_price,prev_close_price,type,symbol,ch,chp
176.0,1486300,2024-12-16 09:16:48,1734320808,100,100,176.15,176.55,125,1124900,147675,167.75,135.0,178.55,0,0,139.5,155.6,sf,NSE:NIFTY24D1924800PE,20.4,13.1105
175.4,1486300,2024-12-16 09:16:48,1734320809,100,100,176.15,176.55,25,1124900,147675,167.75,135.0,178.55,0,0,139.5,155.6,sf,NSE:NIFTY24D1924800PE,19.8,12.7249
176.35,1513225,2024-12-16 09:16:49,1734320809,400,200,176.3,176.75,25,1138425,143900,167.9,135.0,178.55,0,0,139.5,155.6,sf,NSE:NIFTY24D1924800PE,20.75,13.3355
176.9,1513225,2024-12-16 09:16:49,1734320810,400,200,176.3,176.75,50,1138425,143900,167.9,135.0,178.55,0,0,139.5,155.6,sf,NSE:NIFTY24D1924800PE,21.3,13.6889
176.1,1513225,2024-12-16 09:16:49,1734320811,400,200,176.3,176.75,25,1138425,143900,167.9,135.0,178.55,0,0,139.5,155.6,sf,NSE:NIFTY24D1924800PE,20.5,13.1748
176.5,1528625,2024-12-16 09:16:51,1734320811,200,225,176.3,176.55,25,1136500,137425,167.98,135.0,178.55,0,0,139.5,155.6,sf,NSE:NIFTY24D1924800PE,20.9,13.4319
176.2,1528625,2024-12-16 09:16:51,1734320812,200,225,176.3,176.55,50,1136500,137425,167.98,135.0,178.55,0,0,139.5,155.6,sf,NSE:NIFTY24D1924800PE,20.6,13.2391
175.95,1544975,2024-12-16 09:16:53,1734320813,50,925,175.55,176.0,25,1134725,139925,168.07,135.0,178.55,0,0,139.5,155.6,sf,NSE:NIFTY24D1924800PE,20.35,13.0784
175.3,1556575,2024-12-16 09:16:54,1734320814,150,275,174.95,175.3,25,1132400,142225,168.13,135.0,178.55,0,0,139.5,155.6,sf,NSE:NIFTY24D1924800PE,19.7,12.6607
175.45,1556575,2024-12-16 09:16:54,1734320815,150,275,174.95,175.3,50,1132400,142225,168.13,135.0,178.55,0,0,139.5,155.6,sf,NSE:NIFTY24D1924800PE,19.85,12.7571
175.7,1568175,2024-12-16 09:16:56,1734320816,150,200,175.25,175.7,75,1129475,147275,168.18,135.0,178.55,0,0,139.5,155.6,sf,NSE:NIFTY24D1924800PE,20.1,12.9177
175.65,1568175,2024-12-16 09:16:56,1734320816,150,200,175.25,175.7,50,1129475,147275,168.18,135.0,178.55,0,0,139.5,155.6,sf,NSE:NIFTY24D1924800PE,20.05,12.8856
175.75,1568175,2024-12-16 09:16:56,1734320817,150,200,175.25,175.7,25,1129475,147275,168.18,135.0,178.55,0,0,139.5,155.6,sf,NSE:NIFTY24D1924800PE,20.15,12.9499
175.35,1587400,2024-12-16 09:16:58,1734320818,50,25,175.2,175.55,25,1130325,146625,168.27,135.0,178.55,0,0,139.5,155.6,sf,NSE:NIFTY24D1924800PE,19.75,12.6928
175.6,1587400,2024-12-16 09:16:58,1734320818,50,25,175.2,175.55,25,1130325,146625,168.27,135.0,178.55,0,0,139.5,155.6,sf,NSE:NIFTY24D1924800PE,20.0,12.8535
