last_traded_time,ltp,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,ltp,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
17-03-2025 09:15,15.95,19.3,15.95,133275,-695.5,33300,-3675,N,36900,N,15.96,22568.05,22584,14.45,14.2,14.25,16875,-100,35625,370350,N,164400,N,6.31,-10.6,-9.65,-9.7,113400,-75.55,33225,718125,N,286725,N,-6.56
17-03-2025 09:20,22.05,20,20,-20850,-556.45,39450,32550,Y,31725,N,12.4,22584.95,22607,7.75,8.2,8.35,-17025,-120.2,41400,-1230150,YES,136125,N,6.25,-9.4,-9.2,-9.3,100725,-76.3,42075,-1120725,Y,410175,Y,-6.9
17-03-2025 09:25,12.75,12.6,12.05,-23550,-565.5,38175,-37125,YES,30975,N,8.86,22608,22620.75,2.8,2.55,2.65,41100,-131.55,43500,-117225,Y,82050,N,5.3,-5.2,-5.6,-5.55,7350,-68.85,46500,89550,YES,266550,N,-6.8
17-03-2025 09:30,35.6,34.6,35.25,76800,-764.95,44025,-19050,N,-30150,Y,14.49,22624.7,22660.3,25.55,25.65,25.75,17775,-140.8,39675,-36300,Y,-244275,Y,6.62,-10.25,-10.35,-10.3,-5925,-62,45000,-41400,Y,251550,N,-5.69
17-03-2025 09:35,-14.85,-10.85,-15.05,5325,-1016.8,41850,36750,Y,28500,YES,4.05,22660,22645.15,-6.5,-6.25,-6.25,19725,-146.35,40125,-15150,Y,80400,YES,2.11,3.7,3.8,3.75,31350,-68.05,50100,37350,YES,183225,N,-2.36
17-03-2025 09:40,-9.95,-10.55,-8,1800,-889.5,31125,-6375,YES,21075,N,1.71,22646,22636.05,-10.85,-9.45,-9.5,-11625,-139.15,46950,-25425,YES,108225,YES,1.1,2.1,1.8,1.8,3750,-72.55,48300,115800,YES,17775,N,-1.05
17-03-2025 09:45,-23.7,-21.05,-20,2325,-960.05,43950,-12450,YES,9000,N,1.34,22639.95,22616.25,-13.95,-13.95,-13.95,-76800,-132.6,40425,-29850,YES,117075,N,0.51,8.55,8.65,8.7,-94875,-74.05,45375,180300,YES,-159600,YES,-0.47
17-03-2025 09:50,-13.7,-14.35,-11.25,48975,-970.6,29925,38925,Y,-40725,Y,0.49,22616.25,22602.55,-8.9,-8.8,-8.9,191850,-120,40500,-40575,YES,51375,N,-0.3,5.9,5.65,5.65,-21150,-78.45,51900,-32100,Y,-84750,Y,0.14
17-03-2025 09:55,5.3,8.55,11,-49725,-1158.35,32025,41850,N,12075,YES,0.06,22606.6,22611.9,5.25,4.85,4.95,-8850,-116.9,39525,130125,Y,97200,YES,-0.48,-3.95,-3.8,-3.75,-106350,-74.85,47550,81000,YES,197250,Y,0.25
17-03-2025 10:00,-16.2,-17.05,-16.95,1050,-984.5,38400,0,YES,11400,N,0.06,22611.2,22595,-10.45,-10.05,-10.1,-51375,-106,39900,-71475,YES,123900,YES,-0.86,4.95,4.55,4.55,-141825,-69.75,44175,-61125,Y,-165225,YES,0.56
17-03-2025 10:05,0.55,0.8,-1,-23400,-811.25,30675,15525,N,5250,N,-0.1,22594.45,22595,-0.2,0.4,0.5,-10725,-103.6,45975,56550,Y,9825,N,-0.45,-0.3,-0.4,-0.4,10725,-69.3,42300,110700,YES,57075,Y,0.17
