last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,open_1,close_1,high,low,last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_2,close_2,high,low,avg_trade_price,last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_3,close_3,high,low,avg_trade_price,datetime,timestamp,open,high,low,close,volume
17-04-2025 09:15,-19,134925,97,67050,46050,-21.3,-18.9,21000,-543.1,21825,7650,N,10200,N,23400.03,23406,23387,23414.3,23380,17-04-2025 09:15,1,15472950,102,411825,348450,0.5,0.45,63375,-20.7,33375,3764325,N,429075,N,27.45,28.45,35,26.55,29.39,17-04-2025 09:15,17.6,7378575,77,123225,78825,17.7,17.7,44400,-32.6,17925,929475,N,-61725,N,68.35,85.95,94.35,65.7,77.17,17-04-2025 09:15,1744861500,15.87,16.02,15.57,15.66,0
17-04-2025 09:20,-37,296925,177,282225,153675,-34.6,-37,128550,-912.6,42225,60225,Y,10725,N,23382.33,23387,23350,23387.7,23340,17-04-2025 09:20,-9.85,23592225,180,1572150,1427175,-9.15,-9.15,144975,-31.9,71175,1065675,N,1087875,YES,28.3,18.45,28.4,18.45,26.79,17-04-2025 09:20,33.45,14504775,180,218775,171450,31.2,31.25,47325,-98.6,42975,174375,N,-142350,YES,86.75,120.2,129.3,84.85,91.92,17-04-2025 09:20,1744861800,15.65,15.79,15.62,15.77,0
17-04-2025 09:25,-8.1,205275,176,199350,62775,-5,-6.7,136575,-1033.6,36525,57900,N,5475,N,23373.61,23349.6,23341.5,23364.5,23330,17-04-2025 09:25,0,18343125,180,2234100,2303925,0,-0.05,-69825,-27.35,86700,948075,N,628200,N,18.55,18.55,21.25,15.85,24.7,17-04-2025 09:25,6.25,9117075,180,153600,218325,5.2,5.35,-64725,-110.6,40050,-27225,Y,26325,Y,120.25,126.5,134.95,106.4,98.43,17-04-2025 09:25,1744862100,15.78,15.85,15.72,15.84,0
17-04-2025 09:30,7,158475,169,146400,91050,3,5.3,55350,-765,36150,21825,N,8625,N,23369.26,23340,23347,23362,23333,17-04-2025 09:30,3.85,16997550,180,1978500,1936125,4.3,4.35,42375,-30.9,75900,260025,N,-141000,Y,18.5,22.35,25.1,18.35,24.2,17-04-2025 09:30,-5.05,5698050,180,171150,181950,-6.45,-6.45,-10800,-108.25,38400,-18375,N,135675,Y,126.2,121.15,133.1,106.75,101.32,17-04-2025 09:30,1744862400,15.83,15.96,15.82,15.94,0
17-04-2025 09:35,19.5,125550,166,139950,82575,22,19.5,57375,-849.7,32100,44400,Y,8925,N,23368.22,23347,23366.5,23373,23343.1,17-04-2025 09:35,5.3,18564150,180,1406250,1390500,5.1,5.1,15750,-36.45,69450,394200,Y,20925,YES,22.35,27.65,29.55,21.85,24.49,17-04-2025 09:35,-24.15,5176875,180,184650,175200,-22.25,-22.3,9450,-100.75,39300,-59400,Y,264075,Y,122.45,98.3,124.05,97.35,101.87,17-04-2025 09:35,1744862700,15.95,15.99,15.85,15.92,0
17-04-2025 09:40,47.6,212850,180,150150,84525,47.1,47.6,65625,-874.1,33600,-5550,YES,19950,N,23373.14,23368,23415.6,23427,23366.1,17-04-2025 09:40,23.6,40705425,180,667650,575700,23.5,23.45,91950,-50.2,54375,-736950,YES,-1432350,Y,28,51.6,60.25,26.4,29.66,17-04-2025 09:40,-29.35,14631900,180,267525,234000,-28.9,-28.95,33525,-77.3,46200,2265075,YES,281475,N,97.65,68.3,101.85,65.35,96.4,17-04-2025 09:40,1744863000,15.91,15.92,15.75,15.85,0
17-04-2025 09:45,30.9,319200,178,154425,207825,27.8,29.5,-53400,-930.2,35325,53025,Y,225,Y,23385.86,23413.1,23444,23449.9,23413.1,17-04-2025 09:45,17.4,27865575,180,363900,290625,17.5,17.55,73275,-61.25,42675,-153075,Y,-205800,YES,51.65,69.05,73.95,51.65,35.28,17-04-2025 09:45,-15.65,18279375,180,476325,395625,-15.25,-15.25,80700,-54.25,52800,457800,N,485775,Y,67.95,52.3,68.25,50.05,87.66,17-04-2025 09:45,1744863300,15.86,15.98,15.84,15.9,0
17-04-2025 09:50,-10,96075,159,128700,84825,-10.7,-11,43875,-934.3,36975,-15450,YES,36375,YES,23388.66,23444,23434,23449.6,23422.1,17-04-2025 09:50,-17.65,18755550,179,380550,358800,-17.7,-17.65,21750,-60.1,48900,44175,Y,500100,YES,68.15,50.5,72.7,49.4,37.57,17-04-2025 09:50,-4.6,16361850,179,794700,474300,-4.9,-4.9,320400,-51.15,53400,172350,N,656775,Y,52.2,47.6,55.55,45,81.54,17-04-2025 09:50,1744863600,15.89,15.91,15.84,15.87,0
17-04-2025 09:55,-5.6,109125,153,103425,77475,-6.6,-8.5,25950,-992.6,33975,10725,Y,375,Y,23390.78,23430.1,23424.5,23440,23417.4,17-04-2025 09:55,-9.4,19422225,175,432750,439350,-9.9,-9.9,-6600,-48.8,48975,381975,Y,320700,N,50.4,41,51.65,35.25,38.15,17-04-2025 09:55,-3.05,17719575,180,546375,462675,-2.3,-2.35,83700,-51.85,51375,220800,YES,494100,N,47.2,44.15,54.1,42.1,76.39,17-04-2025 09:55,1744863900,15.86,15.87,15.78,15.79,0
17-04-2025 10:00,-12.9,94125,151,195525,66375,-10.6,-13.5,129150,-875.6,34275,47550,Y,-20325,Y,23391.94,23422.6,23409.7,23431.1,23403,17-04-2025 10:00,-5.6,21847575,180,572025,657750,-4.8,-4.85,-85725,-44.15,60000,391275,N,211050,N,41.8,36.2,45.75,31.1,38,17-04-2025 10:00,8.95,21927150,180,514725,501825,8.05,8.05,12900,-52.45,54375,543975,YES,-521325,YES,43.2,52.15,58.95,40.2,72.11,17-04-2025 10:00,1744864200,15.78,15.82,15.74,15.77,0
17-04-2025 10:05,-41.7,128475,152,180525,62850,-38,-35.7,117675,-769,30750,-31275,YES,-2025,N,23392.09,23409.7,23368,23416.4,23367.2,17-04-2025 10:05,-16.85,24659100,179,779325,826950,-15.65,-15.7,-47625,-35.4,63525,-864825,YES,619050,YES,36.15,19.3,40.95,19.3,37.12,17-04-2025 10:05,28.6,23490900,178,351525,513375,26.95,27,-161850,-60.6,49800,-39075,Y,-1281300,YES,52.65,81.25,82.15,50.9,70.89,17-04-2025 10:05,1744864500,15.78,15.81,15.75,15.76,0
17-04-2025 10:10,2,82650,159,82125,69375,2.5,4.9,12750,-956.8,30075,51900,Y,-19275,Y,23391.06,23368.5,23370.5,23378.8,23355,17-04-2025 10:10,7.3,21683550,180,1502850,1526025,6.85,6.85,-23175,-28.95,64575,1143900,Y,104475,N,19.05,26.35,27.4,17.95,35.94,17-04-2025 10:10,6.9,16247325,180,256500,212625,7.45,7.3,43875,-79.25,38775,-534225,Y,93075,Y,83.55,90.45,97,83.15,72.7,17-04-2025 10:10,1744864800,15.77,15.91,15.77,15.91,0
17-04-2025 10:15,7.1,66975,153,100050,76650,4.9,2.6,23400,-1033.8,34650,225,YES,7500,YES,23390.76,23370.5,23377.6,23397,23365,17-04-2025 10:15,3.85,22941375,180,1319625,1216875,4.35,4.4,102750,-37.95,69300,-444825,YES,-202875,Y,25.95,29.8,37.25,23.25,35.53,17-04-2025 10:15,-2.9,8977800,180,271575,334275,-3.45,-3.45,-62700,-79.9,45225,-164475,YES,-115950,YES,91.35,88.45,95.2,73,73.25,17-04-2025 10:15,1744865100,15.9,15.95,15.86,15.88,0
17-04-2025 10:20,16.8,49800,129,78675,69750,15,13.9,8925,-1130.2,29325,-10950,YES,36000,YES,23390.52,23382.2,23399,23399,23360.2,17-04-2025 10:20,13.4,20435925,180,853725,765900,13.55,13.6,87825,-41.55,57600,364725,Y,-630150,Y,29.35,42.75,43.55,26.45,35.43,17-04-2025 10:20,-11.75,10469625,180,314400,365550,-10.65,-10.65,-51150,-87.2,46875,-53625,YES,64650,Y,87.55,75.8,105.25,75.8,74.2,17-04-2025 10:20,1744865400,15.89,15.94,15.87,15.87,0
17-04-2025 10:25,14.1,64200,140,75525,69900,15.8,15.1,5625,-1023.1,30750,24825,Y,2325,Y,23391.11,23399,23413.1,23423,23399,17-04-2025 10:25,10.1,23688300,180,395025,380175,8.6,8.65,14850,-53.8,48600,-321600,YES,-357000,YES,42.25,52.35,55.7,41.9,36.47,17-04-2025 10:25,-11.7,10402575,180,280275,359025,-11.45,-11.4,-78750,-60.35,42825,246675,YES,276000,Y,76,64.3,76.7,61.1,73.9,17-04-2025 10:25,1744865700,15.86,15.91,15.84,15.89,0
17-04-2025 10:30,9,46425,109,54750,107100,12.3,10.4,-52350,-804.1,26925,26025,N,5475,N,23391.74,23415,23424,23432,23411.5,17-04-2025 10:30,6,15467625,180,392775,354300,6.2,6.2,38475,-56.3,44850,-202350,Y,-128250,YES,52.45,58.45,64.4,51.45,37.4,17-04-2025 10:30,-0.7,7776000,180,344925,431625,-0.5,-0.45,-86700,-59.45,46350,228900,N,199350,N,63.65,62.95,66,58.05,73.47,17-04-2025 10:30,1744866000,15.88,15.89,15.84,15.87,0
17-04-2025 10:35,-4.1,21075,103,69900,76275,-9,-5.4,-6375,-888.9,24450,13350,N,3375,N,23391.98,23424,23419.9,23426.3,23410.9,17-04-2025 10:35,-1.5,10593675,180,359175,293850,-1.2,-1.2,65325,-60.8,48375,158550,Y,34425,YES,58.45,56.95,62.45,50.95,37.94,17-04-2025 10:35,3.75,7194975,176,317250,497475,3.85,3.85,-180225,-61.3,45075,240750,N,-49800,YES,63,66.75,67,60.65,73.17,17-04-2025 10:35,1744866300,15.86,15.91,15.86,15.9,0
