last_traded_time,ltp,tot_buy_qty,tot_sell_qty,ltp,tot_buy_qty,tot_sell_qty,ltp,tot_buy_qty,tot_sell_qty
18-11-2024 09:36,23462.7,197650,359975,63.95,192000,620725,243.65,151225,118675
18-11-2024 09:37,23465.3,198525,361300,62.75,192225,625575,243.85,151725,122575
18-11-2024 09:37,23456.85,201050,362400,61.4,197250,634525,243.95,154375,128050
18-11-2024 09:37,23454,201725,361175,58.25,194225,625725,250.5,149925,124825
18-11-2024 09:37,23457.35,194425,362625,59.45,170325,627875,244.5,150800,98050
18-11-2024 09:37,23458.65,193350,359100,60.7,188375,627600,243.15,145875,98875
18-11-2024 09:37,23463.5,193700,358125,61.95,197550,603150,238.8,145750,103250
18-11-2024 09:38,23467.75,195025,355550,62.5,232200,593050,240.8,137025,106875
18-11-2024 09:38,23467.25,196550,359600,62.2,242250,594600,241.7,142175,106850
18-11-2024 09:38,23465.3,201150,360425,63.55,243075,594450,239.85,148025,112775
18-11-2024 09:38,23456.7,202500,364950,59.4,248475,590825,249.35,149925,113175
18-11-2024 09:38,23452.25,200800,364275,58.85,223350,596725,252.05,150875,102175
18-11-2024 09:38,23442.05,200275,363325,58.45,202525,598775,255.55,152825,85050
18-11-2024 09:39,23442.95,196625,357300,57.25,207875,601600,253.35,152925,86525
18-11-2024 09:39,23442.25,198800,359950,56.8,236000,600625,256.35,150600,89850
18-11-2024 09:39,23442,193425,361825,56.35,222225,598475,258.25,151025,89800
18-11-2024 09:39,23446.5,192350,363025,56.65,216725,599875,256.9,151225,88525
18-11-2024 09:39,23440,192825,365700,55.65,224875,601700,259.05,155475,86625
18-11-2024 09:39,23440,192425,363350,55.5,221150,622775,260.15,155425,87350
18-11-2024 09:40,23439.8,191150,364575,54.2,198725,648775,265.3,150825,87275
18-11-2024 09:40,23434.5,196550,363750,54.65,203275,643650,267.75,159175,86925
18-11-2024 09:40,23442,198850,362275,56.75,219525,636300,259.9,155850,82300
18-11-2024 09:40,23442.05,202375,363350,55.95,236700,594200,261,148275,87775
18-11-2024 09:40,23427.5,188975,365125,53.2,217575,606350,273.3,150600,78725
18-11-2024 09:40,23421.8,186150,362675,54,211675,605275,273.05,151825,77950
18-11-2024 09:41,23420.75,196500,362700,53.45,223925,602475,280.05,148325,75000
18-11-2024 09:41,23425.05,212400,361200,55.15,240525,602800,274.2,148625,69300
18-11-2024 09:41,23430.1,222100,359400,56.7,241275,593225,267.8,149375,71325
18-11-2024 09:41,23440.9,228225,356425,57.3,240225,591175,263,138850,75025
18-11-2024 09:41,23446,232550,360750,58.1,252425,588125,261.85,131725,77975
18-11-2024 09:41,23446.75,224750,359225,59.2,256450,589275,261.05,132925,80125
18-11-2024 09:42,23448.7,225625,353850,60.1,256025,588425,257.15,130100,83525
18-11-2024 09:42,23434.75,226075,355700,57,256300,617850,271.9,131775,81600
18-11-2024 09:42,23430,221750,355750,56.2,227650,619475,273.5,131550,75075
18-11-2024 09:42,23420.6,221375,355300,54.5,230250,674425,279.5,138025,78450
18-11-2024 09:42,23429,213625,356075,55.7,224500,701175,276.4,139425,76850
18-11-2024 09:42,23426.5,216425,360850,55.25,238775,612000,277.1,135925,81275
18-11-2024 09:43,23427,218950,360900,55.15,244375,614425,275.5,140750,83600
18-11-2024 09:43,23428.5,219825,360725,55.2,251375,634200,276.9,137550,85750
18-11-2024 09:43,23427.45,222650,359700,54.1,242600,658550,278.2,138375,84800
18-11-2024 09:43,23419.95,222350,360325,52.6,244475,705400,282.45,139525,86175
18-11-2024 09:43,23420,224075,363775,52.85,230300,734725,281,141300,79775
18-11-2024 09:43,23416,225375,363800,52.4,228075,714425,282.15,137725,81025
18-11-2024 09:44,23415,224050,365200,52,222350,718675,284.8,136100,87200
18-11-2024 09:44,23424.85,225750,360950,53.95,255575,717325,276,132725,87725
18-11-2024 09:44,23428,227975,359975,54.25,260575,648825,273.1,129950,89225
18-11-2024 09:44,23426,228825,364975,53,260325,651450,276.7,129100,95525
18-11-2024 09:44,23409.75,222625,365550,49.4,233600,657150,285.45,130150,93950
18-11-2024 09:44,23410,220975,362400,49.45,186000,660700,288.45,130950,78900
18-11-2024 09:45,23410,221400,362850,49.15,187425,663775,289.65,132475,78600
18-11-2024 09:45,23403.35,222500,361925,48.95,184825,680900,290,133550,80725
18-11-2024 09:45,23406,220150,360850,48.75,190950,680975,289.45,133100,84800
18-11-2024 09:45,23416.9,226150,358000,49,203400,666600,284,133350,86975
18-11-2024 09:45,23415.35,227700,360475,50.7,208300,661825,285.05,131975,86625
18-11-2024 09:45,23419.45,231425,359300,50.85,222425,668175,281,132325,88250
18-11-2024 09:46,23423.4,233200,360175,51.75,235650,658200,278.25,135600,89975
18-11-2024 09:46,23420.5,232250,361450,51.25,243650,658100,281.1,137600,88400
18-11-2024 09:46,23426.9,234750,359775,52.45,248100,665050,274.3,136800,88625
18-11-2024 09:46,23427.5,235950,372250,52.25,251850,672800,278,134950,91025
18-11-2024 09:46,23426.95,234500,378025,52.75,248850,678300,275,136500,88525
18-11-2024 09:46,23428.75,239325,380100,53.95,265700,674350,272.65,135550,93600
18-11-2024 09:47,23432.4,239800,378450,54.4,261675,641975,270.55,129900,93475
18-11-2024 09:47,23435.15,240750,378750,57.3,258650,657425,258.85,129225,91875
