last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,open_1,close_1,high,low,last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_2,close_2,high,low,avg_trade_price,last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_3,close_3,high,low,avg_trade_price,datetime,open,high,low,close
19-05-2025 09:15,18,121650,79,108225,48975,15,17.1,59250,-593.9,18375,47625,N,10425,N,25054.8,25055,25073,25095.9,25054.6,19-05-2025 09:15,18.45,7102800,162,137625,169125,18.35,18.4,-31500,-114.25,38175,96525,N,164400,N,170,188.45,205.7,169.5,181.66,19-05-2025 09:15,-9.6,4788450,160,96300,134625,-10.65,-10.55,-38325,-96.35,32250,136950,N,288600,N,175.25,165.65,181.2,156.05,173.35,19-05-2025 09:15,25005.35,25058.7,24965.8,25026.5
19-05-2025 09:20,21.5,130725,144,123150,94575,19.2,18,28575,-1100.8,45675,450,YES,42525,YES,25062.22,25071.5,25093,25096.1,25048.3,19-05-2025 09:20,10.05,6465075,259,200100,228300,9.65,9.45,-28200,-180.75,48750,63900,N,283950,YES,189.6,199.65,203.55,178,186.97,19-05-2025 09:20,-8.2,5627475,258,286125,223350,-8.2,-8.25,62775,-142.05,52500,-30375,Y,317025,Y,165,156.8,175,154,169.69,19-05-2025 09:20,25027.85,25047.15,25006.15,25044.85
19-05-2025 09:25,-30.6,89550,138,84375,88350,-26.6,-26.9,-3975,-1308.1,38400,24000,Y,20625,N,25063.78,25093,25062.4,25093,25051.8,19-05-2025 09:25,-18.45,4591800,234,218850,279675,-18.8,-18.75,-60825,-158.2,55125,675,YES,295050,N,198.45,180,200,177.1,186.57,19-05-2025 09:25,8.95,5589150,229,245625,273900,9,9,-28275,-131.35,53100,140100,YES,112575,N,157.75,166.7,170.65,156,168.5,19-05-2025 09:25,25043.7,25043.7,25003.35,25014.45
19-05-2025 09:30,20.1,100650,163,74925,125175,17.6,23.1,-50250,-998.5,41625,-20175,YES,5925,N,25068.07,25062.4,25082.5,25109.1,25062.4,19-05-2025 09:30,10,6684225,248,216375,275550,9.75,9.65,-59175,-161.85,54150,269175,Y,13800,N,179.75,189.75,205.95,179.75,187.96,19-05-2025 09:30,-14.15,5608425,258,239775,296175,-13.5,-13.5,-56400,-137.35,58050,-149400,Y,226200,Y,167.85,153.7,167.9,145.05,165.47,19-05-2025 09:30,25014.15,25056.55,25013.5,25032.9
19-05-2025 09:35,-43.1,143100,157,149325,108000,-43.2,-42.5,41325,-1390.2,39000,-9150,N,-32475,Y,25066.4,25088.4,25045.3,25088.4,25040,19-05-2025 09:35,-21.25,5428350,241,217800,212325,-20.3,-20.35,5475,-135.9,57825,-248400,YES,258750,YES,189.15,167.9,191.6,165.7,186.02,19-05-2025 09:35,21.15,7318950,241,232350,253875,21.15,21.4,-21525,-150.9,51675,89475,YES,-337050,YES,154.15,175.3,178.05,153.2,165.68,19-05-2025 09:35,25032.95,25033.95,24983.4,24984.5
19-05-2025 09:40,13.7,92550,137,103950,112050,16.6,16.2,-8100,-1122.6,39075,35775,Y,-10950,YES,25064.47,25045.3,25059,25076,25032.2,19-05-2025 09:40,3.7,5498700,261,274125,240225,3.2,3.15,33900,-148.75,57225,10500,Y,77925,N,167.8,171.5,181.05,164.35,184.25,19-05-2025 09:40,-13.2,7221300,253,240825,261225,-13.35,-13.25,-20400,-148.7,55575,-22125,Y,196950,Y,174.85,161.65,180.6,153.35,166.26,19-05-2025 09:40,24984.65,25022.45,24978,25009.25
19-05-2025 09:45,6,48825,109,88950,84750,9.2,7.4,4200,-1464.1,30225,-100650,YES,30375,YES,25063.86,25059,25065,25069,25040,19-05-2025 09:45,5.2,3897975,243,223800,313500,5.35,5.25,-89700,-137.95,58200,138075,Y,103800,YES,171.55,176.75,179,163.5,183.08,19-05-2025 09:45,-2.45,4651200,242,235500,250125,-2.3,-2.3,-14625,-140.1,56250,112050,YES,142350,N,161.55,159.1,172,156.55,166.04,19-05-2025 09:45,25008.75,25019.75,24994.55,25018.1
19-05-2025 09:50,3,42525,94,90750,65025,3,4.2,25725,-859.4,22350,39000,Y,-11550,Y,25064.03,25065,25068,25078.3,25053,19-05-2025 09:50,-2.35,3834000,238,295125,277800,-1.8,-1.65,17325,-143.95,66375,1800,YES,29625,N,176.05,173.7,182.3,166.45,182.41,19-05-2025 09:50,-3.8,3763725,243,281025,347025,-3.65,-3.75,-66000,-148.05,62250,-43125,Y,143700,N,159.9,156.1,164.4,153.4,165.5,19-05-2025 09:50,25018.65,25029.3,25006.65,25014.8
19-05-2025 09:55,-7.3,30750,69,72675,66000,-6.1,-8.6,6675,-744.2,20250,750,YES,17250,YES,25063.67,25066.8,25059.5,25066.8,25046.1,19-05-2025 09:55,-5.7,2689575,244,356925,349500,-5.65,-5.6,7425,-138.25,62325,13200,N,171375,YES,173.3,167.6,173.95,162,181.53,19-05-2025 09:55,4.7,3716775,249,273600,335625,4.5,4.35,-62025,-140.6,61125,65475,YES,-52725,YES,156.1,160.8,168.3,156.1,165.4,19-05-2025 09:55,25014.4,25016.55,24996.25,25013.1
19-05-2025 10:00,19.3,51300,103,59250,66675,16.1,16.5,-7425,-624.5,29550,3375,N,2475,Y,25063.86,25059.4,25078.7,25082,25045,19-05-2025 10:00,8.25,4686150,248,292725,410400,8.3,8.2,-117675,-152.9,68025,-69750,YES,-139200,Y,167.6,175.85,179.45,159.65,180.51,19-05-2025 10:00,-8.6,5032725,252,284325,396975,-9.2,-9.15,-112650,-142.85,65400,-146550,Y,101325,Y,160.1,151.5,167.95,146.6,164.56,19-05-2025 10:00,25013.65,25035.65,25002.05,25032.1
