last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_3,close_3,high,low,avg_trade_price
2025-08-19 09:15:00,-3.700000000000003,7975950.0,193,484125,427200,-3.549999999999997,-3.6499999999999915,56925,-82.40000000000873,52575,385950.0,N,495150.0,N,91.2,87.5,93.95,82.0,87.91
2025-08-19 09:20:00,-11.950000000000003,7812450.0,258,730950,588300,-12.200000000000003,-12.200000000000003,142650,-90.05000000000291,64800,2467500.0,YES,483750.0,N,87.8,75.85,89.8,74.1,84.77
2025-08-19 09:25:00,0.4000000000000057,5495850.0,231,720150,839325,0.3500000000000085,0.29999999999999716,-119175,-84.10000000000582,66600,131175.0,N,188850.0,N,75.5,75.9,80.0,72.0,82.91
2025-08-19 09:30:00,4.3500000000000085,7336650.0,252,1021200,954225,4.700000000000003,4.75,66975,-92.65000000000146,65775,198675.0,YES,202425.0,N,75.05,79.4,82.9,73.45,81.93
2025-08-19 09:35:00,5.150000000000006,7693875.0,249,862125,1069275,5.349999999999994,5.400000000000006,-207150,-99.64999999999418,64875,272175.0,YES,71325.0,N,80.1,85.25,86.8,79.55,82.39
2025-08-19 09:40:00,4.400000000000006,9460800.0,231,704475,1185525,4.6499999999999915,4.650000000000006,-481050,-96.69999999999709,65925,42900.0,N,-185475.0,YES,85.1,89.5,91.7,79.1,83.09
2025-08-19 09:45:00,-6.049999999999997,7309650.0,233,798750,772575,-5.5,-5.450000000000003,26175,-95.90000000000146,68475,-82350.0,Y,286425.0,Y,89.25,83.2,93.0,81.65,83.71
2025-08-19 09:50:00,-8.650000000000006,7284225.0,222,1061550,940950,-8.900000000000006,-8.849999999999994,120600,-81.79999999998836,62625,-53925.0,YES,241800.0,N,83.95,75.3,83.95,72.0,82.8
2025-08-19 09:55:00,-0.7999999999999972,4822500.0,221,934050,1150800,-0.45000000000000284,-0.5,-216750,-86.64999999999418,75750,48225.0,YES,174375.0,N,74.8,74.0,78.8,72.7,82.32
2025-08-19 10:00:00,1.25,3737400.0,233,1001100,1025550,0.5499999999999972,0.5,-24450,-83.99999999999272,73950,31125.0,N,96150.0,N,74.65,75.9,78.2,73.0,81.97
2025-08-19 10:05:00,1.1500000000000057,3172200.0,220,1106400,1039125,1.0,1.0,67275,-92.19999999999709,75300,127575.0,YES,107775.0,N,75.85,77.0,79.2,74.5,81.75
2025-08-19 10:10:00,-10.350000000000009,7696650.0,244,1344525,1192275,-10.650000000000006,-10.699999999999989,152250,-82.25,72450,-448200.0,Y,194850.0,Y,77.15,66.8,77.15,65.5,80.66
2025-08-19 10:15:00,0.8500000000000085,4334850.0,250,927600,1117875,0.8999999999999915,0.8500000000000085,-190275,-75.04999999999563,70275,231075.0,YES,20475.0,N,67.1,67.95,70.5,65.5,80.04
2025-08-19 10:20:00,-1.9500000000000028,3201075.0,234,1048200,1043175,-1.8499999999999943,-1.7999999999999972,5025,-72.70000000000437,66750,-43950.0,Y,177375.0,Y,68.05,66.1,68.25,64.7,79.55
2025-08-19 10:25:00,3.25,3036000.0,239,1489650,1529475,3.700000000000003,3.75,-39825,-79.04999999999563,74325,63375.0,YES,1425.0,YES,66.2,69.45,70.0,65.0,79.16
2025-08-19 10:30:00,-3.549999999999997,3058950.0,252,1417125,1376925,-3.3999999999999915,-3.4000000000000057,40200,-75.75000000000728,73800,8475.0,N,264975.0,Y,69.75,66.2,70.25,65.0,78.79
