ltp,vol_traded_today,last_traded_time,exch_feed_time,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,low_price,high_price,lower_ckt,upper_ckt,open_price,prev_close_price,type,symbol,ch,chp
23705.9,883200,2024-11-19 09:28:11,1731988692,625,100,23702.0,23705.0,25,183200,351725,23650.85,23567.15,23706.3,0,0,23600.2,23513.95,sf,NSE:NIFTY24NOVFUT,191.95,0.8163
23705.55,883200,2024-11-19 09:28:11,1731988693,625,100,23702.0,23705.0,25,183200,351725,23650.85,23567.15,23706.3,0,0,23600.2,23513.95,sf,NSE:NIFTY24NOVFUT,191.6,0.8148
23702.0,883850,2024-11-19 09:28:13,1731988693,650,25,23702.0,23705.95,25,191775,351550,23650.89,23567.15,23706.3,0,0,23600.2,23513.95,sf,NSE:NIFTY24NOVFUT,188.05,0.7997
23701.0,883850,2024-11-19 09:28:13,1731988694,650,25,23702.0,23705.95,400,191775,351550,23650.89,23567.15,23706.3,0,0,23600.2,23513.95,sf,NSE:NIFTY24NOVFUT,187.05,0.7955
23703.95,885575,2024-11-19 09:28:15,1731988695,25,150,23701.05,23703.95,25,191950,350650,23650.99,23567.15,23706.3,0,0,23600.2,23513.95,sf,NSE:NIFTY24NOVFUT,190.0,0.808
23701.0,885575,2024-11-19 09:28:15,1731988696,25,150,23701.05,23703.95,25,191950,350650,23650.99,23567.15,23706.3,0,0,23600.2,23513.95,sf,NSE:NIFTY24NOVFUT,187.05,0.7955
23701.95,886625,2024-11-19 09:28:16,1731988696,550,25,23700.0,23702.0,100,191500,351350,23651.05,23567.15,23706.3,0,0,23600.2,23513.95,sf,NSE:NIFTY24NOVFUT,188.0,0.7995
23704.0,886625,2024-11-19 09:28:16,1731988697,550,25,23700.0,23702.0,25,191500,351350,23651.05,23567.15,23706.3,0,0,23600.2,23513.95,sf,NSE:NIFTY24NOVFUT,190.05,0.8082
23704.0,886625,2024-11-19 09:28:16,1731988698,550,25,23700.0,23702.0,75,191500,351350,23651.05,23567.15,23706.3,0,0,23600.2,23513.95,sf,NSE:NIFTY24NOVFUT,190.05,0.8082
23704.0,887475,2024-11-19 09:28:18,1731988698,250,25,23702.0,23704.0,25,189875,352525,23651.1,23567.15,23706.3,0,0,23600.2,23513.95,sf,NSE:NIFTY24NOVFUT,190.05,0.8082
23701.95,887475,2024-11-19 09:28:18,1731988699,250,25,23702.0,23704.0,50,189875,352525,23651.1,23567.15,23706.3,0,0,23600.2,23513.95,sf,NSE:NIFTY24NOVFUT,188.0,0.7995
23705.0,890525,2024-11-19 09:28:19,1731988700,50,50,23704.0,23705.0,25,194475,337950,23651.27,23567.15,23706.3,0,0,23600.2,23513.95,sf,NSE:NIFTY24NOVFUT,191.05,0.8125
23706.0,890525,2024-11-19 09:28:19,1731988701,50,50,23704.0,23705.0,25,194475,337950,23651.27,23567.15,23706.3,0,0,23600.2,23513.95,sf,NSE:NIFTY24NOVFUT,192.05,0.8167
23706.25,891550,2024-11-19 09:28:21,1731988702,50,525,23705.05,23706.25,75,197050,352500,23651.33,23567.15,23706.3,0,0,23600.2,23513.95,sf,NSE:NIFTY24NOVFUT,192.3,0.8178
23706.25,892000,2024-11-19 09:28:22,1731988703,500,250,23705.0,23706.25,25,173150,354825,23651.35,23567.15,23706.3,0,0,23600.2,23513.95,sf,NSE:NIFTY24NOVFUT,192.3,0.8178
