last_traded_time,ltp,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,open_1,close_1,last_traded_time,ltp,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_2,close_2,high,low,avg_trade_price,last_traded_time,ltp,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_3,close_3,high,low,avg_trade_price,datetime,open,high,low,close
19-12-2024 09:15,-26.2,-37.25,-41.6,-79100,-783.65,15225,27475,N,34675,N,-24.94,23982.75,23956.55,19-12-2024 09:15,-5.4,-5.6,-5.6,107800,-23.9,22775,3177425,N,116025,N,28.65,23.25,33.1,17.9,-8.84,19-12-2024 09:15,27.35,30.05,29.9,-5775,-130.95,12050,3235275,N,37150,N,172.8,200.15,214.95,171.15,24.83,19-12-2024 09:15,23877.15,24000.75,23870.3,23919.55
19-12-2024 09:20,1.2,-5.15,-4.7,-93225,-804.05,19625,10225,N,26600,N,-7.61,23955,23956.2,19-12-2024 09:20,1.1,0.85,0.9,120125,-35.25,39575,425525,N,111450,N,24.4,25.5,28.25,20.25,-1.23,19-12-2024 09:20,19.15,18.3,18.4,-45775,-234.75,24075,-523000,Y,-22150,YES,195.6,214.75,240.75,184.4,16.84,19-12-2024 09:20,23919.5,23938.2,23882.55,23909.55
19-12-2024 09:25,-19.85,-20.2,-22.45,-14525,-967.35,23750,-275,YES,32875,N,-2.51,23951.1,23931.25,19-12-2024 09:25,-3.5,-3.5,-3.5,127700,-36.1,42450,-95250,YES,170600,YES,25.6,22.1,30,21.8,-0.03,19-12-2024 09:25,27.45,27.65,27.55,-24650,-210.3,20150,132225,YES,-25100,YES,213.55,241,241.55,206,4.36,19-12-2024 09:25,23910.5,23927.15,23885.7,23885.7
19-12-2024 09:30,13.85,10.65,9.15,-60950,-644.95,14400,30850,Y,481200,YES,-3.2,23932.5,23946.35,19-12-2024 09:30,-0.95,-0.75,-0.8,103100,-29.5,34925,8575,Y,58475,N,22.15,21.2,22.95,18.8,-0.73,19-12-2024 09:30,-11.95,-11.95,-11.9,4600,-186.9,24050,-503075,Y,1350,Y,239.35,227.4,245.4,222,4.03,19-12-2024 09:30,23887.25,23917.15,23881.85,23906.7
19-12-2024 09:35,46,43.3,39.3,86575,-1004.5,23125,13150,N,16075,N,0.02,23938.5,23984.5,19-12-2024 09:35,2.45,1.85,1.9,77825,-36.2,40725,287075,Y,97025,YES,20.85,23.3,25.75,20.1,-0.34,19-12-2024 09:35,-35.65,-36.15,-36.2,-2800,-222.6,23425,-7300,YES,31400,Y,228.65,193,228.65,191.4,1.14,19-12-2024 09:35,23905.75,23941.85,23901.85,23939.3
19-12-2024 09:40,40.55,40.35,38.8,105200,-972.95,20550,4825,N,8550,N,4.75,23984.45,24025,19-12-2024 09:40,3.75,2.55,2.6,66200,-36.85,35100,304200,N,-149700,Y,23.3,27.05,29.3,20.6,-0.04,19-12-2024 09:40,-42.65,-40.25,-40.35,92025,-178.5,27300,-46950,Y,6800,N,190.4,147.75,193.65,139.5,-3.7,19-12-2024 09:40,23939.3,23999.6,23938.05,23985.1
19-12-2024 09:45,-29.8,-30.8,-28.75,47725,-1188.15,18675,-8100,YES,30200,YES,2.22,24025,23995.2,19-12-2024 09:45,-8.55,-8.4,-8.45,346050,-31.7,43900,-89300,YES,317975,YES,26.8,18.25,27.1,16.6,-0.7,19-12-2024 09:45,29.45,27.95,28,-2350,-160.65,27400,72825,YES,28325,Y,148.45,177.9,193.5,147.9,-1.98,19-12-2024 09:45,23985.3,23988.7,23935,23957.9
19-12-2024 09:50,27.1,30.55,28.15,-14125,-1010.65,15975,13800,Y,-1350,Y,2.01,23997.9,24025,19-12-2024 09:50,2.75,2.75,2.7,99525,-34.6,44075,94900,Y,-24625,Y,18.2,20.95,22.9,16.75,-0.45,19-12-2024 09:50,-27.45,-26.85,-26.75,-5650,-167.7,29900,-98650,Y,26175,N,177.35,149.9,181.35,147.7,-1.78,19-12-2024 09:50,23956.85,23987.45,23950.8,23981.2
19-12-2024 09:55,-10.8,-11.8,-10.6,22975,-1085.75,16075,-10400,YES,-3075,Y,1.67,24025,24014.2,19-12-2024 09:55,-3.65,-3.35,-3.3,-74225,-34.6,50350,126725,Y,144650,YES,20.75,17.1,26.65,16.5,-0.39,19-12-2024 09:55,9.6,7,7.3,9850,-160.3,32250,13650,YES,15100,N,150.1,159.7,166.1,131.95,-3.08,19-12-2024 09:55,23981.2,24004.4,23954.35,23962.95
19-12-2024 10:00,7.55,8.6,6.05,29325,-1351.1,14675,37725,Y,875,N,0.38,24008.55,24016.1,19-12-2024 10:00,0.75,0.8,0.8,315225,-32.95,57050,-186950,YES,43075,N,17.45,18.2,19.4,14.15,-0.53,19-12-2024 10:00,-8.45,-8.6,-8.35,74075,-159.85,31700,-11775,Y,12300,N,159.75,151.3,176.85,151.1,-1.09,19-12-2024 10:00,23962.1,23966.05,23943.6,23965.7
19-12-2024 10:05,-11.05,-11,-14.8,-2750,-1246.2,14050,5725,N,1900,N,0.64,24016.1,24005.05,19-12-2024 10:05,-2.25,-2.15,-2.2,467775,-31.75,55950,-15550,Y,82125,YES,17.7,15.45,19.05,15.35,-0.31,19-12-2024 10:05,7.85,7.2,7.05,-41675,-143.05,26700,17675,YES,6750,N,152.5,160.35,160.35,145.45,-1.28,19-12-2024 10:05,23966.2,23972.8,23955.3,23956.45
19-12-2024 10:10,-24,-24.05,-22.1,-11650,-1087.2,19550,6100,N,2325,N,0.14,24005.05,23981.05,19-12-2024 10:10,-2.05,-1.95,-1.95,-184500,-29.15,64900,-15850,YES,13575,N,15.35,13.3,15.9,12.7,-0.48,19-12-2024 10:10,19.9,19.75,19.8,3325,-171.3,24550,-9675,Y,-5025,YES,161.5,181.4,188.45,159.9,-0.04,19-12-2024 10:10,23956.45,23956.95,23919.15,23929.75
19-12-2024 10:15,-9.1,-9.1,-7.95,5750,-567.45,12350,-3625,YES,25,Y,-0.05,23981.05,23971.95,19-12-2024 10:15,-0.85,-1.3,-1.35,264350,-23.9,51725,-37300,YES,3600,N,13.25,12.4,13.5,11.55,-0.33,19-12-2024 10:15,1.5,4.8,4.9,1000,-144.3,20525,7300,N,-15300,YES,181.75,183.25,189.95,173.9,0.17,19-12-2024 10:15,23929.95,23933.45,23917.4,23924
