last_traded_time,ltp,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,last_traded_time,ltp,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open,close,high,low,avg_trade_price,last_traded_time,ltp,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open,close,high,low,avg_trade_price
21-01-2025 09:15,-0.95,-5.25,-5.85,-33650,-1152.25,18650,25050,N,56025,N,-6.97,23429.05,23428.1,21-01-2025 09:15,1.1,0.5,0.45,-5775,-78.75,32175,514950,N,241200,N,127.8,128.9,132,124.55,-3.01,21-01-2025 09:15,-3.7,-3.75,-3.65,30225,-84.75,32550,514200,N,263025,N,133.3,129.6,135.55,125.15,1.61
21-01-2025 09:20,11.45,11.3,5.4,-94525,-1126.55,22925,79925,Y,22925,N,0.06,23421.95,23433.4,21-01-2025 09:20,3.85,4.7,4.7,-7875,-104.15,40575,154950,N,57450,N,127.35,131.2,138.35,125.5,1.49,21-01-2025 09:20,-1.65,-1.7,-1.75,19650,-101.95,43050,-1159200,Y,146850,N,130.8,129.15,133.05,124.3,-0.44
21-01-2025 09:25,12,9.6,11.95,188150,-875.4,15100,1100,YES,-3650,Y,0.81,23431,23443,21-01-2025 09:25,9.1,8.05,8,69675,-108.55,40725,77100,N,8625,N,130.95,140.05,141.95,122.1,1.17,21-01-2025 09:25,-3.1,-2.2,-2.35,-64725,-110.6,40950,-38550,YES,-71850,YES,129.15,126.05,147.45,123.05,1.96
21-01-2025 09:30,-48.85,-52,-48.85,-59025,-710.8,17550,-2900,YES,53975,YES,-4.6,23443,23394.15,21-01-2025 09:30,-16.9,-17.15,-17.15,-42975,-107.15,40725,-80625,YES,254775,YES,138.85,121.95,142.7,121.05,-0.23,21-01-2025 09:30,36.7,37.45,37.65,-40125,-125.1,43800,4425,YES,-164025,YES,127.1,163.8,165.95,126.25,6.05
21-01-2025 09:35,-9.6,-9.95,-11.3,-34050,-1046.75,16700,45975,Y,4975,N,-4.89,23390,23380.4,21-01-2025 09:35,-2.4,-2.55,-2.55,48975,-87.65,39300,-2400,Y,183900,N,121.2,118.8,129.05,118.25,-1.43,21-01-2025 09:35,4.55,4.2,4.5,-43875,-132.75,36750,-15225,Y,83925,Y,164.9,169.45,172,152.8,4.81
21-01-2025 09:40,-0.5,0,-2.75,-50575,-1276.65,17350,13825,N,69600,YES,-2.81,23380.6,23380.1,21-01-2025 09:40,-0.25,-0.75,-0.65,26175,-90.35,39450,7050,N,93375,N,119.15,118.9,129.45,117.9,-0.78,21-01-2025 09:40,3.05,3.45,3.3,38025,-129.7,39600,-20100,Y,-3600,YES,168.85,171.9,172.05,155.8,2.25
21-01-2025 09:45,8.75,5.1,8.35,-50525,-1228.35,14950,7925,N,23825,N,-7.72,23381.25,23390,21-01-2025 09:45,-4.3,-5.05,-5.05,-120525,-87.75,42900,-85650,YES,119700,YES,119.15,114.85,123.35,109,-2.06,21-01-2025 09:45,-11.6,-10.35,-10.45,23925,-142.4,41775,-87825,Y,52800,Y,171,159.4,184.2,158.05,4.21
21-01-2025 09:50,-11,-8.7,-7.2,-17475,-1176,12075,-7950,YES,18775,N,-0.87,23390,23379,21-01-2025 09:50,3.7,3.6,3.75,-6300,-89.45,39975,77025,Y,-57600,Y,114.85,118.55,126.35,112.45,-0.77,21-01-2025 09:50,10.05,10.25,10.3,85425,-133.85,41025,49275,YES,1950,YES,158.65,168.7,170.35,153.15,0.89
21-01-2025 09:55,-35.9,-35.85,-36.7,14825,-1109.95,17600,-32850,YES,-14675,Y,-8.65,23377.05,23341.15,21-01-2025 09:55,-13.75,-13.1,-13.05,5400,-89.55,44250,-119100,YES,125175,YES,118,104.25,122.3,102.8,-1.49,21-01-2025 09:55,25.35,24.15,23.9,-15825,-149.25,41550,16875,N,-157950,YES,169.65,195,206.2,163.6,3.29
21-01-2025 10:00,-10.8,-8.7,-9.15,16300,-1041.4,17525,16850,Y,11775,YES,-5.68,23338,23327.2,21-01-2025 10:00,-1.75,-1.3,-1.3,112725,-85.7,42000,61725,Y,43575,N,103.35,101.6,106.2,98.9,-1.38,21-01-2025 10:00,3.8,5.15,5.25,19725,-169.7,44625,8100,N,15750,Y,196.35,200.15,211,190.6,2.22
21-01-2025 10:05,-26,-24.2,-25,2200,-1175.85,18075,-68125,YES,6950,N,-10.21,23330,23304,21-01-2025 10:05,-9.2,-9.25,-9.25,33225,-80.25,43200,-5550,YES,76200,YES,101.8,92.6,107.3,90.5,-1.69,21-01-2025 10:05,10.8,10.55,10.9,-3825,-173.2,42450,-81825,Y,-49125,YES,202.05,212.85,220.55,194.3,2.37
21-01-2025 10:10,-4.25,-1.4,-3.05,-36025,-807.15,19050,14800,Y,-5225,Y,-5.56,23308.4,23304.15,21-01-2025 10:10,1.6,1.25,1.25,-41325,-74.6,43350,38775,Y,55275,N,92,93.6,96.2,88.35,-1.27,21-01-2025 10:10,1.2,1.65,1.4,-18750,-186.4,40350,-21975,YES,16350,Y,214,215.2,227.25,207.4,1.69
21-01-2025 10:15,-31.3,-30.65,-32.9,-9500,-964.9,22200,44575,Y,2725,N,-14.8,23301.3,23270,21-01-2025 10:15,-5.75,-5.35,-5.35,-46425,-71.35,48225,-40875,YES,45675,N,92.65,86.9,93.7,84.55,-1.65,21-01-2025 10:15,29.4,28.2,28.25,27225,-202.2,40575,-60900,Y,-82725,YES,217.5,246.9,254.55,216.75,2.55
