ltp,vol_traded_today,last_traded_time,exch_feed_time,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,low_price,high_price,lower_ckt,upper_ckt,open_price,prev_close_price,type,symbol,ch,chp
50128.3,23460,2025-03-21 09:16:26,1742528786,120,60,50128.3,50133.95,30,52710,40920,50068.78,49980.0,50157.95,0,0,50010.3,50097.1,sf,NSE:BANKNIFTY25MARFUT,31.2,0.0623
50128.3,23490,2025-03-21 09:16:26,1742528788,150,60,50128.3,50130.0,30,50190,39540,50068.85,49980.0,50157.95,0,0,50010.3,50097.1,sf,NSE:BANKNIFTY25MARFUT,31.2,0.0623
50128.35,23850,2025-03-21 09:16:30,1742528790,150,60,50120.0,50129.75,30,56730,41760,50069.75,49980.0,50157.95,0,0,50010.3,50097.1,sf,NSE:BANKNIFTY25MARFUT,31.25,0.0624
50128.0,23850,2025-03-21 09:16:30,1742528790,150,60,50120.0,50129.75,30,56730,41760,50069.75,49980.0,50157.95,0,0,50010.3,50097.1,sf,NSE:BANKNIFTY25MARFUT,30.9,0.0617
50120.0,24330,2025-03-21 09:16:31,1742528791,120,30,50120.0,50133.65,30,54810,46590,50070.96,49980.0,50157.95,0,0,50010.3,50097.1,sf,NSE:BANKNIFTY25MARFUT,22.9,0.0457
50112.35,24330,2025-03-21 09:16:31,1742528792,120,30,50120.0,50133.65,60,54810,46590,50070.96,49980.0,50157.95,0,0,50010.3,50097.1,sf,NSE:BANKNIFTY25MARFUT,15.25,0.0304
50112.35,24510,2025-03-21 09:16:31,1742528793,120,60,50115.95,50133.9,60,60810,53490,50071.3,49980.0,50157.95,0,0,50010.3,50097.1,sf,NSE:BANKNIFTY25MARFUT,15.25,0.0304
50116.75,24510,2025-03-21 09:16:31,1742528794,120,60,50115.95,50133.9,120,60810,53490,50071.3,49980.0,50157.95,0,0,50010.3,50097.1,sf,NSE:BANKNIFTY25MARFUT,19.65,0.0392
50133.9,24510,2025-03-21 09:16:31,1742528794,120,60,50115.95,50133.9,30,60810,53490,50071.3,49980.0,50157.95,0,0,50010.3,50097.1,sf,NSE:BANKNIFTY25MARFUT,36.8,0.0735
50133.9,24660,2025-03-21 09:16:34,1742528794,90,120,50116.0,50133.9,30,51300,47700,50071.59,49980.0,50157.95,0,0,50010.3,50097.1,sf,NSE:BANKNIFTY25MARFUT,36.8,0.0735
50133.5,24660,2025-03-21 09:16:34,1742528795,90,120,50116.0,50133.9,30,51300,47700,50071.59,49980.0,50157.95,0,0,50010.3,50097.1,sf,NSE:BANKNIFTY25MARFUT,36.4,0.0727
50114.4,24690,2025-03-21 09:16:35,1742528796,120,120,50116.0,50133.1,30,63210,51870,50071.67,49980.0,50157.95,0,0,50010.3,50097.1,sf,NSE:BANKNIFTY25MARFUT,17.3,0.0345
50121.65,24690,2025-03-21 09:16:35,1742528797,120,120,50116.0,50133.1,30,63210,51870,50071.67,49980.0,50157.95,0,0,50010.3,50097.1,sf,NSE:BANKNIFTY25MARFUT,24.55,0.049
50121.65,25020,2025-03-21 09:16:37,1742528798,30,120,50116.0,50133.0,30,59220,43170,50072.25,49980.0,50157.95,0,0,50010.3,50097.1,sf,NSE:BANKNIFTY25MARFUT,24.55,0.049
50132.6,25020,2025-03-21 09:16:37,1742528799,30,120,50116.0,50133.0,30,59220,43170,50072.25,49980.0,50157.95,0,0,50010.3,50097.1,sf,NSE:BANKNIFTY25MARFUT,35.5,0.0709
50132.6,25050,2025-03-21 09:16:39,1742528799,30,120,50116.0,50129.95,30,47220,48030,50072.33,49980.0,50157.95,0,0,50010.3,50097.1,sf,NSE:BANKNIFTY25MARFUT,35.5,0.0709
50116.0,25050,2025-03-21 09:16:39,1742528800,30,120,50116.0,50129.95,30,47220,48030,50072.33,49980.0,50157.95,0,0,50010.3,50097.1,sf,NSE:BANKNIFTY25MARFUT,18.9,0.0377
50128.65,25110,2025-03-21 09:16:40,1742528801,60,120,50116.05,50128.7,30,60780,41520,50072.45,49980.0,50157.95,0,0,50010.3,50097.1,sf,NSE:BANKNIFTY25MARFUT,31.55,0.063
50128.0,25110,2025-03-21 09:16:40,1742528802,60,120,50116.05,50128.7,30,60780,41520,50072.45,49980.0,50157.95,0,0,50010.3,50097.1,sf,NSE:BANKNIFTY25MARFUT,30.9,0.0617
