ltp,vol_traded_today,last_traded_time,exch_feed_time,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,low_price,high_price,lower_ckt,upper_ckt,open_price,prev_close_price,type,symbol,ch,chp
54679.0,50520,2025-04-21 09:15:14,1745207115,30,120,54678.0,54689.8,60,47580,49110,54639.17,54577.8,54695.6,0,0,54640.8,54201.4,sf,NSE:BANKNIFTY25APRFUT,477.6,0.8812
54680.4,57180,2025-04-21 09:15:15,1745207115,120,30,54678.4,54692.0,30,46200,51690,54644.16,54577.8,54695.6,0,0,54640.8,54201.4,sf,NSE:BANKNIFTY25APRFUT,479.0,0.8837
54689.8,57180,2025-04-21 09:15:15,1745207116,120,30,54678.4,54692.0,30,46200,51690,54644.16,54577.8,54695.6,0,0,54640.8,54201.4,sf,NSE:BANKNIFTY25APRFUT,488.4,0.9011
54687.8,59130,2025-04-21 09:15:16,1745207116,30,30,54688.6,54690.2,30,47790,51300,54645.49,54577.8,54695.6,0,0,54640.8,54201.4,sf,NSE:BANKNIFTY25APRFUT,486.4,0.8974
54682.6,59130,2025-04-21 09:15:16,1745207117,30,30,54688.6,54690.2,30,47790,51300,54645.49,54577.8,54695.6,0,0,54640.8,54201.4,sf,NSE:BANKNIFTY25APRFUT,481.2,0.8878
54687.0,62700,2025-04-21 09:15:17,1745207118,30,120,54684.8,54695.8,30,45090,54930,54647.75,54577.8,54695.8,0,0,54640.8,54201.4,sf,NSE:BANKNIFTY25APRFUT,485.6,0.8959
54690.0,67710,2025-04-21 09:15:19,1745207119,30,120,54687.8,54690.0,30,47640,57000,54650.58,54577.8,54695.8,0,0,54640.8,54201.4,sf,NSE:BANKNIFTY25APRFUT,488.6,0.9015
54699.0,67710,2025-04-21 09:15:19,1745207119,30,120,54687.8,54690.0,30,47640,57000,54650.58,54577.8,54695.8,0,0,54640.8,54201.4,sf,NSE:BANKNIFTY25APRFUT,497.6,0.9181
54694.8,71910,2025-04-21 09:15:20,1745207120,90,1020,54695.0,54700.0,30,51720,59340,54653.26,54577.8,54700.0,0,0,54640.8,54201.4,sf,NSE:BANKNIFTY25APRFUT,493.4,0.9103
54708.8,76410,2025-04-21 09:15:21,1745207121,30,210,54702.0,54708.8,30,48090,50490,54656.07,54577.8,54708.8,0,0,54640.8,54201.4,sf,NSE:BANKNIFTY25APRFUT,507.4,0.9361
54713.2,76410,2025-04-21 09:15:21,1745207122,30,210,54702.0,54708.8,30,48090,50490,54656.07,54577.8,54708.8,0,0,54640.8,54201.4,sf,NSE:BANKNIFTY25APRFUT,511.8,0.9443
54713.4,79320,2025-04-21 09:15:22,1745207122,30,240,54708.2,54715.0,30,50820,52860,54658.0,54577.8,54722.0,0,0,54640.8,54201.4,sf,NSE:BANKNIFTY25APRFUT,512.0,0.9446
54727.2,79320,2025-04-21 09:15:22,1745207123,30,240,54708.2,54715.0,30,50820,52860,54658.0,54577.8,54722.0,0,0,54640.8,54201.4,sf,NSE:BANKNIFTY25APRFUT,525.8,0.9701
54734.6,81810,2025-04-21 09:15:23,1745207123,120,120,54726.8,54739.8,30,55380,48030,54659.76,54577.8,54739.8,0,0,54640.8,54201.4,sf,NSE:BANKNIFTY25APRFUT,533.2,0.9837
54736.4,81810,2025-04-21 09:15:23,1745207124,120,120,54726.8,54739.8,30,55380,48030,54659.76,54577.8,54739.8,0,0,54640.8,54201.4,sf,NSE:BANKNIFTY25APRFUT,535.0,0.9871
54743.0,85740,2025-04-21 09:15:25,1745207125,30,300,54743.2,54750.0,30,58500,57540,54663.27,54577.8,54749.8,0,0,54640.8,54201.4,sf,NSE:BANKNIFTY25APRFUT,541.6,0.9992
54749.0,85740,2025-04-21 09:15:25,1745207126,30,300,54743.2,54750.0,30,58500,57540,54663.27,54577.8,54749.8,0,0,54640.8,54201.4,sf,NSE:BANKNIFTY25APRFUT,547.6,1.0103
54749.8,87690,2025-04-21 09:15:26,1745207126,30,120,54751.2,54772.8,30,56310,46560,54665.06,54577.8,54752.0,0,0,54640.8,54201.4,sf,NSE:BANKNIFTY25APRFUT,548.4,1.0118
