last_traded_time,ltp,tot_buy_qty,tot_sell_qty,last_traded_time,ltp,tot_buy_qty,tot_sell_qty,last_traded_time,ltp,tot_buy_qty,tot_sell_qty
21-05-2025 09:17,24764,180900,256575,21-05-2025 09:17,121,3348300,638100,21-05-2025 09:17,101.85,3563100,462225
21-05-2025 09:17,24765,205725,259275,21-05-2025 09:17,121.25,3370275,665700,21-05-2025 09:17,99.95,3613650,490050
21-05-2025 09:17,24768,197775,252975,21-05-2025 09:17,122.5,3406950,661800,21-05-2025 09:17,99.75,3601350,532500
21-05-2025 09:17,24764.1,205200,258600,21-05-2025 09:17,122.5,3416475,666600,21-05-2025 09:17,98.5,3617925,543225
21-05-2025 09:18,24769.8,207000,255225,21-05-2025 09:18,122.3,3432600,683925,21-05-2025 09:18,97.75,3587925,570675
21-05-2025 09:18,24767.5,211725,260625,21-05-2025 09:18,121.1,3425700,685575,21-05-2025 09:18,101.7,3596625,578025
21-05-2025 09:18,24765,198375,260775,21-05-2025 09:18,121.95,3422175,694425,21-05-2025 09:18,100.85,3600525,566550
21-05-2025 09:18,24757.9,197625,263775,21-05-2025 09:18,119.15,3394575,699000,21-05-2025 09:18,109.2,3622125,563400
21-05-2025 09:18,24756.6,210300,267375,21-05-2025 09:18,119.55,3357375,707775,21-05-2025 09:18,106.5,3626625,443400
21-05-2025 09:18,24755.6,198675,267075,21-05-2025 09:18,119.35,3387450,766875,21-05-2025 09:18,105.25,3618600,511725
21-05-2025 09:19,24757.3,206925,269550,21-05-2025 09:19,119.9,3437100,773925,21-05-2025 09:19,106.4,3600150,551250
21-05-2025 09:19,24752.5,200475,274050,21-05-2025 09:19,119.7,3437775,823950,21-05-2025 09:19,109,3684525,545250
21-05-2025 09:19,24759.4,207450,279225,21-05-2025 09:19,118.4,3434475,847950,21-05-2025 09:19,108.25,3703350,496575
21-05-2025 09:19,24760,222450,278700,21-05-2025 09:19,123.2,3457275,825375,21-05-2025 09:19,102.7,3690975,557550
21-05-2025 09:19,24762.1,224625,270075,21-05-2025 09:19,123.25,3478125,748950,21-05-2025 09:19,102.95,3563250,581625
21-05-2025 09:19,24766.3,221625,276600,21-05-2025 09:19,124.2,3502425,764325,21-05-2025 09:19,101.1,3582375,633825
21-05-2025 09:20,24775,222300,276300,21-05-2025 09:20,127.55,3528900,740175,21-05-2025 09:20,98.5,3485250,651000
21-05-2025 09:20,24777.7,227250,282675,21-05-2025 09:20,128.4,3541050,735525,21-05-2025 09:20,97.6,3452325,690000
21-05-2025 09:20,24780,224100,281700,21-05-2025 09:20,128.55,3550200,772275,21-05-2025 09:20,95.65,3466725,709800
21-05-2025 09:20,24774.7,220125,281475,21-05-2025 09:20,128.25,3563475,792750,21-05-2025 09:20,95.6,3414975,740400
21-05-2025 09:20,24779.5,222975,288075,21-05-2025 09:20,129.75,3531450,819525,21-05-2025 09:20,94.75,3509775,722025
21-05-2025 09:20,24780.2,225450,283575,21-05-2025 09:20,131.25,3533475,807975,21-05-2025 09:20,93.45,3483450,724650
21-05-2025 09:21,24785.4,224175,285150,21-05-2025 09:21,132.55,3552975,755850,21-05-2025 09:21,92.2,3460800,771225
21-05-2025 09:21,24788.5,218625,283050,21-05-2025 09:21,132.8,3563625,693150,21-05-2025 09:21,93.25,3470400,780225
21-05-2025 09:21,24785,224250,286125,21-05-2025 09:21,132.8,3562350,728475,21-05-2025 09:21,93.1,3513000,799275
21-05-2025 09:21,24783.5,229275,288975,21-05-2025 09:21,133.7,3542175,763050,21-05-2025 09:21,92.2,3602775,795750
21-05-2025 09:21,24790.3,242100,282225,21-05-2025 09:21,137.9,3567825,740325,21-05-2025 09:21,90.75,3579600,822450
21-05-2025 09:21,24790,228150,288150,21-05-2025 09:21,137,3573675,687975,21-05-2025 09:21,91.6,3633750,827325
21-05-2025 09:22,24795,238350,286800,21-05-2025 09:22,137.2,3550050,698325,21-05-2025 09:22,90.85,3660075,854400
21-05-2025 09:22,24793.2,233025,294075,21-05-2025 09:22,136,3554250,716850,21-05-2025 09:22,92.8,3686250,861900
