last_traded_time,ltp,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,last_traded_time,ltp,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,last_traded_time,ltp,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
21-11-2024 09:35,23294,-44700,-0.25,18625,-5825,N,17825,N,-10.13,23328,23294,21-11-2024 09:45,13.7,-49925,-0.05,25950,129275,N,363300,N,-2.63,21-11-2024 09:30,149.75,-1675,-2.84E-14,6475,-16300,N,30200,N,0.9
21-11-2024 09:40,23322.6,40700,0.3,19675,19225,Y,50,Y,-6.03,23292,23322.6,21-11-2024 09:50,15.1,121200,-0.05,48500,367125,Y,369675,N,-2.01,21-11-2024 09:35,158.8,-48850,0,21275,371300,YES,-76775,YES,2.91
21-11-2024 09:45,23304.55,298550,-0.8,17300,-8925,YES,7625,N,-2.63,23322,23304.55,21-11-2024 09:55,12.85,39500,3.55E-15,49300,-68150,YES,184800,N,-1.81,21-11-2024 09:40,133.95,-34625,-0.15,27175,-475350,Y,11400,Y,1.47
21-11-2024 09:50,23316.95,79725,-2.6,15050,21425,Y,-1250,Y,-1.78,23304.5,23316.95,21-11-2024 10:00,16.4,128625,0,40175,320800,Y,1825,Y,-2.31,21-11-2024 09:45,140.65,-11050,-0.1,22950,23525,YES,37600,Y,0.02
21-11-2024 09:55,23320,-13850,2.7,15875,1675,YES,12100,N,-0.72,23317.9,23320,21-11-2024 10:05,12.1,29450,-0.1,41900,-49350,YES,-15275,Y,-2.14,21-11-2024 09:50,125.3,-17925,0,25350,-63400,Y,97850,Y,0.01
21-11-2024 10:00,23341.15,1650,-1.05,16650,1725,N,-8775,Y,-1.06,23324.7,23341.15,21-11-2024 10:10,11.85,-148000,-1.78E-15,43900,299400,Y,216975,YES,-1.05,21-11-2024 09:55,131.35,-3825,-0.15,25650,-525,YES,-24050,YES,-0.23
21-11-2024 10:05,23336.95,3800,3.2,18025,1125,YES,28300,YES,0.36,23341.15,23336.95,21-11-2024 10:15,12.3,160900,-1.78E-15,34275,69350,N,121625,N,-0.79,21-11-2024 10:00,111.9,1250,0.3,21150,-46650,Y,-26625,YES,-0.07
21-11-2024 10:10,23329.85,-11800,0.95,21100,14400,N,9900,N,-0.25,23336.25,23329.85,21-11-2024 10:20,13.45,804800,0,51775,-238100,YES,-40150,Y,-0.87,21-11-2024 10:05,119.25,-54975,-0.25,24525,116075,YES,-29150,YES,-2.22
21-11-2024 10:15,23336.4,-34475,-1.4,30775,16150,N,6175,N,-0.78,23328.7,23336.4,21-11-2024 10:25,10.7,212750,0,54975,-147125,Y,302000,YES,-0.8,21-11-2024 10:10,121.45,45275,-0.15,29400,31225,N,84500,Y,-0.48
21-11-2024 10:20,23360,-7125,1.5,15350,11275,N,10525,N,-0.14,23338.7,23360,21-11-2024 10:30,9.35,100750,-0.05,54825,-236600,YES,127150,N,-0.72,21-11-2024 10:15,114.7,-24375,-0.1,25825,-44025,Y,113625,Y,-0.19
21-11-2024 10:25,23349.1,45300,-0.2,14025,275,YES,5525,N,-0.13,23360,23349.1,21-11-2024 10:35,8.85,173375,-1.78E-15,57125,141375,Y,41625,N,-0.71,21-11-2024 10:20,103.05,-29150,0,25700,138700,YES,48125,N,-0.5
21-11-2024 10:30,23343.95,-26800,1,13975,7600,N,1075,Y,-0.01,23349.3,23343.95,21-11-2024 10:40,9.1,319325,0,59900,60075,N,76600,YES,-0.43,21-11-2024 10:25,105.6,14925,-0.05,28475,91750,N,38500,N,-0.45
