ltp,vol_traded_today,last_traded_time,exch_feed_time,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,low_price,high_price,lower_ckt,upper_ckt,open_price,prev_close_price,type,symbol,ch,chp
50020.0,429840,2024-11-21 09:33:35,1732161815,30,225,50015.1,50020.0,45,57315,99045,50216.87,50016.55,50579.95,0,0,50500.05,50590.9,sf,NSE:BANKNIFTY24NOVFUT,-570.9,-1.1285
50020.0,429840,2024-11-21 09:33:35,1732161816,30,225,50015.1,50020.0,15,57315,99045,50216.87,50016.55,50579.95,0,0,50500.05,50590.9,sf,NSE:BANKNIFTY24NOVFUT,-570.9,-1.1285
50015.55,430560,2024-11-21 09:33:37,1732161817,30,135,50016.25,50020.0,15,66180,88050,50216.54,50013.0,50579.95,0,0,50500.05,50590.9,sf,NSE:BANKNIFTY24NOVFUT,-575.35,-1.1373
50016.0,430560,2024-11-21 09:33:37,1732161817,30,135,50016.25,50020.0,30,66180,88050,50216.54,50013.0,50579.95,0,0,50500.05,50590.9,sf,NSE:BANKNIFTY24NOVFUT,-574.9,-1.1364
50015.0,430710,2024-11-21 09:33:38,1732161818,450,135,50013.0,50020.0,45,46470,99780,50216.47,50013.0,50579.95,0,0,50500.05,50590.9,sf,NSE:BANKNIFTY24NOVFUT,-575.9,-1.1383
50020.0,430710,2024-11-21 09:33:38,1732161819,450,135,50013.0,50020.0,15,46470,99780,50216.47,50013.0,50579.95,0,0,50500.05,50590.9,sf,NSE:BANKNIFTY24NOVFUT,-570.9,-1.1285
50015.45,431100,2024-11-21 09:33:40,1732161820,195,60,50013.0,50016.25,15,57630,99075,50216.28,50013.0,50579.95,0,0,50500.05,50590.9,sf,NSE:BANKNIFTY24NOVFUT,-575.45,-1.1375
50013.0,431100,2024-11-21 09:33:40,1732161821,195,60,50013.0,50016.25,60,57630,99075,50216.28,50013.0,50579.95,0,0,50500.05,50590.9,sf,NSE:BANKNIFTY24NOVFUT,-577.9,-1.1423
50013.0,431310,2024-11-21 09:33:41,1732161822,15,75,50011.55,50016.2,30,59220,99795,50216.19,50013.0,50579.95,0,0,50500.05,50590.9,sf,NSE:BANKNIFTY24NOVFUT,-577.9,-1.1423
50011.0,431355,2024-11-21 09:33:43,1732161823,15,120,50010.5,50013.0,15,62925,93540,50216.16,50011.0,50579.95,0,0,50500.05,50590.9,sf,NSE:BANKNIFTY24NOVFUT,-579.9,-1.1463
50000.0,431355,2024-11-21 09:33:43,1732161824,15,120,50010.5,50013.0,45,62925,93540,50216.16,50011.0,50579.95,0,0,50500.05,50590.9,sf,NSE:BANKNIFTY24NOVFUT,-590.9,-1.168
50000.45,437805,2024-11-21 09:33:45,1732161825,540,1305,50000.0,50005.0,30,59970,100860,50213.04,50000.0,50579.95,0,0,50500.05,50590.9,sf,NSE:BANKNIFTY24NOVFUT,-590.45,-1.1671
