ltp,vol_traded_today,last_traded_time,exch_feed_time,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,low_price,high_price,lower_ckt,upper_ckt,open_price,prev_close_price,type,symbol,ch,chp
146.25,46931100,2024-11-21 09:33:55,1732161835,125,75,146.15,146.4,25,32171800,779850,124.11,48.0,161.55,0,0,48.0,70.95,sf,NSE:NIFTY24N2123400PE,75.3,106.1311
146.55,46931100,2024-11-21 09:33:55,1732161836,125,75,146.15,146.4,25,32171800,779850,124.11,48.0,161.55,0,0,48.0,70.95,sf,NSE:NIFTY24N2123400PE,75.6,106.5539
145.9,47095550,2024-11-21 09:33:57,1732161837,425,200,145.25,145.65,25,32196250,726650,124.19,48.0,161.55,0,0,48.0,70.95,sf,NSE:NIFTY24N2123400PE,74.95,105.6378
145.0,47095550,2024-11-21 09:33:57,1732161838,425,200,145.25,145.65,100,32196250,726650,124.19,48.0,161.55,0,0,48.0,70.95,sf,NSE:NIFTY24N2123400PE,74.05,104.3693
144.85,47182450,2024-11-21 09:33:59,1732161839,250,550,144.85,145.3,75,32192450,736925,124.23,48.0,161.55,0,0,48.0,70.95,sf,NSE:NIFTY24N2123400PE,73.9,104.1579
144.15,47182450,2024-11-21 09:33:59,1732161839,250,550,144.85,145.3,100,32192450,736925,124.23,48.0,161.55,0,0,48.0,70.95,sf,NSE:NIFTY24N2123400PE,73.2,103.1712
144.15,47182450,2024-11-21 09:33:59,1732161840,250,550,144.85,145.3,100,32192450,736925,124.23,48.0,161.55,0,0,48.0,70.95,sf,NSE:NIFTY24N2123400PE,73.2,103.1712
147.0,47182450,2024-11-21 09:33:59,1732161840,250,550,144.85,145.3,25,32192450,736925,124.23,48.0,161.55,0,0,48.0,70.95,sf,NSE:NIFTY24N2123400PE,76.05,107.1882
146.55,47259150,2024-11-21 09:34:00,1732161840,275,200,146.6,146.95,25,32203175,737850,124.26,48.0,161.55,0,0,48.0,70.95,sf,NSE:NIFTY24N2123400PE,75.6,106.5539
144.0,47259150,2024-11-21 09:34:00,1732161841,275,200,146.6,146.95,25,32203175,737850,124.26,48.0,161.55,0,0,48.0,70.95,sf,NSE:NIFTY24N2123400PE,73.05,102.9598
144.35,47338625,2024-11-21 09:34:02,1732161842,400,25,143.65,143.95,50,32189225,745525,124.3,48.0,161.55,0,0,48.0,70.95,sf,NSE:NIFTY24N2123400PE,73.4,103.4531
141.9,47338625,2024-11-21 09:34:02,1732161843,400,25,143.65,143.95,25,32189225,745525,124.3,48.0,161.55,0,0,48.0,70.95,sf,NSE:NIFTY24N2123400PE,70.95,100.0
141.05,47399675,2024-11-21 09:34:04,1732161844,375,350,141.05,141.45,50,32181625,753475,124.32,48.0,161.55,0,0,48.0,70.95,sf,NSE:NIFTY24N2123400PE,70.1,98.802
141.0,47399675,2024-11-21 09:34:04,1732161844,375,350,141.05,141.45,50,32181625,753475,124.32,48.0,161.55,0,0,48.0,70.95,sf,NSE:NIFTY24N2123400PE,70.05,98.7315
141.5,47522650,2024-11-21 09:34:05,1732161845,150,250,141.5,141.9,25,32127075,757575,124.36,48.0,161.55,0,0,48.0,70.95,sf,NSE:NIFTY24N2123400PE,70.55,99.4362
142.0,47522650,2024-11-21 09:34:05,1732161846,150,250,141.5,141.9,150,32127075,757575,124.36,48.0,161.55,0,0,48.0,70.95,sf,NSE:NIFTY24N2123400PE,71.05,100.1409
