last_traded_time,ltp,tot_buy_qty,tot_sell_qty,ltp,tot_buy_qty,tot_sell_qty,ltp,tot_buy_qty,tot_sell_qty
23-04-2025 09:16,24296,153225,143325,143.6,5985525,629400,47.2,5921250,340575
23-04-2025 09:16,24304.4,154800,139275,147.55,6028800,614700,45.35,5888250,343725
23-04-2025 09:16,24303,157275,139350,148,5957700,643500,42.95,5883000,345150
23-04-2025 09:16,24303.1,165000,148050,148.6,5852925,673050,42.85,5904600,352800
23-04-2025 09:16,24307.5,162225,150675,150.65,5850375,674850,44.85,5944875,349875
23-04-2025 09:16,24307,162450,146250,151.6,5843700,550800,45.1,5975850,338475
23-04-2025 09:17,24309,163425,148050,156.1,5852175,495600,44.9,5976975,354600
23-04-2025 09:17,24317.2,165600,139950,164,5866200,479700,46.65,5997150,367725
23-04-2025 09:17,24319,162675,148350,163.1,5880300,408150,45.9,6001050,356775
23-04-2025 09:17,24318.1,159975,158925,161.6,5865600,457275,44,6009900,383250
23-04-2025 09:17,24314.2,160725,148725,159.2,5844525,474450,42.25,5998125,394500
23-04-2025 09:17,24321.5,158775,157425,162.15,5824275,503625,42.6,6001050,393525
23-04-2025 09:18,24315.6,162750,157425,160.9,5852100,513375,42.9,6038325,383100
23-04-2025 09:18,24317.8,163050,164850,156.6,5841450,569325,42.15,6045525,401175
23-04-2025 09:18,24310,160575,168825,155.05,5808825,581550,43.2,6055275,403050
23-04-2025 09:18,24310.5,161250,164625,157.75,5782800,578475,42.55,6062925,407475
23-04-2025 09:18,24317.7,168375,167775,157.8,5813400,580425,41.9,6056175,414825
23-04-2025 09:18,24313.7,164400,163725,155.4,5830875,606600,42.2,6408975,423975
23-04-2025 09:19,24310.1,160575,170400,152.25,5811825,624150,43.7,6435525,419100
23-04-2025 09:19,24302.9,163875,175725,149.1,5809050,650475,44,6443025,418725
23-04-2025 09:19,24307,165000,174075,151.45,5787900,666150,43.25,6433425,449925
23-04-2025 09:19,24310.1,166800,174000,151.8,5807775,693150,41.35,6420600,467550
23-04-2025 09:19,24305,167175,178275,150.85,5807925,714825,41.3,6412350,465900
23-04-2025 09:19,24308.2,169350,180150,148.5,5826300,734700,40.65,6413550,503325
23-04-2025 09:20,24310.1,175950,186525,153.35,2640825,734700,41.45,6400950,469500
23-04-2025 09:20,24309.4,172200,171750,154.65,738225,722700,42.15,4161525,472575
23-04-2025 09:20,24316.5,174075,162000,157.1,752625,696900,40.55,4138125,483900
23-04-2025 09:20,24318.2,168750,162750,157.1,761025,653400,40.65,4095600,468375
23-04-2025 09:20,24320,175950,161775,160.05,793800,663825,39.6,4112700,480300
23-04-2025 09:20,24325.8,172800,163650,161,796725,652350,39.8,4118700,491550
23-04-2025 09:21,24325.8,171600,169275,160.75,778875,662175,39.35,4126050,540075
23-04-2025 09:21,24327.4,172200,165450,162.85,768225,670200,38.35,4111650,560700
23-04-2025 09:21,24326,179475,165975,166.15,800325,692625,38.3,4101075,573600
23-04-2025 09:21,24331.4,179250,167400,171.65,819525,613875,37.8,4093800,617625
23-04-2025 09:21,24329.9,169800,162150,168.2,825150,548400,38.05,4099275,626100
23-04-2025 09:21,24335.6,171225,172650,169.6,813525,582525,37.7,4113825,583050
23-04-2025 09:22,24337.5,170250,166800,173,879825,595050,36.85,4095300,622050
23-04-2025 09:22,24335.1,171600,168075,171.5,890775,619650,37.25,4105275,618525
23-04-2025 09:22,24335.3,168000,167325,170.15,909225,628050,37.6,4111800,564150
23-04-2025 09:22,24343,170100,165450,177.6,886575,631350,36.1,4123125,633075
23-04-2025 09:22,24343,166350,164775,178.2,861525,536100,36,4105350,670950
23-04-2025 09:22,24343.9,170850,160425,177.5,859275,549600,35.75,4119750,637275
23-04-2025 09:23,24345,175875,159600,178.5,847200,570600,35.2,4125000,635325
23-04-2025 09:23,24342.3,163650,163575,175.6,837825,595500,36.25,4188975,634875
23-04-2025 09:23,24340,163800,171825,174.1,814425,608475,36.65,4204725,587700
23-04-2025 09:23,24339.5,170325,166200,178,831375,608775,35.45,4202775,611025
23-04-2025 09:23,24342,168675,160950,178.4,831225,604050,35.4,4184850,620625
23-04-2025 09:23,24344,168075,159675,180.75,867150,604275,34.55,4130550,635925
23-04-2025 09:24,24344,171450,165900,177.3,864000,537000,34.95,4124925,640650
23-04-2025 09:24,24342.9,174525,165450,178.8,843525,553425,34.55,4130400,628125
23-04-2025 09:24,24340.9,173100,159600,179.4,867975,558900,34.15,4139325,648075
23-04-2025 09:24,24341.1,171150,165150,179.05,840600,548700,33.85,4098300,671775
23-04-2025 09:24,24347,183225,157350,182,835950,550725,33.3,4107075,684750
23-04-2025 09:24,24350.7,177375,163350,181.9,839550,529125,33.85,4120500,686325
23-04-2025 09:25,24350,185325,168225,181.1,843600,533250,33.75,4137975,676200
23-04-2025 09:25,24350.4,175875,168900,181.15,833625,540225,33.45,4146300,687525
23-04-2025 09:25,24348.5,181500,165450,179.4,818625,551775,33.2,4097475,730275
23-04-2025 09:25,24345.3,188100,168600,181.5,803775,551250,32.9,4094700,705750
23-04-2025 09:25,24340.1,181200,177075,177.55,805725,570825,34,4133925,692025
23-04-2025 09:25,24345.9,182775,171525,177.15,795000,591600,34.2,4148400,640650
23-04-2025 09:26,24337.6,180825,182400,170.5,778050,608100,35.9,4191225,620625
23-04-2025 09:26,24335,188625,178275,171.55,697425,609000,35.6,4196175,610650
23-04-2025 09:26,24339,191475,181500,174.5,700875,612900,35.35,4181625,639600
23-04-2025 09:26,24339.3,189975,176025,177.05,709800,614925,34.85,4175400,658275
23-04-2025 09:26,24340,191925,188550,172.6,707100,616575,35.55,4179075,664350
23-04-2025 09:26,24335,190500,189975,172.6,693075,623175,34.9,4204200,665850
23-04-2025 09:27,24340.1,191025,173925,177.05,714600,623475,33.85,4172025,678225
23-04-2025 09:27,24336.4,192750,182250,173.8,715575,627525,34.6,4152150,695400
23-04-2025 09:27,24338.6,200925,182475,176.15,734325,636600,33.9,4175475,706800
23-04-2025 09:27,24335.1,193575,182175,170.1,735300,654375,34.9,4183575,709350
23-04-2025 09:27,24332.5,194175,186075,170.3,679875,657150,34.3,4184700,698100
23-04-2025 09:27,24335,192150,192225,170.45,685125,670275,34.25,4195200,730200
23-04-2025 09:28,24330,193650,190500,163.8,689100,673500,35.6,4214625,727275
23-04-2025 09:28,24325.9,193950,191025,165.6,658125,671250,34.75,4209450,715200
23-04-2025 09:28,24328.8,196650,175275,163.5,660525,668700,35.6,4225200,735525
23-04-2025 09:28,24323.3,194025,186075,162.7,649275,670350,35.45,4216125,676200
23-04-2025 09:28,24319.1,194175,182550,159.15,648900,667725,36.4,4242300,655200
23-04-2025 09:28,24318,200025,184950,156.55,631800,645300,37.6,4235700,653175
23-04-2025 09:29,24318.7,194100,178125,159.8,640050,634125,37.25,4236375,659025
23-04-2025 09:29,24319.8,203025,184725,157.4,645375,634950,38.7,4254975,660225
23-04-2025 09:29,24315,188175,189375,155.85,650325,642450,40.9,4292100,627900
