last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_2,close_2,high,low,avg_trade_price
2025-04-23 09:15:00,8.049999999999997,16298250.0,165,175200,178125,7.549999999999997,7.5,-2925,-78.40000000000146,35925,2618025.0,N,429450.0,N,78.65,86.7,103.25,76.0,88.38
2025-04-23 09:20:00,25.75,15825150.0,180,250350,386250,25.599999999999994,25.64999999999999,-135900,-90.65000000000146,42675,440850.0,N,-130875.0,Y,86.9,112.65,113.8,84.9,95.32
2025-04-23 09:25:00,-24.450000000000003,10101450.0,180,405300,256575,-23.900000000000006,-23.900000000000006,148725,-84.59999999999127,39825,-554475.0,YES,509400.0,YES,112.95,88.5,113.1,87.85,96.77
2025-04-23 09:30:00,-8.649999999999991,15786975.0,180,227850,319800,-9.150000000000006,-9.150000000000006,-91950,-75.69999999999709,43650,302550.0,Y,360150.0,N,87.05,78.4,96.9,72.4,93.55
2025-04-23 09:35:00,-4.700000000000003,9711150.0,180,374175,442575,-4.150000000000006,-4.25,-68400,-67.0,45150,277200.0,N,302775.0,N,78.0,73.3,78.45,68.15,90.8
2025-04-23 09:40:00,16.5,12990525.0,180,406425,413100,15.75,15.799999999999997,-6675,-75.25,52050,388950.0,Y,-257475.0,Y,72.5,89.0,89.15,70.55,89.21
2025-04-23 09:45:00,5.900000000000006,14363925.0,180,315375,286500,6.8999999999999915,6.849999999999994,28875,-86.49999999999272,40725,-185775.0,YES,115725.0,YES,88.55,94.45,102.9,86.2,90.1
2025-04-23 09:50:00,-8.200000000000003,8492775.0,180,286500,313125,-6.450000000000003,-6.3500000000000085,-26625,-80.15000000000146,43425,-32550.0,Y,138975.0,YES,94.55,86.35,95.0,80.2,89.83
2025-04-23 09:55:00,-7.1499999999999915,6711225.0,157,297225,328575,-7.8999999999999915,-7.950000000000003,-31350,-64.40000000000146,38925,-99000.0,YES,228450.0,YES,86.6,79.45,88.05,74.8,89.26
2025-04-23 10:00:00,-10.049999999999997,7649325.0,180,382350,453000,-10.550000000000011,-10.549999999999997,-70650,-66.75,44175,-285975.0,YES,212100.0,N,79.85,69.8,83.95,68.0,88.41
2025-04-23 10:05:00,-10.299999999999997,13049100.0,181,445950,437175,-10.25,-10.250000000000007,8775,-59.14999999999782,49875,-50550.0,Y,190650.0,N,69.85,59.55,69.85,56.0,85.79
2025-04-23 10:10:00,-13.850000000000001,8681400.0,178,549150,567450,-13.5,-13.549999999999997,-18300,-53.69999999999709,53850,-174300.0,YES,149475.0,N,59.25,45.4,61.85,45.2,83.89
2025-04-23 10:15:00,9.099999999999994,8764950.0,180,688725,730575,8.899999999999999,8.949999999999996,-41850,-52.75,54825,344700.0,Y,139350.0,N,45.2,54.3,59.45,45.2,82.09
2025-04-23 10:20:00,-2.299999999999997,4857150.0,180,961425,771450,-2.200000000000003,-2.1499999999999986,189975,-51.04999999999927,47175,38325.0,N,262350.0,YES,54.3,52.0,57.7,48.6,81.2
2025-04-23 10:25:00,5.100000000000001,4821750.0,181,871425,920550,4.649999999999999,4.649999999999999,-49125,-48.54999999999927,57000,150675.0,Y,-27975.0,Y,52.15,57.25,57.25,49.1,80.39
