last_traded_time,ltp,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,ltp,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
23-04-2025 09:15,20,19.6,21.1,20850,-924.4,37275,52200,N,25350,N,4.23,24290,24308.2,6.2,5.75,5.75,-212400,-45.4,35400,168225,N,128700,N,5.83,-24.7,-23.55,-23.75,-24600,-101.1,29550,380025,N,98100,N,-5.95
23-04-2025 09:20,38.5,38.6,41.4,46575,-855.9,42150,35175,N,-51525,Y,9.27,24306,24350.7,16.7,16.35,16.4,2175,-57.35,43575,294225,Y,46875,N,4.3,-25.8,-25.8,-25.65,-22575,-105.9,41850,2489775,YES,112125,N,-8.54
23-04-2025 09:25,-49.7,-49.7,-45.9,66150,-1242,39750,-18450,YES,24525,YES,5.21,24350.7,24301,-14.65,-14.55,-14.6,75000,-54.25,44550,-288600,YES,477150,YES,0.87,30.4,30.45,30.5,-21825,-101.3,36750,99900,N,-88800,YES,-4.01
23-04-2025 09:30,-30.5,-29.5,-30.7,45900,-1073.2,38700,-19275,YES,8100,N,-5.95,24302,24271.5,-4.7,-5.5,-5.45,80325,-47.1,51975,55050,Y,202125,N,-1.65,21.55,22.85,22.85,-13125,-132.15,36750,-86100,Y,71025,Y,8.5
23-04-2025 09:35,-4.2,-3.8,-4.3,-34875,-861.1,38700,-12150,N,15675,N,-6.95,24271.5,24265.6,-2.55,-2.25,-2.2,-51225,-45.4,54450,71025,N,175800,N,-1.31,0.8,1.1,1.1,-6600,-165.6,43275,-15000,YES,-18300,YES,5.44
23-04-2025 09:40,41.6,43.9,44.8,-153525,-865.9,31725,-5325,N,7650,N,-1.89,24267.2,24312,9,8.95,8.95,12975,-47.75,46725,122400,Y,-165375,Y,-0.65,-36.4,-37.3,-37.35,-975,-146.75,38700,-77925,Y,48675,Y,1.07
23-04-2025 09:45,22.1,22.1,19.6,4950,-1093.5,36300,-825,N,-8400,Y,1.64,24307.9,24330.9,2.8,2.9,3,-118050,-51.5,50325,17550,N,136425,YES,0.26,-16.5,-16.95,-17.05,31050,-105.3,38550,140025,YES,106950,Y,-2.6
23-04-2025 09:50,-11.3,-11.2,-11.1,-37350,-950.1,28350,25425,Y,-13200,Y,0.47,24328.3,24317,-4.4,-4.35,-4.35,-66525,-49.9,56325,30300,N,146475,N,-0.31,7.05,5.5,5.5,17925,-112.45,39450,-19200,Y,-9750,YES,-1.34
23-04-2025 09:55,-20.3,-19.9,-19.6,38850,-773.9,22950,8025,N,7275,YES,-0.26,24316,24298.6,-4.25,-4.2,-4.2,73725,-40.1,47400,105675,Y,93900,N,-0.42,12.1,12.05,12.05,28800,-102.4,32250,35475,YES,-9000,N,-0.36
23-04-2025 10:00,-29.6,-30.2,-29.5,-7425,-672,26400,-10350,YES,-7575,Y,-0.71,24300,24270.4,-5.05,-4.85,-4.9,329475,-42.7,60150,-250950,YES,83550,N,-0.54,23.15,24.15,24.2,-25200,-130.6,37200,-17025,Y,-92700,YES,0.59
