ltp,vol_traded_today,last_traded_time,exch_feed_time,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,low_price,high_price,lower_ckt,upper_ckt,open_price,prev_close_price,type,symbol,ch,chp
91.55,1680900,2025-04-23 09:15:29,1745379930,225,150,91.55,91.9,75,1156500,121200,86.85,60.0,96.4,0,0,95.0,173.45,sf,NSE:NIFTY25APR24300PE,-81.9,-47.2182
92.65,1767750,2025-04-23 09:15:31,1745379931,75,225,92.65,92.95,75,1160025,122400,87.09,60.0,96.4,0,0,95.0,173.45,sf,NSE:NIFTY25APR24300PE,-80.8,-46.584
91.25,1767750,2025-04-23 09:15:31,1745379931,75,225,92.65,92.95,150,1160025,122400,87.09,60.0,96.4,0,0,95.0,173.45,sf,NSE:NIFTY25APR24300PE,-82.2,-47.3912
91.85,1853025,2025-04-23 09:15:32,1745379932,150,375,91.7,91.85,75,1165275,121125,87.29,60.0,96.4,0,0,95.0,173.45,sf,NSE:NIFTY25APR24300PE,-81.6,-47.0453
91.7,1853025,2025-04-23 09:15:32,1745379933,150,375,91.7,91.85,75,1165275,121125,87.29,60.0,96.4,0,0,95.0,173.45,sf,NSE:NIFTY25APR24300PE,-81.75,-47.1317
91.8,1944075,2025-04-23 09:15:34,1745379934,1050,225,91.5,91.8,75,1167825,126750,87.5,60.0,96.4,0,0,95.0,173.45,sf,NSE:NIFTY25APR24300PE,-81.65,-47.0741
92.0,1944075,2025-04-23 09:15:34,1745379934,1050,225,91.5,91.8,75,1167825,126750,87.5,60.0,96.4,0,0,95.0,173.45,sf,NSE:NIFTY25APR24300PE,-81.45,-46.9588
91.4,1944075,2025-04-23 09:15:34,1745379935,1050,225,91.5,91.8,75,1167825,126750,87.5,60.0,96.4,0,0,95.0,173.45,sf,NSE:NIFTY25APR24300PE,-82.05,-47.3047
91.95,2006700,2025-04-23 09:15:36,1745379936,225,825,91.95,92.2,75,1170225,129000,87.63,60.0,96.4,0,0,95.0,173.45,sf,NSE:NIFTY25APR24300PE,-81.5,-46.9876
92.05,2006700,2025-04-23 09:15:36,1745379936,225,825,91.95,92.2,150,1170225,129000,87.63,60.0,96.4,0,0,95.0,173.45,sf,NSE:NIFTY25APR24300PE,-81.4,-46.93
91.9,2058300,2025-04-23 09:15:37,1745379937,450,75,91.6,91.95,75,1179975,123975,87.74,60.0,96.4,0,0,95.0,173.45,sf,NSE:NIFTY25APR24300PE,-81.55,-47.0164
92.35,2058300,2025-04-23 09:15:37,1745379938,450,75,91.6,91.95,75,1179975,123975,87.74,60.0,96.4,0,0,95.0,173.45,sf,NSE:NIFTY25APR24300PE,-81.1,-46.757
92.6,2117925,2025-04-23 09:15:39,1745379939,750,225,92.55,92.95,150,1189950,131775,87.87,60.0,96.4,0,0,95.0,173.45,sf,NSE:NIFTY25APR24300PE,-80.85,-46.6129
93.35,2117925,2025-04-23 09:15:39,1745379939,750,225,92.55,92.95,75,1189950,131775,87.87,60.0,96.4,0,0,95.0,173.45,sf,NSE:NIFTY25APR24300PE,-80.1,-46.1805
95.6,2117925,2025-04-23 09:15:39,1745379940,750,225,92.55,92.95,150,1189950,131775,87.87,60.0,96.4,0,0,95.0,173.45,sf,NSE:NIFTY25APR24300PE,-77.85,-44.8833
93.35,2242950,2025-04-23 09:15:41,1745379941,75,525,92.85,93.35,75,1191150,130275,88.21,60.0,96.4,0,0,95.0,173.45,sf,NSE:NIFTY25APR24300PE,-80.1,-46.1805
91.95,2242950,2025-04-23 09:15:41,1745379941,75,525,92.85,93.35,75,1191150,130275,88.21,60.0,96.4,0,0,95.0,173.45,sf,NSE:NIFTY25APR24300PE,-81.5,-46.9876
92.8,2305575,2025-04-23 09:15:42,1745379942,525,825,92.85,93.2,75,1186425,130575,88.34,60.0,96.4,0,0,95.0,173.45,sf,NSE:NIFTY25APR24300PE,-80.65,-46.4975
94.15,2305575,2025-04-23 09:15:42,1745379942,525,825,92.85,93.2,75,1186425,130575,88.34,60.0,96.4,0,0,95.0,173.45,sf,NSE:NIFTY25APR24300PE,-79.3,-45.7192
93.75,2431350,2025-04-23 09:15:44,1745379944,75,150,93.6,93.9,75,1190550,134775,88.64,60.0,96.4,0,0,95.0,173.45,sf,NSE:NIFTY25APR24300PE,-79.7,-45.9498
