last_traded_time,ltp,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,last_traded_time,ltp,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open,close,high,low,avg_trade_price,last_traded_time,ltp,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open,close,high,low,avg_trade_price
23-05-2025 09:15,-3.7,-9.5,-8.4,9900,-1383.9,45825,37725,N,73725,N,-9.44,24651.2,24647.5,23-05-2025 09:15,-6.9,-5.7,-6.1,-47700,-244.05,54375,169575,N,206925,N,221.5,214.6,244.85,211.6,-7.72,23-05-2025 09:15,0.4,-1.45,-1.35,30750,-163.1,59100,-315300,N,267900,N,173.75,174.15,180.6,153.9,4.96
23-05-2025 09:20,96.8,100.6,95.8,-249900,-1580.4,50100,56475,N,27075,N,32.14,24645,24741.8,23-05-2025 09:20,56.25,57.15,57.4,-29925,-297.7,61350,55425,N,-79950,Y,216.75,273,277.95,216.75,17.51,23-05-2025 09:20,-40.3,-39.85,-39.75,-21300,-157.25,57450,-183750,YES,203625,N,173,132.7,173,131.25,-10.69
23-05-2025 09:25,-4.2,-3.7,-1.4,-45150,-1283.8,54675,34800,N,-18375,Y,17.52,24740.7,24736.5,23-05-2025 09:25,1.05,0.5,0.45,-2250,-286.75,63675,1126125,Y,47475,YES,271.55,272.6,288,264.05,6.49,23-05-2025 09:25,0.35,0.85,0.7,80625,-117.65,64200,81750,YES,145500,N,134,134.35,138.35,127.65,-5.24
23-05-2025 09:30,38.1,39.6,38.3,-77625,-1654.3,51300,47100,N,-29775,Y,11.99,24738.8,24776.9,23-05-2025 09:30,27.55,27.8,27.7,-31575,-309.45,56925,19575,N,-85650,Y,272.1,299.65,302.65,258,5.56,23-05-2025 09:30,-11.7,-11.95,-11.95,40350,-139.6,59775,-80925,Y,99825,N,134.75,123.05,142.25,121.7,-4.08
23-05-2025 09:35,2.9,3.3,3.1,-462525,-1010.6,52875,54300,N,-4500,YES,13.8,24775.1,24778,23-05-2025 09:35,1.1,2.3,2.45,-4500,-341.1,54825,-69675,YES,-12900,YES,299.5,300.6,318.4,293.05,6.21,23-05-2025 09:35,-3.7,-3.85,-3.8,54300,-119.3,71250,101700,YES,131925,Y,123.45,119.75,126,114.75,-4.03
23-05-2025 09:40,41.9,38.5,38,171900,-1154.8,58650,17100,N,-20700,Y,10.16,24777.1,24819,23-05-2025 09:40,25.55,25.3,25.05,-19650,-315.6,60750,8700,Y,-47925,Y,300.3,325.85,330.25,299.7,3.68,23-05-2025 09:40,-7.7,-7.4,-7.4,40950,-119.3,65400,-71475,Y,96750,N,120,112.3,123,110.1,-2.81
23-05-2025 09:45,-4,-2.7,-1,41250,-1290.4,48000,-10050,YES,52425,YES,9.79,24820,24816,23-05-2025 09:45,4.3,4.15,4.3,-5250,-350.25,62625,-27375,YES,10725,YES,326.45,330.75,339.8,310,4.21,23-05-2025 09:45,1.15,0.95,1,-54150,-121.45,63375,76875,YES,71700,N,112.2,113.35,117.75,108.2,-2.83
23-05-2025 09:50,23.9,23.1,25.2,118875,-897,52050,525,N,-21225,Y,5.89,24815.2,24839.1,23-05-2025 09:50,21.65,20.45,20.6,24750,-370.75,71475,-1500,Y,-60900,Y,329.65,351.3,352.8,317.25,3.33,23-05-2025 09:50,-4.55,-4.55,-4.55,-13575,-123.1,62100,-15600,Y,38025,N,113.5,108.95,118.75,107.35,-2.14
23-05-2025 09:55,-12,-7,-6.2,-1350,-952.8,57675,56625,Y,29550,YES,2.67,24843.9,24831.9,23-05-2025 09:55,-5.3,-4.65,-4.6,-6150,-320.95,81300,-6600,YES,22350,YES,350.85,345.55,350.85,333.1,2.03,23-05-2025 09:55,2.3,1.75,1.85,-142800,-122.15,64350,-600,N,23100,N,109.1,111.4,115.5,108.5,-1.41
23-05-2025 10:00,8.5,13.9,15.6,-14475,-1126,49275,6000,N,-24975,Y,6.66,24835,24843.5,23-05-2025 10:00,9.3,12.3,12.25,38850,-341.7,68100,-75,N,-19800,Y,346.95,356.25,371.9,335.75,2.73,23-05-2025 10:00,2.4,1.75,1.8,-136875,-113.85,81600,46650,YES,675,YES,110.95,113.35,117.4,107.1,-1.7
