ltp,vol_traded_today,last_traded_time,exch_feed_time,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,low_price,high_price,lower_ckt,upper_ckt,open_price,prev_close_price,type,symbol,ch,chp
26.8,106631175,2025-09-23 09:26:04,1758599765,2250,11025,26.55,26.65,75,72402975,3000900,25.97,19.6,37.0,0,0,36.65,38.15,sf,NSE:NIFTY2592325200PE,-11.35,-29.751
26.95,106903500,2025-09-23 09:26:05,1758599765,10425,4575,26.85,26.95,75,72439875,3002775,25.97,19.6,37.0,0,0,36.65,38.15,sf,NSE:NIFTY2592325200PE,-11.2,-29.3578
27.3,107060850,2025-09-23 09:26:07,1758599767,1500,9825,27.2,27.3,375,72440550,2993700,25.98,19.6,37.0,0,0,36.65,38.15,sf,NSE:NIFTY2592325200PE,-10.85,-28.4404
27.6,107060850,2025-09-23 09:26:07,1758599767,1500,9825,27.2,27.3,75,72440550,2993700,25.98,19.6,37.0,0,0,36.65,38.15,sf,NSE:NIFTY2592325200PE,-10.55,-27.654
27.25,107132250,2025-09-23 09:26:07,1758599767,6750,2400,27.35,27.45,150,72464925,2983425,25.98,19.6,37.0,0,0,36.65,38.15,sf,NSE:NIFTY2592325200PE,-10.9,-28.5714
26.5,107132250,2025-09-23 09:26:07,1758599768,6750,2400,27.35,27.45,150,72464925,2983425,25.98,19.6,37.0,0,0,36.65,38.15,sf,NSE:NIFTY2592325200PE,-11.65,-30.5374
26.05,107525700,2025-09-23 09:26:09,1758599769,4650,5925,26.05,26.15,75,72304275,3007950,25.98,19.6,37.0,0,0,36.65,38.15,sf,NSE:NIFTY2592325200PE,-12.1,-31.7169
26.3,107569200,2025-09-23 09:26:09,1758599769,6300,450,26.1,26.15,225,72331125,3008325,25.98,19.6,37.0,0,0,36.65,38.15,sf,NSE:NIFTY2592325200PE,-11.85,-31.0616
26.3,107569200,2025-09-23 09:26:09,1758599769,6300,450,26.1,26.15,150,72331125,3008325,25.98,19.6,37.0,0,0,36.65,38.15,sf,NSE:NIFTY2592325200PE,-11.85,-31.0616
26.35,107791575,2025-09-23 09:26:10,1758599770,4500,9600,26.5,26.6,450,72333300,3023100,25.98,19.6,37.0,0,0,36.65,38.15,sf,NSE:NIFTY2592325200PE,-11.8,-30.9305
26.8,107832300,2025-09-23 09:26:10,1758599770,1500,7125,26.8,26.85,75,72352950,2996100,25.98,19.6,37.0,0,0,36.65,38.15,sf,NSE:NIFTY2592325200PE,-11.35,-29.751
26.5,107832300,2025-09-23 09:26:10,1758599771,1500,7125,26.8,26.85,75,72352950,2996100,25.98,19.6,37.0,0,0,36.65,38.15,sf,NSE:NIFTY2592325200PE,-11.65,-30.5374
26.45,107832300,2025-09-23 09:26:10,1758599771,1500,7125,26.8,26.85,75,72352950,2996100,25.98,19.6,37.0,0,0,36.65,38.15,sf,NSE:NIFTY2592325200PE,-11.7,-30.6684
27.35,108023850,2025-09-23 09:26:12,1758599772,4800,375,27.3,27.35,225,72370500,3009150,25.98,19.6,37.0,0,0,36.65,38.15,sf,NSE:NIFTY2592325200PE,-10.8,-28.3093
27.1,108059400,2025-09-23 09:26:12,1758599772,8025,150,27.2,27.25,75,72393525,3014175,25.98,19.6,37.0,0,0,36.65,38.15,sf,NSE:NIFTY2592325200PE,-11.05,-28.9646
26.85,108059400,2025-09-23 09:26:12,1758599773,8025,150,27.2,27.25,150,72393525,3014175,25.98,19.6,37.0,0,0,36.65,38.15,sf,NSE:NIFTY2592325200PE,-11.3,-29.6199
26.5,108171825,2025-09-23 09:26:14,1758599774,15900,6000,26.4,26.5,150,72389100,3086925,25.98,19.6,37.0,0,0,36.65,38.15,sf,NSE:NIFTY2592325200PE,-11.65,-30.5374
26.75,108217875,2025-09-23 09:26:14,1758599774,2850,1350,26.55,26.6,75,72406725,3056475,25.98,19.6,37.0,0,0,36.65,38.15,sf,NSE:NIFTY2592325200PE,-11.4,-29.882
26.85,108217875,2025-09-23 09:26:14,1758599774,2850,1350,26.55,26.6,75,72406725,3056475,25.98,19.6,37.0,0,0,36.65,38.15,sf,NSE:NIFTY2592325200PE,-11.3,-29.6199
27.0,108355125,2025-09-23 09:26:15,1758599775,5850,8700,26.9,27.0,75,72453075,3021750,25.98,19.6,37.0,0,0,36.65,38.15,sf,NSE:NIFTY2592325200PE,-11.15,-29.2267
26.55,108402375,2025-09-23 09:26:15,1758599775,10350,5775,26.55,26.65,75,72422625,3060300,25.98,19.6,37.0,0,0,36.65,38.15,sf,NSE:NIFTY2592325200PE,-11.6,-30.4063
26.3,108402375,2025-09-23 09:26:15,1758599776,10350,5775,26.55,26.65,450,72422625,3060300,25.98,19.6,37.0,0,0,36.65,38.15,sf,NSE:NIFTY2592325200PE,-11.85,-31.0616
26.5,108603600,2025-09-23 09:26:17,1758599777,8025,11025,26.3,26.4,150,72425775,3057075,25.98,19.6,37.0,0,0,36.65,38.15,sf,NSE:NIFTY2592325200PE,-11.65,-30.5374
26.4,108649050,2025-09-23 09:26:17,1758599777,13050,1575,26.35,26.45,75,72438225,3050250,25.98,19.6,37.0,0,0,36.65,38.15,sf,NSE:NIFTY2592325200PE,-11.75,-30.7995
26.1,108649050,2025-09-23 09:26:17,1758599778,13050,1575,26.35,26.45,75,72438225,3050250,25.98,19.6,37.0,0,0,36.65,38.15,sf,NSE:NIFTY2592325200PE,-12.05,-31.5858
26.0,108649050,2025-09-23 09:26:17,1758599778,13050,1575,26.35,26.45,450,72438225,3050250,25.98,19.6,37.0,0,0,36.65,38.15,sf,NSE:NIFTY2592325200PE,-12.15,-31.848
26.1,108821100,2025-09-23 09:26:19,1758599779,1575,9000,26.05,26.1,75,72412575,3087000,25.98,19.6,37.0,0,0,36.65,38.15,sf,NSE:NIFTY2592325200PE,-12.05,-31.5858
26.1,108853275,2025-09-23 09:26:19,1758599779,14025,3150,26.05,26.15,75,72448275,3081975,25.98,19.6,37.0,0,0,36.65,38.15,sf,NSE:NIFTY2592325200PE,-12.05,-31.5858
26.25,108853275,2025-09-23 09:26:19,1758599780,14025,3150,26.05,26.15,75,72448275,3081975,25.98,19.6,37.0,0,0,36.65,38.15,sf,NSE:NIFTY2592325200PE,-11.9,-31.1927
26.05,109058250,2025-09-23 09:26:20,1758599780,75,900,26.05,26.1,150,72461550,3108225,25.98,19.6,37.0,0,0,36.65,38.15,sf,NSE:NIFTY2592325200PE,-12.1,-31.7169
26.1,109058250,2025-09-23 09:26:20,1758599781,75,900,26.05,26.1,150,72461550,3108225,25.98,19.6,37.0,0,0,36.65,38.15,sf,NSE:NIFTY2592325200PE,-12.05,-31.5858
25.4,109220100,2025-09-23 09:26:22,1758599782,4875,8850,25.35,25.45,825,72408450,3125775,25.98,19.6,37.0,0,0,36.65,38.15,sf,NSE:NIFTY2592325200PE,-12.75,-33.4207
25.45,109220100,2025-09-23 09:26:22,1758599782,4875,8850,25.35,25.45,1200,72408450,3125775,25.98,19.6,37.0,0,0,36.65,38.15,sf,NSE:NIFTY2592325200PE,-12.7,-33.2896
25.0,109445100,2025-09-23 09:26:22,1758599782,131025,11925,25.0,25.1,150,72249150,3149475,25.98,19.6,37.0,0,0,36.65,38.15,sf,NSE:NIFTY2592325200PE,-13.15,-34.4692
25.1,109445100,2025-09-23 09:26:22,1758599783,131025,11925,25.0,25.1,75,72249150,3149475,25.98,19.6,37.0,0,0,36.65,38.15,sf,NSE:NIFTY2592325200PE,-13.05,-34.2071
25.25,109980300,2025-09-23 09:26:24,1758599784,3150,150,25.25,25.3,75,72220275,3113475,25.98,19.6,37.0,0,0,36.65,38.15,sf,NSE:NIFTY2592325200PE,-12.9,-33.8139
25.1,109980300,2025-09-23 09:26:24,1758599784,3150,150,25.25,25.3,300,72220275,3113475,25.98,19.6,37.0,0,0,36.65,38.15,sf,NSE:NIFTY2592325200PE,-13.05,-34.2071
24.7,109980300,2025-09-23 09:26:24,1758599784,3150,150,25.25,25.3,75,72220275,3113475,25.98,19.6,37.0,0,0,36.65,38.15,sf,NSE:NIFTY2592325200PE,-13.45,-35.2556
24.4,109980300,2025-09-23 09:26:24,1758599785,3150,150,25.25,25.3,75,72220275,3113475,25.98,19.6,37.0,0,0,36.65,38.15,sf,NSE:NIFTY2592325200PE,-13.75,-36.0419
24.0,110398050,2025-09-23 09:26:25,1758599785,56925,7725,24.0,24.1,150,72008025,3157200,25.97,19.6,37.0,0,0,36.65,38.15,sf,NSE:NIFTY2592325200PE,-14.15,-37.0904
23.9,110509275,2025-09-23 09:26:25,1758599785,5850,7725,23.9,24.0,300,71985600,3158025,25.97,19.6,37.0,0,0,36.65,38.15,sf,NSE:NIFTY2592325200PE,-14.25,-37.3526
23.65,110509275,2025-09-23 09:26:25,1758599786,5850,7725,23.9,24.0,525,71985600,3158025,25.97,19.6,37.0,0,0,36.65,38.15,sf,NSE:NIFTY2592325200PE,-14.5,-38.0079
23.35,110509275,2025-09-23 09:26:25,1758599786,5850,7725,23.9,24.0,150,71985600,3158025,25.97,19.6,37.0,0,0,36.65,38.15,sf,NSE:NIFTY2592325200PE,-14.8,-38.7942
23.9,110997000,2025-09-23 09:26:27,1758599787,2625,450,23.9,23.95,225,71993550,3122775,25.96,19.6,37.0,0,0,36.65,38.15,sf,NSE:NIFTY2592325200PE,-14.25,-37.3526
23.9,111176250,2025-09-23 09:26:27,1758599787,8325,4800,24.05,24.15,150,71980500,3136950,25.96,19.6,37.0,0,0,36.65,38.15,sf,NSE:NIFTY2592325200PE,-14.25,-37.3526
24.4,111176250,2025-09-23 09:26:27,1758599788,8325,4800,24.05,24.15,75,71980500,3136950,25.96,19.6,37.0,0,0,36.65,38.15,sf,NSE:NIFTY2592325200PE,-13.75,-36.0419
24.5,111533325,2025-09-23 09:26:29,1758599789,10050,6450,24.4,24.5,150,72069075,3119175,25.95,19.6,37.0,0,0,36.65,38.15,sf,NSE:NIFTY2592325200PE,-13.65,-35.7798
24.2,111600150,2025-09-23 09:26:29,1758599789,2850,7425,24.35,24.45,75,72037200,3143775,25.95,19.6,37.0,0,0,36.65,38.15,sf,NSE:NIFTY2592325200PE,-13.95,-36.5662
24.2,111600150,2025-09-23 09:26:29,1758599790,2850,7425,24.35,24.45,750,72037200,3143775,25.95,19.6,37.0,0,0,36.65,38.15,sf,NSE:NIFTY2592325200PE,-13.95,-36.5662
23.85,111862350,2025-09-23 09:26:30,1758599790,8250,9825,23.85,23.95,150,72023025,3184200,25.95,19.6,37.0,0,0,36.65,38.15,sf,NSE:NIFTY2592325200PE,-14.3,-37.4836
23.65,111900750,2025-09-23 09:26:30,1758599790,2475,3150,23.6,23.65,75,71981250,3199200,25.95,19.6,37.0,0,0,36.65,38.15,sf,NSE:NIFTY2592325200PE,-14.5,-38.0079
24.15,111900750,2025-09-23 09:26:30,1758599791,2475,3150,23.6,23.65,75,71981250,3199200,25.95,19.6,37.0,0,0,36.65,38.15,sf,NSE:NIFTY2592325200PE,-14.0,-36.6972
23.7,111900750,2025-09-23 09:26:30,1758599791,2475,3150,23.6,23.65,150,71981250,3199200,25.95,19.6,37.0,0,0,36.65,38.15,sf,NSE:NIFTY2592325200PE,-14.45,-37.8768
23.95,112112850,2025-09-23 09:26:32,1758599792,7950,6975,23.9,24.0,75,72025650,3161700,25.94,19.6,37.0,0,0,36.65,38.15,sf,NSE:NIFTY2592325200PE,-14.2,-37.2215
23.4,112184475,2025-09-23 09:26:32,1758599792,16425,7125,23.4,23.5,75,71989350,3215550,25.94,19.6,37.0,0,0,36.65,38.15,sf,NSE:NIFTY2592325200PE,-14.75,-38.6632
23.4,112184475,2025-09-23 09:26:32,1758599792,16425,7125,23.4,23.5,150,71989350,3215550,25.94,19.6,37.0,0,0,36.65,38.15,sf,NSE:NIFTY2592325200PE,-14.75,-38.6632
23.95,112184475,2025-09-23 09:26:32,1758599793,16425,7125,23.4,23.5,75,71989350,3215550,25.94,19.6,37.0,0,0,36.65,38.15,sf,NSE:NIFTY2592325200PE,-14.2,-37.2215
23.75,112184475,2025-09-23 09:26:32,1758599793,16425,7125,23.4,23.5,75,71989350,3215550,25.94,19.6,37.0,0,0,36.65,38.15,sf,NSE:NIFTY2592325200PE,-14.4,-37.7457
23.35,112416375,2025-09-23 09:26:34,1758599794,1200,5175,23.3,23.35,75,71994975,3153300,25.93,19.6,37.0,0,0,36.65,38.15,sf,NSE:NIFTY2592325200PE,-14.8,-38.7942
23.25,112598925,2025-09-23 09:26:35,1758599795,525,9000,23.3,23.35,225,72024900,3166050,25.93,19.6,37.0,0,0,36.65,38.15,sf,NSE:NIFTY2592325200PE,-14.9,-39.0564
23.05,112637850,2025-09-23 09:26:35,1758599795,4650,1950,23.05,23.1,75,71985225,3196800,25.93,19.6,37.0,0,0,36.65,38.15,sf,NSE:NIFTY2592325200PE,-15.1,-39.5806
23.1,112637850,2025-09-23 09:26:35,1758599796,4650,1950,23.05,23.1,300,71985225,3196800,25.93,19.6,37.0,0,0,36.65,38.15,sf,NSE:NIFTY2592325200PE,-15.05,-39.4495
22.95,112982325,2025-09-23 09:26:37,1758599797,1200,4800,22.95,23.0,75,71977950,3207900,25.92,19.6,37.0,0,0,36.65,38.15,sf,NSE:NIFTY2592325200PE,-15.2,-39.8427
23.0,112982325,2025-09-23 09:26:37,1758599797,1200,4800,22.95,23.0,675,71977950,3207900,25.92,19.6,37.0,0,0,36.65,38.15,sf,NSE:NIFTY2592325200PE,-15.15,-39.7117
23.25,113046000,2025-09-23 09:26:37,1758599797,600,8250,23.05,23.1,75,71990925,3195600,25.92,19.6,37.0,0,0,36.65,38.15,sf,NSE:NIFTY2592325200PE,-14.9,-39.0564
23.3,113046000,2025-09-23 09:26:37,1758599798,600,8250,23.05,23.1,600,71990925,3195600,25.92,19.6,37.0,0,0,36.65,38.15,sf,NSE:NIFTY2592325200PE,-14.85,-38.9253
23.2,113301975,2025-09-23 09:26:39,1758599799,10425,8325,23.2,23.3,150,72032400,3199275,25.91,19.6,37.0,0,0,36.65,38.15,sf,NSE:NIFTY2592325200PE,-14.95,-39.1874
23.2,113301975,2025-09-23 09:26:39,1758599799,10425,8325,23.2,23.3,375,72032400,3199275,25.91,19.6,37.0,0,0,36.65,38.15,sf,NSE:NIFTY2592325200PE,-14.95,-39.1874
23.1,113301975,2025-09-23 09:26:39,1758599799,10425,8325,23.2,23.3,75,72032400,3199275,25.91,19.6,37.0,0,0,36.65,38.15,sf,NSE:NIFTY2592325200PE,-15.05,-39.4495
23.3,113301975,2025-09-23 09:26:39,1758599800,10425,8325,23.2,23.3,300,72032400,3199275,25.91,19.6,37.0,0,0,36.65,38.15,sf,NSE:NIFTY2592325200PE,-14.85,-38.9253
23.35,113450475,2025-09-23 09:26:40,1758599800,75,12675,23.2,23.25,150,72023100,3187875,25.91,19.6,37.0,0,0,36.65,38.15,sf,NSE:NIFTY2592325200PE,-14.8,-38.7942
23.15,113467425,2025-09-23 09:26:40,1758599801,750,12600,23.3,23.35,300,72076800,3163050,25.91,19.6,37.0,0,0,36.65,38.15,sf,NSE:NIFTY2592325200PE,-15.0,-39.3185
23.1,113467425,2025-09-23 09:26:40,1758599801,750,12600,23.3,23.35,75,72076800,3163050,25.91,19.6,37.0,0,0,36.65,38.15,sf,NSE:NIFTY2592325200PE,-15.05,-39.4495
23.05,113625600,2025-09-23 09:26:42,1758599802,8100,13725,22.9,23.0,75,72050475,3145125,25.91,19.6,37.0,0,0,36.65,38.15,sf,NSE:NIFTY2592325200PE,-15.1,-39.5806
23.1,113671125,2025-09-23 09:26:42,1758599802,9450,11175,22.95,23.05,75,72093300,3162000,25.9,19.6,37.0,0,0,36.65,38.15,sf,NSE:NIFTY2592325200PE,-15.05,-39.4495
23.2,113671125,2025-09-23 09:26:42,1758599803,9450,11175,22.95,23.05,75,72093300,3162000,25.9,19.6,37.0,0,0,36.65,38.15,sf,NSE:NIFTY2592325200PE,-14.95,-39.1874
23.25,113835000,2025-09-23 09:26:44,1758599804,12600,6375,23.25,23.35,150,72141750,3105075,25.9,19.6,37.0,0,0,36.65,38.15,sf,NSE:NIFTY2592325200PE,-14.9,-39.0564
23.2,113873625,2025-09-23 09:26:44,1758599804,13875,7500,23.15,23.25,75,72133425,3135525,25.9,19.6,37.0,0,0,36.65,38.15,sf,NSE:NIFTY2592325200PE,-14.95,-39.1874
23.25,113873625,2025-09-23 09:26:44,1758599804,13875,7500,23.15,23.25,75,72133425,3135525,25.9,19.6,37.0,0,0,36.65,38.15,sf,NSE:NIFTY2592325200PE,-14.9,-39.0564
