last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,open_1,close_1,high,low,last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_2,close_2,high,low,avg_trade_price,last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_3,close_3,high,low,avg_trade_price,datetime,timestamp,open,high,low,close,volume
24-01-2025 09:15,18.1,216900,164,102400,279750,20,16.55,-177350,-1095.7,16125,54400,N,121700,N,23284.76,23278.5,23296.6,23300.65,23271.45,24-01-2025 09:15,8.45,2660150,170,122075,134225,12.5,11.95,-12150,-134.85,19625,363350,N,155925,N,176.5,184.95,188,170.75,181.07,24-01-2025 09:15,-6,1637925,167,172400,98050,-3.6,-4.05,74350,-135.85,19050,238000,N,69050,N,199,193,201.1,186.85,192.92,24-01-2025 09:15,1737690300,16.7,17.05,16.12,17.02,0
24-01-2025 09:20,-1.6,145675,177,59000,252375,1.95,-1.7,-193375,-679.6,23050,-1025,YES,20850,N,23288.74,23290.05,23288.45,23308.75,23288.45,24-01-2025 09:20,-3.05,3147725,180,291150,174350,-2,-1.95,116800,-130.8,21100,-802650,YES,160550,N,186.3,183.25,193.35,182.05,184.33,24-01-2025 09:20,2.25,2245600,180,166950,96275,1.15,1.2,70675,-118.6,21175,39775,N,62475,N,190.95,193.2,197.8,185.25,192.23,24-01-2025 09:20,1737690600,17.02,17.07,16.92,16.94,0
24-01-2025 09:25,-26.95,101175,177,84650,36800,-24.65,-26.2,47850,-991.35,18200,-18225,YES,15075,N,23287.08,23291.9,23264.95,23297.55,23260,24-01-2025 09:25,-10.45,2633550,180,141100,128800,-10.25,-10.3,12300,-126.5,22600,-70850,Y,153050,N,182.55,172.1,186.3,171.3,182.82,24-01-2025 09:25,15,2865000,180,104475,104700,16.1,15.75,-225,-148.35,24325,44750,N,-1050,YES,194.4,209.4,210.65,190.35,196.08,24-01-2025 09:25,1737690900,16.95,17.06,16.94,17.04,0
24-01-2025 09:30,-14.3,123375,175,162775,100875,-13.95,-12.35,61900,-945.3,19200,5100,Y,-33925,Y,23280.6,23262.3,23248,23272.5,23240.7,24-01-2025 09:30,-4.15,2041800,180,151150,117725,-5.4,-5.15,33425,-103.95,20525,24975,Y,38675,N,170.75,166.6,174.75,163,180.05,24-01-2025 09:30,6,1896800,179,95450,105725,7.15,7.2,-10275,-141.1,18675,-34325,Y,32925,Y,211.1,217.1,222.4,204.75,200.11,24-01-2025 09:30,1737691200,17.03,17.04,16.98,17.03,0
24-01-2025 09:35,-30,121850,173,43700,46200,-28.7,-29.8,-2500,-1142.5,15875,-13300,YES,1350,YES,23273.34,23250,23220,23260,23217.05,24-01-2025 09:35,-16.3,2068200,179,148300,130850,-16.1,-15.95,17450,-112.1,22775,-71400,YES,84350,YES,167.1,150.8,168.75,150.8,176.91,24-01-2025 09:35,20.7,1774350,179,92575,136925,19.9,19.95,-44350,-166.2,24125,12625,YES,-45500,YES,216.55,237.25,237.25,209.8,204.1,24-01-2025 09:35,1737691500,17.02,17.11,16.98,17.04,0
24-01-2025 09:40,26.05,65125,172,33450,68725,25.15,25.8,-35275,-877.8,15850,31825,Y,-3575,Y,23270.05,23216,23242.05,23244,23212.8,24-01-2025 09:40,12.05,1612850,179,138300,137075,11.6,11.75,1225,-113,20325,99875,Y,45975,N,151.25,163.3,163.9,150.65,174.78,24-01-2025 09:40,-15.1,1055500,179,136000,113175,-14.15,-14.15,22825,-164.5,19250,-34100,Y,43050,Y,236.85,221.75,237.85,220.65,206.3,24-01-2025 09:40,1737691800,17.05,17.08,17.02,17.03,0
24-01-2025 09:45,-52.05,141050,178,35500,40650,-55,-52.85,-5150,-913,17350,-66050,YES,15500,N,23263.34,23242.05,23190,23263.4,23187.05,24-01-2025 09:45,-19.8,2769900,179,129850,163800,-18.15,-18,-33950,-120.9,23125,-139675,YES,64225,N,163,143.2,173.15,143.2,172.6,24-01-2025 09:45,32.85,1900550,180,81675,131150,32.55,32.8,-49475,-166.55,22050,31100,YES,-82100,YES,222.6,255.45,255.85,210.6,209.7,24-01-2025 09:45,1737692100,17.03,17.23,16.99,17.19,0
24-01-2025 09:50,-24.6,180550,179,44525,78100,-22.15,-21.95,-33575,-872.55,22825,43075,Y,9200,N,23249.58,23187.05,23162.45,23195,23159.05,24-01-2025 09:50,-10.4,2505125,180,100700,123650,-10.2,-10.1,-22950,-86.2,26050,81525,Y,10450,N,142.55,132.15,145.8,128.85,168,24-01-2025 09:50,7.95,1566425,179,113675,110625,8.35,8.2,3050,-186.2,25425,-43100,Y,35525,Y,257.75,265.7,270.2,250.5,215.2,24-01-2025 09:50,1737692400,17.18,17.23,17.13,17.17,0
24-01-2025 09:55,-4.6,97925,178,47400,46325,-5.4,-6.15,1075,-1046.9,17650,4550,N,114300,YES,23243.22,23163.35,23158.75,23186.2,23155.25,24-01-2025 09:55,-0.55,1385325,180,167025,153000,-0.4,-0.4,14025,-93.5,25250,37850,N,15275,N,131.85,131.3,140.5,129.8,165.83,24-01-2025 09:55,4.5,750700,180,66025,96975,4.75,4.7,-30950,-194.3,21925,-20925,YES,-13375,YES,266.95,271.45,274.5,252.1,217.51,24-01-2025 09:55,1737692700,17.18,17.19,17.11,17.19,0
24-01-2025 10:00,-0.4,144950,169,68475,42500,3.8,3.25,25975,-923.9,17425,35750,Y,-4425,Y,23233.92,23159.35,23158.95,23170.6,23139.05,24-01-2025 10:00,-0.85,1476900,180,164550,159550,-1.25,-1.2,5000,-93.05,27550,7575,N,37150,YES,130.9,130.05,134,124.8,163.47,24-01-2025 10:00,-4.45,700150,180,78100,86225,-3.1,-3.05,-8125,-205.5,20425,-17200,N,3600,N,272,267.55,283.75,262.6,219.85,24-01-2025 10:00,1737693000,17.18,17.22,17.13,17.16,0
24-01-2025 10:05,8.1,97500,166,48425,65475,3.6,4.95,-17050,-967.25,15475,20775,N,15700,YES,23229.59,23162.4,23170.5,23184.8,23151.05,24-01-2025 10:05,0.75,1304025,180,172750,161975,0.55,0.45,10775,-98.6,24400,18525,N,-3575,Y,131.75,132.5,140.25,128,161.81,24-01-2025 10:05,-1.85,478850,180,73075,83925,-0.8,-0.8,-10850,-208.05,20475,4300,YES,1575,YES,266.3,264.45,273.5,253.05,221.11,24-01-2025 10:05,1737693300,17.15,17.22,17.12,17.19,0
24-01-2025 10:10,3.05,60875,163,65150,42100,5.7,9.9,23050,-1109.35,13200,-3625,YES,33225,N,23227.79,23171.95,23175,23197.55,23169,24-01-2025 10:10,1.95,1094025,179,150550,175175,1.5,1.55,-24625,-96.3,24650,25150,N,59225,YES,132.3,134.25,142.6,132.1,160.69,24-01-2025 10:10,-7.95,451675,179,60150,94875,-8.1,-7.8,-34725,-180.1,19850,20200,N,6000,N,264.4,256.45,264.4,244.25,221.98,24-01-2025 10:10,1737693600,17.18,17.2,17.09,17.16,0
24-01-2025 10:15,-19.95,62075,159,98675,495375,-19.95,-16.45,-396700,-1097,16225,10850,N,1850,Y,23225.53,23175,23155.05,23179.5,23152.3,24-01-2025 10:15,-5.05,987500,181,149825,160850,-5.2,-5.15,-11025,-90.2,23975,-42275,YES,79250,YES,134.05,129,135.55,126.85,159.56,24-01-2025 10:15,13.55,389300,180,95225,87400,13.7,13.65,7825,-186.6,21475,-7500,Y,-6475,YES,256.45,270,273.75,256,222.92,24-01-2025 10:15,1737693900,17.15,17.23,17.15,17.2,0
24-01-2025 10:20,25.3,151900,170,41275,98000,21.9,21.25,-56725,-1029.4,17700,-15500,YES,-9675,Y,23218.01,23154.7,23180,23184.95,23114.5,24-01-2025 10:20,5.6,1957400,179,156475,137650,5.65,5.65,18825,-83.65,24400,-6950,Y,-10475,Y,128.5,134.1,136.3,116.1,157.06,24-01-2025 10:20,-15.5,827450,180,78450,86300,-15.6,-15.55,-7850,-208.55,22100,-6550,N,-13025,YES,270,254.5,296.85,251.25,225.47,24-01-2025 10:20,1737694200,17.21,17.31,17.12,17.12,0
24-01-2025 10:25,25.65,152550,175,63925,148875,23.55,25.75,-84950,-1170.4,19325,15875,Y,21700,YES,23217.43,23181.4,23207.05,23240.4,23178.5,24-01-2025 10:25,4.5,2802650,180,126200,155325,5.55,5.55,-29125,-94,25275,-16375,YES,-181325,Y,135.15,139.65,157.15,134,155.94,24-01-2025 10:25,-21,904200,179,73400,60800,-20.3,-20.35,12600,-170.95,20050,-13275,Y,21625,Y,254.3,233.3,254.95,215.65,225.82,24-01-2025 10:25,1737694500,17.1,17.11,16.92,17.02,0
24-01-2025 10:30,-10,58275,161,46325,41575,-11.7,-12.25,4750,-1025.2,16925,53025,Y,-28225,Y,23217.03,23205,23195,23219,23190,24-01-2025 10:30,-4.95,1643750,180,163800,149950,-5.05,-5.15,13850,-93.3,22475,24025,Y,46575,YES,139.05,134.1,146.15,132,155.05,24-01-2025 10:30,4.55,549950,180,73675,84325,4.4,4.45,-10650,-164.35,21100,11475,YES,12475,N,235.4,239.95,242.5,226.6,226.07,24-01-2025 10:30,1737694800,17.03,17.03,16.94,16.96,0
24-01-2025 10:35,53.35,104475,166,49275,117525,53.6,51.75,-68250,-1009.75,16300,-6675,YES,-34025,Y,23218.2,23195,23248.35,23260.7,23191.85,24-01-2025 10:35,20.95,2218925,179,116850,122425,20.75,20.75,-5575,-105.05,20750,36425,N,-49375,Y,134.6,155.55,162,134,154.75,24-01-2025 10:35,-34.8,850950,179,63300,90000,-34.25,-34.25,-26700,-158.4,21875,-11600,Y,23050,N,239.35,204.55,239.35,198.75,225.6,24-01-2025 10:35,1737695100,16.95,16.96,16.85,16.87,0
24-01-2025 10:40,-12.6,40650,151,62850,38000,-8.3,-10.1,24850,-986.8,15475,44925,Y,10300,YES,23218.59,23246.5,23233.9,23251.6,23230.4,24-01-2025 10:40,-3.8,1357950,180,96000,152025,-3.95,-4,-56025,-116.15,21050,26275,N,81150,YES,152.35,148.55,158.95,146.5,154.65,24-01-2025 10:40,5.2,528050,180,107750,84725,5.2,5.25,23025,-149.75,20600,33825,YES,30875,N,208.35,213.55,216.15,206,225.25,24-01-2025 10:40,1737695400,16.85,16.91,16.85,16.88,0
24-01-2025 10:45,3.1,27475,133,30375,62625,-3.65,-4.95,-32250,-974,13750,13075,N,8600,N,23218.77,23233.9,23237,23242,23220.45,24-01-2025 10:45,-1.75,978975,180,116500,132775,-1.9,-1.85,-16275,-103.95,22500,9675,N,46250,N,148.65,146.9,152.5,143.9,154.46,24-01-2025 10:45,0.35,432475,180,83975,101325,-0.2,-0.05,-17350,-155.2,21425,-11100,Y,18025,N,213.15,213.5,220.2,208.2,225.04,24-01-2025 10:45,1737695700,16.88,16.92,16.87,16.9,0
24-01-2025 10:50,-10.95,30500,121,34900,29050,1,-2.15,5850,-892.1,11775,-475,YES,9450,N,23218.83,23238.85,23227.9,23238.95,23213.2,24-01-2025 10:50,-2.1,1053950,180,175175,139975,-2.3,-2.35,35200,-96.1,22725,-10475,YES,4525,N,146.8,144.7,148.8,137.15,154.12,24-01-2025 10:50,-0.1,579550,180,94975,112075,0.15,0.2,-17100,-151.25,24600,13575,YES,15275,N,212.95,212.85,223.4,209.35,224.82,24-01-2025 10:50,1737696000,16.89,16.95,16.86,16.87,0
24-01-2025 10:55,14.15,25825,128,42025,85500,9,9.6,-43475,-839.05,14600,3175,N,-1475,Y,23218.99,23227.9,23242.05,23243.65,23220.2,24-01-2025 10:55,3.75,765150,180,152275,130400,3.85,3.8,21875,-97.1,26525,10650,Y,16150,N,144.6,148.35,149.65,139,153.93,24-01-2025 10:55,-4.7,352300,179,114975,96000,-4.95,-4.95,18975,-153.3,20975,-18000,Y,20700,N,213.65,208.95,221.55,207.3,224.66,24-01-2025 10:55,1737696300,16.89,16.9,16.81,16.85,0
