last_traded_time,ltp,tot_buy_qty,tot_sell_qty,ltp,tot_buy_qty,tot_sell_qty,ltp,tot_buy_qty,tot_sell_qty
24-04-2025 09:15,24265.1,133200,102300,30.95,40870725,726450,69.15,34539525,392325
24-04-2025 09:15,24267.1,133725,99000,30.8,43025475,743625,65.05,35385000,418800
24-04-2025 09:16,24272.5,142425,97500,32.05,43279650,789375,57.1,37258275,495000
24-04-2025 09:16,24272,148050,102375,32,43903125,813225,57.1,38357250,513000
24-04-2025 09:16,24277,144975,100050,34.8,44421825,812550,56.05,38940825,548925
24-04-2025 09:16,24280,151125,104775,35.1,44698875,821850,57.45,40018125,561975
24-04-2025 09:16,24275.6,148500,107625,36.15,45054150,838725,55.95,40236900,585525
24-04-2025 09:16,24275.6,145350,102675,32.9,45223350,931200,55.55,40673100,597150
24-04-2025 09:17,24280,148500,106650,32.3,45466950,986625,53.9,41315100,666000
24-04-2025 09:17,24276,146925,107700,32.5,46035975,1019925,56.5,41537325,667350
24-04-2025 09:17,24276,151350,106875,33.6,46434375,1042575,55.6,41690250,688725
24-04-2025 09:17,24275.6,153600,108600,34.4,46547550,1062525,54.65,42084825,708150
24-04-2025 09:17,24278.7,153225,110700,33.05,46950675,1086600,58.4,42344025,703200
24-04-2025 09:17,24276.6,151425,115500,32.7,47187000,1148250,59.4,42435150,669300
24-04-2025 09:18,24277.7,157275,111975,35,47477400,1177200,56.7,42424650,726675
24-04-2025 09:18,24282.5,160050,107775,39.85,47648700,1113525,54.2,42404400,759900
24-04-2025 09:18,24290.6,164625,102750,41.6,47787975,916275,52.4,42524400,801825
24-04-2025 09:18,24290.1,154350,109275,44.2,49012875,912225,50.9,43149300,803400
24-04-2025 09:18,24298,153150,102375,43.9,48917100,995925,48.1,43245900,865725
24-04-2025 09:18,24290,160200,107550,39.9,48911100,1132275,49.05,43705875,855300
24-04-2025 09:19,24294.5,173025,103650,43.5,49148250,1156350,47.6,44361225,907725
24-04-2025 09:19,24286.2,159150,105675,38.35,49238850,1262700,51.35,44736975,899625
24-04-2025 09:19,24291.3,165075,106725,40.35,49248375,1261725,49.25,44755725,961350
24-04-2025 09:19,24286.4,161400,112650,37.25,49233225,1329900,48,44827050,1016325
24-04-2025 09:19,24284.3,165825,110100,36.45,49216200,1334925,49.4,44795400,1039875
24-04-2025 09:19,24285,167400,113775,35.95,49774350,1352850,50.1,44882550,1047750
24-04-2025 09:20,24292.1,174075,115125,39.2,47778675,1362450,43.75,44900550,1119750
24-04-2025 09:20,24297,174750,109350,40,48499800,1335825,43.55,44639475,1147200
24-04-2025 09:20,24295.9,171750,110400,40.5,48542775,1357425,42.1,44667225,1152225
24-04-2025 09:20,24296.1,175725,110850,41,48571350,1392000,41,44703150,1177425
24-04-2025 09:20,24298.4,172425,111750,41.1,48707925,1416675,40.05,44683125,1196775
24-04-2025 09:20,24304.5,174525,113925,42.05,48677850,1474800,38.85,44726925,1174875
24-04-2025 09:21,24303.3,167925,118875,39.4,48741450,1547775,39.75,44694675,1205250
24-04-2025 09:21,24298.7,175575,119250,41.25,48757800,1626375,39,44765925,1215975
24-04-2025 09:21,24296,178275,119550,38.95,48803850,1626225,40.8,44794050,1249725
24-04-2025 09:21,24298.7,176850,119625,38.75,48798450,1655400,40.8,44985150,1256925
24-04-2025 09:21,24298.9,182550,123750,39,48828300,1686600,40.3,44969025,1260600
24-04-2025 09:21,24296.5,182475,123225,38,48889200,1715550,0,0,0
24-04-2025 09:22,24293,178050,124725,37.1,48906225,1769250,40.9,45031950,1327725
24-04-2025 09:22,24294.8,185325,123375,38.4,48966750,1803375,39.85,45021750,1387125
24-04-2025 09:22,24299.9,185925,123225,40.7,49052250,1787100,38.6,45016125,1416300
24-04-2025 09:22,24299.9,188850,123675,40.15,48952425,1755675,39.45,44979000,1407750
24-04-2025 09:22,24298.9,188775,123225,39.35,48945900,1805925,39.95,45056175,1425900
24-04-2025 09:22,24304,188925,121875,40.35,49136775,1806300,38.1,45130125,1463700
24-04-2025 09:23,24303,187800,121350,42.5,49166850,1716450,36.35,45019275,1483800
24-04-2025 09:23,24306,190875,121875,41.95,49233675,1715550,36.6,45067125,1483650
24-04-2025 09:23,24303,180375,122250,39.75,49166400,1755225,38,45161025,1493775
24-04-2025 09:23,24300,187125,123225,39.1,48966675,1794000,38.7,45463575,1480875
24-04-2025 09:23,24305,190200,123750,41.8,49040400,1794375,37.35,45469725,1525200
24-04-2025 09:23,24305,192000,124425,41.9,49223400,1818900,36.35,45470250,1574250
24-04-2025 09:24,24300,184425,124950,39.35,49331925,1891275,38.15,45553875,1576950
24-04-2025 09:24,24301.9,183450,127350,37.8,49229775,1936800,39.05,45581925,1563900
24-04-2025 09:24,24301.3,185775,125325,40.9,49283325,1950300,36.25,45573675,1587750
24-04-2025 09:24,24300.7,187650,126000,40.45,49371675,1960125,37.2,45468075,1582725
24-04-2025 09:24,24297.5,184200,127650,39.3,49426050,2016900,37.95,45559350,1587900
24-04-2025 09:24,24300,186225,130800,37,49444500,2048025,40.2,45764325,1585500
24-04-2025 09:25,24293.1,183600,132225,37.9,49170750,2076300,41.05,45828900,1463325
24-04-2025 09:25,24281.9,177975,133650,33,49085625,2115750,49.35,45804525,1402950
24-04-2025 09:25,24289.8,181050,133725,34.95,48814275,2135850,47.8,45850275,1077300
24-04-2025 09:25,24281.7,180525,135150,34.4,48924150,2144925,48.55,45773925,1164225
24-04-2025 09:25,24290,184425,128325,36.25,48976425,2206725,44.85,45633525,1243500
24-04-2025 09:25,24289.6,185925,132075,34.25,49115400,2197425,48.45,45619875,1273350
24-04-2025 09:26,24288,183825,131850,34.5,49162500,2309025,48.8,45685050,1290750
24-04-2025 09:26,24282,170625,133875,33.75,49269225,2316600,49.15,45764325,1325625
