ltp,vol_traded_today,last_traded_time,exch_feed_time,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,low_price,high_price,lower_ckt,upper_ckt,open_price,prev_close_price,type,symbol,ch,chp
123.2,2249475,2025-06-24 09:15:21,1750736722,150,225,122.95,123.5,75,6428100,306450,115.45,82.0,126.8,0,0,101.05,49.65,sf,NSE:NIFTY25JUN25200CE,73.55,148.137
123.5,2440350,2025-06-24 09:15:23,1750736723,300,600,123.0,123.45,225,6603525,307950,116.11,82.0,126.8,0,0,101.05,49.65,sf,NSE:NIFTY25JUN25200CE,73.85,148.7412
124.35,2440350,2025-06-24 09:15:23,1750736724,300,600,123.0,123.45,75,6603525,307950,116.11,82.0,126.8,0,0,101.05,49.65,sf,NSE:NIFTY25JUN25200CE,74.7,150.4532
123.7,2605875,2025-06-24 09:15:24,1750736724,375,300,123.6,124.0,75,6596475,288825,116.6,82.0,126.8,0,0,101.05,49.65,sf,NSE:NIFTY25JUN25200CE,74.05,149.144
124.0,2605875,2025-06-24 09:15:24,1750736725,375,300,123.6,124.0,75,6596475,288825,116.6,82.0,126.8,0,0,101.05,49.65,sf,NSE:NIFTY25JUN25200CE,74.35,149.7482
125.45,2605875,2025-06-24 09:15:24,1750736725,375,300,123.6,124.0,75,6596475,288825,116.6,82.0,126.8,0,0,101.05,49.65,sf,NSE:NIFTY25JUN25200CE,75.8,152.6687
125.05,2605875,2025-06-24 09:15:24,1750736726,375,300,123.6,124.0,75,6596475,288825,116.6,82.0,126.8,0,0,101.05,49.65,sf,NSE:NIFTY25JUN25200CE,75.4,151.863
126.0,2715150,2025-06-24 09:15:26,1750736726,150,450,126.1,126.5,75,6614475,290475,116.93,82.0,126.85,0,0,101.05,49.65,sf,NSE:NIFTY25JUN25200CE,76.35,153.7764
126.6,2715150,2025-06-24 09:15:26,1750736727,150,450,126.1,126.5,225,6614475,290475,116.93,82.0,126.85,0,0,101.05,49.65,sf,NSE:NIFTY25JUN25200CE,76.95,154.9849
128.45,2870700,2025-06-24 09:15:28,1750736728,600,375,128.0,128.45,75,6629175,298875,117.44,82.0,128.6,0,0,101.05,49.65,sf,NSE:NIFTY25JUN25200CE,78.8,158.711
128.05,2870700,2025-06-24 09:15:28,1750736728,600,375,128.0,128.45,75,6629175,298875,117.44,82.0,128.6,0,0,101.05,49.65,sf,NSE:NIFTY25JUN25200CE,78.4,157.9053
129.15,2870700,2025-06-24 09:15:28,1750736728,600,375,128.0,128.45,75,6629175,298875,117.44,82.0,128.6,0,0,101.05,49.65,sf,NSE:NIFTY25JUN25200CE,79.5,160.1208
128.4,3007875,2025-06-24 09:15:29,1750736729,825,450,128.0,128.4,150,6627150,296175,117.93,82.0,129.5,0,0,101.05,49.65,sf,NSE:NIFTY25JUN25200CE,78.75,158.6103
129.6,3007875,2025-06-24 09:15:29,1750736730,825,450,128.0,128.4,75,6627150,296175,117.93,82.0,129.5,0,0,101.05,49.65,sf,NSE:NIFTY25JUN25200CE,79.95,161.0272
129.45,3007875,2025-06-24 09:15:29,1750736730,825,450,128.0,128.4,150,6627150,296175,117.93,82.0,129.5,0,0,101.05,49.65,sf,NSE:NIFTY25JUN25200CE,79.8,160.7251
130.6,3217575,2025-06-24 09:15:31,1750736731,150,900,130.25,130.75,75,4706475,274125,118.68,82.0,131.0,0,0,101.05,49.65,sf,NSE:NIFTY25JUN25200CE,80.95,163.0413
132.15,3217575,2025-06-24 09:15:31,1750736732,150,900,130.25,130.75,75,4706475,274125,118.68,82.0,131.0,0,0,101.05,49.65,sf,NSE:NIFTY25JUN25200CE,82.5,166.1631
132.3,3385425,2025-06-24 09:15:32,1750736732,300,150,132.15,132.5,75,4907775,284625,119.32,82.0,133.0,0,0,101.05,49.65,sf,NSE:NIFTY25JUN25200CE,82.65,166.4653
132.9,3385425,2025-06-24 09:15:32,1750736733,300,150,132.15,132.5,75,4907775,284625,119.32,82.0,133.0,0,0,101.05,49.65,sf,NSE:NIFTY25JUN25200CE,83.25,167.6737
