last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_2,close_2,high,low,avg_trade_price
2025-03-25 09:15:00,-4.900000000000006,5958675.0,158,228975,191775,-4.3999999999999915,-4.5,37200,-80.99999999999272,37650,364950.0,N,343200.0,N,121.95,117.05,128.55,113.95,120.05
2025-03-25 09:20:00,-9.349999999999994,4567500.0,180,244500,272400,-7.5,-7.5,-27900,-94.15000000000873,45900,-2487075.0,YES,180750.0,N,116.05,106.7,119.2,106.7,117.82
2025-03-25 09:25:00,8.549999999999997,6302250.0,180,288675,269550,9.450000000000003,9.450000000000003,19125,-85.64999999999418,41550,91125.0,Y,11550.0,N,106.95,115.5,117.7,93.65,113.08
2025-03-25 09:30:00,8.949999999999989,7808325.0,180,302250,319725,8.700000000000003,8.599999999999994,-17475,-100.30000000000291,44100,168300.0,Y,110850.0,YES,116.4,125.35,125.85,114.9,115.6
2025-03-25 09:35:00,8.0,8665275.0,180,270900,241875,7.800000000000011,7.8999999999999915,29025,-100.5,41325,91125.0,N,-2925.0,Y,124.75,132.75,137.55,120.85,119.23
2025-03-25 09:40:00,0.75,4929525.0,180,331800,293100,1.0500000000000114,1.200000000000017,38700,-100.54999999999563,44850,675450.0,Y,151875.0,YES,132.25,133.0,136.85,128.95,121.0
2025-03-25 09:45:00,9.349999999999994,7687950.0,180,371475,577125,9.150000000000006,9.299999999999983,-205650,-104.95000000000437,46275,-470325.0,YES,-180975.0,Y,133.0,142.35,142.8,124.7,123.23
2025-03-25 09:50:00,25.599999999999994,9571725.0,180,255150,310275,24.94999999999999,25.049999999999983,-55125,-120.30000000000291,44100,35250.0,Y,-247875.0,Y,141.55,167.15,168.5,139.55,129.09
2025-03-25 09:55:00,16.75,6395100.0,180,284325,287100,16.0,15.900000000000006,-2775,-124.35000000000582,49125,-192150.0,YES,-113175.0,YES,167.0,183.75,189.5,165.0,133.74
2025-03-25 10:00:00,-16.80000000000001,3966450.0,180,197850,211800,-17.19999999999999,-17.25,-13950,-128.29999999998836,46200,-125475.0,Y,186975.0,YES,183.4,166.6,184.0,159.5,135.95
2025-03-25 10:05:00,-7.800000000000011,3042300.0,180,315225,213300,-7.5,-7.550000000000011,101925,-125.30000000000291,45375,-51825.0,Y,109425.0,N,166.3,158.5,173.7,155.75,137.25
