last_traded_time,ltp,vol_traded_today,non_zero_vol,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_2,close_2,high,low,avg_trade_price
25-04-2025 09:15,-9.05,2690550,107,-9.05,-8.9,2250,-73.75,21750,249600,N,158100,N,160.85,151.8,165.4,150.9,160.11
25-04-2025 09:20,-9.55,4762050,180,-9.8,-9.65,-24300,-112.3,39525,-15825,YES,188700,YES,150.95,141.4,164.5,138.4,154.77
25-04-2025 09:25,1.05,3753300,181,0.2,0.3,-23100,-112.35,38175,54300,Y,96150,N,142,143.05,157.15,139.4,152.92
25-04-2025 09:30,-15.5,3139575,180,-14.8,-14.85,13800,-105.6,36600,-42525,YES,144450,YES,144.45,128.95,147.6,127.65,149.65
25-04-2025 09:35,-10.35,3040425,176,-10.15,-10.05,166500,-98.5,41850,-27975,N,100425,N,128.9,118.55,134.3,117.2,145.85
25-04-2025 09:40,-7.65,3081150,179,-8.05,-8.05,-85800,-87.4,40425,14625,Y,16425,N,118.35,110.7,122.45,107.1,141.58
25-04-2025 09:45,-11.6,3438225,180,-12.45,-12.55,85575,-87.05,44625,-17700,YES,102225,YES,110.4,98.8,115.85,96.3,136.74
25-04-2025 09:50,-10.95,2865750,180,-12.35,-12.4,14625,-75.85,46875,-29250,YES,29475,N,97.55,86.6,99.65,85.25,132.41
25-04-2025 09:55,-10.25,3434925,180,-9.85,-9.9,-67500,-67.85,41625,21600,Y,123450,YES,87.4,77.15,87.5,73.4,126.86
25-04-2025 10:00,-13.1,3300075,180,-13.1,-13.2,-9150,-60.85,49725,-35250,YES,-22575,Y,77.35,64.25,77.35,62.05,121.54
25-04-2025 10:05,3.75,2826150,180,3.45,3.55,-21450,-57.95,40125,56475,Y,-55575,Y,64.6,68.35,72.6,59.3,117.5
25-04-2025 10:10,4.75,2136150,179,4.6,4.65,-80250,-62.45,42975,27900,N,24375,YES,68.25,73,76.4,68.25,115.17
25-04-2025 10:15,-0.8,1583175,180,-1,-0.9,27225,-67.15,44250,14925,N,8325,N,73.05,72.25,76.6,67.4,113.55
25-04-2025 10:20,-4.75,1361025,176,-5.15,-5.1,-13875,-62.2,42375,7800,N,32175,YES,71.75,67,73.3,65.6,112.18
25-04-2025 10:25,-16.8,2512350,180,-17.85,-17.85,148800,-56.95,46275,-178725,YES,8925,N,67,50.2,68.6,49.15,109.22
25-04-2025 10:30,0.6,2376075,180,0.55,0.5,-124650,-55.7,46275,148800,Y,12525,N,50.7,51.3,55.65,47.75,106.38
25-04-2025 10:35,2.95,997275,179,2.7,2.75,-675,-50.8,39225,67725,N,24900,N,51.3,54.25,56.9,51.05,105.33
25-04-2025 10:40,-1,1466550,180,-1,-1.05,-21150,-55.3,44250,-66375,YES,12300,N,54.5,53.5,57,50.2,103.87
25-04-2025 10:45,1.05,775575,179,1.1,1.1,-24900,-51.75,47250,30525,Y,6600,N,53.4,54.45,57.15,51.45,103.13
25-04-2025 10:50,-3.9,943575,180,-3.8,-3.8,-48075,-55.55,50250,57525,Y,33900,YES,54.6,50.7,54.6,49.4,102.22
25-04-2025 10:55,-2.35,1232250,180,-2.45,-2.5,-74475,-48.85,47625,-114975,YES,17325,N,51.05,48.7,51.2,45.9,101
25-04-2025 11:00,-5.2,1397925,180,-5.5,-5.5,-131175,-44.35,48150,-51450,Y,16275,N,48.6,43.4,49.45,42.8,99.62
