last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,open_1,close_1,high,low,last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_2,close_2,high,low,avg_trade_price,last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_3,close_3,high,low,avg_trade_price,timestamp,cur_open,open,close,pre_prev_close,nifty_cur_open,nifty_prev_open,nifty_prev_close,nifty_pre_prev_close,ce_symbol,ce_cur_open,ce_prev_open,ce_prev_close,ce_pre_prev_close,pe_symbol,pe_cur_open,pe_prev_open,pe_prev_close,pe_pre_prev_close
25-08-2025 09:15,-9.6,112800,148,100650,164850,-5.4,-8.1,-64200,-981.7,34275,5475,N,65550,N,24942.34,24939.7,24930.1,24950,24925,25-08-2025 09:15,-6.6,6306975,188,639075,468675,-6.75,-6.8,170400,-114.55,55200,-241650,N,379650,N,123.15,116.55,126,113.75,121.34,25-08-2025 09:15,5.7,9771750,190,637350,530175,6.4,6.35,107175,-86.85,59100,-414450,N,255300,N,80.95,86.65,89.6,75.6,81.9,,,,,,,,,,,,,,,,,,,
25-08-2025 09:20,16.9,104325,197,88275,111675,18.8,15.3,-23400,-1249,41775,29775,Y,21075,N,24940.17,24931,24947.9,24949,24923.2,25-08-2025 09:20,6.1,6207825,283,598425,495975,6,5.95,102450,-127.9,61650,186075,Y,296250,N,117,123.1,124.35,111.05,119.81,25-08-2025 09:20,-13.6,8509125,276,914400,798600,-13.15,-13.2,115800,-95.95,68700,-14400,YES,329700,Y,85.6,72,87.3,72,81.04,25-08-2025 09:20,24933.25,24922.9,24933.6,24923.8,24947.6,24932.6,24947.9,24930.1,NIFTY25AUG24900CE,123.1,115.95,123.2,116.5,NIFTY25AUG24900PE,72.3,86.65,72,86.25
25-08-2025 09:25,19.7,87525,197,105525,183150,13.4,15.8,-77625,-1090.3,42900,2400,YES,26475,N,24943.8,24947.6,24967.3,24967.3,24941,25-08-2025 09:25,6.15,7554975,347,624225,755700,5.95,6.05,-131475,-138.9,68025,158100,N,75450,N,122.2,128.35,130.15,115.6,121.61,25-08-2025 09:25,-8,7403100,352,894975,1057650,-8,-8,-162675,-84.45,71175,-8925,N,265200,N,72.5,64.5,77.3,63.8,78.04,25-08-2025 09:25,24947.8,24933.25,24947.3,24933.6,24967.3,24947.6,24961.4,24947.9,NIFTY25AUG24900CE,128.35,123.1,128.85,123.2,NIFTY25AUG24900PE,64.5,72.3,64.35,72
25-08-2025 09:30,7.1,112650,205,167025,422100,10.5,8,-255075,-1636.4,47100,20925,N,14925,N,24949.19,24967,24974.1,24975,24955,25-08-2025 09:30,5.2,6086775,360,860700,754050,5.55,5.6,106650,-158.15,64725,125925,N,56925,N,128.95,134.15,134.9,122.95,123.33,25-08-2025 09:30,-4.75,5527875,359,1173150,971625,-4.9,-4.9,201525,-78.55,79350,31125,YES,136050,N,64.15,59.4,66.85,59.2,75.6,25-08-2025 09:30,24957.55,24947.8,24957.3,24947.3,24974.1,24967.3,24975,24961.4,NIFTY25AUG25000CE,79.6,75.7,79.35,75.55,NIFTY25AUG25000PE,104.35,111.4,104.85,111.75
25-08-2025 09:35,10.2,143775,191,568200,256500,10.9,13,311700,-1395,46050,-5100,YES,35475,YES,24955.96,24975,24985.2,24989.9,24968.1,25-08-2025 09:35,5.5,6340425,360,994275,1040925,5.2,5.25,-46650,-163.8,62550,-92250,YES,13275,N,134.6,140.1,142,131.4,125.82,25-08-2025 09:35,-3.75,4146675,360,1447650,1340250,-3.8,-3.75,107400,-73.5,77700,95400,YES,74250,N,59.25,55.5,61.9,54.6,73.63,25-08-2025 09:35,24966.25,24957.55,24966.25,24957.3,24987.5,24974.1,24985.2,24975,NIFTY25AUG25000CE,83.35,79.6,83.4,79.35,NIFTY25AUG25000PE,99,104.35,99.2,104.85
25-08-2025 09:40,2.5,98250,173,113325,177600,3.3,2.5,-64275,-1065.3,38775,9075,N,17025,N,24960.07,24987.5,24990,24992.5,24980,25-08-2025 09:40,1,4111875,360,860550,602025,1.05,1,258525,-160.05,65100,-52650,Y,194325,YES,139.55,140.55,144.7,137.75,127.44,25-08-2025 09:40,-1.9,3235725,359,2317275,1927500,-1.9,-1.95,389775,-71.15,89475,78075,N,133575,Y,55.3,53.4,56.8,51.9,72.12,25-08-2025 09:40,24967.4,24966.6,24968.1,24966.25,24990,24987.5,24990,24985.2,NIFTY25AUG25000CE,84.15,83.35,83.95,83.4,NIFTY25AUG25000PE,96.3,99,96.7,99.2
25-08-2025 09:45,-19.9,86775,173,134775,124800,-18.5,-18.9,9975,-1096.9,41175,-750,YES,64500,YES,24962.32,24988.5,24968.6,24991.2,24968.6,25-08-2025 09:45,-11.55,3739575,360,723825,724425,-11.8,-11.9,-600,-154.95,64200,-140550,YES,145725,N,141,129.45,141.6,128.55,128.05,25-08-2025 09:45,6.55,4525125,360,1610175,1403025,6.95,6.95,207150,-72.2,82425,146250,YES,-73050,YES,53.3,59.85,60.75,52.8,70.65,25-08-2025 09:45,24954.35,24967.4,24955.4,24968.1,24968.6,24990,24968.6,24990,NIFTY25AUG25000CE,76.05,84.15,75.8,83.95,NIFTY25AUG25000PE,106.65,96.3,107,96.7
25-08-2025 09:50,-0.5,56250,149,77325,83700,-0.5,0.7,-6375,-1442.9,34575,24225,Y,-3750,Y,24962.56,24969.1,24968.6,24975,24960,25-08-2025 09:50,1.9,3299025,333,827850,687000,1.75,1.7,140850,-149.45,63450,93675,Y,-47325,Y,129.4,131.3,131.8,124.3,127.99,25-08-2025 09:50,-1.95,5854950,333,1377750,1392900,-1.4,-1.45,-15150,-82.4,82275,-184050,Y,132600,Y,60,58.05,64.3,58.05,69.67,25-08-2025 09:50,24948.55,24954.35,24948.6,24955.4,24968.6,24968.6,24970,24968.6,NIFTY25AUG24900CE,131.35,129.45,131.3,129.15,NIFTY25AUG24900PE,58.25,59.85,58.55,60.1
25-08-2025 09:55,-24.3,76950,220,134850,197625,-26.2,-22.2,-62775,-2320.2,41025,-3375,YES,46275,YES,24962.09,24968.6,24944.3,24975,24941,25-08-2025 09:55,-12.95,4650675,313,868650,738750,-12.7,-12.65,129900,-150.55,69300,-183600,YES,69075,YES,131.35,118.4,132.9,115.3,127.52,25-08-2025 09:55,11.7,8249550,305,1551450,1654125,11.65,11.7,-102675,-88.6,87225,247950,YES,-266100,YES,58.5,70.2,71.7,57.7,69.22,25-08-2025 09:55,24925.95,24948.55,24925.95,24948.6,24944.7,24968.6,24944.3,24970,NIFTY25AUG24900CE,118.65,131.35,118.55,131.3,NIFTY25AUG24900PE,69.95,58.25,69.75,58.55
25-08-2025 10:00,-7.1,78375,270,148575,145950,-7.1,-7.7,2625,-1699.4,40050,30975,Y,600,Y,24960.73,24944.7,24937.6,24953.5,24936,25-08-2025 10:00,-5.4,4431750,339,694050,756075,-5.8,-5.7,-62025,-132.65,69300,300,Y,210900,YES,118.05,112.65,121.35,112.2,126.68,25-08-2025 10:00,2,8134125,340,1308150,1335300,2,2.1,-27150,-90.9,83100,110700,N,194100,Y,70,72,73.9,67.2,69.42,25-08-2025 10:00,24918.7,24925.9,24918.7,24925.95,24936.1,24944.7,24937.6,24944.3,NIFTY25AUG24900CE,112.65,118.65,112.5,118.55,NIFTY25AUG24900PE,72,69.95,72.25,69.75
