ltp,vol_traded_today,last_traded_time,exch_feed_time,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,low_price,high_price,lower_ckt,upper_ckt,open_price,prev_close_price,type,symbol,ch,chp
24886.5,179850,2025-08-26 09:17:17,1756180037,75,450,24891.8,24894.0,225,110325,411450,24912.27,24886.8,24940.0,0,0,24903.0,24989.7,sf,NSE:NIFTY25AUGFUT,-103.2,-0.413
24893.2,179850,2025-08-26 09:17:17,1756180038,75,450,24891.8,24894.0,75,110325,411450,24912.27,24886.8,24940.0,0,0,24903.0,24989.7,sf,NSE:NIFTY25AUGFUT,-96.5,-0.3862
24893.9,179850,2025-08-26 09:17:17,1756180038,75,450,24891.8,24894.0,75,110325,411450,24912.27,24886.8,24940.0,0,0,24903.0,24989.7,sf,NSE:NIFTY25AUGFUT,-95.8,-0.3834
24893.9,181800,2025-08-26 09:17:18,1756180039,75,75,24887.3,24891.1,75,125550,406800,24912.02,24886.5,24940.0,0,0,24903.0,24989.7,sf,NSE:NIFTY25AUGFUT,-95.8,-0.3834
24891.1,181800,2025-08-26 09:17:18,1756180039,75,75,24887.3,24891.1,75,125550,406800,24912.02,24886.5,24940.0,0,0,24903.0,24989.7,sf,NSE:NIFTY25AUGFUT,-98.6,-0.3946
24889.2,182475,2025-08-26 09:17:20,1756180041,150,300,24888.1,24891.7,75,134325,404775,24911.94,24886.5,24940.0,0,0,24903.0,24989.7,sf,NSE:NIFTY25AUGFUT,-100.5,-0.4022
24890.3,182475,2025-08-26 09:17:20,1756180041,150,300,24888.1,24891.7,150,134325,404775,24911.94,24886.5,24940.0,0,0,24903.0,24989.7,sf,NSE:NIFTY25AUGFUT,-99.4,-0.3978
24892.0,182475,2025-08-26 09:17:20,1756180041,150,300,24888.1,24891.7,75,134325,404775,24911.94,24886.5,24940.0,0,0,24903.0,24989.7,sf,NSE:NIFTY25AUGFUT,-97.7,-0.391
24890.0,182475,2025-08-26 09:17:20,1756180042,150,300,24888.1,24891.7,75,134325,404775,24911.94,24886.5,24940.0,0,0,24903.0,24989.7,sf,NSE:NIFTY25AUGFUT,-99.7,-0.399
24890.0,183750,2025-08-26 09:17:22,1756180042,75,4800,24886.0,24890.0,75,141975,405750,24911.79,24886.5,24940.0,0,0,24903.0,24989.7,sf,NSE:NIFTY25AUGFUT,-99.7,-0.399
24890.0,183750,2025-08-26 09:17:22,1756180042,75,4800,24886.0,24890.0,75,136725,406725,24911.79,24886.5,24940.0,0,0,24903.0,24989.7,sf,NSE:NIFTY25AUGFUT,-99.7,-0.399
24886.0,184125,2025-08-26 09:17:24,1756180044,75,4875,24886.0,24890.0,75,150150,397500,24911.75,24886.5,24940.0,0,0,24903.0,24989.7,sf,NSE:NIFTY25AUGFUT,-103.7,-0.415
24890.0,184125,2025-08-26 09:17:24,1756180045,75,4875,24886.0,24890.0,150,150150,397500,24911.75,24886.5,24940.0,0,0,24903.0,24989.7,sf,NSE:NIFTY25AUGFUT,-99.7,-0.399
24890.0,184725,2025-08-26 09:17:25,1756180045,975,4200,24885.1,24890.0,75,133050,407025,24911.67,24885.1,24940.0,0,0,24903.0,24989.7,sf,NSE:NIFTY25AUGFUT,-99.7,-0.399
24890.0,184725,2025-08-26 09:17:25,1756180046,975,4200,24885.1,24890.0,150,133050,407025,24911.67,24885.1,24940.0,0,0,24903.0,24989.7,sf,NSE:NIFTY25AUGFUT,-99.7,-0.399
