ltp,vol_traded_today,last_traded_time,exch_feed_time,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,low_price,high_price,lower_ckt,upper_ckt,open_price,prev_close_price,type,symbol,ch,chp
60.35,73962075,2025-09-26 10:07:21,1758861441,3900,2325,60.35,60.5,75,3745500,1750500,69.57,54.1,102.75,0,0,98.85,134.5,sf,NSE:NIFTY25SEP24900CE,-74.15,-55.1301
60.3,73962075,2025-09-26 10:07:21,1758861441,3900,2325,60.35,60.5,225,3745500,1750500,69.57,54.1,102.75,0,0,98.85,134.5,sf,NSE:NIFTY25SEP24900CE,-74.2,-55.1673
60.45,73975500,2025-09-26 10:07:21,1758861442,975,675,60.5,60.6,75,3751200,1743750,69.57,54.1,102.75,0,0,98.85,134.5,sf,NSE:NIFTY25SEP24900CE,-74.05,-55.0558
60.9,73975500,2025-09-26 10:07:21,1758861442,975,675,60.5,60.6,75,3751200,1743750,69.57,54.1,102.75,0,0,98.85,134.5,sf,NSE:NIFTY25SEP24900CE,-73.6,-54.7212
61.0,73999200,2025-09-26 10:07:22,1758861443,2625,4575,60.85,61.0,75,3773925,1730775,69.57,54.1,102.75,0,0,98.85,134.5,sf,NSE:NIFTY25SEP24900CE,-73.5,-54.6468
61.1,74009100,2025-09-26 10:07:23,1758861443,5250,4500,61.0,61.2,75,3773775,1727100,69.57,54.1,102.75,0,0,98.85,134.5,sf,NSE:NIFTY25SEP24900CE,-73.4,-54.5725
61.1,74009100,2025-09-26 10:07:23,1758861444,5250,4500,61.0,61.2,300,3773775,1727100,69.57,54.1,102.75,0,0,98.85,134.5,sf,NSE:NIFTY25SEP24900CE,-73.4,-54.5725
61.2,74021925,2025-09-26 10:07:24,1758861444,4050,2400,61.1,61.25,75,3773475,1729650,69.56,54.1,102.75,0,0,98.85,134.5,sf,NSE:NIFTY25SEP24900CE,-73.3,-54.4981
61.2,74021925,2025-09-26 10:07:24,1758861445,4050,2400,61.1,61.25,75,3773475,1729650,69.56,54.1,102.75,0,0,98.85,134.5,sf,NSE:NIFTY25SEP24900CE,-73.3,-54.4981
61.1,74029800,2025-09-26 10:07:25,1758861445,4125,3375,61.0,61.15,150,3771450,1729950,69.56,54.1,102.75,0,0,98.85,134.5,sf,NSE:NIFTY25SEP24900CE,-73.4,-54.5725
61.0,74029800,2025-09-26 10:07:25,1758861445,4125,3375,61.0,61.15,300,3771450,1729950,69.56,54.1,102.75,0,0,98.85,134.5,sf,NSE:NIFTY25SEP24900CE,-73.5,-54.6468
61.0,74037150,2025-09-26 10:07:26,1758861446,2100,3000,61.0,61.15,150,3773250,1735050,69.56,54.1,102.75,0,0,98.85,134.5,sf,NSE:NIFTY25SEP24900CE,-73.5,-54.6468
61.2,74037150,2025-09-26 10:07:26,1758861446,2100,3000,61.0,61.15,525,3773250,1735050,69.56,54.1,102.75,0,0,98.85,134.5,sf,NSE:NIFTY25SEP24900CE,-73.3,-54.4981
61.05,74043150,2025-09-26 10:07:26,1758861446,4500,2475,60.9,61.05,75,3775275,1741200,69.56,54.1,102.75,0,0,98.85,134.5,sf,NSE:NIFTY25SEP24900CE,-73.45,-54.6097
60.75,74053575,2025-09-26 10:07:27,1758861447,3000,2850,60.75,60.9,225,3760275,1747875,69.56,54.1,102.75,0,0,98.85,134.5,sf,NSE:NIFTY25SEP24900CE,-73.75,-54.8327
61.0,74059875,2025-09-26 10:07:28,1758861448,2175,3825,60.95,61.1,600,3787200,1738950,69.56,54.1,102.75,0,0,98.85,134.5,sf,NSE:NIFTY25SEP24900CE,-73.5,-54.6468
60.9,74059875,2025-09-26 10:07:28,1758861449,2175,3825,60.95,61.1,75,3787200,1738950,69.56,54.1,102.75,0,0,98.85,134.5,sf,NSE:NIFTY25SEP24900CE,-73.6,-54.7212
60.65,74069325,2025-09-26 10:07:29,1758861449,5700,1200,60.75,60.9,375,3771900,1744650,69.56,54.1,102.75,0,0,98.85,134.5,sf,NSE:NIFTY25SEP24900CE,-73.85,-54.9071
60.35,74069325,2025-09-26 10:07:29,1758861450,5700,1200,60.75,60.9,75,3771900,1744650,69.56,54.1,102.75,0,0,98.85,134.5,sf,NSE:NIFTY25SEP24900CE,-74.15,-55.1301
60.3,74077800,2025-09-26 10:07:30,1758861450,7350,1050,60.45,60.6,75,3771225,1753500,69.56,54.1,102.75,0,0,98.85,134.5,sf,NSE:NIFTY25SEP24900CE,-74.2,-55.1673
60.45,74086875,2025-09-26 10:07:30,1758861451,525,2550,60.35,60.5,75,3761250,1754850,69.56,54.1,102.75,0,0,98.85,134.5,sf,NSE:NIFTY25SEP24900CE,-74.05,-55.0558
60.6,74095200,2025-09-26 10:07:31,1758861452,3825,2400,60.7,60.85,75,3796500,1736100,69.56,54.1,102.75,0,0,98.85,134.5,sf,NSE:NIFTY25SEP24900CE,-73.9,-54.9442
60.65,74095200,2025-09-26 10:07:31,1758861452,3825,2400,60.7,60.85,450,3796500,1736100,69.56,54.1,102.75,0,0,98.85,134.5,sf,NSE:NIFTY25SEP24900CE,-73.85,-54.9071
60.65,74103750,2025-09-26 10:07:32,1758861453,2625,2100,60.55,60.7,150,3783075,1750875,69.55,54.1,102.75,0,0,98.85,134.5,sf,NSE:NIFTY25SEP24900CE,-73.85,-54.9071
60.25,74112225,2025-09-26 10:07:33,1758861453,3900,1725,60.25,60.4,150,3773250,1764300,69.55,54.1,102.75,0,0,98.85,134.5,sf,NSE:NIFTY25SEP24900CE,-74.25,-55.2045
60.65,74124900,2025-09-26 10:07:34,1758861454,5550,1050,60.5,60.65,75,3802350,1748250,69.55,54.1,102.75,0,0,98.85,134.5,sf,NSE:NIFTY25SEP24900CE,-73.85,-54.9071
60.6,74124900,2025-09-26 10:07:34,1758861454,5550,1050,60.5,60.65,75,3802350,1748250,69.55,54.1,102.75,0,0,98.85,134.5,sf,NSE:NIFTY25SEP24900CE,-73.9,-54.9442
