ltp,vol_traded_today,last_traded_time,exch_feed_time,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,low_price,high_price,lower_ckt,upper_ckt,open_price,prev_close_price,type,symbol,ch,chp
49.7,2819300,2024-12-26 09:15:45,1735184745,225,25,49.55,49.65,25,29582175,241775,52.24,45.0,67.45,0,0,67.45,82.0,sf,NSE:NIFTY24DEC23800PE,-32.3,-39.3902
50.1,2819300,2024-12-26 09:15:45,1735184746,225,25,49.55,49.65,125,29582175,241775,52.24,45.0,67.45,0,0,67.45,82.0,sf,NSE:NIFTY24DEC23800PE,-31.9,-38.9024
51.8,2908825,2024-12-26 09:15:47,1735184747,675,325,51.4,51.65,25,29623850,229475,52.19,45.0,67.45,0,0,67.45,82.0,sf,NSE:NIFTY24DEC23800PE,-30.2,-36.8293
52.7,2908825,2024-12-26 09:15:47,1735184748,675,325,51.4,51.65,25,29623850,229475,52.19,45.0,67.45,0,0,67.45,82.0,sf,NSE:NIFTY24DEC23800PE,-29.3,-35.7317
52.35,3013300,2024-12-26 09:15:48,1735184748,175,200,52.4,52.55,25,29654925,229875,52.2,45.0,67.45,0,0,67.45,82.0,sf,NSE:NIFTY24DEC23800PE,-29.65,-36.1585
51.15,3013300,2024-12-26 09:15:48,1735184749,175,200,52.4,52.55,75,29654925,229875,52.2,45.0,67.45,0,0,67.45,82.0,sf,NSE:NIFTY24DEC23800PE,-30.85,-37.622
51.5,3134150,2024-12-26 09:15:50,1735184750,525,25,51.5,51.65,25,29932950,231050,52.18,45.0,67.45,0,0,67.45,82.0,sf,NSE:NIFTY24DEC23800PE,-30.5,-37.1951
51.1,3134150,2024-12-26 09:15:50,1735184751,525,25,51.5,51.65,100,29932950,231050,52.18,45.0,67.45,0,0,67.45,82.0,sf,NSE:NIFTY24DEC23800PE,-30.9,-37.6829
51.25,3217650,2024-12-26 09:15:52,1735184752,50,200,50.45,50.6,25,30114225,249900,52.15,45.0,67.45,0,0,67.45,82.0,sf,NSE:NIFTY24DEC23800PE,-30.75,-37.5
50.0,3217650,2024-12-26 09:15:52,1735184753,50,200,50.45,50.6,50,30114225,249900,52.15,45.0,67.45,0,0,67.45,82.0,sf,NSE:NIFTY24DEC23800PE,-32.0,-39.0244
50.3,3311525,2024-12-26 09:15:53,1735184753,1050,450,50.1,50.3,125,30115025,253275,52.1,45.0,67.45,0,0,67.45,82.0,sf,NSE:NIFTY24DEC23800PE,-31.7,-38.6585
50.95,3311525,2024-12-26 09:15:53,1735184754,1050,450,50.1,50.3,25,30115025,253275,52.1,45.0,67.45,0,0,67.45,82.0,sf,NSE:NIFTY24DEC23800PE,-31.05,-37.8659
50.45,3410075,2024-12-26 09:15:55,1735184755,25,850,50.45,50.6,25,30159925,256525,52.06,45.0,67.45,0,0,67.45,82.0,sf,NSE:NIFTY24DEC23800PE,-31.55,-38.4756
50.25,3410075,2024-12-26 09:15:55,1735184756,25,850,50.45,50.6,25,30159925,256525,52.06,45.0,67.45,0,0,67.45,82.0,sf,NSE:NIFTY24DEC23800PE,-31.75,-38.7195
