last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_3,close_3,high,low,avg_trade_price
2025-03-27 09:15:00,-22.450000000000003,11520375.0,153,234000,184875,-21.799999999999997,-21.9,49125,-64.75,35775,4098900.0,N,489900.0,N,82.65,60.2,86.95,60.2,79.48
2025-03-27 09:20:00,1.75,17130150.0,180,307200,255675,0.8999999999999986,0.9000000000000057,51525,-61.25,42750,1985400.0,N,383850.0,N,60.05,61.8,69.7,54.05,69.65
2025-03-27 09:25:00,-19.950000000000003,20800200.0,180,609150,458475,-20.650000000000006,-20.65,150675,-51.55000000000291,50250,1125900.0,N,695550.0,Y,61.85,41.9,69.5,38.2,61.94
2025-03-27 09:30:00,3.1999999999999957,17417325.0,181,602850,615975,3.25,3.25,-13125,-51.0,56025,282825.0,N,311325.0,N,42.45,45.65,51.45,35.35,57.18
2025-03-27 09:35:00,3.1499999999999986,18870375.0,180,658200,488100,2.3000000000000043,2.3000000000000043,170100,-55.5,54675,-1280850.0,Y,303075.0,N,45.95,49.1,54.6,38.2,54.87
2025-03-27 09:40:00,-16.849999999999994,16555125.0,180,649800,440250,-18.1,-18.049999999999997,209550,-50.0,54525,-464325.0,YES,712200.0,Y,49.8,32.95,50.4,32.4,52.56
2025-03-27 09:45:00,5.899999999999999,15584100.0,179,664200,563250,7.150000000000006,7.149999999999999,100950,-48.50000000000182,64350,2167500.0,YES,18300.0,N,32.15,38.05,41.5,30.35,50.35
2025-03-27 09:50:00,-11.049999999999997,14334000.0,181,786450,683025,-11.099999999999998,-11.150000000000002,103425,-42.69999999999891,55650,7200.0,N,258750.0,Y,37.9,26.85,42.45,26.05,48.6
2025-03-27 09:55:00,-3.8000000000000007,12979800.0,180,899175,844200,-4.0,-4.0,54975,-34.20000000000255,65250,15075.0,N,320625.0,Y,26.95,23.15,28.75,23.05,46.65
2025-03-27 10:00:00,-1.3500000000000014,9861150.0,181,1206750,1164375,-1.8500000000000014,-1.8500000000000014,42375,-31.30000000000109,70200,59850.0,YES,161625.0,N,22.5,21.15,26.0,20.7,45.21
2025-03-27 10:05:00,-4.149999999999999,12513525.0,180,2001600,1683000,-4.0,-4.049999999999997,318600,-28.400000000000546,85050,-90375.0,Y,215700.0,Y,21.15,17.0,21.55,16.35,43.32
