ltp,vol_traded_today,last_traded_time,exch_feed_time,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,low_price,high_price,lower_ckt,upper_ckt,open_price,prev_close_price,type,symbol,ch,chp
82.65,4014900,2025-03-27 09:15:51,1743047151,675,450,83.05,83.3,75,34315350,526200,86.01,76.5,94.45,0,0,87.0,71.05,sf,NSE:NIFTY25MAR23500PE,11.6,16.3265
82.1,4092075,2025-03-27 09:15:52,1743047153,675,225,81.6,81.85,150,34380375,541650,85.94,76.5,94.45,0,0,87.0,71.05,sf,NSE:NIFTY25MAR23500PE,11.05,15.5524
81.85,4092075,2025-03-27 09:15:52,1743047153,675,225,81.6,81.85,225,34380375,541650,85.94,76.5,94.45,0,0,87.0,71.05,sf,NSE:NIFTY25MAR23500PE,10.8,15.2006
81.8,4166475,2025-03-27 09:15:54,1743047154,300,150,81.55,81.75,75,34453350,548925,85.87,76.5,94.45,0,0,87.0,71.05,sf,NSE:NIFTY25MAR23500PE,10.75,15.1302
82.25,4166475,2025-03-27 09:15:54,1743047154,300,150,81.55,81.75,300,34453350,548925,85.87,76.5,94.45,0,0,87.0,71.05,sf,NSE:NIFTY25MAR23500PE,11.2,15.7635
82.55,4166475,2025-03-27 09:15:54,1743047155,300,150,81.55,81.75,75,34453350,548925,85.87,76.5,94.45,0,0,87.0,71.05,sf,NSE:NIFTY25MAR23500PE,11.5,16.1858
83.2,4227300,2025-03-27 09:15:56,1743047156,450,300,82.95,83.2,75,34498200,552975,85.82,76.5,94.45,0,0,87.0,71.05,sf,NSE:NIFTY25MAR23500PE,12.15,17.1006
86.0,4227300,2025-03-27 09:15:56,1743047156,450,300,82.95,83.2,300,34498200,552975,85.82,76.5,94.45,0,0,87.0,71.05,sf,NSE:NIFTY25MAR23500PE,14.95,21.0415
86.95,4350225,2025-03-27 09:15:57,1743047157,75,450,86.65,86.95,225,34539150,530400,85.81,76.5,94.45,0,0,87.0,71.05,sf,NSE:NIFTY25MAR23500PE,15.9,22.3786
86.25,4350225,2025-03-27 09:15:57,1743047159,75,450,86.65,86.95,75,34539150,530400,85.81,76.5,94.45,0,0,87.0,71.05,sf,NSE:NIFTY25MAR23500PE,15.2,21.3934
