last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,open_1,close_1,high,low,last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_2,close_2,high,low,avg_trade_price,last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_3,close_3,high,low,avg_trade_price,datetime,timestamp,open,high,low,close,volume
27-05-2025 09:15,-35.2,405600,186,229950,147750,-46.5,-37.7,82200,-1173.3,53850,85875,N,2100,N,24926.35,24935.3,24900.1,24958,24890.1,27-05-2025 09:15,-8,5227350,145,132300,163875,-12.5,-12.65,-31575,-202.8,56325,-2016300,N,232275,N,172.25,164.25,191.05,160.6,176.46,27-05-2025 09:15,31.65,5423850,145,125550,141225,34,33.85,-15675,-220.75,51825,566775,N,163200,N,231.9,263.55,269.95,231.45,250.68,27-05-2025 09:15,1748317500,24956.65,24976.1,24864.65,24874.3,0
27-05-2025 09:20,-81.5,609075,188,267600,157575,-82.9,-82.5,110025,-1189.3,56925,15525,N,24750,YES,24880.39,24900,24818.5,24900,24812,27-05-2025 09:20,-26.85,6653325,153,208650,217425,-26.9,-26.95,-8775,-125.3,57000,-113925,Y,263325,YES,162.4,135.55,162.4,134.2,159.96,27-05-2025 09:20,56.65,4112775,165,104025,120000,57.05,57.35,-15975,-269.15,54750,-104925,Y,-102000,YES,266.1,322.75,324.3,266.1,271.34,27-05-2025 09:20,1748317800,24876.2,24876.35,24769.3,24790.65,0
27-05-2025 09:25,-0.5,287925,174,122625,107775,-3.4,-4.9,14850,-928.4,44550,10200,N,33900,N,24867.51,24818.5,24818,24838.4,24808.1,27-05-2025 09:25,3.2,3712725,142,321750,304575,2.9,2.85,17175,-133.8,50475,165450,Y,194250,N,135.6,138.8,145.2,132.05,155,27-05-2025 09:25,1.6,1386675,138,99750,102375,1.25,1.6,-2625,-259.35,50100,14625,YES,47025,Y,323.85,325.45,329,309.25,277.44,27-05-2025 09:25,1748318100,24790.05,24813.5,24784.15,24790.45,0
27-05-2025 09:30,21.8,415800,175,251025,116775,21.8,20.4,134250,-943.7,58275,-11325,YES,69825,YES,24858.19,24811.2,24833,24863.5,24790,27-05-2025 09:30,5.65,6002175,182,216300,275025,5.6,4.4,-58725,-136.9,56850,57300,N,79575,N,135.5,141.15,153.05,127.25,151.55,27-05-2025 09:30,-14.95,1867425,172,122775,111450,-12.9,-13.4,11325,-294.8,55725,-68175,Y,48450,N,325.95,311,343.25,291.2,282.93,27-05-2025 09:30,1748318400,24791.9,24838.3,24765.75,24810.55,0
27-05-2025 09:35,20,175425,142,76200,91650,17.1,21.8,-15450,-1088.7,35625,44550,Y,32025,N,24857.29,24834.4,24854.4,24868,24821.6,27-05-2025 09:35,12,3148275,196,262575,278025,11.65,11.65,-15450,-141.75,62550,101700,Y,-11175,Y,140.75,152.75,157.05,137.15,151.2,27-05-2025 09:35,-11.65,828375,182,110250,91200,-11.4,-11.45,19050,-282.95,58125,-1500,YES,25200,N,309.7,298.05,321.25,290.05,284.2,27-05-2025 09:35,1748318700,24810.2,24841.65,24795,24830.65,0
27-05-2025 09:40,-3.8,104025,114,52575,111150,-4.4,-7.6,-58575,-1057.5,26700,-24825,YES,-4350,Y,24856.86,24854.4,24850.6,24865,24831,27-05-2025 09:40,-4.8,2827575,197,249225,277950,-2.25,-2.2,-28725,-135.25,55725,25275,N,129450,YES,151.65,146.85,155.85,138.05,150.9,27-05-2025 09:40,1.4,825375,185,124125,112875,-1.35,-1.35,11250,-289.6,62475,20100,YES,6525,N,298.6,300,311,290.5,285.1,27-05-2025 09:40,1748319000,24830.35,24836.95,24804.1,24825.7,0
27-05-2025 09:45,-37.6,148200,135,66900,51450,-37.6,-36.4,15450,-1069.4,35925,11625,Y,-19425,Y,24854.68,24850.6,24813,24851.2,24810.1,27-05-2025 09:45,-12.8,2885700,195,253875,320325,-13.95,-14.2,-66450,-124.3,54150,-93375,YES,169800,YES,146.8,134,148.8,131.8,149.72,27-05-2025 09:45,23.85,1029450,191,181050,135975,23.9,23.6,45075,-284.95,53625,6900,N,-65925,YES,300.15,324,326.65,298.95,287.08,27-05-2025 09:45,1748319300,24826.05,24827.35,24781.75,24782.3,0
27-05-2025 09:50,-2.9,192300,154,217125,82950,-0.1,1.2,134175,-999,41175,12450,N,48525,YES,24851.44,24813,24810.1,24829,24798.4,27-05-2025 09:50,1.2,2161275,193,276900,243225,0.7,0.75,33675,-117.4,53550,19650,Y,103950,N,132.8,134,138.65,128.55,148.69,27-05-2025 09:50,-0.8,748425,173,128775,113250,1.45,1.35,15525,-263.9,61500,2775,Y,11850,Y,324.65,323.85,333.05,314.3,288.72,27-05-2025 09:50,1748319600,24783.1,24800.1,24772.1,24786.2,0
27-05-2025 09:55,-33.6,337275,131,80700,458775,-28.9,-31.9,-378075,-945.1,40200,-31500,YES,30000,N,24844.26,24815.7,24782.1,24833,24768.6,27-05-2025 09:55,-9.95,3956625,177,310650,278100,-10.65,-10.75,32550,-116.15,51150,431025,Y,110850,N,132.9,122.95,140.1,120.25,146.54,27-05-2025 09:55,17.75,1037850,164,132975,109350,19.7,19.35,23625,-277.8,52800,29850,YES,-36825,YES,324,341.75,351.6,309.2,291.28,27-05-2025 09:55,1748319900,24785.55,24803.85,24750.7,24760.4,0
27-05-2025 10:00,9.8,160125,155,90900,90375,6.7,7.9,525,-1125.7,39000,32550,Y,29775,N,24840.48,24782.1,24791.9,24795,24761.1,27-05-2025 10:00,-0.8,3325200,177,426675,284550,-0.4,-0.35,142125,-107.5,54300,-493425,YES,1950,Y,123.15,122.35,125.75,116,144.38,27-05-2025 10:00,-4.05,892875,156,101850,133875,-6.35,-5.85,-32025,-302.85,48750,17175,N,36225,Y,341.35,337.3,358.3,332.6,293.91,27-05-2025 10:00,1748320200,24760.7,24767.75,24737.7,24763.2,0
27-05-2025 10:05,13.6,81450,120,69000,71025,15.9,15.2,-2025,-901.3,35025,19650,N,-11400,Y,24839.35,24791.9,24805.5,24810,24780.1,27-05-2025 10:05,6.65,2513850,173,326850,358200,5.65,5.6,-31350,-114.9,60375,646875,Y,114825,YES,122.15,128.8,129.6,117.65,143.22,27-05-2025 10:05,-13.85,500775,167,90225,105000,-14,-14.15,-14775,-280.5,42375,-44100,Y,37425,N,337.2,323.35,339.65,318.05,294.82,27-05-2025 10:05,1748320500,24762.55,24784.05,24754,24780.9,0
27-05-2025 10:10,-5.5,52125,123,81225,66675,-4.1,-3.7,14550,-1003.5,32625,-16500,YES,43350,YES,24838.7,24806.1,24800.6,24815,24787,27-05-2025 10:10,-4.65,1814325,190,363075,357675,-4.35,-4.45,5400,-101.35,61575,265200,N,135075,YES,128.05,123.4,128.05,119.4,142.45,27-05-2025 10:10,0.9,302250,158,88800,79950,0.1,-0.05,8850,-268.05,42600,-18975,YES,-3375,YES,322.4,323.3,336,315,295.28,27-05-2025 10:10,1748320800,24781.1,24791.45,24759.55,24777.1,0
