ltp,vol_traded_today,last_traded_time,exch_feed_time,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,low_price,high_price,lower_ckt,upper_ckt,open_price,prev_close_price,type,symbol,ch,chp
172.25,395100,2025-05-27 09:15:10,1748317511,75,300,175.55,176.1,225,4835400,302925,185.86,175.0,209.95,0,0,202.0,222.9,sf,NSE:NIFTY25MAY25000CE,-50.65,-22.7232
172.05,395100,2025-05-27 09:15:10,1748317511,75,300,175.55,176.1,75,4835400,302925,185.86,175.0,209.95,0,0,202.0,222.9,sf,NSE:NIFTY25MAY25000CE,-50.85,-22.8129
170.8,491700,2025-05-27 09:15:12,1748317512,150,375,170.75,171.25,75,4829700,316800,183.24,170.15,209.95,0,0,202.0,222.9,sf,NSE:NIFTY25MAY25000CE,-52.1,-23.3737
169.6,557250,2025-05-27 09:15:14,1748317514,150,75,169.45,170.0,75,4832625,326100,181.71,168.2,209.95,0,0,202.0,222.9,sf,NSE:NIFTY25MAY25000CE,-53.3,-23.9121
172.3,557250,2025-05-27 09:15:14,1748317514,150,75,169.45,170.0,75,4832625,326100,181.71,168.2,209.95,0,0,202.0,222.9,sf,NSE:NIFTY25MAY25000CE,-50.6,-22.7008
172.45,557250,2025-05-27 09:15:14,1748317515,150,75,169.45,170.0,150,4832625,326100,181.71,168.2,209.95,0,0,202.0,222.9,sf,NSE:NIFTY25MAY25000CE,-50.45,-22.6335
171.3,557250,2025-05-27 09:15:14,1748317515,150,75,169.45,170.0,75,4832625,326100,181.71,168.2,209.95,0,0,202.0,222.9,sf,NSE:NIFTY25MAY25000CE,-51.6,-23.1494
171.6,599625,2025-05-27 09:15:14,1748317515,150,75,171.55,172.25,225,4845150,328800,181.02,168.2,209.95,0,0,202.0,222.9,sf,NSE:NIFTY25MAY25000CE,-51.3,-23.0148
172.5,599625,2025-05-27 09:15:14,1748317516,150,75,171.55,172.25,75,4845150,328800,181.02,168.2,209.95,0,0,202.0,222.9,sf,NSE:NIFTY25MAY25000CE,-50.4,-22.611
174.9,599625,2025-05-27 09:15:14,1748317517,150,75,171.55,172.25,75,4845150,328800,181.02,168.2,209.95,0,0,202.0,222.9,sf,NSE:NIFTY25MAY25000CE,-48.0,-21.5343
175.9,661425,2025-05-27 09:15:17,1748317517,450,75,175.25,175.85,75,4860375,324375,180.31,168.2,209.95,0,0,202.0,222.9,sf,NSE:NIFTY25MAY25000CE,-47.0,-21.0857
177.05,661425,2025-05-27 09:15:17,1748317518,450,75,175.25,175.85,150,4860375,324375,180.31,168.2,209.95,0,0,202.0,222.9,sf,NSE:NIFTY25MAY25000CE,-45.85,-20.5698
174.25,661425,2025-05-27 09:15:17,1748317518,450,75,175.25,175.85,75,4860375,324375,180.31,168.2,209.95,0,0,202.0,222.9,sf,NSE:NIFTY25MAY25000CE,-48.65,-21.8259
173.45,706950,2025-05-27 09:15:19,1748317519,225,75,172.85,172.9,75,6595500,328950,179.99,168.2,209.95,0,0,202.0,222.9,sf,NSE:NIFTY25MAY25000CE,-49.45,-22.1848
172.75,756600,2025-05-27 09:15:20,1748317520,150,150,172.4,172.85,75,6597975,328275,179.49,168.2,209.95,0,0,202.0,222.9,sf,NSE:NIFTY25MAY25000CE,-50.15,-22.4989
173.0,756600,2025-05-27 09:15:20,1748317521,150,150,172.4,172.85,75,6597975,328275,179.49,168.2,209.95,0,0,202.0,222.9,sf,NSE:NIFTY25MAY25000CE,-49.9,-22.3867
174.95,823275,2025-05-27 09:15:20,1748317522,150,150,174.55,175.05,75,6612075,333450,179.07,168.2,209.95,0,0,202.0,222.9,sf,NSE:NIFTY25MAY25000CE,-47.95,-21.5119
175.05,823275,2025-05-27 09:15:20,1748317522,150,150,174.55,175.05,75,6612075,333450,179.07,168.2,209.95,0,0,202.0,222.9,sf,NSE:NIFTY25MAY25000CE,-47.85,-21.467
177.35,823275,2025-05-27 09:15:20,1748317523,150,150,174.55,175.05,75,6612075,333450,179.07,168.2,209.95,0,0,202.0,222.9,sf,NSE:NIFTY25MAY25000CE,-45.55,-20.4352
177.35,823275,2025-05-27 09:15:20,1748317524,150,150,174.55,175.05,300,6612075,333450,179.07,168.2,209.95,0,0,202.0,222.9,sf,NSE:NIFTY25MAY25000CE,-45.55,-20.4352
181.45,823275,2025-05-27 09:15:20,1748317524,150,150,174.55,175.05,75,6612075,333450,179.07,168.2,209.95,0,0,202.0,222.9,sf,NSE:NIFTY25MAY25000CE,-41.45,-18.5958
181.4,894225,2025-05-27 09:15:25,1748317525,225,75,180.85,181.45,75,6628575,317175,179.07,168.2,209.95,0,0,202.0,222.9,sf,NSE:NIFTY25MAY25000CE,-41.5,-18.6182
