last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,open_1,close_1,high,low,last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_2,close_2,high,low,avg_trade_price,last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_3,close_3,high,low,avg_trade_price,datetime,timestamp,open,high,low,close,volume,nif_body,vix_body,,,,
28-03-2025 09:15,-8.25,415950,158,861450,120675,-5,-4.55,740775,-436.8,40800,41625,N,36375,N,23762.7,23770.1,23761.85,23770.1,23745,28-03-2025 09:15,-11,2573175,168,172800,251175,-10.95,-11.05,-78375,-72.1,38100,286200,N,131925,N,107.4,96.4,107.4,90.4,99.31,28-03-2025 09:15,12.8,452250,165,128625,103350,10.95,10.9,25275,-173.55,32925,13800,N,40650,N,230.4,243.2,250.95,229.85,240.6,28-03-2025 09:15,1743133500,13.3,13.61,13.06,13.09,0,8.25,0.21,,5.634615385,,
28-03-2025 09:20,-45,168600,170,138225,192075,-44.1,-44.95,-53850,-554.95,35325,-17850,YES,44625,N,23758.45,23760,23715,23766.7,23712.55,28-03-2025 09:20,-17.15,2464875,180,321300,266025,-16,-16,55275,-70.6,42750,-87075,YES,100350,N,97,79.85,99.1,79.85,95.67,28-03-2025 09:20,27.3,547200,178,207375,123525,25,25.1,83850,-186.65,35025,59625,YES,-8250,YES,243.3,270.6,270.6,234.25,246.19,28-03-2025 09:20,1743133800,13.08,13.11,12.98,13.02,0,45,0.06,,,0.079863481,-1
28-03-2025 09:25,-9.25,137475,166,126075,138975,-5.1,-6.15,-12900,-750.15,34200,-35625,YES,129300,YES,23751.43,23715,23705.75,23719.5,23705,28-03-2025 09:25,-8.05,2556225,180,333450,403275,-7.15,-7.1,-69825,-64.75,46125,43500,Y,73800,N,80,71.95,82.1,71.95,90.15,28-03-2025 09:25,3.4,457800,180,113475,126375,2.45,2.35,-12900,-212.95,35400,-27000,Y,26400,Y,269.65,273.05,278.9,260,253.26,28-03-2025 09:25,1743134100,13.03,13.09,12.85,12.87,0,9.25,0.16,,,0.016416382,1
28-03-2025 09:30,-34.2,294075,179,320025,156900,-34.95,-34.55,163125,-680.3,41775,75,Y,26625,N,23737.23,23703.2,23669,23711.6,23669,28-03-2025 09:30,-12.75,2889900,180,365550,365550,-12.2,-12.2,0,-60.5,44250,38400,N,60975,N,71.7,58.95,73.8,58.95,84.27,28-03-2025 09:30,26.1,577350,179,108675,121200,23.1,23.1,-12525,-226.65,38775,-6825,YES,-19425,YES,273.6,299.7,299.7,265.55,261.19,28-03-2025 09:30,1743134400,12.88,12.92,12.81,12.85,0,34.2,0.03,,,0.060696246,-1
28-03-2025 09:35,-21.05,242625,178,157950,126000,-17.15,-17.85,31950,-873.05,34725,35100,Y,6600,N,23723.17,23668.95,23647.9,23668.95,23640,28-03-2025 09:35,-5.1,2703900,180,471600,442200,-4.4,-4.35,29400,-51.05,50625,116775,Y,92625,YES,59.9,54.8,59.9,51.45,78.71,28-03-2025 09:35,24.35,366750,179,87825,78525,21.4,21.45,9300,-248.7,38625,5550,N,150,N,296.65,321,324.35,296.65,268.67,28-03-2025 09:35,1743134700,12.86,12.88,12.81,12.84,0,21.05,0.02,,,0.037358362,-1
28-03-2025 09:40,14.5,140925,179,126300,102675,17,15.2,23625,-974.95,36375,3900,N,16200,N,23717.25,23645,23659.5,23668.9,23643.85,28-03-2025 09:40,-0.05,1787850,178,418575,469125,0.15,0.2,-50550,-51.95,47325,16425,N,42675,N,55.15,55.1,56.95,53.6,76.07,28-03-2025 09:40,-11.95,213600,174,75825,68100,-14.1,-14.25,7725,-246.45,41100,-59175,Y,7350,N,321.05,309.1,322.65,300.9,272.13,28-03-2025 09:40,1743135000,12.86,12.88,12.82,12.85,0,14.5,0.01,,,0.025733788,-1
28-03-2025 09:45,18.8,117150,180,115800,109650,21,19.15,6150,-922.1,32775,26775,Y,-20850,Y,23713.89,23661.15,23679.95,23679.95,23650.15,28-03-2025 09:45,7.45,1836375,180,383025,389775,6.75,6.85,-6750,-49.15,45075,67800,Y,-35475,Y,54.7,62.15,62.15,53.6,74.16,28-03-2025 09:45,-20.35,252900,170,92700,78975,-18.6,-18.7,13725,-224.95,42450,517200,YES,9900,N,309.1,288.75,315.7,288.75,274.54,28-03-2025 09:45,1743135300,12.85,12.88,12.83,12.83,0,18.8,0.02,,,0.033365188,-1
28-03-2025 09:50,13.6,88275,164,120900,76200,14.05,15.9,44700,-924.6,36075,4725,N,5700,YES,23712.64,23679.9,23693.5,23699.95,23672.95,28-03-2025 09:50,3.55,2023200,180,414825,408450,3.7,3.7,6375,-59.05,46200,55050,N,-7575,YES,61.1,64.65,67.1,59.7,73.06,28-03-2025 09:50,-8.95,218925,175,91125,67350,-9.05,-8.85,23775,-215,35025,4200,N,6525,N,290.65,281.7,295,273.8,275.18,28-03-2025 09:50,1743135600,12.84,12.87,12.79,12.82,0,13.6,0.02,,,0.024136519,-1
28-03-2025 09:55,17.15,97275,157,121500,101925,17.85,15.9,19575,-804.5,27675,-2400,YES,-8400,Y,23711.89,23690,23707.15,23716.75,23680,28-03-2025 09:55,4.4,1992225,174,432975,383625,4.3,4.35,49350,-56.8,42000,5250,N,-5475,N,64.5,68.9,71.35,61.75,72.48,28-03-2025 09:55,-16.45,316050,178,107550,96525,-16.6,-16.65,11025,-202.75,38700,4050,N,750,YES,282.3,265.85,291.15,259.8,275.24,28-03-2025 09:55,1743135900,12.81,12.85,12.78,12.81,0,17.15,0,,,0.03043686,-1
28-03-2025 10:00,6.3,65775,148,87375,57975,3.95,5.15,29400,-685.7,33825,16050,N,600,N,23711.56,23707.15,23713.45,23714.45,23686.2,28-03-2025 10:00,1.5,1800300,180,487800,415725,1.55,1.6,72075,-62.75,46350,21450,N,26400,YES,68.7,70.2,71.75,63.35,72.11,28-03-2025 10:00,-1.6,268725,176,99225,133200,-1.4,-1.35,-33975,-207.2,42750,-5925,Y,3900,N,265.85,264.25,283.8,261.55,274.92,28-03-2025 10:00,1743136200,12.84,12.87,12.8,12.84,0,6.3,0,,,0.011180887,-1
