last_traded_time,ltp,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,last_traded_time,ltp,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,last_traded_time,ltp,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
29-04-2025 09:15,25.1,26.2,24,-114150,-1129.9,35700,58125,N,176025,N,17.77,24524.9,24550,29-04-2025 09:15,5.95,6.15,6.2,98025,-35.65,30300,654600,N,174975,N,1.54,29-04-2025 09:15,-15.2,-15.1,-15.2,23625,-71.75,26400,82650,N,80700,N,-6.87
29-04-2025 09:20,17,18.9,17,-3056700,-993.9,42000,43425,N,-31350,Y,13.39,24550,24567,29-04-2025 09:20,5.7,6.75,6.65,96450,-56.45,44100,-837900,YES,354600,YES,4.05,29-04-2025 09:20,-10.5,-10.4,-10.5,-27900,-92.7,37275,2044575,YES,126300,Y,-8.45
29-04-2025 09:25,-33.6,-36.1,-32.6,21000,-672,36375,-5850,YES,9900,YES,2.37,24567.4,24533.7,29-04-2025 09:25,-11.55,-11.25,-11.2,106350,-51.4,47325,-336750,Y,502125,YES,-0.02,29-04-2025 09:25,22.5,23.45,23.55,43725,-93.95,41775,183225,N,-23475,YES,-2.55
29-04-2025 09:30,20.1,25,23.7,-40950,-1131.9,36225,19800,Y,14175,N,-1.02,24533.9,24554,29-04-2025 09:30,4.05,4.35,4.4,65700,-48.45,49125,236400,Y,229875,N,-0.57,29-04-2025 09:30,-14.8,-17.35,-17.3,7650,-109.7,35775,39750,N,57000,Y,2.13
29-04-2025 09:35,-67.7,-63.5,-60.4,14400,-1314.9,35700,-41250,YES,-58125,Y,-4.21,24553.3,24485.6,29-04-2025 09:35,-13.5,-13.3,-13.3,430800,-48.25,44475,-525000,YES,373575,YES,-1.71,29-04-2025 09:35,48.65,46.6,46.75,13350,-123.25,37725,-13050,Y,-143175,YES,5.59
29-04-2025 09:40,-41.2,-42.4,-46.6,104625,-1511.6,40800,7275,Y,24600,YES,-19.28,24485.8,24444.6,29-04-2025 09:40,-6.35,-6.15,-6.2,-84450,-39.85,41325,114375,Y,70125,N,-2.66,29-04-2025 09:40,44.8,45,45,-22950,-188,42225,-107100,Y,-12525,Y,11
29-04-2025 09:45,-3.5,-5.8,-5.4,37500,-1348.1,43500,82050,Y,18525,N,-8.22,24447.6,24444.1,29-04-2025 09:45,1.35,1.55,1.55,19350,-39.4,49200,222600,Y,171525,YES,-1.35,29-04-2025 09:45,2.4,1.75,1.65,10575,-181.9,39000,-29100,YES,44925,Y,5.58
29-04-2025 09:50,12.2,4.8,9.3,20775,-1470.2,36525,15225,N,-5850,Y,-7.11,24444.6,24456.8,29-04-2025 09:50,-2.45,-2.35,-2.35,-145500,-36.6,46050,34875,N,290925,YES,-1.44,29-04-2025 09:50,-9.25,-8.95,-9,-19125,-196.05,36750,5100,YES,29700,N,4.45
29-04-2025 09:55,52.1,52.1,50,-29325,-1149.1,36675,66675,Y,97500,YES,-0.81,24452.9,24505,29-04-2025 09:55,6.75,6.85,6.85,-35550,-42.65,51600,10800,N,31050,N,-0.72,29-04-2025 09:55,-48.9,-49.55,-49.75,-10725,-150.55,34800,-42525,Y,4650,N,0.8
29-04-2025 10:00,-10,-13.3,-10.8,1425,-1299.8,32400,18225,N,28200,N,-0.24,24503.9,24494.2,29-04-2025 10:00,-4,-4.05,-4.1,11025,-43.55,49500,33450,Y,73350,YES,-0.62,29-04-2025 10:00,11.1,11.4,11.55,-16050,-139.15,33525,64575,YES,-4350,YES,0.31
29-04-2025 10:05,-27.8,-30.1,-27.8,-29625,-1059.6,33600,17400,N,18075,N,-1.46,24490,24462.2,29-04-2025 10:05,-4.3,-4.3,-4.3,34275,-38.75,51225,-120000,YES,203550,YES,-0.72,29-04-2025 10:05,22.8,23.6,23.6,1800,-161.3,34875,-21075,Y,-2175,N,1.52
