last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_3,close_3,high,low,avg_trade_price
2025-01-30 09:15:00,-19.849999999999994,5853550.0,167,130375,122875,-20.75,-20.799999999999997,7500,-99.39999999999418,25900,7456300.0,N,199075.0,N,129.6,109.75,137.0,90.95,109.19
2025-01-30 09:20:00,-5.75,4081625.0,179,132150,160725,-5.25,-5.25,-28575,-91.05000000000291,23650,1269450.0,N,174825.0,N,108.85,103.1,120.0,97.9,108.52
2025-01-30 09:25:00,-1.75,3048750.0,176,155400,122800,-2.200000000000003,-2.200000000000003,32600,-78.40000000000873,19600,1211800.0,N,126575.0,N,103.3,101.55,104.5,92.95,106.17
2025-01-30 09:30:00,-14.5,3878075.0,180,144700,159825,-15.150000000000006,-15.099999999999994,-15125,-78.79999999998836,19675,155850.0,N,122325.0,N,101.8,87.3,102.55,79.9,102.1
2025-01-30 09:35:00,-13.050000000000011,3061625.0,180,163750,162575,-12.950000000000003,-12.950000000000003,1175,-63.44999999999709,21750,-60275.0,Y,131000.0,N,87.15,74.1,87.45,72.25,98.61
2025-01-30 09:40:00,-2.3999999999999915,3312700.0,180,153825,203575,-2.299999999999997,-2.299999999999997,-49750,-61.400000000001455,24925,-28425.0,YES,8575.0,N,73.85,71.45,80.45,69.3,95.31
2025-01-30 09:45:00,-0.25,3132875.0,180,183000,153825,0.0,-0.04999999999999716,29175,-62.75,24850,72100.0,YES,-36625.0,YES,70.95,70.7,76.65,62.5,92.29
2025-01-30 09:50:00,-13.699999999999996,3287475.0,180,252975,173625,-14.199999999999996,-14.149999999999999,79350,-56.79999999999927,26725,-40000.0,Y,93375.0,Y,72.3,58.6,73.95,54.6,89.0
2025-01-30 09:55:00,-1.25,2362600.0,181,197175,238375,-0.8500000000000014,-0.8500000000000014,-41200,-55.20000000000073,27300,71475.0,YES,450.0,YES,58.75,57.5,69.3,57.15,87.14
2025-01-30 10:00:00,-5.449999999999996,2722375.0,180,330150,314875,-5.699999999999996,-5.800000000000004,15275,-52.29999999999927,32050,-44700.0,Y,59825.0,Y,57.3,51.85,58.25,49.95,84.55
2025-01-30 10:05:00,1.3999999999999986,3396950.0,181,393425,385650,1.5499999999999972,1.6499999999999986,7775,-48.75,37075,101350.0,YES,-54250.0,YES,52.0,53.4,53.55,43.05,81.37
2025-01-30 10:10:00,-9.799999999999997,4211100.0,178,383675,369375,-9.850000000000001,-9.75,14300,-44.35000000000218,32250,-10125.0,Y,74750.0,Y,53.3,43.5,53.3,40.35,77.84
2025-01-30 10:15:00,0.7000000000000028,1858725.0,180,405550,355325,0.8500000000000014,0.8500000000000014,50225,-46.5,28550,123050.0,YES,84675.0,N,43.65,44.35,47.35,40.2,76.39
2025-01-30 10:20:00,-8.399999999999999,3825625.0,181,457775,539275,-8.549999999999997,-8.549999999999997,-81500,-41.100000000000364,38900,-82850.0,Y,28775.0,N,44.5,36.1,44.8,33.15,73.34
2025-01-30 10:25:00,-8.899999999999999,3136125.0,180,706175,664575,-8.499999999999996,-8.5,41600,-34.19999999999709,38125,-14000.0,YES,75875.0,Y,36.3,27.4,36.9,27.4,70.83
2025-01-30 10:30:00,2.6499999999999986,3207175.0,179,719025,562200,2.700000000000003,2.6999999999999993,156825,-30.75,37000,-192025.0,Y,42600.0,N,27.1,29.75,31.95,25.05,68.32
2025-01-30 10:35:00,-0.1999999999999993,2009375.0,180,719525,646825,-0.1999999999999993,-0.20000000000000284,72700,-34.599999999996726,43900,-745500.0,Y,-26075.0,YES,29.65,29.45,30.4,26.45,66.91
