ltp,vol_traded_today,last_traded_time,exch_feed_time,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,low_price,high_price,lower_ckt,upper_ckt,open_price,prev_close_price,type,symbol,ch,chp
168.45,303550,2025-01-30 09:15:19,1738208719,50,150,167.85,168.4,25,11180750,95925,158.93,135.15,171.55,0,0,165.1,172.35,sf,NSE:NIFTY25JAN23100CE,-3.9,-2.2628
171.35,303550,2025-01-30 09:15:19,1738208720,50,150,167.85,168.4,25,11180750,95925,158.93,135.15,171.55,0,0,165.1,172.35,sf,NSE:NIFTY25JAN23100CE,-1.0,-0.5802
170.9,326800,2025-01-30 09:15:20,1738208720,25,125,170.2,170.9,25,11196625,93800,159.76,135.15,172.35,0,0,165.1,172.35,sf,NSE:NIFTY25JAN23100CE,-1.45,-0.8413
165.8,326800,2025-01-30 09:15:20,1738208721,25,125,170.2,170.9,125,11196625,93800,159.76,135.15,172.35,0,0,165.1,172.35,sf,NSE:NIFTY25JAN23100CE,-6.55,-3.8004
163.9,365925,2025-01-30 09:15:22,1738208722,300,1300,163.5,164.1,25,12047300,99325,160.4,135.15,172.35,0,0,165.1,172.35,sf,NSE:NIFTY25JAN23100CE,-8.45,-4.9028
163.15,365925,2025-01-30 09:15:22,1738208722,300,1300,163.5,164.1,75,12047300,99325,160.4,135.15,172.35,0,0,165.1,172.35,sf,NSE:NIFTY25JAN23100CE,-9.2,-5.338
162.8,365925,2025-01-30 09:15:22,1738208723,300,1300,163.5,164.1,25,12047300,99325,160.4,135.15,172.35,0,0,165.1,172.35,sf,NSE:NIFTY25JAN23100CE,-9.55,-5.5411
161.1,398700,2025-01-30 09:15:24,1738208724,175,2075,161.05,161.55,25,12967825,104900,160.61,135.15,172.35,0,0,165.1,172.35,sf,NSE:NIFTY25JAN23100CE,-11.25,-6.5274
160.75,398700,2025-01-30 09:15:24,1738208724,175,2075,161.05,161.55,75,12967825,104900,160.61,135.15,172.35,0,0,165.1,172.35,sf,NSE:NIFTY25JAN23100CE,-11.6,-6.7305
161.7,423100,2025-01-30 09:15:25,1738208725,125,175,161.1,161.75,25,13655350,98700,160.65,135.15,172.35,0,0,165.1,172.35,sf,NSE:NIFTY25JAN23100CE,-10.65,-6.1793
162.8,423100,2025-01-30 09:15:25,1738208726,125,175,161.1,161.75,125,13655350,98700,160.65,135.15,172.35,0,0,165.1,172.35,sf,NSE:NIFTY25JAN23100CE,-9.55,-5.5411
162.4,440375,2025-01-30 09:15:27,1738208727,150,150,162.05,162.55,100,14218200,100900,160.69,135.15,172.35,0,0,165.1,172.35,sf,NSE:NIFTY25JAN23100CE,-9.95,-5.7731
