last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_2,close_2,high,low,avg_trade_price
2025-07-30 09:15:00,10.200000000000003,13870950.0,226,687225,843150,10.0,9.899999999999999,-155925,-65.54999999999927,66375,609375.0,N,538650.0,N,43.0,53.2,55.95,41.0,48.65
2025-07-30 09:20:00,-8.399999999999999,9265650.0,320,1197675,1028625,-7.5,-7.5,169050,-70.64999999999782,75150,31125.0,N,412500.0,N,52.25,43.85,55.6,43.75,48.45
2025-07-30 09:25:00,0.5500000000000043,7249500.0,312,1718025,1355400,0.29999999999999716,0.20000000000000284,362625,-66.54999999999927,75675,46800.0,N,123975.0,N,44.05,44.6,44.85,39.35,47.0
2025-07-30 09:30:00,17.0,19927275.0,329,1495125,1299975,17.449999999999996,17.5,195150,-78.79999999999563,84900,511800.0,Y,-260700.0,Y,44.6,61.6,64.35,44.0,49.71
2025-07-30 09:35:00,-2.1999999999999957,19483500.0,319,992325,1029600,-2.5,-2.5,-37275,-80.59999999999854,83775,-99450.0,YES,548100.0,YES,61.05,58.85,67.1,55.9,53.13
2025-07-30 09:40:00,2.8500000000000014,11803800.0,312,1119750,1047000,3.200000000000003,3.200000000000003,72750,-81.75,72075,304350.0,Y,230100.0,N,58.3,61.15,62.4,51.75,53.75
2025-07-30 09:45:00,-16.550000000000004,13573200.0,339,1389000,1039950,-16.449999999999996,-16.450000000000003,349050,-73.04999999999927,82500,-534900.0,YES,398700.0,YES,61.2,44.65,61.2,44.6,53.32
2025-07-30 09:50:00,-3.1999999999999957,9293400.0,327,1782525,1243275,-3.6000000000000014,-3.6499999999999986,539250,-60.69999999999709,83100,102000.0,Y,141000.0,N,45.3,42.1,45.85,40.75,52.44
2025-07-30 09:55:00,4.449999999999996,12638850.0,233,1150125,1258725,4.299999999999997,4.399999999999999,-108600,-66.65000000000146,75150,-19275.0,YES,13650.0,N,41.95,46.4,54.75,41.7,52.03
2025-07-30 10:00:00,-0.6499999999999986,6059925.0,234,1383075,1264800,-0.5,-0.5,118275,-59.30000000000291,73200,157575.0,Y,247650.0,YES,46.35,45.7,47.2,42.0,51.68
2025-07-30 10:05:00,1.5,4642425.0,289,1748700,1620450,1.5,1.5,128250,-65.60000000000218,83475,32775.0,N,33975.0,N,45.9,47.4,49.4,44.0,51.5
2025-07-30 10:10:00,0.45000000000000284,4399275.0,305,1673775,1847250,0.3500000000000014,0.29999999999999716,-173475,-64.20000000000437,88125,17625.0,N,43200.0,N,47.05,47.5,50.9,44.25,51.36
2025-07-30 10:15:00,6.25,7189350.0,360,1970250,1836300,6.350000000000001,6.300000000000004,133950,-68.79999999999927,84675,115425.0,Y,-320250.0,Y,47.55,53.8,55.0,44.8,51.33
2025-07-30 10:20:00,-8.599999999999994,7888725.0,360,1800225,1741275,-8.600000000000001,-8.600000000000001,58950,-64.19999999999709,81075,-212775.0,YES,171675.0,YES,53.05,44.45,54.65,42.55,51.16
2025-07-30 10:25:00,-8.399999999999999,7930425.0,355,1907925,1806525,-8.299999999999997,-8.350000000000001,101400,-53.44999999999709,81000,-265350.0,YES,219975.0,YES,44.65,36.25,44.85,35.55,50.57
2025-07-30 10:30:00,2.049999999999997,7258500.0,332,1940100,2154375,2.1000000000000014,2.1000000000000014,-214275,-53.400000000001455,86325,109275.0,Y,40200.0,N,36.1,38.15,41.2,35.35,50.04
2025-07-30 10:35:00,-2.1999999999999957,4929375.0,273,1846950,1729350,-2.700000000000003,-2.6499999999999986,117600,-48.35000000000218,81975,-183150.0,YES,33675.0,N,38.4,36.2,39.9,33.95,49.65
2025-07-30 10:40:00,-2.200000000000003,5881050.0,237,1604550,1848300,-2.1499999999999986,-2.1499999999999986,-243750,-45.099999999998545,78000,53700.0,Y,98925.0,YES,36.1,33.9,36.35,31.95,49.13
2025-07-30 10:45:00,-0.04999999999999716,5896050.0,300,1753650,1660575,-0.10000000000000142,-0.14999999999999858,93075,-43.64999999999782,78525,256500.0,Y,44550.0,N,34.15,34.1,36.15,30.75,48.62
2025-07-30 10:50:00,3.4499999999999957,5034825.0,322,1844850,1827675,3.450000000000003,3.450000000000003,17175,-48.349999999998545,89325,-47100.0,YES,100650.0,YES,34.2,37.65,38.25,34.1,48.3
2025-07-30 10:55:00,-0.44999999999999574,4369725.0,333,1775100,2012025,-0.30000000000000426,-0.3999999999999986,-236925,-50.0,81150,-109125.0,YES,49950.0,N,38.05,37.6,40.0,36.5,48.08
2025-07-30 11:00:00,0.3500000000000014,7282200.0,342,1799850,1671300,0.10000000000000142,0.10000000000000142,128550,-52.700000000004366,83775,-20625.0,Y,-125400.0,Y,37.5,37.85,42.75,35.6,47.76
2025-07-30 11:05:00,0.15000000000000568,3909000.0,346,1630575,1601625,0.14999999999999858,0.10000000000000142,28950,-48.0,86025,165600.0,Y,129750.0,YES,38.05,38.2,39.6,34.4,47.55
2025-07-30 11:10:00,10.299999999999997,8413800.0,332,1526850,1334550,10.400000000000006,10.349999999999994,192300,-53.95000000000073,82425,50925.0,N,-475875.0,Y,38.1,48.4,48.75,37.85,47.4
2025-07-30 11:15:00,14.099999999999994,18618450.0,355,1216275,1234350,14.199999999999996,14.149999999999999,-18075,-67.39999999999782,72075,132450.0,Y,-730275.0,Y,48.2,62.3,63.1,47.75,48.07
2025-07-30 11:20:00,-1.6000000000000014,16058625.0,355,886725,1648125,-1.75,-1.7999999999999972,-761400,-69.69999999999709,65925,31950.0,N,365550.0,YES,61.9,60.3,65.0,56.6,48.92
2025-07-30 11:25:00,13.100000000000009,17212500.0,356,899250,1080150,12.950000000000003,13.0,-180900,-72.14999999999418,67800,47400.0,N,-829950.0,Y,61.3,74.4,76.25,56.7,50.17
2025-07-30 11:30:00,-3.8999999999999915,11615025.0,358,862350,931425,-4.049999999999997,-4.0,-69075,-77.59999999999854,70125,143025.0,Y,585600.0,YES,73.85,69.95,74.0,66.0,51.02
2025-07-30 11:35:00,-9.0,10461975.0,350,1025850,859725,-9.100000000000009,-9.199999999999996,166125,-77.30000000000291,68400,-421950.0,YES,42225.0,N,69.55,60.55,72.3,59.45,51.59
