last_traded_time,ltp,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,last_traded_time,ltp,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,last_traded_time,ltp,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
30-12-2024 09:15,23947,-27925,-3.45,17975,51725,N,47350,N,-12.52,23934.3,23947,30-12-2024 09:15,54.75,-19800,-0.05,34125,175800,N,80475,N,-6.77,30-12-2024 09:15,235.55,11250,0.2,32325,4575,N,1425,N,5.27
30-12-2024 09:20,23915.05,-49000,-6.3,20175,53400,N,18575,N,-2.58,23942.35,23915.05,30-12-2024 09:20,43.95,-77025,0.05,42900,-1672275,YES,191100,YES,-2.09,30-12-2024 09:20,261.95,-62925,-0.05,40050,-957000,Y,43200,Y,1.51
30-12-2024 09:25,23897,-47075,0.85,17575,3750,N,28350,N,-8.17,23914.4,23897,30-12-2024 09:25,39.1,44775,-0.05,49275,27225,Y,121425,N,-2.4,30-12-2024 09:25,278,-6300,0.2,50850,-14775,YES,-42375,YES,6.64
30-12-2024 09:30,23891.35,-56175,1.4,18375,46825,Y,132850,YES,-5.85,23892.5,23891.35,30-12-2024 09:30,37.4,-222450,7.11E-15,54075,84150,Y,69450,N,-2.16,30-12-2024 09:30,278.7,-21975,-0.05,53925,-6750,N,28425,Y,3.81
30-12-2024 09:35,23876,-45275,1.3,17700,-1325,YES,20575,N,-5.38,23893.6,23876,30-12-2024 09:35,33.75,74775,7.11E-15,51450,77850,N,94200,YES,-1.59,30-12-2024 09:35,290.4,41325,0.15,49500,-4425,N,-15900,YES,3.34
30-12-2024 09:40,23880.1,-16125,-0.15,19375,27525,Y,4425,N,-6.02,23875.6,23880.1,30-12-2024 09:40,35.55,19050,-0.05,60675,129900,Y,66300,N,-1.61,30-12-2024 09:40,287,40350,0.1,44400,-14775,Y,13875,Y,3.41
30-12-2024 09:45,23900,-122800,-1.45,25500,43550,N,59350,YES,-1.38,23884.35,23900,30-12-2024 09:45,38.15,-53775,0,46650,8100,N,43275,N,-0.76,30-12-2024 09:45,272,24525,0.1,48375,27600,YES,15525,N,0.83
30-12-2024 09:50,23925.05,-31325,1.55,18075,-725,YES,-21550,Y,0.9,23900,23925.05,30-12-2024 09:50,44.6,-110400,-0.05,51675,3525,N,-64050,Y,0.02,30-12-2024 09:50,251,4650,-0.05,51525,-10275,Y,23775,N,-0.73
30-12-2024 09:55,23882.95,-25225,3.3,18600,48775,Y,85325,YES,0.16,23925.05,23882.95,30-12-2024 09:55,34.75,-61125,-0.05,48900,-45075,YES,116925,YES,-0.42,30-12-2024 09:55,280.7,32625,-0.1,46725,13725,YES,-35550,YES,-0.18
30-12-2024 10:00,23910,-62825,2.4,18550,66850,N,-1400,Y,0.16,23882.2,23910,30-12-2024 10:00,40.85,76950,0,51375,86100,Y,-34950,Y,-0.14,30-12-2024 10:00,259.85,-43875,-0.2,46350,1050,Y,32400,Y,-0.28
30-12-2024 10:05,23916,-6650,-4.05,14050,-975,YES,-2400,Y,0.1,23910,23916,30-12-2024 10:05,41,206475,-0.05,54975,-30675,YES,50100,YES,-0.2,30-12-2024 10:05,260.5,53325,0.15,46950,-7350,Y,-28650,YES,-0.06
30-12-2024 10:10,23930,-5425,1.7,14425,5525,N,-45225,Y,0.87,23916,23930,30-12-2024 10:10,44.45,-97275,0.05,48450,54525,Y,-52650,Y,0.16,30-12-2024 10:10,243.25,-13875,-0.05,53550,-5625,N,24675,Y,-1.1
30-12-2024 10:15,23928.45,-117675,3.8,16675,3750,N,6825,YES,0.96,23934.9,23928.45,30-12-2024 10:15,43.25,-58575,0,52050,-40950,YES,-29475,YES,0.25,30-12-2024 10:15,250.5,-49650,-0.1,51750,29475,YES,0,YES,-1.38
30-12-2024 10:20,23929.2,-19100,-4.2,17200,-2325,YES,-4075,Y,0.48,23929.2,23929.2,30-12-2024 10:20,44.1,-87075,-0.1,48000,42600,Y,63225,YES,0,30-12-2024 10:20,245.75,4650,-2.84E-14,47550,-4200,Y,8475,N,-0.35
30-12-2024 10:25,23941.1,-9125,3.4,11150,3475,N,-18400,Y,0.61,23929.2,23941.1,30-12-2024 10:25,44.8,-184950,0,48900,6375,N,24000,N,0.11,30-12-2024 10:25,238,-18075,-0.2,50025,6000,N,19575,N,-0.69
