ltp,vol_traded_today,last_traded_time,exch_feed_time,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,low_price,high_price,lower_ckt,upper_ckt,open_price,prev_close_price,type,symbol,ch,chp
55914.2,15330,2025-07-31 09:15:47,1753933548,70,595,55918.6,55925.0,35,56980,33600,55934.32,55874.4,55977.6,0,0,55946.6,56217.6,sf,NSE:BANKNIFTY25JULFUT,-303.4,-0.5397
55925.0,15365,2025-07-31 09:15:49,1753933549,70,560,55921.0,55925.0,350,61110,40600,55934.3,55874.4,55977.6,0,0,55946.6,56217.6,sf,NSE:BANKNIFTY25JULFUT,-292.6,-0.5205
55925.0,15750,2025-07-31 09:15:49,1753933549,140,175,55920.6,55925.0,35,52325,29015,55934.08,55874.4,55977.6,0,0,55946.6,56217.6,sf,NSE:BANKNIFTY25JULFUT,-292.6,-0.5205
55925.0,15750,2025-07-31 09:15:49,1753933550,140,175,55920.6,55925.0,70,52325,29015,55934.08,55874.4,55977.6,0,0,55946.6,56217.6,sf,NSE:BANKNIFTY25JULFUT,-292.6,-0.5205
55925.0,15925,2025-07-31 09:15:50,1753933550,35,70,55919.2,55937.0,70,49910,47285,55933.98,55874.4,55977.6,0,0,55946.6,56217.6,sf,NSE:BANKNIFTY25JULFUT,-292.6,-0.5205
55923.2,15960,2025-07-31 09:15:50,1753933551,140,35,55923.4,55941.0,35,53760,34230,55933.95,55874.4,55977.6,0,0,55946.6,56217.6,sf,NSE:BANKNIFTY25JULFUT,-294.4,-0.5237
55941.0,16030,2025-07-31 09:15:51,1753933551,245,140,55918.0,55937.2,35,53165,43260,55933.95,55874.4,55977.6,0,0,55946.6,56217.6,sf,NSE:BANKNIFTY25JULFUT,-276.6,-0.492
55918.2,16065,2025-07-31 09:15:52,1753933552,140,140,55918.4,55937.0,35,57575,44625,55933.91,55874.4,55977.6,0,0,55946.6,56217.6,sf,NSE:BANKNIFTY25JULFUT,-299.4,-0.5326
55914.2,16100,2025-07-31 09:15:52,1753933553,35,140,55912.6,55929.0,35,49840,47810,55933.87,55874.4,55977.6,0,0,55946.6,56217.6,sf,NSE:BANKNIFTY25JULFUT,-303.4,-0.5397
55918.6,16100,2025-07-31 09:15:52,1753933553,140,140,55920.2,55937.8,70,62615,49175,55933.87,55874.4,55977.6,0,0,55946.6,56217.6,sf,NSE:BANKNIFTY25JULFUT,-299.0,-0.5319
55918.6,16520,2025-07-31 09:15:53,1753933554,35,35,55931.6,55939.6,70,67060,28280,55933.49,55874.4,55977.6,0,0,55946.6,56217.6,sf,NSE:BANKNIFTY25JULFUT,-299.0,-0.5319
55928.4,16730,2025-07-31 09:15:54,1753933554,175,140,55929.6,55947.0,35,65345,39795,55933.51,55874.4,55977.6,0,0,55946.6,56217.6,sf,NSE:BANKNIFTY25JULFUT,-289.2,-0.5144
55928.4,16730,2025-07-31 09:15:54,1753933555,105,140,55926.2,55943.8,35,63140,47495,55933.51,55874.4,55977.6,0,0,55946.6,56217.6,sf,NSE:BANKNIFTY25JULFUT,-289.2,-0.5144
55939.8,16870,2025-07-31 09:15:55,1753933555,140,175,55920.8,55939.4,105,51485,41055,55933.56,55874.4,55977.6,0,0,55946.6,56217.6,sf,NSE:BANKNIFTY25JULFUT,-277.8,-0.4942
55939.8,16870,2025-07-31 09:15:55,1753933556,35,140,55920.2,55939.6,105,50855,43540,55933.56,55874.4,55977.6,0,0,55946.6,56217.6,sf,NSE:BANKNIFTY25JULFUT,-277.8,-0.4942
55928.4,16905,2025-07-31 09:15:57,1753933557,35,175,55917.4,55933.4,35,50785,48230,55933.55,55874.4,55977.6,0,0,55946.6,56217.6,sf,NSE:BANKNIFTY25JULFUT,-289.2,-0.5144
55933.6,16905,2025-07-31 09:15:57,1753933557,175,245,55915.8,55933.6,35,55965,40985,55933.55,55874.4,55977.6,0,0,55946.6,56217.6,sf,NSE:BANKNIFTY25JULFUT,-284.0,-0.5052
55915.4,16975,2025-07-31 09:15:58,1753933558,35,245,55912.8,55930.0,35,58555,50820,55933.52,55874.4,55977.6,0,0,55946.6,56217.6,sf,NSE:BANKNIFTY25JULFUT,-302.2,-0.5376
55915.4,16975,2025-07-31 09:15:58,1753933558,175,140,55913.2,55930.6,35,54495,45395,55933.52,55874.4,55977.6,0,0,55946.6,56217.6,sf,NSE:BANKNIFTY25JULFUT,-302.2,-0.5376
55915.4,16975,2025-07-31 09:15:58,1753933559,35,175,55918.0,55925.2,35,56700,50505,55933.52,55874.4,55977.6,0,0,55946.6,56217.6,sf,NSE:BANKNIFTY25JULFUT,-302.2,-0.5376
55918.0,17010,2025-07-31 09:16:00,1753933560,35,105,55910.8,55917.2,35,42280,47460,55933.48,55874.4,55977.6,0,0,55946.6,56217.6,sf,NSE:BANKNIFTY25JULFUT,-299.6,-0.5329
55893.8,17640,2025-07-31 09:16:00,1753933560,70,315,55893.8,55900.6,35,43015,51625,55932.52,55874.4,55977.6,0,0,55946.6,56217.6,sf,NSE:BANKNIFTY25JULFUT,-323.8,-0.576
55875.0,18270,2025-07-31 09:16:01,1753933561,35,70,55875.0,55881.6,35,50155,48685,55931.01,55874.4,55977.6,0,0,55946.6,56217.6,sf,NSE:BANKNIFTY25JULFUT,-342.6,-0.6094
55887.4,18410,2025-07-31 09:16:01,1753933561,140,35,55870.6,55887.6,35,64225,38710,55930.59,55870.2,55977.6,0,0,55946.6,56217.6,sf,NSE:BANKNIFTY25JULFUT,-330.2,-0.5874
55870.2,18585,2025-07-31 09:16:02,1753933562,105,140,55870.0,55887.2,105,59920,47460,55930.08,55870.2,55977.6,0,0,55946.6,56217.6,sf,NSE:BANKNIFTY25JULFUT,-347.4,-0.618
55867.4,18725,2025-07-31 09:16:02,1753933563,140,70,55867.4,55884.2,35,53340,42700,55929.62,55867.4,55977.6,0,0,55946.6,56217.6,sf,NSE:BANKNIFTY25JULFUT,-350.2,-0.6229
55867.4,18725,2025-07-31 09:16:02,1753933563,1120,70,55866.0,55874.0,35,50470,50785,55929.62,55867.4,55977.6,0,0,55946.6,56217.6,sf,NSE:BANKNIFTY25JULFUT,-350.2,-0.6229
55866.0,18935,2025-07-31 09:16:04,1753933564,910,70,55866.0,55866.8,35,44030,51555,55928.92,55866.0,55977.6,0,0,55946.6,56217.6,sf,NSE:BANKNIFTY25JULFUT,-351.6,-0.6254
55866.0,19495,2025-07-31 09:16:04,1753933564,350,35,55866.0,55867.2,35,43575,46900,55927.11,55866.0,55977.6,0,0,55946.6,56217.6,sf,NSE:BANKNIFTY25JULFUT,-351.6,-0.6254
55866.0,19495,2025-07-31 09:16:04,1753933564,350,35,55866.0,55867.2,70,43575,46900,55927.11,55866.0,55977.6,0,0,55946.6,56217.6,sf,NSE:BANKNIFTY25JULFUT,-351.6,-0.6254
55855.0,19985,2025-07-31 09:16:05,1753933565,210,35,55855.0,55868.0,70,54705,36925,55925.57,55855.0,55977.6,0,0,55946.6,56217.6,sf,NSE:BANKNIFTY25JULFUT,-362.6,-0.645
55855.0,20300,2025-07-31 09:16:06,1753933566,105,35,55855.0,55867.4,105,53025,41020,55924.48,55855.0,55977.6,0,0,55946.6,56217.6,sf,NSE:BANKNIFTY25JULFUT,-362.6,-0.645
55862.4,20475,2025-07-31 09:16:06,1753933566,175,245,55850.0,55866.4,35,47635,51170,55923.93,55855.0,55977.6,0,0,55946.6,56217.6,sf,NSE:BANKNIFTY25JULFUT,-355.2,-0.6318
55850.0,20580,2025-07-31 09:16:06,1753933567,105,175,55850.0,55862.2,70,44800,40355,55923.57,55850.0,55977.6,0,0,55946.6,56217.6,sf,NSE:BANKNIFTY25JULFUT,-367.6,-0.6539
55864.2,20615,2025-07-31 09:16:07,1753933568,70,175,55850.0,55863.2,35,44800,49665,55923.45,55850.0,55977.6,0,0,55946.6,56217.6,sf,NSE:BANKNIFTY25JULFUT,-353.4,-0.6286
55864.2,20650,2025-07-31 09:16:07,1753933568,70,175,55850.0,55859.4,35,42245,45990,55923.35,55850.0,55977.6,0,0,55946.6,56217.6,sf,NSE:BANKNIFTY25JULFUT,-353.4,-0.6286
55858.2,20650,2025-07-31 09:16:07,1753933568,70,175,55850.0,55859.4,35,42245,45990,55923.35,55850.0,55977.6,0,0,55946.6,56217.6,sf,NSE:BANKNIFTY25JULFUT,-359.4,-0.6393
55850.0,20790,2025-07-31 09:16:08,1753933569,35,70,55840.0,55850.2,35,42490,52500,55922.88,55850.0,55977.6,0,0,55946.6,56217.6,sf,NSE:BANKNIFTY25JULFUT,-367.6,-0.6539
55842.0,21105,2025-07-31 09:16:09,1753933569,140,105,55826.8,55846.8,35,49560,47950,55921.59,55826.6,55977.6,0,0,55946.6,56217.6,sf,NSE:BANKNIFTY25JULFUT,-375.6,-0.6681
55826.6,21210,2025-07-31 09:16:09,1753933570,385,70,55826.6,55834.8,35,38675,43540,55921.14,55826.6,55977.6,0,0,55946.6,56217.6,sf,NSE:BANKNIFTY25JULFUT,-391.0,-0.6955
55826.6,21280,2025-07-31 09:16:10,1753933570,350,35,55826.6,55828.8,35,53935,52255,55920.83,55826.6,55977.6,0,0,55946.6,56217.6,sf,NSE:BANKNIFTY25JULFUT,-391.0,-0.6955
55839.0,21385,2025-07-31 09:16:11,1753933571,315,35,55826.6,55838.2,35,52465,36540,55920.4,55826.6,55977.6,0,0,55946.6,56217.6,sf,NSE:BANKNIFTY25JULFUT,-378.6,-0.6735
55838.4,21385,2025-07-31 09:16:11,1753933571,315,35,55826.6,55838.2,35,52465,36540,55920.4,55826.6,55977.6,0,0,55946.6,56217.6,sf,NSE:BANKNIFTY25JULFUT,-379.2,-0.6745
55826.6,21420,2025-07-31 09:16:11,1753933572,315,35,55826.6,55838.8,35,52255,48160,55920.26,55826.6,55977.6,0,0,55946.6,56217.6,sf,NSE:BANKNIFTY25JULFUT,-391.0,-0.6955
55826.6,21630,2025-07-31 09:16:12,1753933572,105,210,55826.6,55842.0,35,55405,43050,55919.35,55826.6,55977.6,0,0,55946.6,56217.6,sf,NSE:BANKNIFTY25JULFUT,-391.0,-0.6955
55826.6,21700,2025-07-31 09:16:12,1753933572,35,70,55826.6,55842.6,35,50085,34510,55919.05,55826.6,55977.6,0,0,55946.6,56217.6,sf,NSE:BANKNIFTY25JULFUT,-391.0,-0.6955
55847.6,21700,2025-07-31 09:16:12,1753933573,35,70,55826.6,55842.6,35,50085,34510,55919.05,55826.6,55977.6,0,0,55946.6,56217.6,sf,NSE:BANKNIFTY25JULFUT,-370.0,-0.6582
55842.8,22155,2025-07-31 09:16:13,1753933573,245,35,55827.0,55847.2,35,63420,37380,55917.54,55826.6,55977.6,0,0,55946.6,56217.6,sf,NSE:BANKNIFTY25JULFUT,-374.8,-0.6667
55842.8,22190,2025-07-31 09:16:13,1753933574,35,35,55826.6,55834.6,35,43050,52395,55917.42,55826.6,55977.6,0,0,55946.6,56217.6,sf,NSE:BANKNIFTY25JULFUT,-374.8,-0.6667
55826.6,22225,2025-07-31 09:16:14,1753933574,315,35,55826.6,55836.8,35,60445,49490,55917.28,55826.6,55977.6,0,0,55946.6,56217.6,sf,NSE:BANKNIFTY25JULFUT,-391.0,-0.6955
55825.0,22645,2025-07-31 09:16:15,1753933575,35,70,55823.0,55828.6,35,44590,50575,55915.59,55825.0,55977.6,0,0,55946.6,56217.6,sf,NSE:BANKNIFTY25JULFUT,-392.6,-0.6984
55825.0,22645,2025-07-31 09:16:15,1753933575,35,35,55823.0,55835.8,35,57890,48090,55915.59,55825.0,55977.6,0,0,55946.6,56217.6,sf,NSE:BANKNIFTY25JULFUT,-392.6,-0.6984
55835.8,22645,2025-07-31 09:16:15,1753933576,35,35,55823.0,55835.8,35,57890,48090,55915.59,55825.0,55977.6,0,0,55946.6,56217.6,sf,NSE:BANKNIFTY25JULFUT,-381.8,-0.6791
55824.4,22925,2025-07-31 09:16:16,1753933576,140,70,55823.2,55835.6,35,47565,28980,55914.51,55824.0,55977.6,0,0,55946.6,56217.6,sf,NSE:BANKNIFTY25JULFUT,-393.2,-0.6994
55835.6,22995,2025-07-31 09:16:16,1753933577,140,70,55824.0,55842.2,35,57295,38710,55914.27,55824.0,55977.6,0,0,55946.6,56217.6,sf,NSE:BANKNIFTY25JULFUT,-382.0,-0.6795
55835.6,22995,2025-07-31 09:16:16,1753933577,35,70,55823.0,55833.6,35,46410,50015,55914.27,55824.0,55977.6,0,0,55946.6,56217.6,sf,NSE:BANKNIFTY25JULFUT,-382.0,-0.6795
55824.4,23030,2025-07-31 09:16:17,1753933578,35,70,55823.0,55830.8,35,50750,41930,55914.13,55824.0,55977.6,0,0,55946.6,56217.6,sf,NSE:BANKNIFTY25JULFUT,-393.2,-0.6994
55832.6,23030,2025-07-31 09:16:17,1753933578,35,35,55823.0,55833.4,35,52850,40250,55914.13,55824.0,55977.6,0,0,55946.6,56217.6,sf,NSE:BANKNIFTY25JULFUT,-385.0,-0.6848
55832.6,23065,2025-07-31 09:16:18,1753933579,35,105,55823.0,55834.8,35,49735,35945,55914.01,55824.0,55977.6,0,0,55946.6,56217.6,sf,NSE:BANKNIFTY25JULFUT,-385.0,-0.6848
55830.4,23135,2025-07-31 09:16:19,1753933580,175,105,55822.6,55833.8,35,53760,41055,55913.74,55823.0,55977.6,0,0,55946.6,56217.6,sf,NSE:BANKNIFTY25JULFUT,-387.2,-0.6888
55830.4,23170,2025-07-31 09:16:20,1753933580,140,35,55822.8,55835.6,35,55230,32830,55913.62,55823.0,55977.6,0,0,55946.6,56217.6,sf,NSE:BANKNIFTY25JULFUT,-387.2,-0.6888
55835.6,23170,2025-07-31 09:16:20,1753933580,140,35,55822.8,55835.6,35,55230,32830,55913.62,55823.0,55977.6,0,0,55946.6,56217.6,sf,NSE:BANKNIFTY25JULFUT,-382.0,-0.6795
55835.6,23205,2025-07-31 09:16:20,1753933581,175,70,55822.6,55835.0,35,51940,45010,55913.5,55823.0,55977.6,0,0,55946.6,56217.6,sf,NSE:BANKNIFTY25JULFUT,-382.0,-0.6795
55838.0,23240,2025-07-31 09:16:21,1753933581,175,70,55822.6,55832.4,35,52290,53795,55913.39,55823.0,55977.6,0,0,55946.6,56217.6,sf,NSE:BANKNIFTY25JULFUT,-379.6,-0.6752
55838.0,23240,2025-07-31 09:16:21,1753933582,385,35,55823.6,55836.2,35,60165,39130,55913.39,55823.0,55977.6,0,0,55946.6,56217.6,sf,NSE:BANKNIFTY25JULFUT,-379.6,-0.6752
55836.4,23310,2025-07-31 09:16:22,1753933583,35,35,55835.6,55836.4,35,59780,34790,55913.15,55823.0,55977.6,0,0,55946.6,56217.6,sf,NSE:BANKNIFTY25JULFUT,-381.2,-0.6781
55836.4,23310,2025-07-31 09:16:22,1753933583,35,35,55835.6,55840.2,35,60025,46725,55913.15,55823.0,55977.6,0,0,55946.6,56217.6,sf,NSE:BANKNIFTY25JULFUT,-381.2,-0.6781
55849.6,24150,2025-07-31 09:16:24,1753933584,140,35,55834.6,55848.4,35,54950,35000,55910.83,55823.0,55977.6,0,0,55946.6,56217.6,sf,NSE:BANKNIFTY25JULFUT,-368.0,-0.6546
55849.6,24150,2025-07-31 09:16:24,1753933584,70,35,55842.2,55849.4,35,58380,49350,55910.83,55823.0,55977.6,0,0,55946.6,56217.6,sf,NSE:BANKNIFTY25JULFUT,-368.0,-0.6546
55842.2,24150,2025-07-31 09:16:24,1753933585,70,35,55842.2,55849.4,35,58380,49350,55910.83,55823.0,55977.6,0,0,55946.6,56217.6,sf,NSE:BANKNIFTY25JULFUT,-375.4,-0.6678
55842.2,24220,2025-07-31 09:16:25,1753933585,70,35,55825.0,55829.8,35,41160,52080,55910.63,55823.0,55977.6,0,0,55946.6,56217.6,sf,NSE:BANKNIFTY25JULFUT,-375.4,-0.6678
55842.2,24220,2025-07-31 09:16:25,1753933585,70,35,55825.0,55829.0,35,63210,47705,55910.63,55823.0,55977.6,0,0,55946.6,56217.6,sf,NSE:BANKNIFTY25JULFUT,-375.4,-0.6678
55829.6,24220,2025-07-31 09:16:25,1753933586,70,35,55825.0,55829.0,35,63210,47705,55910.63,55823.0,55977.6,0,0,55946.6,56217.6,sf,NSE:BANKNIFTY25JULFUT,-388.0,-0.6902
55829.6,24325,2025-07-31 09:16:26,1753933586,70,35,55825.0,55829.6,35,56700,42315,55910.29,55823.0,55977.6,0,0,55946.6,56217.6,sf,NSE:BANKNIFTY25JULFUT,-388.0,-0.6902
55829.6,24395,2025-07-31 09:16:26,1753933587,70,35,55825.0,55829.8,35,54530,38570,55910.06,55823.0,55977.6,0,0,55946.6,56217.6,sf,NSE:BANKNIFTY25JULFUT,-388.0,-0.6902
55829.4,24430,2025-07-31 09:16:27,1753933587,35,175,55832.0,55839.8,35,65170,46235,55909.94,55823.0,55977.6,0,0,55946.6,56217.6,sf,NSE:BANKNIFTY25JULFUT,-388.2,-0.6905
