last_traded_time,ltp,bid,ask,bid_price,ask_price,vol_traded_today,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,open_1,close_1,high,low,ltp,bid,ask,bid_price,ask_price,vol_traded_today,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price_2,open_2,close_2,high,low,ltp,bid,ask,bid_price,ask_price,vol_traded_today,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price_3,open_3,close_3,high,low,ltp_4,bid_price_4,ask_price_4,volume_4,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price_4,open_4,close_4,high_4,low_4,final_signal,result,datetime,open,high,low,close,non_zero_vol,non_zero_vol,non_zero_vol
01-04-2025 09:15,25.95,192450,162600,25.55,15.7,445800,218775,N,159375,N,23533.98,23506.05,23532,23554.9,23492.9,-2.15,658500,670650,-2.15,-3.2,5064225,4057950,N,446775,N,25.29,25,22.85,30,21.7,-11,141600,110175,-10.95,-14.75,645525,1213575,N,54075,N,288.65,302.6,291.6,330.2,275.5,114.95,114.95,88.05,94950,62700,N,37740,N,51674.35,51542.6,51657.55,51770.95,51542.6,no signal,win,01-04-2025 09:15,23341.1,23450.95,23339.1,23420.55,182,181,181
01-04-2025 09:20,18.7,154950,120825,15.75,16.8,145950,41100,N,23175,N,23537.4,23531.3,23550,23566.45,23525,2.25,820050,835800,2.75,2.75,3392850,-1726650,YES,60225,N,25.72,22.5,24.75,30.2,21.7,-13.3,114525,115275,-16.95,-16.95,294750,3525,N,12225,N,286.01,294.55,281.25,297.65,265.5,0,5,12.6,33750,6900,N,8010,N,51674.54,51655,51655,51730.05,51625.05,no signal,win,01-04-2025 09:20,23417.1,23467.1,23410.25,23436.5,174,180,176
01-04-2025 09:25,40.35,168525,168225,38.3,39,182925,28425,N,-4425,Y,23542.51,23545,23585.35,23589.85,23537.05,5.7,1035525,1145400,5.85,5.8,3200625,30600,Y,-29325,Y,26.31,24.7,30.4,32.45,23.85,-33.35,83025,87525,-33.25,-33.45,234825,-13350,Y,13875,N,281.56,281.35,248,284.3,244.95,66.9,77,71.8,27570,10110,N,6450,N,51681.74,51665.1,51732,51796.1,51640,BUY,win,01-04-2025 09:25,23434.45,23481.45,23426.5,23471.45,175,180,175
01-04-2025 09:30,33.65,92850,99825,34.65,35,234300,14250,N,9375,N,23553.46,23585.35,23619,23620.4,23575.25,11.05,705075,775575,10.65,10.75,3074250,28350,N,-62475,Y,27.86,30.5,41.55,41.55,29.15,-27.3,77250,60600,-26,-26,290475,-17700,Y,5250,N,273.34,248.3,221,254,220.15,18,10.1,14,12810,9810,N,16470,N,51684.47,51732,51750,51761.55,51679.95,no signal,win,01-04-2025 09:30,23472.7,23518.45,23467.2,23514.4,143,150,148
01-04-2025 09:55,0,182475,127350,-2,0.9,79800,1425,YES,49350,YES,23594.75,23630,23630,23646.35,23617.1,-0.9,838650,765150,-1.1,-1.1,1745100,60150,Y,31650,YES,36.43,39.9,39,43.3,36.1,1.85,77700,80025,2.2,2.25,508500,-20850,Y,10950,N,227.63,211.85,213.7,226.1,202.1,8.9,-5.05,0.25,9870,7380,N,1830,N,51750.01,51866.85,51875.75,51888,51840.3,no signal,neutral,01-04-2025 09:55,23525,23526.5,23492.75,23514.85,154,162,168
01-04-2025 10:00,-36.75,227925,204300,-31.9,-30.95,99750,-2625,YES,62550,N,23595.32,23630,23593.25,23643.1,23590,15.45,803475,756150,15.25,15.3,19753125,-3268425,YES,255600,YES,63.78,38.75,54.2,56.75,29.85,-44,105750,121800,-43.35,-43.45,15869400,256425,YES,158550,Y,155.66,213.1,169.1,250.95,162.3,-138.15,-121.45,-133.3,21780,-8220,N,5100,N,51751.31,51874.15,51736,51880,51715.6,SELL,reverse,01-04-2025 10:00,23513.9,23523.4,23466.1,23479.6,166,186,182
01-04-2025 10:05,-10.25,201075,214575,-10.4,-13.9,81075,-2250,N,25425,N,23595.31,23593.25,23583,23611.85,23582.3,-4.5,526800,530400,-4.45,-4.4,2664675,5775,Y,82500,N,63.25,54.35,49.85,58.3,49.65,6.6,187125,164325,6.1,6.15,1588275,20850,N,20850,N,156.61,168.4,175,176.25,158,-54.9,-54.95,-55.3,20340,-5130,N,-5640,N,51749.63,51736,51681.1,51765,51681.05,no signal,exc_loss,01-04-2025 10:05,23479.1,23496.7,23458.15,23462.65,151,179,179
01-04-2025 10:10,-8,159600,202575,-7.9,-6.45,76200,-48375,YES,2550,Y,23594.93,23583,23575,23600,23575,-4.2,566250,563175,-4.15,-4.15,2697075,-1575,YES,93375,N,62.54,49.1,44.9,52.9,44.85,4.1,129225,164775,3.5,3.6,1456275,-6975,Y,-3375,YES,157.72,175.85,179.95,182.75,165,-31,-31.1,-38.05,19470,-14370,N,-6720,N,51745.6,51681,51650,51725,51650,SELL,reverse,01-04-2025 10:10,23462.75,23475.7,23448.2,23456.1,155,180,180
01-04-2025 10:15,35,260400,163050,32.2,32.25,96375,42750,Y,-18675,Y,23594.81,23575,23610,23612,23570,9.85,706500,635850,10.15,10.15,2790300,135975,Y,-53550,Y,61.97,44.55,54.4,55.4,43.95,-26.35,209850,154500,-25.95,-25.95,1209300,-35700,Y,46350,Y,158.08,181,154.65,181.6,152.9,92.4,92.45,86.8,14670,22230,N,510,N,51742.5,51639.15,51731.55,51738,51625.55,BUY,reverse,01-04-2025 10:15,23455.6,23481.7,23450.7,23480.15,153,180,180
01-04-2025 10:20,-97.2,623775,107400,-96.15,-97.6,225300,-111375,YES,18150,YES,23591.26,23608.2,23511,23613.95,23511,-24.1,544725,602400,-23.45,-23.55,4970550,-243750,YES,61050,YES,60.29,54.85,30.75,55.25,30.75,82.35,130500,168900,80.65,80.85,2484300,-21375,N,-240525,YES,161.28,154.7,237.05,237.3,154.35,-172.85,-173.05,-173.7,33540,-31590,N,3060,N,51733.5,51737,51564.15,51737,51561.15,SELL,open_win,01-04-2025 10:20,23480.4,23483.7,23374.85,23374.85,156,179,179
