last_traded_time,,ltp,bid_price,ask_price,bid_ask_pr_diff_1,bid_size1,ask_size1,volume_1,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,high_1,low_1,open_1,close_1,ltp,bid_price,ask_price,bid_ask_pr_diff_2,bid_size2,ask_size2,volume_2,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,high_2,low_2,open_2,close_2,ltp,bid_price,ask_price,bid_ask_pr_diff_3,bid_size3,ask_size3,volume_3,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,high_3,low_3,open_3,close_3,ltp,bid_price,ask_price,bid_ask_pr_diff_4,bid_size4,ask_size4,volume_4,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,high_4,low_4,open_4,close_4,final_signal,result,datetime,open,high,low,close
02-05-2025 10:40,FALSE,-14.5,-14.4,-14,0.4,109500,103275,95250,53175,Y,-7950,Y,24648.9,24612.1,24634,24619.5,-6,-6.95,-6.8,0.15,174375,155850,3384075,-45375,N,76725,N,218.8,198.35,209.2,203.2,0.1,-0.05,-0.15,0.1,143775,164550,2886375,54525,N,38025,N,168.25,149.8,164.35,164.45,5.2,-14.2,-19.6,5.4,30780,20910,15420,9210,N,-4650,N,55751.6,55680,55709.6,55714.8,no signal,win,02-05-2025 10:40,24521.8,24531.15,24501.45,24502.05
02-05-2025 10:45,FALSE,-18.3,-14.1,-15.2,1.1,97275,83850,65475,27750,N,31950,YES,24628.8,24597.1,24619.5,24601.2,-9.6,-9.55,-9.6,0.05,193950,156525,2587725,49350,Y,92775,N,207.35,189.4,201.4,191.8,3.4,3.05,3.1,0.05,201675,202050,3608475,65400,N,62175,Y,173.6,159.1,166.45,169.85,-35,-13.6,-24.8,11.2,30570,25740,9330,6600,N,-15720,N,55716,55660,55714.8,55679.8,no signal,win,02-05-2025 10:45,24502.5,24507.2,24481.5,24486.3
02-05-2025 10:50,FALSE,-63.7,-66.1,-68.4,2.3,181500,141375,324600,-85275,YES,39975,N,24615,24535,24601.2,24537.5,-35.2,-35.45,-35.55,0.1,193650,215850,4522950,-179100,YES,45150,N,200.3,156.8,194.2,159,33.35,34.4,34.55,0.15,156750,258975,5987100,94800,YES,-412950,YES,203.65,160.7,168.1,201.45,-114.2,-114.6,-109.4,5.2,35640,68250,26580,-8520,N,9630,N,55720.6,55567.2,55685,55570.8,SELL,open_win,02-05-2025 10:50,24484.85,24492.25,24425.95,24427.4
02-05-2025 10:55,FALSE,-1.2,-1.5,0,1.5,262725,151800,308100,-50625,Y,-23775,Y,24563,24515,24539.5,24538.3,0.6,0.8,0.9,0.1,243825,253800,5428650,96975,Y,275700,YES,169.75,149.2,158.5,159.1,1,1.4,1.5,0.1,156375,255225,5899500,-205650,Y,45525,Y,218.4,187.4,201.85,202.85,-0.2,-0.2,-0.6,0.4,46470,149820,49290,2010,N,3900,N,55616.4,55512,55570.2,55570,BUY,reverse,02-05-2025 10:55,24427,24447.85,24410.45,24432
02-05-2025 11:00,FALSE,-17.4,-18.2,-18.9,0.7,111000,114675,133725,-53550,YES,24525,YES,24555,24522.6,24540.4,24523,-7.55,-8.15,-8.2,0.05,173775,183525,2937300,29700,N,127200,N,166.75,152.45,160.6,153.05,12.8,12.8,12.8,2.84E-14,167025,144900,2187600,50550,YES,-3600,YES,213.95,194.6,200.15,212.95,-44.6,-53,-45.4,7.6,80940,30120,21780,2940,N,17580,N,55620,55525.4,55570,55525.4,SELL,exc_loss,02-05-2025 11:00,24431.7,24445.3,24421.6,24422.1
02-05-2025 11:05,FALSE,12.4,13.3,15.7,2.4,82800,134250,89700,20325,Y,7950,N,24551.4,24521.1,24521.6,24534,5.95,5.25,5.5,0.25,198525,238200,2256225,111225,Y,-108075,Y,165.45,152.1,152.65,158.6,-9.95,-8.8,-8.85,0.05,172650,145350,1817100,-24375,Y,15300,N,216.15,196.05,213.25,203.3,3.6,5,0,5,40110,34350,13950,10920,N,22230,N,55575,55520,55525.4,55529,BUY,reverse,02-05-2025 11:05,24422.05,24440.55,24419.65,24429.6
02-05-2025 11:10,FALSE,-2.5,-0.8,-2.9,2.1,117750,115050,168975,6225,N,-5925,Y,24542.7,24503,24534,24531.5,-4.35,-4.55,-4.6,0.05,175125,233925,3016050,-96525,YES,286050,YES,160.45,142.05,158.8,154.45,-2.6,-2.55,-2.55,2.84E-14,132000,134550,2212800,-42450,Y,-58350,YES,221.75,200.65,203.55,200.95,14.8,14,23.4,9.4,60720,26010,25050,240,N,-2580,N,55556.8,55501,55530,55544.8,SELL,win,02-05-2025 11:10,24429.85,24433.7,24404.7,24422.9
02-05-2025 11:15,FALSE,-15.2,-16.7,-15.7,1,103950,116775,113400,-26775,YES,43725,YES,24551.5,24515.1,24535.4,24520.2,-4.15,-5.4,-5.5,0.1,231150,262125,3379875,-12900,Y,-238575,Y,166,147.75,154.7,150.55,12.15,13.7,13.9,0.2,162000,229425,2128950,-15000,YES,-17775,Y,215.6,190.25,200.5,212.65,-31.6,-30.6,-33.2,2.6,20520,24480,15390,-3600,N,330,N,55597.6,55510,55544.8,55513.2,no signal,win,02-05-2025 11:15,24424.65,24443.05,24407.85,24408.75
02-05-2025 11:20,FALSE,-40.3,-38.7,-40.7,2,179325,77025,208050,-59700,YES,5100,N,24523,24475,24520.2,24479.9,-15.6,-15.65,-15.65,2.84E-14,169950,238800,3381525,-141225,YES,87450,YES,152.95,133.2,150,134.4,23.7,23.1,23.15,0.05,144600,178350,3006450,17625,YES,-147150,YES,240.3,210.3,213.7,237.4,-45.2,-45.2,-51.2,6,46800,37170,31140,-4050,N,3540,N,55530.4,55466,55513.4,55468.2,SELL,win,02-05-2025 11:20,24408.65,24410.2,24373.1,24373.1
02-05-2025 11:25,FALSE,0.4,9.6,6,3.6,179625,67950,130650,19500,Y,43875,YES,24503.1,24474,24479.9,24480.3,1.5,2.2,2.15,0.05,202275,223200,2250750,115425,Y,81375,N,142.35,133.45,134.5,136,-1.8,-3.4,-3.65,0.25,139725,158700,1930125,-17925,Y,41775,Y,243.6,223.45,237.2,235.4,-16.4,-16.4,-18.2,1.8,79620,38370,29250,3840,N,3450,N,55489,55450,55468.2,55451.8,BUY,reverse,02-05-2025 11:25,24374.2,24398.3,24371.2,24387.3
