last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,open_1,close_1,high,low,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,open_2,close_2,high,low,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,open_3,close_3,high,low,,,,,,,,,
03-03-2025 09:50,-26.5,216675,174,137700,79650,-26.3,-26.15,58050,0.15,0,31950,N,14475,N,22309.67,22226.6,22200.1,22228,22200.1,-9.4,3581925,181,354600,421575,-9.55,-9.55,-66975,7.11E-15,75,39375,Y,18300,N,87.64,62.2,52.8,62.2,52.5,17.35,1237050,181,101475,131475,15.85,15.95,-30000,0.1,0,7800,YES,-63825,Y,177.35,233.35,250.7,250.7,233.35,,,,,,,,,
03-03-2025 09:55,5.4,134250,174,138450,120750,5.15,5.4,17700,0.25,-75,68175,Y,54150,YES,22302.42,22200.95,22206.35,22214.9,22199.8,0.85,2762175,180,418575,511725,0.75,0.8,-93150,0.05,0,49575,N,90825,YES,84.98,52.35,53.2,54.95,50.4,-5.95,699075,179,105075,116925,-5.3,-5.05,-11850,0.25,0,-27975,Y,30750,Y,179.57,250.35,244.4,251.25,239.1,,,,,,,,,
03-03-2025 10:00,-26.6,185325,176,220725,97200,-25.9,-26.9,123525,1,0,-49050,YES,18000,N,22291.78,22206.6,22180,22212.25,22171,-3.75,3369525,180,497550,475200,-3.45,-3.5,22350,0.05,-75,1650,YES,-21825,Y,81.95,53.15,49.4,54.4,46.45,23.3,886800,180,93825,95100,22.75,22.8,-1275,0.05,0,-29175,Y,-12075,YES,182.95,244.35,267.65,277.35,241,,,,,,,,,
03-03-2025 10:05,-14,162300,171,197025,159225,-15.8,-16.85,37800,1.05,0,-12525,Y,-1350,Y,22283.23,22180,22166,22184,22158,-1.6,2172375,180,593475,627825,-1.8,-1.8,-34350,0,0,-3300,YES,73275,YES,80.18,49.2,47.6,50.05,45.55,7.2,495525,180,126750,102825,7.4,7.55,23925,0.15,0,-16800,N,-10575,N,184.91,268.4,275.6,284.2,265,,,,,,,,,
03-03-2025 10:10,12.15,135600,174,111075,99300,10.5,11.8,11775,1.3,0,47925,Y,97725,YES,22277.29,22165.05,22177.2,22187.35,22162.35,2.2,1932375,181,620625,707625,2.7,2.8,-87000,0.1,0,33225,Y,3375,N,78.84,47,49.2,51.95,46.75,-9.3,481500,181,124800,180375,-11.45,-11.45,-55575,0,0,-14100,N,24300,Y,186.6,277.3,268,280.85,261,,,,,,,,,
03-03-2025 10:15,39.15,154050,181,169425,79125,38.45,38.15,90300,0.3,0,10275,N,22650,N,22272.21,22177.2,22216.35,22216.35,22174.35,6.7,1809900,180,503625,647250,7.1,7.15,-143625,0.05,-75,119025,Y,-99150,Y,77.78,49.3,56,56.6,49.25,-29.7,434100,180,156825,139950,-29.5,-29.95,16875,0.45,-75,-15000,Y,8700,N,187.81,268,238.3,268,236.7,,,,,,,,,
03-03-2025 10:20,-19,177225,161,129825,69525,-17,-15.85,60300,1.15,0,-41775,YES,31800,N,22267.78,22214,22195,22218,22191.15,-5.05,2127300,180,580875,625875,-4.6,-4.65,-45000,0.05,0,-84525,YES,85575,YES,76.69,55.75,50.7,57.1,50.15,13.95,623175,175,119775,114675,12.5,12.5,5100,0,0,17475,YES,14250,N,189.25,240.05,254,256.5,233,,,,,,,,,
03-03-2025 10:25,43.4,137400,161,117300,109275,47.9,48.5,8025,0.6,0,-58800,YES,-18900,Y,22265.81,22196.6,22240,22250.5,22190.35,12.9,3224100,180,698775,732375,13.45,13.5,-33600,0.05,0,13800,Y,-154050,Y,75.57,51.05,63.95,66.6,50.1,-34.4,563625,179,104400,109125,-35.2,-35.25,-4725,0.05,0,-33525,Y,7275,N,190.26,254.15,219.75,258.7,213.8,,,,,,,,,
03-03-2025 10:30,-27.85,140700,167,167475,79725,-25,-28.3,87750,3.3,0,3825,Y,65775,YES,22263.79,22242.85,22215,22246,22199.15,-9,2897400,180,563100,609000,-8.7,-8.75,-45900,0.05,-150,29550,N,148950,YES,74.58,62.85,53.85,63.65,51.4,19.05,533550,180,119775,109275,17.65,17.85,10500,0.2,0,32775,YES,-6600,YES,191.11,220.55,239.6,247.35,217.9,,,,,,,,,
03-03-2025 10:35,15.45,75075,148,104400,63600,15,14.55,40800,0.45,0,15675,N,1725,Y,22262.74,22215,22230.45,22235,22200,4,1613925,180,625725,543225,4.45,4.45,82500,0,75,17175,N,-9525,Y,74.04,53.9,57.9,61,51.2,-9.3,364425,179,144975,150450,-9.5,-9.55,-5475,0.05,0,-7875,Y,8175,N,191.76,239.15,229.85,249.65,223.9,,,,,,,,,
03-03-2025 10:40,-37.5,51375,145,154425,68025,-40,-39.05,86400,0.95,-75,74550,Y,-31950,Y,22261.72,22230,22192.5,22230,22181,-9.85,2146650,180,610800,621000,-9.6,-9.7,-10200,0.1,0,-49350,YES,150075,YES,73.19,58.2,48.35,58.75,47.7,29.4,475725,179,119100,160650,29.45,29.6,-41550,0.15,-150,19575,YES,-11325,YES,192.83,229.1,258.5,263.1,228.5,,,,,,,,,
03-03-2025 10:45,31.25,46200,135,122775,59925,33.15,36.45,62850,3.3,75,23625,N,-68775,Y,22260.95,22192.5,22223.75,22230.15,22188.2,10.45,1897050,180,687225,611625,10.45,10.5,75600,0.05,-75,50400,Y,-105600,Y,72.6,48.2,58.65,60.2,48.2,-30.25,389250,178,134475,134475,-29.5,-29.55,0,0.05,0,-6750,Y,22425,Y,193.52,258.5,228.25,259.2,225.6,,,,,,,,,
03-03-2025 10:50,-20.75,44100,144,201375,75375,-22.65,-20.25,126000,2.4,-75,-22275,YES,12225,YES,22260.33,22223.75,22203,22232.25,22200,-8.5,1796775,180,487800,498825,-7.7,-7.75,-11025,0.05,0,11175,N,31650,YES,72.13,59.2,50.7,60.5,50.7,19.15,312975,176,141300,136800,18.25,18.25,4500,0,75,4875,N,-8550,YES,194,228.85,248,248,225,,,,,,,,,
03-03-2025 10:55,-8.3,42600,118,125775,72300,-11.6,-8.4,53475,3.2,0,-16275,N,4350,N,22259.44,22203,22194.7,22203,22181,-2.65,1738575,180,626025,683550,-2.6,-2.6,-57525,0,-150,15675,N,128925,YES,71.47,50.9,48.25,51.25,46.45,7.4,398850,179,134100,142575,8.15,8.2,-8475,0.05,0,2325,Y,-10500,YES,194.89,247.5,254.9,263.6,245.25,,,,,,,,,
03-03-2025 11:00,-31.7,80025,126,214125,69300,-25.8,-30.05,144825,4.25,0,-22575,YES,72525,YES,22257.44,22194.05,22162.35,22198.95,22162.35,-4.85,1955850,179,817275,1009350,-4.95,-4.9,-192075,0.05,75,-87225,YES,63825,N,70.69,48.2,43.35,49.2,42.4,21.5,430350,175,115875,107850,21.6,21.25,8025,0.35,0,-4125,Y,-22650,YES,195.98,253.9,275.4,278.25,249.7,,,,,,,,,
03-03-2025 11:05,11.7,66975,142,170100,69900,11.6,10.25,100200,1.35,0,-21525,N,-3525,Y,22255.65,22163.45,22175.15,22187.7,22155.4,0.3,2981400,181,654750,1019700,0.35,0.35,-364950,7.11E-15,75,41175,Y,34350,N,69.51,43.2,43.5,45.65,41.7,-6.85,322200,178,97500,97875,-6.6,-6.6,-375,5.68E-14,0,-4425,Y,-2100,Y,196.82,275.4,268.55,282,258.2,,,,,,,,,
03-03-2025 11:10,4,86100,141,171225,199875,2.95,0.05,-28650,2.9,0,-9300,N,75300,YES,22253.26,22171,22175,22179.35,22147.95,-0.85,3412125,180,636675,1077750,-0.6,-0.65,-441075,0.05,0,-41625,YES,20625,N,68.18,43.3,42.45,44.4,39.35,2.2,422700,179,109650,91650,1.2,1.05,18000,0.15,0,-1200,N,-10875,YES,198.04,269.6,271.8,293.85,265.3,,,,,,,,,
03-03-2025 11:15,-18.6,38775,129,127725,74175,-15.55,-14.4,53550,1.15,-225,83025,Y,-124350,Y,22252.21,22172,22153.4,22175,22150,-3.55,2478300,180,678450,1314675,-3.5,-3.55,-636225,0.05,0,-21150,Y,62925,YES,67.24,42.7,39.15,43.2,38.25,12.05,204225,174,97500,84675,12.45,12.4,12825,0.05,0,7125,N,-6300,N,198.64,270.55,282.6,290.1,268,,,,,,,,,
03-03-2025 11:20,17.5,53700,131,205125,62925,17.3,12.35,142200,4.95,0,34200,N,1500,YES,22250.84,22154,22171.5,22171.5,22148,2.8,2538150,180,705000,2076825,2.75,2.75,-1371825,0,0,57075,Y,-41775,Y,66.3,39.1,41.9,42,37.75,-13.9,258375,177,91275,64875,-13.8,-13.85,26400,0.05,0,-14775,Y,6525,N,199.36,282.1,268.2,289.5,268.2,,,,,,,,,
03-03-2025 11:25,4.05,64350,130,498375,161100,4.65,6.15,337275,1.5,0,-2250,YES,-1725,Y,22249.53,22172,22176.05,22182.5,22168,0.55,1594875,179,1067325,1199175,0.9,0.9,-131850,0,0,-1650,YES,49725,YES,65.82,42.25,42.8,44,41,-4.3,195075,174,104700,79050,-5.25,-4.85,25650,0.4,0,14100,YES,14025,N,199.79,267.95,263.65,272.2,258.35,,,,,,,,,
03-03-2025 11:30,8.7,41775,132,94800,81150,4.5,4.6,13650,0.1,-225,-5850,YES,18675,YES,22248.75,22176,22184.7,22190.65,22170,0.7,1302750,181,1055475,1128000,0.65,0.65,-72525,0,1200,17850,N,-53475,Y,65.45,42.65,43.35,45.65,41.6,-4,150225,166,89925,73800,-4,-4.3,16125,0.3,0,1275,Y,1950,YES,200.1,264.55,260.55,268.75,252,,,,,,,,,
03-03-2025 11:35,-17.75,43425,138,119550,54000,-24.3,-22.15,65550,2.15,0,-16575,YES,-48975,Y,22247.77,22181,22163.25,22184.05,22150.05,-5.75,1687350,180,1016175,1216950,-5.7,-5.75,-200775,0.05,0,-57300,YES,81375,YES,64.91,43.65,37.9,43.9,36.1,19.25,255300,173,95025,83625,18.85,18.95,11400,0.1,0,-225,Y,-10650,YES,200.72,259,278.25,284.6,258,,,,,,,,,
03-03-2025 11:40,-3.5,32850,95,60450,52275,-3.25,-3.45,8175,0.2,75,-975,N,-12900,YES,22246.95,22163.25,22159.75,22169.5,22152.05,0.2,1212975,180,1354275,1328325,0.1,0.15,25950,0.05,75,17775,Y,110550,YES,64.52,37.9,38.1,39.95,37.5,-1.7,170400,158,90675,90000,-0.8,-0.85,675,0.05,300,4650,N,6000,N,201.15,278.25,276.55,280.4,270.2,,,,,,,,,
03-03-2025 11:45,21,80025,154,85650,77175,22.15,17.05,8475,5.1,0,9225,N,-5550,N,22245.22,22154,22175,22179.05,22152.45,4.2,1068675,181,1477425,1390800,3.85,3.85,86625,0,600,22200,N,-126900,Y,64.21,38.1,42.3,42.35,37.55,-15.9,229650,180,107400,107025,-14.65,-14.8,375,0.15,75,-12375,Y,9450,N,201.66,277.2,261.3,278.3,259.3,,,,,,,,,
03-03-2025 11:50,-20.8,16200,72,60750,58425,-20,-19.3,2325,0.7,75,-8100,YES,2100,N,22244.91,22176,22155.2,22177,22155.2,-4.45,983550,180,1290900,1403925,-4.35,-4.4,-113025,0.05,0,-1500,YES,45300,YES,63.92,41.95,37.5,42.1,37.15,15.75,126375,147,99225,90675,15.35,15.5,8550,0.15,0,9375,YES,-7200,YES,201.95,261.3,277.05,279.7,261.3,,,,,,,,,
03-03-2025 11:55,3.75,18825,82,101400,49425,-0.15,1.45,51975,1.6,-75,11925,Y,-12375,Y,22244.49,22155.2,22158.95,22164.95,22154.1,0.75,1012650,180,1476225,1434525,0.6,0.6,41700,0,0,39900,Y,55050,N,63.61,37.6,38.35,39.2,36.95,1.7,204525,160,121950,111600,1.2,1.2,10350,5.68E-14,0,1950,Y,-21150,YES,202.46,277.7,279.4,282.75,272,,,,,,,,,
03-03-2025 12:00,4.9,57075,113,90450,82050,8.6,4.85,8400,3.75,0,-18075,YES,58800,YES,22243.16,22158.95,22163.85,22166.7,22140.05,-0.35,2062800,180,1123425,1385775,-0.4,-0.35,-262350,0.05,-375,-66225,YES,-8700,Y,62.98,38.2,37.85,38.85,34.85,-3.4,239925,167,91800,93375,-3.25,-3.5,-1575,0.25,75,4950,N,-11550,N,203.07,278,274.6,289.85,271.25,,,,,,,,,
03-03-2025 12:05,10.65,47925,108,64875,94200,8.8,10.65,-29325,1.85,0,-4125,N,3150,N,22242.3,22163.85,22174.5,22180.8,22155.85,2.7,1251825,180,1226625,1303125,2.55,2.6,-76500,0.05,0,14175,Y,-78825,Y,62.64,37.7,40.4,41.45,36.85,-11.15,226125,173,96525,123075,-10.45,-10.45,-26550,5.68E-14,-75,-4050,Y,6975,N,203.55,274.6,263.45,280.2,260,,,,,,,,,
03-03-2025 12:10,29.4,73425,110,82425,74025,31.3,29,8400,2.3,0,18975,Y,-21450,Y,22241.34,22174.5,22203.9,22204.55,22165,7,1908450,180,1000650,1070550,7.65,7.7,-69900,0.05,150,50775,Y,-171075,Y,62.24,40.3,47.3,48.45,38.55,-20.2,209925,166,102450,92925,-21.25,-21.4,9525,0.15,0,-16200,Y,10950,N,203.89,263.45,243.25,269.35,240.35,,,,,,,,,
03-03-2025 12:15,2.35,78675,145,182775,88650,1.6,2.35,94125,0.75,0,-4200,YES,1950,YES,22240.56,22203.65,22206,22218,22181,-0.3,2992800,180,745350,1062150,-0.25,-0.25,-316800,0,-75,-34350,YES,-11625,YES,61.73,46.7,46.4,50.65,41.5,-3.05,318300,175,104175,97875,-4.25,-3.95,6300,0.3,0,-11025,N,9750,N,204.27,243.5,240.45,257.4,230.45,,,,,,,,,
03-03-2025 12:20,14,70875,135,78600,148275,13.9,12.3,-69675,1.6,0,24675,Y,1950,N,22240.14,22200,22214,22228.8,22195,3,2623275,179,831075,936675,2.95,2.95,-105600,0,-225,35925,Y,-38175,Y,61.4,46.6,49.6,54.4,44.85,-10.65,381900,177,87750,90300,-10.4,-10.35,-2550,0.05,-150,5025,N,18000,N,204.59,240,229.35,245.9,219.5,,,,,,,,,
03-03-2025 12:25,-5.3,80325,125,60450,52875,-6.3,-7,7575,0.7,0,-22275,YES,90150,YES,22239.66,22216.3,22211,22224.85,22204.1,-2.6,1764375,180,670725,741600,-2.35,-2.4,-70875,0.05,375,-3000,YES,115200,YES,61.18,50.1,47.5,53.05,47.25,5.75,388200,175,129600,113625,6.3,6.35,15975,0.05,0,30750,YES,1275,YES,204.92,229.25,235,237,222.9,,,,,,,,,
03-03-2025 12:30,36.95,93525,124,80325,107775,36.5,34.1,-27450,2.4,150,8250,Y,-64125,Y,22239.49,22210.05,22247,22247,22208.6,10.9,2762325,180,734700,727200,9.95,9.95,7500,0,-150,64725,Y,-193425,Y,60.98,47.8,58.7,58.7,47.5,-29.75,439050,175,119400,100875,-27.45,-27.45,18525,0,0,-28125,Y,4425,N,205.08,235,205.25,235.05,205.25,,,,,,,,,
03-03-2025 12:35,-18.7,75300,141,85050,87900,-18.2,-17.6,-2850,0.6,-150,1275,YES,79425,YES,22239.47,22248.9,22230.2,22249.9,22222,-6.2,2597850,180,723900,787125,-6.1,-6.1,-63225,0,0,-44700,YES,101850,YES,60.84,58.9,52.7,59.8,51,16.65,478950,180,146100,132375,15.8,15.8,13725,0,0,17925,YES,8925,N,205.22,204.2,220.85,225.55,202.5,,,,,,,,,
03-03-2025 12:40,3.8,40200,38,28125,20775,-1,1.05,7350,2.05,0,-9525,YES,-8625,Y,22239.4,22230.25,22234.05,22239,22229,1.25,405975,52,183000,190725,1.2,1.2,-7725,0,-675,13725,Y,-22125,Y,60.82,52.6,53.85,56.5,52.15,-1.95,114675,51,42225,42750,-1.9,-1.9,-525,0,-225,-3375,Y,5100,N,205.27,220,218.05,221,211.6,,,,,,,,,
03-03-2025 13:30,1.65,22575,65,43275,56775,4.2,3.75,-13500,0.45,-150,1725,N,-300,N,22244.16,22228.55,22230.2,22240,22227.15,1.5,923475,77,339900,347175,1.4,1.4,-7275,7.11E-15,0,81675,Y,-24525,Y,61.44,47.55,49.05,50.75,47.55,-3.7,253050,77,43200,46050,-4.75,-4.8,-2850,0.05,-75,-7575,Y,19275,N,203.72,223.35,219.65,225,215,,,,,,,,,
03-03-2025 13:35,20.4,52725,117,95175,188100,19.75,18,-92925,1.75,0,12000,N,3150,N,22244.15,22230.6,22251,22253.2,22228.45,4,1786875,180,798525,1021275,3.7,3.65,-222750,0.05,-300,-48975,YES,94125,YES,61.33,49.45,53.45,55.25,49.45,-14.65,421575,177,118050,126450,-12.45,-12.45,-8400,2.84E-14,-150,29250,YES,25125,N,203.77,219,204.35,219,201.65,,,,,,,,,
03-03-2025 13:40,6,22050,93,50625,83250,4.05,5,-32625,0.95,0,80925,Y,34050,YES,22244.17,22251,22257,22258,22241.05,2.7,1330050,179,708450,770025,2.25,2.25,-61575,0,0,12525,Y,-38775,Y,61.25,53,55.7,55.7,51.2,-8.6,279525,174,124125,116925,-7.15,-7.25,7200,0.1,0,-30750,Y,19125,N,203.79,206.25,197.65,211.45,197.65,,,,,,,,,
