last_traded_time,date,ltp_1,bid_price_1,ask_price_1,volume_1,bid_ask_diff_1,bid_ask_pr_diff_1,last_traded_qty_1,tot_buy_qty_1,tot_buy_sig_1,tot_sell_qty_1,tot_sell_sig_1,avg_trade_price_1,ch_1,chp_1,high_1,low_1,ltp_2,bid_price_2,ask_price_2,volume_2,bid_ask_diff_2,bid_ask_pr_diff_2,last_traded_qty_2,tot_buy_qty_2,tot_buy_sig_2,tot_sell_qty_2,tot_sell_sig_2,avg_trade_price_2,ch_2,chp_2,high_2,low_2,ltp_3,bid_price_3,ask_price_3,volume_3,bid_ask_diff_3,bid_ask_pr_diff_3,last_traded_qty_3,tot_buy_qty_3,tot_buy_sig_3,tot_sell_qty_3,tot_sell_sig_3,avg_trade_price_3,ch_3,chp_3,high_3,low_3,final_signal
07-01-2025 09:15,01-07-2025,-2.5,-2.6,-7.1,150900,26475,-1378.7,43500,10725,N,101475,N,-12.8,-2.5,-0.0097,25635,25596.1,5.7,6,5.9,6955350,-41400,-98.9,48150,-4810800,N,561450,N,-1.64,5.7,6.0509,101.55,83.05,11.3,11.8,11.7,3568200,36300,-172.5,45075,-2971725,N,198675,N,19.94,11.3,6.7402,180,149,no signal
07-01-2025 09:20,01-07-2025,17.8,15.6,17.1,159750,-49875,-1354.6,40725,29625,N,129525,YES,11.45,17.8,0.0695,25661,25625,1.15,1.75,1.8,9727275,10275,-107.3,51600,177000,Y,361725,N,4.99,1.15,1.2208,108.95,94.1,-16.5,-16.95,-17.05,3542550,3075,-140.1,48825,62325,YES,210600,N,-8.65,-16.5,-9.842,163.65,138.05,no signal
07-01-2025 09:25,01-07-2025,20.2,17.1,15.3,152325,-135600,-1276.8,45225,25275,N,123900,N,8.57,20.2,0.0788,25669.9,25644.8,3.15,3.2,3,8006850,65400,-100.6,48075,183675,N,426225,YES,1.35,3.15,3.344,107.7,95.3,-16.1,-15.75,-15.75,3934650,28200,-116.9,53175,-24375,Y,145425,N,-7.99,-16.1,-9.6034,145.5,127.8,no signal
07-01-2025 09:30,01-07-2025,3.9,3.4,4,184125,-93675,-954.7,40500,16725,N,-28650,Y,8.57,3.9,0.0152,25684.5,25658.8,2,2.15,2.15,7970850,49950,-93.6,48075,190500,N,-120300,Y,1.38,2,2.1231,109.3,99.8,-2.55,-2.15,-2.35,3861750,41025,-110.2,46350,169650,YES,195825,Y,-6.13,-2.55,-1.5211,130.75,118.55,BUY
07-01-2025 09:35,01-07-2025,16.8,13.9,9.9,79875,-117150,-1207,54225,-3300,YES,525,YES,2.18,16.8,0.0656,25683.2,25656.1,1.1,1.05,1.1,5078175,-27300,-91.2,46950,66450,N,130875,YES,0.34,1.1,1.1677,107.35,99.7,-8.15,-8.3,-8.4,4146825,67800,-107,49050,-48000,Y,80625,N,-3.92,-8.15,-4.8613,133.85,117.3,SELL
07-01-2025 09:40,01-07-2025,-8.2,-4.3,-4.7,49575,-28050,-1185.1,39600,2175,N,32325,YES,1.57,-8.2,-0.032,25684.8,25668.6,-2.4,-1.6,-1.55,4718775,28725,-97.3,44925,83925,N,237600,YES,0.51,-2.4,-2.5477,109,102.2,4.6,3.95,3.95,2888700,22425,-97.2,45300,213075,YES,53175,N,-2.55,4.6,2.7438,124.4,116.1,SELL
07-01-2025 09:45,01-07-2025,12.2,14.1,12.4,89700,-44100,-1091.3,32550,23325,Y,5175,N,2.26,12.2,0.0476,25691.3,25655,3.65,3.3,3.4,8486700,58875,-108.2,51675,-166650,YES,-300675,Y,0.49,3.65,3.8747,111.9,97,-9.5,-9.5,-9.5,5558775,-109200,-122,52050,-42225,Y,26700,N,-3.05,-9.5,-5.6666,132.95,110.25,BUY
07-01-2025 09:50,01-07-2025,-21.8,-18.5,-20.4,55500,-28800,-1603.5,41175,8400,N,14550,N,1.26,-21.8,-0.0851,25688,25660.6,-7.8,-8.05,-8.15,5441850,-38175,-98.65,55650,-116100,Y,292050,YES,-0.03,-7.8,-8.2803,107.65,96,10.7,10.85,10.95,4227225,11775,-111.15,52350,9300,YES,42375,N,-1.91,10.7,6.3823,126.7,113,no signal
07-01-2025 09:55,01-07-2025,18.5,15.2,10.5,70950,1275,-1150.2,36750,19875,N,46050,YES,0.78,18.5,0.0722,25682.9,25658,4.1,4.35,4.3,4218075,48450,-96.65,52425,135900,Y,19950,N,-0.1,4.1,4.3524,104.45,97.05,-10.85,-10.85,-10.85,4005975,-143175,-120.8,51075,-128700,Y,65325,Y,-1.01,-10.85,-6.4718,129.3,113.25,BUY
07-01-2025 10:00,01-07-2025,-21.2,-20.7,-20.2,51975,50100,-1200.1,38550,6750,N,8250,N,0.14,-21.2,-0.0828,25684,25647.8,-8.1,-8.35,-8.2,5855100,51600,-99.7,51900,-259650,YES,168225,YES,-0.58,-8.1,-8.5988,104,90.05,10.85,11.05,11.15,5539050,21900,-126.9,54825,48900,YES,-160725,YES,-0.74,10.85,6.4718,132.4,111.35,SELL
