last_traded_time,final_signal,result
2025-07-01 10:25:00,BUY,exc_loss
2025-07-01 10:35:00,BUY,reverse
2025-07-01 11:20:00,SELL,not_triggered
2025-07-01 11:25:00,BUY,reverse
2025-07-01 11:45:00,BUY,reverse
2025-07-01 12:55:00,BUY,reverse
2025-07-01 13:00:00,SELL,open_loss
2025-07-01 13:40:00,SELL,exc_loss
2025-07-01 13:50:00,SELL,exc_loss
2025-07-01 14:10:00,BUY,reverse
2025-07-01 14:15:00,SELL,open_win
2025-07-02 10:40:00,BUY,reverse
2025-07-02 11:30:00,SELL,reverse
2025-07-02 11:40:00,BUY,win
2025-07-02 13:10:00,SELL,win
2025-07-02 13:25:00,SELL,open_win
2025-07-02 14:05:00,BUY,exc_loss
2025-07-02 14:25:00,BUY,exc_loss
2025-07-02 14:55:00,BUY,win
2025-07-02 15:10:00,SELL,exc_loss
2025-07-03 11:10:00,SELL,reverse
2025-07-03 12:30:00,SELL,open_loss
2025-07-03 12:45:00,SELL,exc_loss
2025-07-03 13:45:00,SELL,win
2025-07-03 14:05:00,SELL,im_loss
2025-07-03 14:25:00,SELL,win
2025-07-03 15:00:00,BUY,reverse
2025-07-04 09:35:00,SELL,exc_loss
2025-07-04 11:10:00,BUY,reverse
2025-07-04 11:15:00,SELL,win
2025-07-04 11:30:00,SELL,win
2025-07-04 12:05:00,SELL,reverse
2025-07-04 13:10:00,BUY,not_triggered
2025-07-04 13:20:00,BUY,exc_loss
2025-07-04 13:25:00,SELL,reverse
2025-07-04 13:40:00,BUY,exc_loss
2025-07-04 14:40:00,BUY,exc_loss
2025-07-04 14:55:00,BUY,exc_loss
2025-07-04 15:10:00,SELL,im_loss
2025-07-07 10:10:00,BUY,exc_loss
2025-07-07 10:15:00,SELL,reverse
2025-07-07 10:55:00,BUY,exc_loss
2025-07-07 11:15:00,BUY,reverse
2025-07-07 11:45:00,SELL,open_win
2025-07-07 12:35:00,BUY,reverse
2025-07-07 12:45:00,SELL,win
2025-07-07 12:55:00,SELL,exc_loss
2025-07-07 13:25:00,SELL,reverse
2025-07-07 13:50:00,SELL,reverse
2025-07-07 14:45:00,BUY,win
2025-07-08 10:15:00,BUY,reverse
2025-07-08 10:55:00,BUY,reverse
2025-07-08 11:25:00,BUY,exc_loss
2025-07-08 11:35:00,BUY,reverse
2025-07-08 12:05:00,BUY,win
2025-07-08 12:35:00,SELL,exc_loss
2025-07-08 13:30:00,SELL,reverse
2025-07-08 13:35:00,BUY,win
2025-07-08 14:10:00,SELL,not_triggered
2025-07-08 14:45:00,BUY,win
2025-07-08 15:05:00,SELL,reverse
2025-07-09 09:40:00,SELL,reverse
2025-07-09 10:00:00,SELL,reverse
2025-07-09 11:35:00,SELL,win
2025-07-09 12:35:00,BUY,reverse
2025-07-09 12:40:00,SELL,exc_loss
2025-07-09 12:50:00,SELL,win
2025-07-09 13:05:00,BUY,win
2025-07-09 13:55:00,BUY,reverse
2025-07-09 14:20:00,SELL,win
2025-07-11 13:20:00,BUY,reverse
2025-07-14 12:10:00,SELL,exc_loss
2025-07-14 12:15:00,BUY,reverse
2025-07-14 12:40:00,BUY,reverse
2025-07-14 12:55:00,BUY,reverse
2025-07-14 13:10:00,BUY,win
2025-07-15 09:45:00,BUY,exc_loss
2025-07-15 11:20:00,BUY,exc_loss
2025-07-15 11:25:00,SELL,reverse
2025-07-15 12:05:00,BUY,exc_loss
2025-07-15 13:05:00,SELL,exc_loss
2025-07-15 13:25:00,SELL,exc_loss
2025-07-15 13:55:00,SELL,win
2025-07-15 14:10:00,BUY,exc_loss
2025-07-15 14:30:00,BUY,reverse
2025-07-15 14:35:00,SELL,exc_loss
2025-07-15 15:00:00,BUY,win
2025-07-15 15:10:00,SELL,not_triggered
2025-07-16 11:30:00,BUY,win
