last_traded_time,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig
07-11-2024 09:30,20225,N,13575,N,116450,N,90550,N,-725,N,975,N
07-11-2024 09:35,-4250,YES,23825,YES,-116575,YES,152300,YES,5200,N,-7875,N
07-11-2024 09:40,2225,N,-4900,Y,79000,Y,149200,N,-58100,Y,9075,Y
07-11-2024 09:45,-3875,YES,31700,YES,142600,Y,-25575,Y,-311850,Y,-3475,N
07-11-2024 09:50,-1750,N,2175,Y,-243475,YES,264475,YES,15025,N,725,N
07-11-2024 09:55,-33950,N,7850,N,34775,Y,-145325,Y,-9875,Y,-18925,N
07-11-2024 10:00,-7675,Y,15725,N,-652400,YES,335975,YES,-708950,Y,-11975,N
07-11-2024 10:05,49450,Y,11750,N,112200,Y,193550,N,-344675,N,8550,Y
07-11-2024 10:10,-21725,N,8750,N,54375,N,-500,Y,-3600,YES,-7125,YES
07-11-2024 10:15,25625,Y,9150,N,-173325,YES,251675,YES,-4200,Y,4600,Y
07-11-2024 10:20,8225,N,20150,N,214475,Y,189775,N,1775,N,3375,N
07-11-2024 10:25,-39175,N,-5500,Y,-649375,N,132000,N,2825,N,-7600,N
07-11-2024 10:30,-9000,Y,12625,N,-46250,Y,169900,N,-117125,Y,4500,Y
07-11-2024 10:35,8825,Y,1075,Y,42650,Y,106225,N,-53125,YES,-2600,YES
07-11-2024 10:40,5575,N,10975,N,228075,Y,-515500,Y,-1275,N,3250,N
07-11-2024 10:45,34000,Y,2900,Y,-2139225,YES,-172650,YES,-2001925,Y,-1575,N
07-11-2024 10:50,2600,N,-9500,Y,12825,Y,-333125,Y,-1950,N,3300,N
07-11-2024 10:55,5700,N,11500,N,-77375,YES,-124875,YES,-4375,Y,1675,N
07-11-2024 11:00,5725,N,-13750,Y,105575,Y,296300,N,3125,N,3275,N
07-11-2024 11:05,-1725,YES,22900,YES,-113600,YES,428025,YES,-43650,Y,25,N
07-11-2024 11:10,10425,Y,5500,N,664825,Y,242875,N,-54000,Y,-2600,N
07-11-2024 11:15,-13100,N,4025,N,-298525,N,48825,Y,-86025,Y,-4150,N
07-11-2024 11:20,7225,Y,27025,N,-1273600,N,-44750,Y,-358675,Y,-450,N
07-11-2024 11:25,-40300,N,7175,N,193300,Y,-191975,Y,-1700,N,3425,N
07-11-2024 11:30,15350,Y,-1825,Y,150375,N,-333525,Y,150,N,-625,N
07-11-2024 11:35,7475,N,5300,N,-76850,YES,231650,YES,-3100,Y,3000,N
07-11-2024 11:40,-5975,YES,16975,YES,-520175,YES,517800,YES,3400,N,-1700,N
07-11-2024 11:45,3575,N,3225,N,120125,Y,-218225,Y,-4650,Y,2850,N
07-11-2024 11:50,2850,N,225,Y,-638275,YES,428675,YES,1200,N,-2025,N
07-11-2024 11:55,7200,N,-7225,Y,-353375,Y,-260625,Y,-125,Y,-450,N
07-11-2024 12:00,10900,N,-5550,N,-669450,YES,253300,YES,-1125,Y,2150,N
07-11-2024 12:05,1525,N,-5700,Y,-129625,Y,-573625,Y,-56850,Y,-2900,N
07-11-2024 12:10,-575,YES,9500,YES,-214375,YES,555050,YES,1150,N,1850,N
07-11-2024 12:15,2050,N,-100,Y,213750,Y,-235675,Y,-360675,Y,-1400,N
07-11-2024 12:20,3925,N,-9475,Y,374000,Y,-654300,Y,-200975,Y,3625,N
07-11-2024 12:25,-4950,YES,8550,YES,-391525,YES,206925,YES,3425,YES,-5325,YES
07-11-2024 12:30,350,N,1400,Y,-467350,YES,244400,YES,-2175,Y,3450,N
07-11-2024 12:35,250,YES,17450,YES,159900,Y,-330500,Y,925,N,-1125,N
07-11-2024 12:40,1500,N,6100,N,54750,YES,78550,YES,600,N,-1550,N
07-11-2024 12:45,-2900,N,-775,Y,-415350,N,87100,N,-2425,Y,-3200,N
07-11-2024 12:50,-17275,N,-100,N,-804775,YES,428550,YES,1650,N,350,N
07-11-2024 12:55,4200,Y,3525,N,978375,Y,-214425,Y,1000,N,-1475,N
07-11-2024 13:00,750,N,-5425,Y,-142525,YES,-12975,YES,1825,N,-50,N
07-11-2024 13:05,-425,N,-375,N,-1043375,YES,409175,YES,-725,Y,-875,N
07-11-2024 13:10,-3075,N,-3475,Y,154650,Y,-108975,Y,1375,N,-975,N
07-11-2024 13:15,675,N,6725,N,-773400,YES,247275,YES,3175,N,-2175,N
07-11-2024 13:20,10875,Y,800,Y,-275375,Y,201275,N,-91150,Y,1100,N
07-11-2024 13:25,1050,N,1350,N,925450,Y,-446750,Y,-400,YES,-500,YES
07-11-2024 13:30,6625,N,1150,Y,-827050,YES,376700,YES,-200025,Y,1775,N
07-11-2024 13:35,-6275,N,-200,Y,-214225,Y,46750,Y,-1325,N,2625,N
07-11-2024 13:40,-63025,YES,71775,YES,135150,Y,-632200,Y,-241075,Y,1525,N
07-11-2024 13:45,30375,Y,-55850,Y,-488300,YES,374450,YES,-295600,Y,1500,N
07-11-2024 13:50,29675,N,-4600,N,370600,Y,161825,Y,-560125,Y,-1150,N
07-11-2024 13:55,-34325,N,3350,N,-192225,N,-29875,Y,-15850,N,5625,N
07-11-2024 14:00,3000,Y,33450,N,335625,Y,-510825,Y,-543650,Y,3575,N
07-11-2024 14:05,-325,N,5200,N,-804900,YES,460700,YES,-900,YES,850,YES
07-11-2024 14:10,3325,N,-4900,Y,-594500,Y,-467475,Y,-398275,Y,1250,N
07-11-2024 14:15,225,YES,167050,YES,-881950,YES,47950,YES,-1279525,Y,775,N
07-11-2024 14:20,2800,N,109525,N,-1335000,YES,600900,YES,-414650,YES,-5025,YES
07-11-2024 14:25,5600,N,-1425,Y,-1746025,N,538125,N,-1168750,Y,5275,Y
07-11-2024 14:30,-2450,N,4875,N,-4362525,N,-31175,Y,-800675,YES,-3475,YES
07-11-2024 14:35,34850,Y,-32125,Y,-1033300,Y,-327175,Y,-46325,N,1775,N
07-11-2024 14:40,-4225,YES,12800,YES,-1928950,YES,-259000,YES,-234725,Y,-6275,N
07-11-2024 14:45,625,N,2975,Y,-736525,Y,-861375,Y,-130825,Y,150,N
07-11-2024 14:50,2525,N,24725,N,-494350,YES,479300,YES,-355100,Y,1800,N
07-11-2024 14:55,3300,N,-14975,Y,-1892325,N,46750,Y,-307325,YES,-1025,YES
07-11-2024 15:00,-3550,YES,-4400,YES,-5297375,YES,974650,YES,-441075,Y,2300,N
07-11-2024 15:05,-9350,N,-23875,Y,-3291175,Y,285250,Y,-190600,YES,-4825,YES
07-11-2024 15:10,-13675,YES,-8150,YES,-4612175,N,259025,N,825,N,3475,N
07-11-2024 15:15,-15000,N,-21925,Y,-2047700,Y,333500,N,-158975,Y,-13350,N
07-11-2024 15:20,-18575,YES,750,YES,-3507800,N,-3178725,Y,575,YES,-18800,YES
07-11-2024 15:25,-87725,N,-70700,Y,-5425,Y,-425450,N,-7140175,Y,-7450,Y
