last_traded_time,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
12-11-2024 09:25,-11.4,35875,50,175,-10.65,-9.5,10675,-17000,N,16500,N,-1.69,-7.5,863950,-700,625,-6.8,-6.75,16875,-56250,N,58300,N,-0.88,7.9,408350,125,-150,8.25,8.35,14000,4275,N,-75,N,1.41,-37,15270,0,0,-29.4,-25.7,4875,16065,N,1125,N,-7.73
12-11-2024 09:30,12.95,91375,-550,25,11.25,10,20100,16100,Y,8800,N,-4.73,5.25,1374450,425,925,5.75,5.85,29225,38325,Y,-17575,Y,-1.3,-5.1,934125,-25,150,-6.05,-6.25,22025,-9875,Y,-30500,YES,3.46,54,29100,-405,0,53.75,63.05,8565,10350,N,5475,N,-15.91
12-11-2024 09:35,-45.05,98300,0,-75,-48.1,-43.55,16625,2000,YES,-16725,Y,-7.58,-9.3,1678300,-25,1925,-9.15,-9.1,28625,-13575,YES,40450,YES,-2,38.25,1114375,-150,175,38.6,39,19225,4325,N,-31550,YES,7.48,-147.45,41385,0,-60,-140.35,-138.45,9360,-5040,YES,-1065,Y,-24.78
12-11-2024 09:40,7.5,46050,-400,0,6.75,2.2,16400,8550,N,90875,YES,-2.52,-0.65,1095325,775,1225,-0.2,-0.15,31325,40925,Y,34375,N,-0.79,-6.25,556900,25,-50,-5.65,-5.7,21800,8100,N,11775,Y,2.74,14.75,21390,0,-570,31.5,27.95,7305,14910,N,-75,N,-12.41
12-11-2024 09:45,-4.85,78425,-75,25,-5.45,-3.8,14425,-1750,YES,46300,N,-5.66,-3.4,1222400,1325,50,-3.1,-3.05,31775,62275,Y,66950,YES,-1.34,2.05,649225,125,-25,1.7,1.75,20900,-4325,Y,-5750,YES,3.54,17.9,16530,0,-15,14,9.25,8190,3675,N,15675,N,-6.98
12-11-2024 09:50,-7.8,46625,0,150,-4.4,-8.75,16450,-5375,YES,9775,N,-1.96,-2.5,913175,1500,-400,-2.45,-2.4,28200,17375,N,30650,N,-0.75,11.95,457375,-75,-100,10.35,10.4,23425,14450,N,14300,Y,1.39,-12,11745,150,60,-18.45,-14.1,8250,-4365,YES,1605,Y,-3.4
12-11-2024 09:55,104.15,156400,25,-150,99,100.6,17650,71575,Y,-55250,Y,4.24,31.1,3154125,575,-700,30.5,30.75,23725,36875,N,-338250,Y,1,-73.55,847950,-275,225,-73.5,-73.6,19150,-39775,Y,10975,N,-1.12,303.25,88800,-75,-30,287.2,294.5,10365,2280,N,-24660,Y,28.53
12-11-2024 10:00,-75.35,177075,175,0,-73.3,-74.7,22950,-31100,YES,45825,YES,3.33,-24.95,3210650,-300,-675,-24.95,-25.1,24025,-62225,YES,348500,YES,0.1,57.05,1129225,-100,175,56.5,56.5,20925,43525,YES,-18700,YES,-1.95,-200,65610,975,45,-191.75,-196.55,10065,5550,N,25710,YES,6.92
12-11-2024 10:05,12.65,38350,875,-425,15.65,15,16150,10950,Y,17300,N,-0.74,2.3,1025975,-175,-275,2.45,2.4,22575,46200,Y,-44025,Y,-0.4,-12.95,380250,-200,275,-12.45,-12.45,22525,1000,Y,8650,Y,0.5,46.5,13200,-960,60,33.6,42.35,7995,2850,YES,795,Y,-0.58
12-11-2024 10:10,-12.1,33850,-800,-250,-15.35,-12.15,14300,-1775,YES,1900,Y,-0.4,-4.5,1427400,700,-75,-4.45,-4.5,25275,35275,N,50500,YES,-0.45,4.6,480725,325,100,5.45,5.45,23725,17625,N,-2400,YES,0.08,-26.45,9615,0,-90,-9.55,-16.95,6045,3600,N,19020,N,0.42
12-11-2024 10:15,25.25,49175,-200,50,23.4,18.4,20500,7700,N,10925,N,-0.27,4.2,1155150,-700,-300,4.45,4.45,30675,-5075,YES,46675,N,-0.3,-13.15,344725,-75,75,-13.4,-13.05,24250,200,Y,1875,N,-0.22,-4.65,8325,-75,-45,-1.7,-1.1,10020,555,YES,465,Y,0.39
12-11-2024 10:20,-16.1,24475,425,50,-17.1,-16.6,15675,1025,YES,-7425,Y,-0.05,-4.75,883650,-550,-525,-4.55,-4.6,26400,15375,Y,62475,N,-0.28,10.75,198975,0,0,9.5,9.6,21350,4125,N,-625,YES,-0.07,-27.25,6720,75,60,-39.35,-38.95,6855,-13305,YES,255,Y,-0.26
12-11-2024 10:25,29.95,21700,-300,575,26,27,13600,-9325,YES,-55950,Y,0.12,6.6,1081850,1475,175,6.15,6.2,31450,35525,Y,-43975,Y,-0.15,-20.75,300375,150,25,-20.1,-19.85,22100,-800,Y,11700,N,-0.37,28.75,6060,75,0,22.15,23.65,7350,-1335,N,-4440,Y,0.12
12-11-2024 10:30,-28.8,40925,-75,-750,-24.85,-25,16900,1250,N,6325,YES,0.15,-5.5,1428525,-25,-625,-5.2,-5.2,28525,-44350,YES,112925,YES,-0.22,21.9,475875,-100,-225,20.7,20.7,22800,3225,N,-18850,YES,-0.38,-167.1,43740,-105,-60,-162.55,-170.05,6720,-25845,YES,75,N,-12.02
12-11-2024 10:35,-48.2,164600,1050,75,-50.05,-53.05,18575,-36725,YES,12050,N,-6.12,-10.85,2056750,-200,1425,-11.2,-11.25,27575,-27000,N,53425,N,-1.15,40.4,954750,-25,25,42.15,42.4,23650,4425,N,-20225,YES,2.73,-48.85,52665,-15,-60,-59.05,-53.45,8790,21180,Y,-180,Y,-19.45
12-11-2024 10:40,11,65350,-25,175,13.05,14.5,16600,-40550,YES,14100,N,-2.4,4.25,1198150,575,1575,4.55,4.65,26725,102350,Y,-36400,Y,-0.69,-11.85,489750,50,50,-13.2,-13.15,22550,12075,N,4450,Y,1.59,-13.5,38655,30,105,-13.45,-14.95,7590,4590,N,4800,N,-13.84
12-11-2024 10:45,13.3,41875,-25,-75,22.9,20.05,13225,6400,Y,225,Y,-1.27,2.4,961875,800,-1100,2.55,2.5,26875,89950,N,27975,YES,-0.45,-12.7,297025,-75,125,-14.4,-14.6,20425,-8850,Y,15925,N,0.77,-1.1,49665,-15,30,11.9,2.35,8445,9330,N,285,Y,-19.51
12-11-2024 10:50,-1.55,23600,250,250,-7.85,-7.1,11550,-4325,YES,11625,N,-0.44,-1.5,895275,750,25,-1.25,-1.2,33850,-34075,YES,15100,N,-0.35,3.8,197800,75,50,3.75,4,19875,-3050,N,3050,N,0.32,20.1,19920,0,0,14.25,15.15,7755,8265,N,2115,N,-4.99
12-11-2024 10:55,-1,33950,-25,-25,0.95,3,17350,-525,N,7450,N,-0.52,-0.05,1137725,2675,-400,-0.1,-0.05,32650,-5950,Y,-15450,Y,-0.36,-3.25,180650,-100,-175,-2.35,-2.45,21475,2775,N,4875,N,0.19,-30.1,10845,30,-60,-18.05,-25.1,6060,4485,N,18840,N,-2.69
12-11-2024 11:00,-4.8,23500,75,0,-4.7,-4.15,11575,2800,N,5525,N,-0.32,-0.75,894825,775,-125,-0.45,-0.4,27225,-20725,YES,5850,YES,-0.3,3.3,267925,-25,-75,2.55,2.6,20975,4725,N,-1275,YES,0.29,16.95,10800,0,0,16.4,16,5160,510,YES,10830,N,-2.51
12-11-2024 11:05,30,31775,100,800,26.15,21.75,20350,12475,N,-56050,Y,-0.37,6.85,749425,-875,450,6.7,6.7,29575,51350,Y,-28575,Y,-0.2,-21.4,170500,100,75,-20.5,-20.55,23975,-12600,Y,16500,N,0.18,74.95,8895,0,0,71.55,70.4,6330,315,YES,-2055,Y,-1.63
12-11-2024 11:10,-12.95,33975,-100,100,-18,-13.3,15350,-14475,YES,16775,YES,-0.22,-7,793525,1525,900,-7.05,-7,28225,-22275,YES,80375,YES,-0.19,14.75,189225,175,-350,14,13.95,23350,17700,YES,5800,N,0.08,-15.4,15180,-30,-90,-18.55,-15.4,8100,-6360,YES,12630,N,-2.07
12-11-2024 11:15,-18,30825,-25,-300,-18.25,-21.9,16575,5275,N,-1600,Y,-0.6,-3.45,933300,75,-150,-3.25,-3.25,29050,19625,Y,36875,N,-0.34,14.15,354800,-150,-75,14.65,14.8,22350,-4525,Y,-17500,YES,0.58,-2.05,28950,0,-30,1.95,-1.5,7875,5700,N,-12120,Y,-2.53
