last_traded_time,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
19-11-2024 09:25,23.9,205900,-325,2900,22.4,25,8150,32450,N,3325,N,12.71,11.95,3907925,175,-350,11,10.95,9050,-32150,N,3700,N,5.24,-8.25,1853850,-375,-200,-7.6,-7.65,9450,-31325,N,81150,N,-2.8
19-11-2024 09:30,0,246125,5300,-2225,1.2,0.5,21825,-29250,YES,26300,YES,10.01,0.8,6146050,-275,175,0.8,0.65,25950,6575,Y,95175,YES,5.44,-3.25,5089850,-625,-125,-3.15,-3.3,28225,95375,YES,131675,Y,-5.12
19-11-2024 09:35,9.25,170725,-4950,-1675,9.55,10.25,17250,2225,Y,3925,N,6.92,7,4093225,-75,75,8.55,8.6,25125,-49650,YES,-53050,Y,3.9,-7.45,3028250,-825,1800,-7.5,-7.5,26525,-7375,Y,125575,N,-3.1
19-11-2024 09:40,24.15,152025,-25,2575,27.05,26,18400,84825,Y,-17350,Y,5.96,12.2,2866425,-25,-100,11.95,11.85,24650,-24050,Y,-31025,YES,2.41,-9.85,2801900,-450,1225,-9.5,-9.5,26725,-44850,Y,81025,N,-2.71
19-11-2024 09:45,-35.45,197125,-25,25,-38.75,-33.8,21850,26450,N,28150,YES,7.33,-21.6,2782400,-400,-375,-22.75,-22.9,22675,-69750,YES,24375,YES,2.3,8.5,3764400,250,-75,9.7,9.7,29950,219075,YES,9550,N,-3.39
19-11-2024 09:50,16,140125,400,1200,14.95,16.5,14900,40500,N,-4850,Y,1.87,6.65,3145350,-225,50,7.05,6.9,25775,57750,Y,-10600,Y,0.98,-8.45,4298000,-150,-575,-8.3,-8.45,26575,-58450,Y,50950,Y,-1.79
19-11-2024 09:55,-15.6,51475,-250,-650,-14.5,-16,15000,175,YES,6875,N,1.01,-6.55,2179625,-575,-75,-6.95,-7,26225,-32450,YES,148975,YES,0.9,5.55,2448650,200,75,5.8,5.85,29950,98075,YES,86300,Y,-1.26
19-11-2024 10:00,11.4,56075,25,-25,9.1,11.4,17475,-14350,YES,50575,YES,1.36,6.3,1857275,-300,-125,6,6,23125,21725,Y,-14300,Y,0.99,-2.9,2216525,375,325,-2.3,-2.3,31775,55550,N,95375,N,-1.25
19-11-2024 10:05,2.85,38150,0,-100,2.8,-0.55,14725,11600,Y,252275,YES,0.9,1.15,1228625,-175,-100,1.25,1.2,26225,-3275,YES,14000,YES,0.63,-0.5,1499225,-975,-3175,-0.5,-0.55,31350,-9600,Y,89525,N,-0.78
19-11-2024 10:10,-5.3,57300,125,50,-5.45,-5.05,16825,-10475,YES,-13800,Y,1.42,-5.25,1815525,-175,325,-4.85,-4.85,26225,-36675,YES,-875,Y,1.01,1.3,1900425,-775,1375,1.05,1,33350,29425,YES,5075,N,-0.97
19-11-2024 10:15,-1.8,50200,350,75,-1.85,-4.2,19900,4425,N,27575,YES,0.93,0.95,1250550,425,175,0.7,0.75,26525,-5425,Y,32500,YES,0.46,-1.5,1718700,-1675,-1375,-1.45,-1.5,34100,1300,Y,78950,Y,-0.72
19-11-2024 10:20,21.6,42600,-900,125,22.25,21,21300,7425,N,-30325,Y,0.97,15.2,1299700,-25,75,14.45,14.55,26550,59500,Y,-90525,Y,0.65,-7.35,1810050,1600,750,-7.2,-7.15,39350,-93350,Y,45000,N,-0.89
19-11-2024 10:25,42.75,268500,375,1300,42.75,42.75,20125,7250,N,-65750,Y,9.55,34.45,3764900,75,-625,34.85,34.9,22525,-54650,YES,-206275,Y,3.67,-7.3,4122275,225,-600,-6.95,-7,32275,-124325,Y,-16800,YES,-2.57
19-11-2024 10:30,-29.7,117950,1275,-625,-29.35,-29.7,21100,49325,Y,-12950,YES,3.86,-23.65,1777350,-600,-125,-23.95,-24.1,24750,-60725,YES,43525,YES,1.61,3.95,2225125,-550,-225,3.95,3.9,29550,144350,YES,-57550,YES,-1.22
19-11-2024 10:35,6.6,45350,-1725,150,9.6,10,16500,15375,N,4300,N,1.22,7.65,1051200,375,-25,7.4,7.55,23825,-6150,Y,7700,N,0.78,-2.25,1510150,-275,11050,-2,-2.05,30475,6150,N,125400,Y,-0.76
19-11-2024 10:40,-24.3,57400,0,-25,-20.25,-20.1,16775,-11225,YES,925,Y,1.4,-14.25,1160350,500,-150,-13.75,-13.75,25625,-38675,YES,-33750,Y,0.78,5.3,1634775,-75,475,4.9,4.9,29925,10750,N,-133000,YES,-0.71
19-11-2024 10:45,-17,66400,-50,25,-19.95,-17.25,20300,-2225,N,9675,N,1.04,-16,1082525,-25,325,-14.95,-14.95,24450,-7450,Y,34200,YES,0.45,7.25,2335650,-2425,475,6.8,6.8,31150,32650,YES,-39150,Y,-0.7
19-11-2024 10:50,4.8,39625,0,400,6.8,5.15,13025,23650,Y,-6625,Y,0.46,7.2,903350,-325,200,6.25,6.2,26200,58000,Y,3350,N,0.27,-3.35,2037375,-775,50,-2.9,-3,32675,-103100,Y,91825,Y,-0.47
19-11-2024 10:55,13.1,29825,50,-350,13.1,13.5,13650,-13700,YES,20900,YES,0.5,4.2,869350,25,0,4.45,4.6,24775,3900,N,53600,YES,0.38,-3.3,1496875,-3950,250,-3.3,-3.25,33600,-20025,YES,68775,N,-0.44
19-11-2024 11:00,15,31025,50,0,14.6,9.25,13925,2400,N,4800,N,0.65,11.9,1023775,250,-25,12.25,12.35,26050,-5700,YES,-37725,Y,0.56,-5.35,1603550,-25,125,-5.5,-5.55,31375,33275,YES,74250,N,-0.58
19-11-2024 11:05,12.95,34050,-125,-50,11.1,12,15300,-700,YES,-1575,Y,0.82,7.9,747600,-350,-75,8.25,8.2,21600,200,N,-31975,N,0.48,-2.1,1301350,-400,-150,-2.4,-2.4,31675,51625,N,-4225,YES,-0.5
19-11-2024 11:10,-3,20750,-50,500,-3.9,-3,13825,5175,N,5025,N,0.48,-3.55,567725,175,2725,-3.45,-3.4,22375,-9675,YES,26900,YES,0.36,-0.15,1071100,-900,25,0.1,0.05,27825,217950,YES,34825,Y,-0.4
19-11-2024 11:15,-0.8,34825,250,-475,1.95,1.95,16675,9675,N,-1925,Y,0.82,0.25,502425,25,175,-0.2,-0.15,23700,17525,Y,-17675,Y,0.31,-1.15,1051325,700,-150,-0.95,-0.95,27475,-33650,Y,18600,N,-0.4
19-11-2024 11:20,13.05,42625,0,550,13.15,13.05,15875,6275,N,2775,N,1.09,8.8,613275,-175,475,9.2,9.3,25975,7900,N,-25300,Y,0.42,-3.4,1420750,75,975,-3.4,-3.4,33900,6125,YES,43500,Y,-0.56
19-11-2024 11:25,10,138500,0,-575,10.25,9.95,20400,-6850,YES,-1450,Y,4.23,8.15,1382950,-75,-150,8.3,8.25,27200,-23975,YES,-64625,Y,1.23,-1.45,2836275,-1300,-900,-1.35,-1.4,30750,38175,YES,-30475,YES,-1.25
19-11-2024 11:30,5.9,68025,-25,175,6.4,10.55,15950,-3625,N,750,N,2.06,3.6,853225,100,100,3.85,3.9,21800,-27900,YES,-36825,YES,0.78,-1.5,1646350,975,-925,-1.5,-1.55,35550,91000,YES,-12000,N,-0.7
19-11-2024 11:35,10.65,77550,25,8075,11.9,10,14975,1825,N,7200,N,2.36,7.9,587275,-875,-75,8.35,8.45,22975,22575,Y,17975,YES,0.53,-2.15,1292950,2000,2050,-2.35,-2.25,33075,-6500,Y,-19175,YES,-0.54
