ltp,vol_traded_today,last_traded_time,exch_feed_time,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,low_price,high_price,lower_ckt,upper_ckt,open_price,prev_close_price,type,symbol,ch,chp
160.6,3108950,2024-10-22 09:29:27,1729569567,200,200,160.35,160.7,25,123025,114750,166.11,127.15,232.0,0,0,232.0,207.05,sf,NSE:NIFTY24O2424900PE,-46.45,-22.4342
159.4,3108950,2024-10-22 09:29:27,1729569569,200,200,160.35,160.7,25,123025,114750,166.11,127.15,232.0,0,0,232.0,207.05,sf,NSE:NIFTY24O2424900PE,-47.65,-23.0138
158.7,3110975,2024-10-22 09:29:29,1729569569,275,325,158.6,159.0,75,122350,114200,166.11,127.15,232.0,0,0,232.0,207.05,sf,NSE:NIFTY24O2424900PE,-48.35,-23.3518
157.0,3110975,2024-10-22 09:29:29,1729569570,275,325,158.6,159.0,25,122350,114200,166.11,127.15,232.0,0,0,232.0,207.05,sf,NSE:NIFTY24O2424900PE,-50.05,-24.1729
157.45,3114150,2024-10-22 09:29:31,1729569571,200,25,157.25,157.6,25,124950,116675,166.1,127.15,232.0,0,0,232.0,207.05,sf,NSE:NIFTY24O2424900PE,-49.6,-23.9556
156.95,3114150,2024-10-22 09:29:31,1729569572,200,25,157.25,157.6,25,124950,116675,166.1,127.15,232.0,0,0,232.0,207.05,sf,NSE:NIFTY24O2424900PE,-50.1,-24.1971
156.2,3117200,2024-10-22 09:29:32,1729569572,175,550,155.7,156.15,50,124700,113575,166.09,127.15,232.0,0,0,232.0,207.05,sf,NSE:NIFTY24O2424900PE,-50.85,-24.5593
156.3,3117200,2024-10-22 09:29:32,1729569573,175,550,155.7,156.15,25,124700,113575,166.09,127.15,232.0,0,0,232.0,207.05,sf,NSE:NIFTY24O2424900PE,-50.75,-24.511
156.35,3117200,2024-10-22 09:29:32,1729569574,175,550,155.7,156.15,25,124700,113575,166.09,127.15,232.0,0,0,232.0,207.05,sf,NSE:NIFTY24O2424900PE,-50.7,-24.4868
155.65,3117500,2024-10-22 09:29:34,1729569574,200,200,155.6,156.0,25,124975,115775,166.09,127.15,232.0,0,0,232.0,207.05,sf,NSE:NIFTY24O2424900PE,-51.4,-24.8249
156.3,3117500,2024-10-22 09:29:34,1729569576,200,200,155.6,156.0,25,124975,115775,166.09,127.15,232.0,0,0,232.0,207.05,sf,NSE:NIFTY24O2424900PE,-50.75,-24.511
157.0,3120575,2024-10-22 09:29:36,1729569576,425,600,156.8,157.25,25,123400,112625,166.08,127.15,232.0,0,0,232.0,207.05,sf,NSE:NIFTY24O2424900PE,-50.05,-24.1729
156.7,3120575,2024-10-22 09:29:36,1729569577,425,600,156.8,157.25,50,123400,112625,166.08,127.15,232.0,0,0,232.0,207.05,sf,NSE:NIFTY24O2424900PE,-50.35,-24.3178
156.7,3120925,2024-10-22 09:29:37,1729569578,200,750,156.35,156.75,25,126475,111575,166.08,127.15,232.0,0,0,232.0,207.05,sf,NSE:NIFTY24O2424900PE,-50.35,-24.3178
156.1,3120925,2024-10-22 09:29:37,1729569579,200,750,156.35,156.75,175,126475,111575,166.08,127.15,232.0,0,0,232.0,207.05,sf,NSE:NIFTY24O2424900PE,-50.95,-24.6076
154.95,3126050,2024-10-22 09:29:39,1729569579,175,675,154.6,155.05,25,113325,114050,166.06,127.15,232.0,0,0,232.0,207.05,sf,NSE:NIFTY24O2424900PE,-52.1,-25.163
153.6,3126050,2024-10-22 09:29:39,1729569580,175,675,154.6,155.05,25,113325,114050,166.06,127.15,232.0,0,0,232.0,207.05,sf,NSE:NIFTY24O2424900PE,-53.45,-25.815
152.9,3126050,2024-10-22 09:29:39,1729569581,175,675,154.6,155.05,75,113325,114050,166.06,127.15,232.0,0,0,232.0,207.05,sf,NSE:NIFTY24O2424900PE,-54.15,-26.1531
153.2,3130700,2024-10-22 09:29:41,1729569581,375,400,153.05,153.45,100,120875,118650,166.04,127.15,232.0,0,0,232.0,207.05,sf,NSE:NIFTY24O2424900PE,-53.85,-26.0082
153.6,3130700,2024-10-22 09:29:41,1729569582,375,400,153.05,153.45,275,120875,118650,166.04,127.15,232.0,0,0,232.0,207.05,sf,NSE:NIFTY24O2424900PE,-53.45,-25.815
154.05,3134825,2024-10-22 09:29:42,1729569582,675,250,154.05,154.45,50,124575,125300,166.02,127.15,232.0,0,0,232.0,207.05,sf,NSE:NIFTY24O2424900PE,-53.0,-25.5977
154.25,3134825,2024-10-22 09:29:42,1729569584,675,250,154.05,154.45,25,124575,125300,166.02,127.15,232.0,0,0,232.0,207.05,sf,NSE:NIFTY24O2424900PE,-52.8,-25.5011
155.1,3148925,2024-10-22 09:29:44,1729569584,475,375,154.95,155.35,50,125275,112525,165.97,127.15,232.0,0,0,232.0,207.05,sf,NSE:NIFTY24O2424900PE,-51.95,-25.0906
155.6,3148925,2024-10-22 09:29:44,1729569585,475,375,154.95,155.35,50,125275,112525,165.97,127.15,232.0,0,0,232.0,207.05,sf,NSE:NIFTY24O2424900PE,-51.45,-24.8491
155.3,3148925,2024-10-22 09:29:44,1729569586,475,375,154.95,155.35,25,125275,112525,165.97,127.15,232.0,0,0,232.0,207.05,sf,NSE:NIFTY24O2424900PE,-51.75,-24.994
155.6,3150175,2024-10-22 09:29:46,1729569586,425,375,156.2,156.6,200,125725,114050,165.97,127.15,232.0,0,0,232.0,207.05,sf,NSE:NIFTY24O2424900PE,-51.45,-24.8491
156.8,3150175,2024-10-22 09:29:46,1729569587,425,375,156.2,156.6,75,125725,114050,165.97,127.15,232.0,0,0,232.0,207.05,sf,NSE:NIFTY24O2424900PE,-50.25,-24.2695
157.2,3151050,2024-10-22 09:29:47,1729569587,500,25,156.7,157.1,200,124950,116700,165.96,127.15,232.0,0,0,232.0,207.05,sf,NSE:NIFTY24O2424900PE,-49.85,-24.0763
158.15,3152450,2024-10-22 09:29:49,1729569589,100,250,157.9,158.25,375,126275,114650,165.96,127.15,232.0,0,0,232.0,207.05,sf,NSE:NIFTY24O2424900PE,-48.9,-23.6175
158.15,3152450,2024-10-22 09:29:49,1729569590,100,250,157.9,158.25,25,126275,114650,165.96,127.15,232.0,0,0,232.0,207.05,sf,NSE:NIFTY24O2424900PE,-48.9,-23.6175
156.5,3153400,2024-10-22 09:29:51,1729569591,475,600,157.1,157.55,50,127125,114350,165.96,127.15,232.0,0,0,232.0,207.05,sf,NSE:NIFTY24O2424900PE,-50.55,-24.4144
157.15,3153400,2024-10-22 09:29:51,1729569592,475,600,157.1,157.55,25,127125,114350,165.96,127.15,232.0,0,0,232.0,207.05,sf,NSE:NIFTY24O2424900PE,-49.9,-24.1005
156.8,3156300,2024-10-22 09:29:52,1729569593,575,425,156.65,157.05,100,124225,119750,165.95,127.15,232.0,0,0,232.0,207.05,sf,NSE:NIFTY24O2424900PE,-50.25,-24.2695
156.7,3156300,2024-10-22 09:29:52,1729569593,575,425,156.65,157.05,25,124225,119750,165.95,127.15,232.0,0,0,232.0,207.05,sf,NSE:NIFTY24O2424900PE,-50.35,-24.3178
157.45,3156300,2024-10-22 09:29:52,1729569594,575,425,156.65,157.05,25,124225,119750,165.95,127.15,232.0,0,0,232.0,207.05,sf,NSE:NIFTY24O2424900PE,-49.6,-23.9556
157.4,3159600,2024-10-22 09:29:54,1729569594,100,325,157.7,158.05,325,124650,115725,165.94,127.15,232.0,0,0,232.0,207.05,sf,NSE:NIFTY24O2424900PE,-49.65,-23.9797
157.0,3159600,2024-10-22 09:29:54,1729569595,100,325,157.7,158.05,250,124650,115725,165.94,127.15,232.0,0,0,232.0,207.05,sf,NSE:NIFTY24O2424900PE,-50.05,-24.1729
156.8,3160800,2024-10-22 09:29:56,1729569596,600,675,156.6,157.0,25,127150,115675,165.94,127.15,232.0,0,0,232.0,207.05,sf,NSE:NIFTY24O2424900PE,-50.25,-24.2695
157.55,3160800,2024-10-22 09:29:56,1729569597,600,675,156.6,157.0,50,127150,115675,165.94,127.15,232.0,0,0,232.0,207.05,sf,NSE:NIFTY24O2424900PE,-49.5,-23.9073
157.75,3162600,2024-10-22 09:29:57,1729569598,150,325,157.75,158.15,25,126250,116000,165.93,127.15,232.0,0,0,232.0,207.05,sf,NSE:NIFTY24O2424900PE,-49.3,-23.8107
158.05,3162600,2024-10-22 09:29:57,1729569599,150,325,157.75,158.15,150,126250,116000,165.93,127.15,232.0,0,0,232.0,207.05,sf,NSE:NIFTY24O2424900PE,-49.0,-23.6658
158.5,3164600,2024-10-22 09:29:59,1729569599,300,600,158.35,158.7,150,125350,114975,165.93,127.15,232.0,0,0,232.0,207.05,sf,NSE:NIFTY24O2424900PE,-48.55,-23.4484
157.6,3164600,2024-10-22 09:29:59,1729569600,300,600,158.35,158.7,50,125350,114975,165.93,127.15,232.0,0,0,232.0,207.05,sf,NSE:NIFTY24O2424900PE,-49.45,-23.8831
154.4,3169125,2024-10-22 09:30:01,1729569601,450,25,154.4,154.6,25,121875,113050,165.91,127.15,232.0,0,0,232.0,207.05,sf,NSE:NIFTY24O2424900PE,-52.65,-25.4286
154.85,3169125,2024-10-22 09:30:01,1729569602,450,25,154.4,154.6,175,121875,113050,165.91,127.15,232.0,0,0,232.0,207.05,sf,NSE:NIFTY24O2424900PE,-52.2,-25.2113
155.25,3172625,2024-10-22 09:30:02,1729569603,325,325,155.75,156.15,25,122825,110075,165.9,127.15,232.0,0,0,232.0,207.05,sf,NSE:NIFTY24O2424900PE,-51.8,-25.0181
155.95,3172625,2024-10-22 09:30:02,1729569604,325,325,155.75,156.15,50,122825,110075,165.9,127.15,232.0,0,0,232.0,207.05,sf,NSE:NIFTY24O2424900PE,-51.1,-24.68
155.75,3177375,2024-10-22 09:30:04,1729569604,325,500,155.75,156.1,50,123425,112625,165.89,127.15,232.0,0,0,232.0,207.05,sf,NSE:NIFTY24O2424900PE,-51.3,-24.7766
156.85,3177375,2024-10-22 09:30:04,1729569605,325,500,155.75,156.1,50,123425,112625,165.89,127.15,232.0,0,0,232.0,207.05,sf,NSE:NIFTY24O2424900PE,-50.2,-24.2454
156.0,3180525,2024-10-22 09:30:06,1729569606,50,75,155.7,156.0,25,122375,114975,165.88,127.15,232.0,0,0,232.0,207.05,sf,NSE:NIFTY24O2424900PE,-51.05,-24.6559
155.7,3180525,2024-10-22 09:30:06,1729569607,50,75,155.7,156.0,75,122375,114975,165.88,127.15,232.0,0,0,232.0,207.05,sf,NSE:NIFTY24O2424900PE,-51.35,-24.8008
156.0,3182100,2024-10-22 09:30:08,1729569608,400,225,156.0,156.35,175,123375,114850,165.87,127.15,232.0,0,0,232.0,207.05,sf,NSE:NIFTY24O2424900PE,-51.05,-24.6559
155.9,3182100,2024-10-22 09:30:08,1729569609,400,225,156.0,156.35,25,123375,114850,165.87,127.15,232.0,0,0,232.0,207.05,sf,NSE:NIFTY24O2424900PE,-51.15,-24.7042
155.55,3183975,2024-10-22 09:30:09,1729569609,200,175,155.7,155.95,25,121700,111700,165.86,127.15,232.0,0,0,232.0,207.05,sf,NSE:NIFTY24O2424900PE,-51.5,-24.8732
156.0,3183975,2024-10-22 09:30:09,1729569610,200,175,155.7,155.95,50,121700,111700,165.86,127.15,232.0,0,0,232.0,207.05,sf,NSE:NIFTY24O2424900PE,-51.05,-24.6559
155.65,3187675,2024-10-22 09:30:11,1729569611,425,50,155.65,155.8,25,120425,114850,165.85,127.15,232.0,0,0,232.0,207.05,sf,NSE:NIFTY24O2424900PE,-51.4,-24.8249
155.1,3187675,2024-10-22 09:30:11,1729569612,425,50,155.65,155.8,25,120425,114850,165.85,127.15,232.0,0,0,232.0,207.05,sf,NSE:NIFTY24O2424900PE,-51.95,-25.0906
155.55,3189350,2024-10-22 09:30:12,1729569613,500,500,155.75,156.2,25,121850,110625,165.85,127.15,232.0,0,0,232.0,207.05,sf,NSE:NIFTY24O2424900PE,-51.5,-24.8732
154.15,3189350,2024-10-22 09:30:12,1729569614,500,500,155.75,156.2,75,121850,110625,165.85,127.15,232.0,0,0,232.0,207.05,sf,NSE:NIFTY24O2424900PE,-52.9,-25.5494
154.85,3191375,2024-10-22 09:30:14,1729569614,375,300,155.15,155.55,25,120975,110850,165.84,127.15,232.0,0,0,232.0,207.05,sf,NSE:NIFTY24O2424900PE,-52.2,-25.2113
156.05,3191375,2024-10-22 09:30:14,1729569615,375,300,155.15,155.55,25,120975,110850,165.84,127.15,232.0,0,0,232.0,207.05,sf,NSE:NIFTY24O2424900PE,-51.0,-24.6317
156.15,3193975,2024-10-22 09:30:16,1729569616,125,325,155.05,155.4,25,119050,116225,165.83,127.15,232.0,0,0,232.0,207.05,sf,NSE:NIFTY24O2424900PE,-50.9,-24.5834
